,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-18.9,-6.4,-1.6,0,Няксимволь
2,1936-01-02,-17.3,-7.8,-3.3,2,Няксимволь
3,1936-01-03,-5.3,-3.5,-0.2,2.2,Няксимволь
4,1936-01-04,-20.4,-13.8,-1.3,0,Няксимволь
5,1936-01-05,-6.3,-4.2,-2,0.5,Няксимволь
6,1936-01-06,-4.2,-1.8,0.1,0,Няксимволь
7,1936-01-07,-7.3,-3.4,0.2,0,Няксимволь
8,1936-01-08,-12.8,-9.4,-7.1,3,Няксимволь
9,1936-01-09,-22.9,-15.5,-9,0,Няксимволь
10,1936-01-10,-27.5,-16.5,-11.3,0,Няксимволь
11,1936-01-11,-35.6,-30.3,-17.7,0,Няксимволь
12,1936-01-12,-27.7,-22.9,-17.5,0.2,Няксимволь
13,1936-01-13,-28.2,-19.7,-18,0.1,Няксимволь
14,1936-01-14,-23.4,-19.4,-17.5,0.2,Няксимволь
15,1936-01-15,-18.8,-18.1,-17,0,Няксимволь
16,1936-01-16,-22.6,-20.7,-18.9,0.1,Няксимволь
17,1936-01-17,-25,-22.8,-21.8,0.7,Няксимволь
18,1936-01-18,-23.4,-20.4,-18.9,1.9,Няксимволь
19,1936-01-19,-19.4,-18.5,-17.8,0.3,Няксимволь
20,1936-01-20,-23.4,-19.2,-17,0,Няксимволь
21,1936-01-21,-23.5,-12,-10.6,3.1,Няксимволь
22,1936-01-22,-17.5,-12.8,-8.1,1,Няксимволь
23,1936-01-23,-32.9,-23.4,-17.5,0.5,Няксимволь
24,1936-01-24,-24.8,-16,-7.1,4.2,Няксимволь
25,1936-01-25,-30,-29,-24.5,0.3,Няксимволь
26,1936-01-26,-30.3,-27.4,-25.4,0.9,Няксимволь
27,1936-01-27,-28.5,-25,-23.5,0.3,Няксимволь
28,1936-01-28,-33.6,-31.3,-27.7,0.1,Няксимволь
29,1936-01-29,-34.1,-31.4,-29.6,0.5,Няксимволь
30,1936-01-30,-38.6,-34.5,-31.8,0.3,Няксимволь
31,1936-01-31,-44.8,-39.2,-34.4,0,Няксимволь
33,1936-02-01,-37.9,-31.4,-28.3,0.4,Няксимволь
34,1936-02-02,-32,-28.2,-28,1.1,Няксимволь
35,1936-02-03,-24.3,-13.4,-9,0.9,Няксимволь
36,1936-02-04,-12.7,-9.8,-8.5,1.7,Няксимволь
37,1936-02-05,-8.8,-6.2,-4.9,1.8,Няксимволь
38,1936-02-06,-8,-4.2,-1.6,0,Няксимволь
39,1936-02-07,-19,-10.1,-2.5,1.7,Няксимволь
40,1936-02-08,-27,-23.8,-19,4.2,Няксимволь
41,1936-02-09,-28.8,-27,-25.5,3.5,Няксимволь
42,1936-02-10,-29,-26.8,-24.6,0.1,Няксимволь
43,1936-02-11,-35.6,-29.6,-26,2.5,Няксимволь
44,1936-02-12,-35.6,-26.5,-22.1,0,Няксимволь
45,1936-02-13,-29.3,-23.6,-20.8,0,Няксимволь
46,1936-02-14,-31,-23.6,-17.4,0.3,Няксимволь
47,1936-02-15,-18.1,-15.8,-15.6,1.6,Няксимволь
48,1936-02-16,-18.1,-14.4,-10.9,4.7,Няксимволь
49,1936-02-17,-12.3,-10.2,-8.3,0.4,Няксимволь
50,1936-02-18,-11.6,-9.6,-8.2,0.2,Няксимволь
51,1936-02-19,-11.7,-9.4,-8.6,0.6,Няксимволь
52,1936-02-20,-15.8,-10.9,-8,0.4,Няксимволь
53,1936-02-21,-27.5,-20.6,-12.7,0,Няксимволь
54,1936-02-22,-28.6,-20.8,-13.9,0,Няксимволь
55,1936-02-23,-27.8,-17.1,-7,0,Няксимволь
56,1936-02-24,-18.5,-12.4,-5,0,Няксимволь
57,1936-02-25,-20.3,-12.7,-6.8,0,Няксимволь
58,1936-02-26,-27,-14,-9,0,Няксимволь
59,1936-02-27,-25.9,-16.6,-8.1,0,Няксимволь
60,1936-02-28,-12.3,-9.7,-7.8,0,Няксимволь
61,1936-02-29,-25.6,-20.4,-9.6,1.4,Няксимволь
63,1936-03-01,-38,-25.4,-14.5,0,Няксимволь
64,1936-03-02,-15.2,-8.8,-3.7,0,Няксимволь
65,1936-03-03,-6.8,-2.8,2,0,Няксимволь
66,1936-03-04,-3.2,-0.2,3.3,0,Няксимволь
67,1936-03-05,-5.7,-3.9,-1.5,0.9,Няксимволь
68,1936-03-06,-22.5,-9.7,-3.2,0,Няксимволь
69,1936-03-07,-15.7,-10.4,-5,0,Няксимволь
70,1936-03-08,-22.4,-12.9,-4.6,0,Няксимволь
71,1936-03-09,-10.7,-9.1,-6.5,0.3,Няксимволь
72,1936-03-10,-18.6,-14.1,-9.2,4,Няксимволь
73,1936-03-11,-14.5,-9,0.4,0.4,Няксимволь
74,1936-03-12,-5.2,-2.8,0.2,0,Няксимволь
75,1936-03-13,-13.1,-9.6,-5.1,0,Няксимволь
76,1936-03-14,-18.5,-15,-8,0,Няксимволь
77,1936-03-15,-33.1,-19.6,-3.7,0,Няксимволь
78,1936-03-16,-25.6,-13.8,-0.2,0,Няксимволь
79,1936-03-17,-26.1,-10.8,0.5,0,Няксимволь
80,1936-03-18,-18.5,-9.2,-3,0,Няксимволь
81,1936-03-19,-8.8,-4,1.8,0,Няксимволь
82,1936-03-20,-4.2,-3.1,-1.2,0.3,Няксимволь
83,1936-03-21,-8.5,-6.6,-2.7,1,Няксимволь
