,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-2.8,-1.8,-0.5,1,Одесса
2,1900-01-02,-1.4,-0.4,0.4,0.3,Одесса
3,1900-01-03,-1.4,-0.4,-0.1,0.4,Одесса
4,1900-01-04,-0.4,3,4,0.5,Одесса
5,1900-01-05,0.5,2,5.5,0.3,Одесса
6,1900-01-06,-1.5,5.7,11.2,0,Одесса
7,1900-01-07,-3,-1,7.2,0,Одесса
8,1900-01-08,-7.7,-7.3,-3.3,0,Одесса
9,1900-01-09,-12.2,-10.1,-7.6,0,Одесса
10,1900-01-10,-14.2,-11.3,-8.9,0,Одесса
11,1900-01-11,-14.4,-12.9,-10.4,0,Одесса
12,1900-01-12,-16,-12.3,-9.2,0,Одесса
13,1900-01-13,-13.1,-8,-5.6,0,Одесса
14,1900-01-14,-5.7,-4.5,-4,0.1,Одесса
15,1900-01-15,-6.3,-5.1,-3.6,0,Одесса
16,1900-01-16,-4.5,-3,-1.8,0.8,Одесса
17,1900-01-17,-2.6,-1,-0.6,7.6,Одесса
18,1900-01-18,-4.7,-1.3,0.3,0,Одесса
19,1900-01-19,-2,1.4,2.7,0.7,Одесса
20,1900-01-20,-1.9,-0.1,2.2,7.1,Одесса
21,1900-01-21,-6,-4.1,-2,0,Одесса
22,1900-01-22,-5.4,-3.8,-2.2,0.2,Одесса
23,1900-01-23,-2.8,-2.1,-1.3,0,Одесса
24,1900-01-24,-6.1,-0.4,3.5,0.3,Одесса
25,1900-01-25,-0.2,1.6,3.5,0.1,Одесса
26,1900-01-26,0.1,0.8,2,3.1,Одесса
27,1900-01-27,0.2,1.1,2.4,0,Одесса
28,1900-01-28,-0.3,0.7,1.5,3.5,Одесса
29,1900-01-29,0.1,1.7,3.4,3.4,Одесса
30,1900-01-30,1.7,3.3,4.4,1.4,Одесса
31,1900-01-31,2.2,3.8,6.5,0,Одесса
33,1900-02-01,-0.5,2.5,8.9,0.4,Одесса
34,1900-02-02,-1.1,0.5,1.8,0.5,Одесса
35,1900-02-03,-0.5,0.2,2.2,0.5,Одесса
36,1900-02-04,-1.8,-1,0,0,Одесса
37,1900-02-05,-1.4,-0.2,0.4,0.6,Одесса
38,1900-02-06,-0.8,-0.1,0.4,0.8,Одесса
