,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1943-01-01,-45,-38.2,-34.2,0,Оймякон
2,1943-01-02,-41.5,-34.6,-30.1,0.1,Оймякон
3,1943-01-03,-30.6,-27.9,-27,0,Оймякон
4,1943-01-04,-41.1,-35.3,-27.9,0,Оймякон
5,1943-01-05,-45.5,-41.3,-37.7,0,Оймякон
6,1943-01-06,-47,-43.6,-37.7,0,Оймякон
7,1943-01-07,-47,-42.4,-40.2,0,Оймякон
8,1943-01-08,-50.5,-46.2,-40.2,0,Оймякон
9,1943-01-09,-44.3,-41,-39.2,0,Оймякон
10,1943-01-10,-44,-39.4,-36.9,4,Оймякон
11,1943-01-11,-54,-48.2,-43.3,0,Оймякон
12,1943-01-12,-58.2,-55.4,-53.1,0,Оймякон
13,1943-01-13,-57.7,-49.3,-45.8,0.1,Оймякон
14,1943-01-14,-45.8,-40.2,-37.7,0.8,Оймякон
15,1943-01-15,-45.5,-40.2,-36.4,0.4,Оймякон
16,1943-01-16,-46.5,-40.1,-37.2,0,Оймякон
17,1943-01-17,-37.4,-35.6,-35,0.2,Оймякон
18,1943-01-18,-43.2,-36.6,-33.7,0.5,Оймякон
19,1943-01-19,-49,-41.7,-35.2,0,Оймякон
20,1943-01-20,-50,-38.6,-35.5,0.2,Оймякон
21,1943-01-21,-37.5,-32,-30.6,0.5,Оймякон
22,1943-01-22,-30.8,-28.8,-28.3,4.4,Оймякон
23,1943-01-23,-44.5,-31.3,-26.1,1.4,Оймякон
24,1943-01-24,-53.3,-49.1,-42.9,0,Оймякон
25,1943-01-25,-54.3,-46.3,-40.2,0,Оймякон
26,1943-01-26,-44,-38.8,-35.4,0,Оймякон
27,1943-01-27,-47.5,-43.9,-40.8,0,Оймякон
28,1943-01-28,-49.5,-47.2,-42.8,0,Оймякон
29,1943-01-29,-49.1,-47.2,-44.4,0,Оймякон
30,1943-01-30,-51.2,-47.8,-44.8,0,Оймякон
31,1943-01-31,-50.1,-46.4,-44.6,0,Оймякон
33,1943-02-01,-53.6,-51,-49.8,0,Оймякон
34,1943-02-02,-54.1,-51.4,-50.3,0,Оймякон
35,1943-02-03,-54.4,-50.2,-47.5,0,Оймякон
36,1943-02-04,-51.1,-42.6,-40.2,0,Оймякон
37,1943-02-05,-52.8,-48.3,-40.2,0,Оймякон
38,1943-02-06,-53.3,-47.6,-43.3,0,Оймякон
39,1943-02-07,-53.9,-47.4,-42.9,0.2,Оймякон
40,1943-02-08,-52.7,-40.7,-31,0.3,Оймякон
41,1943-02-09,-36.4,-30.7,-27.8,1,Оймякон
42,1943-02-10,-42,-32.1,-26.2,0,Оймякон
43,1943-02-11,-43.9,-33.6,-31.5,0,Оймякон
44,1943-02-12,-38.8,-32.4,-30.7,0.1,Оймякон
45,1943-02-13,-44.6,-37.4,-34,0.1,Оймякон
46,1943-02-14,-50.1,-45.2,-40.5,0,Оймякон
47,1943-02-15,-55.5,-48.6,-42.4,0,Оймякон
48,1943-02-16,-55.1,-49.9,-44.8,0,Оймякон
49,1943-02-17,-55.5,-46.8,-39,0,Оймякон
50,1943-02-18,-39.9,-37.8,-35.7,0.1,Оймякон
51,1943-02-19,-50.6,-44.2,-39,0.1,Оймякон
52,1943-02-20,-53.9,-48.6,-44,0,Оймякон
53,1943-02-21,-53.3,-45.2,-38.3,0.3,Оймякон
54,1943-02-22,-44.1,-36.5,-31.8,0,Оймякон
55,1943-02-23,-45.9,-38.6,-31.8,0,Оймякон
56,1943-02-24,-51.1,-45.4,-36.5,0,Оймякон
57,1943-02-25,-50.1,-44.3,-38.7,0,Оймякон
58,1943-02-26,-52.7,-47.4,-39.9,0,Оймякон
59,1943-02-27,-53.8,-47.4,-39.7,0,Оймякон
60,1943-02-28,-54,-48.4,-40.9,0,Оймякон
62,1943-03-01,-55.3,-49.2,-41,0,Оймякон
63,1943-03-02,-54,-47.8,-39.7,0,Оймякон
64,1943-03-03,-53.7,-46.5,-39.2,0,Оймякон
65,1943-03-04,-54.7,-47.6,-37.9,0,Оймякон
66,1943-03-05,-53.7,-46.6,-37.9,0,Оймякон
67,1943-03-06,-50.7,-43.8,-37,0,Оймякон
68,1943-03-07,-49.3,-42,-33.1,0,Оймякон
69,1943-03-08,-46.5,-38.9,-26.8,0,Оймякон
70,1943-03-09,-45.7,-38.6,-30.1,0,Оймякон
71,1943-03-10,-47.5,-39.9,-26.1,0,Оймякон
72,1943-03-11,-46.4,-37.8,-25.5,0,Оймякон
73,1943-03-12,-46,-34,-23.5,0,Оймякон
74,1943-03-13,-43,-35.2,-23.6,0,Оймякон
75,1943-03-14,-42.8,-33.7,-20.1,0,Оймякон
76,1943-03-15,-36.9,-28.7,-20.5,0,Оймякон
77,1943-03-16,-42.1,-32.1,-22.5,3.5,Оймякон
78,1943-03-17,-42.5,-32.8,-18.4,0,Оймякон
79,1943-03-18,-33.7,-23.6,-17.8,0,Оймякон
80,1943-03-19,-27.8,-23.4,-13.1,0,Оймякон
81,1943-03-20,-28,-18.5,-10.5,0,Оймякон
82,1943-03-21,-31.2,-23.1,-12.1,0,Оймякон
