,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1915-01-01,-14.4,-11.8,-6.1,0.3,Октябрьская
2,1915-01-02,-14.5,-9,-4,0,Октябрьская
3,1915-01-03,-13.9,-5.9,-1,0,Октябрьская
4,1915-01-04,-9.8,-6.7,0.2,0.2,Октябрьская
5,1915-01-05,-16.9,-10.1,-5.1,0.9,Октябрьская
6,1915-01-06,-23.3,-16.5,-6.6,0.5,Октябрьская
7,1915-01-07,-21.6,-13.9,-9.1,1.5,Октябрьская
8,1915-01-08,-14.4,-11.3,-6.1,0,Октябрьская
9,1915-01-09,-29.3,-22.4,-5.6,0,Октябрьская
10,1915-01-10,-20.3,-13.1,-5.6,0,Октябрьская
11,1915-01-11,-14.4,-12.8,-8.1,0,Октябрьская
12,1915-01-12,-14.9,-10.1,-5.1,0.1,Октябрьская
13,1915-01-13,-14.9,-11.7,-5.6,0,Октябрьская
14,1915-01-14,-10.9,-4.7,0,0.3,Октябрьская
15,1915-01-15,-10.4,-8.3,-3.6,0,Октябрьская
16,1915-01-16,-11.9,-7.6,-3,0,Октябрьская
17,1915-01-17,-15.2,-12.6,-3.3,0,Октябрьская
18,1915-01-18,-19,-15.8,-8.6,0,Октябрьская
19,1915-01-19,-19,-13.1,-7.1,0,Октябрьская
20,1915-01-20,-21.8,-13.1,-5.3,1,Октябрьская
21,1915-01-21,-14.8,-6.1,0.5,0,Октябрьская
22,1915-01-22,-8,-5.3,2.5,1.7,Октябрьская
23,1915-01-23,-9.9,-8.3,-1.5,2.4,Октябрьская
24,1915-01-24,-24.8,-17.9,-8,0.9,Октябрьская
25,1915-01-25,-26.8,-19.2,-13.6,0.3,Октябрьская
26,1915-01-26,-15.9,-12.3,-7.6,0.1,Октябрьская
27,1915-01-27,-14.7,-12.8,-8.1,0.4,Октябрьская
28,1915-01-28,-18.4,-13.9,-8.1,0.1,Октябрьская
29,1915-01-29,-27.3,-13.9,-6.1,0,Октябрьская
30,1915-01-30,-8.9,-1.5,2.5,0.2,Октябрьская
31,1915-01-31,-9.4,-5.6,-0.8,0.2,Октябрьская
33,1915-02-01,-12.2,-11.9,-4,0.3,Октябрьская
34,1915-02-02,-14.2,-13.9,-8.6,0.3,Октябрьская
35,1915-02-03,-16.6,-8.1,-0.5,3,Октябрьская
36,1915-02-04,-16.2,-10.8,-0.5,0.6,Октябрьская
37,1915-02-05,-18.1,-13.6,-2.3,1.5,Октябрьская
38,1915-02-06,-10.2,-8.1,-2.5,2.5,Октябрьская
39,1915-02-07,-13.7,-10.4,-3.2,1.5,Октябрьская
40,1915-02-08,-14.7,-12.1,-4,2.7,Октябрьская
41,1915-02-09,-17.7,-12.3,-6.1,1.6,Октябрьская
42,1915-02-10,-16.2,-9.8,-2.5,0.4,Октябрьская
43,1915-02-11,-18.2,-15.5,-3.5,0.2,Октябрьская
44,1915-02-12,-21.6,-14.4,-6.1,0.2,Октябрьская
45,1915-02-13,-16.7,-7.6,-1.5,0.6,Октябрьская
46,1915-02-14,-7.8,-3.5,2.5,1.1,Октябрьская
47,1915-02-15,-16.2,-14.3,-4.6,0.1,Октябрьская
48,1915-02-16,-20.1,-15.9,-13.6,0.1,Октябрьская
49,1915-02-17,-22.6,-19.5,-13.1,0,Октябрьская
50,1915-02-18,-29,-21.9,-15.1,0.3,Октябрьская
51,1915-02-19,-35.6,-28.9,-16.4,0,Октябрьская
52,1915-02-20,-34.8,-24.3,-14.1,0,Октябрьская
53,1915-02-21,-20.1,-12.1,-5.6,0,Октябрьская
54,1915-02-22,-13.7,-11,-3.5,0,Октябрьская
55,1915-02-23,-19.2,-14.7,-4,0,Октябрьская
56,1915-02-24,-24.1,-13.3,-5.6,0,Октябрьская
57,1915-02-25,-17.2,-13.7,-8.1,0,Октябрьская
58,1915-02-26,-23,-21.6,-12.6,0,Октябрьская
59,1915-02-27,-27.1,-19.4,-9.6,0,Октябрьская
60,1915-02-28,-30.5,-20.3,-8.1,0,Октябрьская
62,1915-03-01,-20,-4.6,2,0,Октябрьская
63,1915-03-02,-8.1,-3.6,4.5,2,Октябрьская
64,1915-03-03,-12.6,-9,-1,0.1,Октябрьская
65,1915-03-04,-18.1,-9.1,-1,0.1,Октябрьская
66,1915-03-05,-14.6,-10.7,-2.5,0.1,Октябрьская
67,1915-03-06,-20,-9.7,-1,0,Октябрьская
68,1915-03-07,-11.6,-8.6,0,0,Октябрьская
69,1915-03-08,-15.1,-8.3,-2,0,Октябрьская
70,1915-03-09,-9.6,-6.5,-1.5,0,Октябрьская
71,1915-03-10,-13.1,-7.9,2,0,Октябрьская
72,1915-03-11,-13.1,-9,-1,0.2,Октябрьская
73,1915-03-12,-17.1,-10.3,-4,0,Октябрьская
74,1915-03-13,-11.1,-8.6,-6.1,0,Октябрьская
75,1915-03-14,-14.6,-8.5,-2.5,0.4,Октябрьская
76,1915-03-15,-10.6,-8,-5.1,1.5,Октябрьская
77,1915-03-16,-15.6,-11.9,-7.6,0.6,Октябрьская
78,1915-03-17,-18.6,-12.2,-9.1,0.6,Октябрьская
79,1915-03-18,-15.8,-12.9,-9.1,0.1,Октябрьская
80,1915-03-19,-24,-14.5,-5.6,0,Октябрьская
81,1915-03-20,-16.1,-11.8,-3.5,0.1,Октябрьская
82,1915-03-21,-18.6,-6.7,-1.5,0,Октябрьская
83,1915-03-22,-4.1,-1.6,-0.3,0,Октябрьская
84,1915-03-23,-6.6,-2.8,1,0,Октябрьская
85,1915-03-24,-13.6,-6,-0.8,0,Октябрьская
86,1915-03-25,-14.1,-4.7,-0.5,0,Октябрьская
87,1915-03-26,-14.6,-7.9,-1,0.1,Октябрьская
88,1915-03-27,-19.5,-10.5,-5,0.1,Октябрьская
89,1915-03-28,-19.5,-8.4,-4.5,0,Октябрьская
90,1915-03-29,-14.1,-10.4,-7.1,0,Октябрьская
91,1915-03-30,-23,-12,-5.6,0,Октябрьская
92,1915-03-31,-19.1,-7.6,-1,0,Октябрьская
94,1915-04-01,-10.1,-3.8,-0.2,0.2,Октябрьская
95,1915-04-02,-4.6,-3.1,-2,0,Октябрьская
96,1915-04-03,-7.4,-4,-1.5,0,Октябрьская
97,1915-04-04,-9.1,-5.3,-1.5,0,Октябрьская
98,1915-04-05,-10.6,-5.3,-1.5,0,Октябрьская
99,1915-04-06,-9.6,-5.8,-3,0.3,Октябрьская
100,1915-04-07,-10.6,-7.1,-1.5,0,Октябрьская
101,1915-04-08,-11.6,-1.1,1,0,Октябрьская
102,1915-04-09,-9.1,-3.5,-1,0.1,Октябрьская
103,1915-04-10,-8.1,-3,-0.5,0.3,Октябрьская
104,1915-04-11,-13.1,-5.5,-0.5,0.3,Октябрьская
105,1915-04-12,-7.6,-4.8,-3,0.1,Октябрьская
106,1915-04-13,-16.6,-7.4,-2.5,0.1,Октябрьская
107,1915-04-14,-4.6,-1.1,1,0.8,Октябрьская
108,1915-04-15,-6.6,-2.3,1.5,0.1,Октябрьская
109,1915-04-16,-6.1,-3.9,-2,0.3,Октябрьская
110,1915-04-17,-6.6,-3.1,0,4.9,Октябрьская
111,1915-04-18,-4.6,-2.9,-0.2,0,Октябрьская
112,1915-04-19,-10.6,-8.3,-4.6,0.1,Октябрьская
113,1915-04-20,-9.8,-7.8,-5,2.1,Октябрьская
114,1915-04-21,-12.1,-7,-5.2,1,Октябрьская
115,1915-04-22,-6.2,-4.6,-2.5,0,Октябрьская
116,1915-04-23,-12.1,-6.6,-1,0.1,Октябрьская
117,1915-04-24,-11.1,-5.7,-2,0,Октябрьская
118,1915-04-25,-8.1,-5.1,-3.5,1.3,Октябрьская
119,1915-04-26,-9.1,-5.7,-1.5,1,Октябрьская
120,1915-04-27,-13.1,-3.9,-1,0,Октябрьская
121,1915-04-28,-2.1,-0.7,0,8.1,Октябрьская
122,1915-04-29,-0.6,0.9,3,0.2,Октябрьская
123,1915-04-30,-5.1,-1.6,1.2,0,Октябрьская
125,1915-10-01,-0.3,7.4,13,0.9,Октябрьская
126,1915-10-02,6.8,9.3,10.5,1.1,Октябрьская
127,1915-10-03,5.4,7.7,11.6,9.1,Октябрьская
128,1915-10-04,-1.7,4.4,8.6,0,Октябрьская
129,1915-10-05,-3.3,6.7,10.8,4.7,Октябрьская
130,1915-10-06,3.4,7.8,10,1.4,Октябрьская
131,1915-10-07,2.2,7.7,9.5,6,Октябрьская
132,1915-10-08,5.8,6.8,9.5,1.4,Октябрьская
133,1915-10-09,4.9,6.1,7,0,Октябрьская
134,1915-10-11,0.2,3.8,6.5,0,Октябрьская
135,1915-10-12,0.3,2.9,3.5,1.6,Октябрьская
136,1915-10-13,0.6,2.7,5.6,0,Октябрьская
137,1915-10-14,-2.7,1.5,5.3,1.5,Октябрьская
138,1915-10-15,2.8,5.9,8.5,7,Октябрьская
139,1915-10-16,1.4,5.5,8.2,1.4,Октябрьская
140,1915-10-17,0.9,5.3,7.8,0.7,Октябрьская
141,1915-10-18,3.4,7.7,8.1,1,Октябрьская
142,1915-10-19,4.4,9.2,11.5,0.4,Октябрьская
143,1915-10-20,2,5.5,10.5,0.6,Октябрьская
144,1915-10-21,-1.8,-0.2,3.5,1,Октябрьская
145,1915-10-22,-3.2,-1.2,0.3,1,Октябрьская
146,1915-10-23,-4.2,-0.9,2.5,13.1,Октябрьская
147,1915-10-24,-0.7,-0.2,1.5,1.2,Октябрьская
148,1915-10-25,-3.2,-1.3,0,0.3,Октябрьская
149,1915-10-26,-2,-0.2,1.2,2.6,Октябрьская
150,1915-10-27,-8.2,-3.8,-0.2,0.2,Октябрьская
151,1915-10-28,-10.2,-6.1,-1.5,0.6,Октябрьская
152,1915-10-29,-11.7,-5.1,-1,0.6,Октябрьская
153,1915-10-30,-5.2,-1.9,0,2.1,Октябрьская
154,1915-10-31,-4.7,-2.4,-0.2,9.7,Октябрьская
156,1917-12-01,-3.3,-1.2,9.7,0,Октябрьская
157,1917-12-02,-3.5,-1.4,9.5,0.9,Октябрьская
158,1917-12-03,-10.9,-8.2,6,0,Октябрьская
159,1917-12-04,-12.5,-3.1,11.8,0,Октябрьская
160,1917-12-05,-1.7,2.5,12.4,9.5,Октябрьская
161,1917-12-06,-6.3,-3.6,11.8,0.8,Октябрьская
162,1917-12-07,-15.7,-11.7,2.5,0,Октябрьская
163,1917-12-08,-12.9,-1.9,9,0,Октябрьская
164,1917-12-09,-3.1,-0.5,9,0,Октябрьская
165,1917-12-10,-6,-3.6,8.4,0.4,Октябрьская
166,1917-12-11,-10,-7.7,3.2,0,Октябрьская
167,1917-12-12,-11.4,-7.7,2,0,Октябрьская
168,1917-12-13,-5.7,-0.1,10,0,Октябрьская
169,1917-12-14,-0.5,1,10.5,0,Октябрьская
170,1917-12-15,-1.1,0.3,10.4,0,Октябрьская
171,1917-12-16,-1.7,2.4,12.4,0,Октябрьская
172,1917-12-17,1.5,2.5,12.5,0,Октябрьская
173,1917-12-18,0.5,2.9,12.8,0,Октябрьская
174,1917-12-19,0.8,1.9,10.2,0,Октябрьская
175,1917-12-20,-1,0.5,9.6,0,Октябрьская
176,1917-12-21,-1.7,-0.4,9.5,0,Октябрьская
177,1917-12-22,-2,-0.2,9,0,Октябрьская
178,1917-12-23,-5,0.5,10.4,0,Октябрьская
