,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-26.7,-21.8,-19.1,0,Октябрьский Городок
2,1900-01-02,-21.8,-17.8,-13.4,0,Октябрьский Городок
3,1900-01-03,-15.1,-9.4,-8.4,2.1,Октябрьский Городок
4,1900-01-04,-11.4,-10.8,-8.7,2.1,Октябрьский Городок
5,1900-01-05,-24.9,-17.9,-9.9,0,Октябрьский Городок
6,1900-01-06,-26.2,-21.2,-18,6.9,Октябрьский Городок
7,1900-01-07,-18.9,-12,-8.7,0.7,Октябрьский Городок
8,1900-01-08,-20.2,-16.4,-13.6,0,Октябрьский Городок
9,1900-01-09,-24.7,-20.5,-16.5,0,Октябрьский Городок
10,1900-01-10,-26.7,-23.1,-18.5,0,Октябрьский Городок
11,1900-01-11,-25.7,-18.8,-14.1,0,Октябрьский Городок
12,1900-01-12,-22.7,-18.7,-16.1,0,Октябрьский Городок
13,1900-01-13,-23.7,-20.1,-17.1,0,Октябрьский Городок
14,1900-01-14,-24.2,-21.4,-18.5,0,Октябрьский Городок
15,1900-01-15,-22.4,-14.5,-12,0,Октябрьский Городок
16,1900-01-16,-18.7,-17.6,-13.8,0,Октябрьский Городок
17,1900-01-17,-20.2,-17.6,-15.9,0,Октябрьский Городок
18,1900-01-18,-20.7,-18.8,-16.4,0,Октябрьский Городок
19,1900-01-19,-24.8,-23.3,-18.7,0,Октябрьский Городок
20,1900-01-20,-26.1,-24,-21.9,0,Октябрьский Городок
21,1900-01-21,-26,-23.4,-21.6,0,Октябрьский Городок
22,1900-01-22,-27.2,-23.9,-21.4,0,Октябрьский Городок
23,1900-01-23,-23.3,-21.3,-18.9,0,Октябрьский Городок
24,1900-01-24,-22.8,-22.1,-18.3,0,Октябрьский Городок
25,1900-01-25,-22.9,-20.3,-18.7,0,Октябрьский Городок
26,1900-01-26,-19.2,-16.2,-15,0,Октябрьский Городок
27,1900-01-27,-16.1,-15.1,-14,0.9,Октябрьский Городок
28,1900-01-28,-25.7,-22,-15.1,0,Октябрьский Городок
29,1900-01-29,-25.6,-23.1,-22.2,0,Октябрьский Городок
30,1900-01-30,-25.7,-22.7,-21.2,0,Октябрьский Городок
31,1900-01-31,-24,-19.7,-17.6,0,Октябрьский Городок
33,1900-02-01,-22.9,-17,-14.6,0,Октябрьский Городок
34,1900-02-02,-20.6,-19,-14.7,0,Октябрьский Городок
35,1900-02-03,-20.6,-17.4,-15.1,0,Октябрьский Городок
36,1900-02-04,-15.2,-11.4,-9.9,0,Октябрьский Городок
37,1900-02-05,-19.7,-13.3,-9.8,0,Октябрьский Городок
38,1900-02-06,-22.2,-18.9,-17.5,0,Октябрьский Городок
39,1900-02-07,-24,-20,-17.7,0,Октябрьский Городок
40,1900-02-08,-20.3,-18.6,-15.8,0,Октябрьский Городок
41,1900-02-09,-24.2,-22.1,-18.5,0,Октябрьский Городок
42,1900-02-10,-26.9,-21.7,-14.2,0,Октябрьский Городок
43,1900-02-11,-27.9,-22,-17.6,0,Октябрьский Городок
44,1900-02-12,-24.1,-20.8,-17.8,0,Октябрьский Городок
45,1900-02-13,-24.7,-21.5,-18.4,0,Октябрьский Городок
46,1900-02-14,-28.8,-12.7,-4.2,0.9,Октябрьский Городок
47,1900-02-15,-11,-7.9,-2.5,3,Октябрьский Городок
48,1900-02-16,-10.8,-5.1,-2,0,Октябрьский Городок
49,1900-02-17,-24.4,-18.2,-0.4,0,Октябрьский Городок
50,1900-02-18,-25.4,-22.1,-19,0,Октябрьский Городок
51,1900-02-19,-28.2,-22.6,-16.3,0,Октябрьский Городок
52,1900-02-20,-28.7,-24.6,-20.9,0,Октябрьский Городок
53,1900-02-21,-27.2,-22.1,-19.7,0,Октябрьский Городок
54,1900-02-22,-24,-19.6,-13.7,0,Октябрьский Городок
55,1900-02-23,-20.7,-17.6,-14,0,Октябрьский Городок
56,1900-02-24,-18.7,-14.7,-11.2,0,Октябрьский Городок
57,1900-02-25,-16.7,-12.7,-9.7,0,Октябрьский Городок
58,1900-02-26,-19.7,-16.7,-11.4,0,Октябрьский Городок
59,1900-02-27,-20.9,-11.2,-5.9,0,Октябрьский Городок
60,1900-02-28,-7.8,-5.4,-1.1,0,Октябрьский Городок
62,1900-03-01,-10.4,-2.6,1.3,0,Октябрьский Городок
63,1900-03-02,-10.9,-4.3,-0.4,0,Октябрьский Городок
64,1900-03-03,-5,-3.4,-1.6,0,Октябрьский Городок
65,1900-03-04,-12.4,-8.6,-4.8,2,Октябрьский Городок
66,1900-03-05,-8.3,-4.8,-1.4,0,Октябрьский Городок
67,1900-03-06,-9.9,-3.3,-1.9,0,Октябрьский Городок
68,1900-03-07,-18.7,-14.2,-1.9,0,Октябрьский Городок
69,1900-03-08,-21.4,-14.6,-12.2,0.2,Октябрьский Городок
70,1900-03-09,-15.3,-12.4,-9.6,0,Октябрьский Городок
71,1900-03-10,-16.4,-13.3,-11,1.4,Октябрьский Городок
72,1900-03-11,-16.3,-5.3,-0.8,0.5,Октябрьский Городок
73,1900-03-12,-7.4,-3.1,0.7,0,Октябрьский Городок
74,1900-03-13,-3.6,-2.7,0.9,0.6,Октябрьский Городок
75,1900-03-14,-8.2,-4.6,-2.2,0.9,Октябрьский Городок
76,1900-03-15,-5.4,-3.1,-2.1,0,Октябрьский Городок
77,1900-03-16,-3.7,-1.5,1.5,0,Октябрьский Городок
78,1900-03-17,-9.1,-4.5,-0.9,0,Октябрьский Городок
79,1900-03-18,-12.4,-5.3,-0.4,0,Октябрьский Городок
80,1900-03-19,-15.3,-7.8,-3.9,0,Октябрьский Городок
81,1900-03-20,-14.2,-7.8,-1.3,0,Октябрьский Городок
82,1900-03-21,-13.3,-8.6,-4.6,0,Октябрьский Городок
83,1900-03-22,-14.3,-9.9,-8.7,0.3,Октябрьский Городок
84,1900-03-24,-9.7,-7.3,-5.6,0,Октябрьский Городок
85,1900-03-25,-9.4,-6.3,-3.7,0,Октябрьский Городок
86,1900-03-26,-6,-1.3,0.5,0,Октябрьский Городок
87,1900-03-27,-4.4,-2.1,1.9,0,Октябрьский Городок
88,1900-03-28,-7.2,-4.3,-2.7,3.7,Октябрьский Городок
89,1900-03-29,-3.2,-0.9,1.3,0,Октябрьский Городок
90,1900-03-30,-7.1,-1.4,3,0,Октябрьский Городок
91,1900-03-31,-12,-4.3,2.1,0,Октябрьский Городок
93,1900-04-01,-8.5,-3.7,-1.8,0,Октябрьский Городок
94,1900-04-02,-1.8,1,3.7,2.9,Октябрьский Городок
95,1900-04-03,-0.4,0.3,1,1.4,Октябрьский Городок
96,1900-04-04,-3.5,-1.6,0.9,0,Октябрьский Городок
97,1900-04-05,-8.7,-4.4,-0.1,0,Октябрьский Городок
98,1900-04-06,-11.3,-2.2,-0.3,0,Октябрьский Городок
99,1900-04-07,-1.3,0,1.8,2.2,Октябрьский Городок
100,1900-04-08,-2.1,0.2,3.7,0,Октябрьский Городок
101,1900-04-09,-2.4,1,3,0,Октябрьский Городок
102,1900-04-10,-0.6,1.2,3.3,0,Октябрьский Городок
103,1900-04-11,-4.9,-1.9,0.7,0,Октябрьский Городок
104,1900-04-12,-8.3,-1.5,1.4,0,Октябрьский Городок
105,1900-04-13,-2.5,0.8,3.5,0,Октябрьский Городок
106,1900-04-14,-0.5,2.6,4.5,0,Октябрьский Городок
107,1900-04-15,1.5,4.1,6.8,0,Октябрьский Городок
108,1900-04-16,2,4.4,8.3,0.9,Октябрьский Городок
109,1900-04-17,1.7,7.6,12.7,0,Октябрьский Городок
110,1900-04-18,-2.5,10.1,15,0,Октябрьский Городок
111,1900-04-19,2.2,7.4,12.4,0,Октябрьский Городок
112,1900-04-20,2.6,4.8,7.5,3.4,Октябрьский Городок
113,1900-04-21,-0.1,3.1,6.4,1.7,Октябрьский Городок
114,1900-04-22,3.6,8.4,12.4,5.1,Октябрьский Городок
115,1900-04-23,-0.4,2.2,7.7,0,Октябрьский Городок
116,1900-04-24,-2.5,1.7,5.8,0,Октябрьский Городок
117,1900-04-25,-2.1,3.1,6.7,0,Октябрьский Городок
118,1900-04-26,-0.5,3.2,6,1.5,Октябрьский Городок
119,1900-04-27,2.7,7.3,11.3,4.4,Октябрьский Городок
120,1900-04-28,1,5.7,9.3,0,Октябрьский Городок
121,1900-04-29,1,4.3,8.6,0.2,Октябрьский Городок
122,1900-04-30,-2.4,5.3,10.6,0,Октябрьский Городок
124,1900-05-01,2.1,9.8,15.2,0,Октябрьский Городок
125,1900-05-02,2.6,12.9,18.7,0,Октябрьский Городок
126,1900-05-03,5.1,11.9,21.3,0,Октябрьский Городок
127,1900-05-04,-0.5,5.8,11.3,0,Октябрьский Городок
128,1900-05-05,-0.5,9.9,17.3,0,Октябрьский Городок
129,1900-05-06,2.1,12.4,18.6,0,Октябрьский Городок
130,1900-05-07,4.9,15.1,20.8,0,Октябрьский Городок
131,1900-05-08,7.5,16.7,23.7,0,Октябрьский Городок
132,1900-05-09,7.7,18.7,25.9,0,Октябрьский Городок
133,1900-05-10,12.1,16,23.3,3.8,Октябрьский Городок
134,1900-05-11,12.6,15.2,19.6,9,Октябрьский Городок
135,1900-05-12,4.3,5.3,15.1,0,Октябрьский Городок
136,1900-05-13,-0.3,5.2,8.1,0,Октябрьский Городок
137,1900-05-14,1.3,8.1,16,0,Октябрьский Городок
138,1900-05-15,3.9,9.9,13.9,0,Октябрьский Городок
139,1900-05-16,3.5,12.1,18.4,0,Октябрьский Городок
140,1900-05-17,8.9,19.3,25.2,0,Октябрьский Городок
141,1900-05-18,15.2,21.4,28.1,0,Октябрьский Городок
142,1900-05-19,14.2,22.4,29.4,0,Октябрьский Городок
143,1900-05-20,14.9,24.2,29.8,0,Октябрьский Городок
144,1900-05-21,14.2,22,31.8,0,Октябрьский Городок
145,1900-05-22,8.6,13.4,18.8,0,Октябрьский Городок
146,1900-05-23,5.8,12.5,17.8,0,Октябрьский Городок
147,1900-05-24,5.3,12,16,1.3,Октябрьский Городок
148,1900-05-25,8.4,10.3,12.4,2.2,Октябрьский Городок
149,1900-05-26,6.4,10.6,15,2,Октябрьский Городок
150,1900-05-27,8.9,13,18.6,3.8,Октябрьский Городок
151,1900-05-28,10.9,16.3,21.5,0,Октябрьский Городок
152,1900-05-29,8,18.9,23.7,0,Октябрьский Городок
153,1900-05-30,11.5,18.5,24.2,0,Октябрьский Городок
154,1900-05-31,8.4,15.9,20.9,0,Октябрьский Городок
156,1900-06-01,8.3,13.6,18,0,Октябрьский Городок
157,1900-06-02,10.9,14.7,19.1,0,Октябрьский Городок
158,1900-06-03,6.3,16.1,22.7,0,Октябрьский Городок
159,1900-06-04,10.1,18.5,24.5,0,Октябрьский Городок
160,1900-06-05,7,12,18.3,0,Октябрьский Городок
161,1900-06-06,1.8,11.4,18.5,0,Октябрьский Городок
162,1900-06-07,2.5,17.2,23.1,0,Октябрьский Городок
163,1900-06-08,10.8,20.5,27.6,0,Октябрьский Городок
164,1900-06-09,13.2,23,27.3,0,Октябрьский Городок
165,1900-06-10,15.3,22.1,27.9,0,Октябрьский Городок
166,1900-06-11,14.9,21.4,27.6,0,Октябрьский Городок
167,1900-06-12,12.9,19.6,24,9.2,Октябрьский Городок
168,1900-06-13,13.7,16.1,19.7,16.9,Октябрьский Городок
169,1900-06-14,10.4,16.8,21.7,8.3,Октябрьский Городок
170,1900-06-15,8.1,15.6,21.3,0,Октябрьский Городок
171,1900-06-16,9.9,14.4,19,0,Октябрьский Городок
172,1900-06-17,10.9,19.9,25.6,1,Октябрьский Городок
173,1900-06-18,14.4,19.4,26.9,4.9,Октябрьский Городок
174,1900-06-19,11.4,16.7,19.9,0,Октябрьский Городок
175,1900-06-20,9.5,14.7,18.7,1.3,Октябрьский Городок
176,1900-06-21,10.9,14.7,19,0,Октябрьский Городок
177,1900-06-22,13.4,17.9,23,0,Октябрьский Городок
178,1900-06-23,9.6,14.9,20.6,0,Октябрьский Городок
179,1900-06-24,3,15.2,20.6,0,Октябрьский Городок
180,1900-06-25,6.5,16.8,21.6,10.7,Октябрьский Городок
181,1900-06-26,11.4,15.4,19.2,1.5,Октябрьский Городок
182,1900-06-27,10.4,15.1,20.5,0,Октябрьский Городок
183,1900-06-28,9.4,14.5,17.5,2.1,Октябрьский Городок
184,1900-06-29,11.8,16.7,20.5,0,Октябрьский Городок
185,1900-06-30,9,16.2,22.5,0,Октябрьский Городок
187,1900-07-01,9.3,19.7,24.8,0,Октябрьский Городок
188,1900-07-02,11.9,17,21.4,0,Октябрьский Городок
189,1900-07-03,9.6,18.9,24.4,0,Октябрьский Городок
190,1900-07-04,12.1,22,27.9,0,Октябрьский Городок
191,1900-07-05,13.4,22.5,28.9,0,Октябрьский Городок
192,1900-07-06,14.9,24.6,30.6,0,Октябрьский Городок
193,1900-07-07,16.9,23.4,29.3,0,Октябрьский Городок
194,1900-07-08,14.9,24.4,30.4,0,Октябрьский Городок
195,1900-07-09,16.6,25.8,30.9,0,Октябрьский Городок
196,1900-07-10,18.3,26.7,31.8,0,Октябрьский Городок
197,1900-07-11,14.6,29,34.9,0,Октябрьский Городок
198,1900-07-12,19.9,30.6,36.8,0,Октябрьский Городок
199,1900-07-13,20.4,25.9,33.4,0.4,Октябрьский Городок
200,1900-07-14,18.8,23.2,32.9,16.7,Октябрьский Городок
201,1900-07-15,12.3,14.6,19.3,0,Октябрьский Городок
202,1900-07-16,8.6,19,23.5,0,Октябрьский Городок
203,1900-07-17,13.2,18.9,25.3,1.2,Октябрьский Городок
204,1900-07-18,10.9,16.9,22.3,0.1,Октябрьский Городок
205,1900-07-19,11.4,21,26.1,8.9,Октябрьский Городок
206,1900-07-20,15.9,18.6,21.4,0,Октябрьский Городок
207,1900-07-21,14.4,19.4,24.2,2,Октябрьский Городок
208,1900-07-22,13.9,20.4,26.8,17.4,Октябрьский Городок
209,1900-07-23,12.1,15.1,19.5,0,Октябрьский Городок
210,1900-07-24,8.4,14.4,21,0,Октябрьский Городок
211,1900-07-25,8.7,17.9,23.5,0,Октябрьский Городок
212,1900-07-26,12.4,20.2,26.6,0,Октябрьский Городок
213,1900-07-27,10,19,23,0,Октябрьский Городок
214,1900-07-28,12.7,16.1,22.5,0,Октябрьский Городок
215,1900-07-29,6.7,13.7,18,0.5,Октябрьский Городок
216,1900-07-30,11,14.2,19,1.8,Октябрьский Городок
217,1900-07-31,9.5,13.3,16,0,Октябрьский Городок
219,1900-08-01,7,15.1,20,0,Октябрьский Городок
220,1900-08-02,5.5,18.7,24,0,Октябрьский Городок
221,1900-08-03,14.9,21,25.7,0,Октябрьский Городок
222,1900-08-04,14.9,21.2,25.7,0,Октябрьский Городок
223,1900-08-05,16.5,23.4,31.4,0,Октябрьский Городок
224,1900-08-06,14.7,23.9,31.6,0,Октябрьский Городок
225,1900-08-07,13.9,24.4,32.1,0,Октябрьский Городок
226,1900-08-08,16.8,23.5,27.9,0,Октябрьский Городок
227,1900-08-09,13.9,24.5,29.6,0,Октябрьский Городок
228,1900-08-10,14.9,25.2,34,0,Октябрьский Городок
229,1900-08-11,17.1,26.4,32.9,0,Октябрьский Городок
230,1900-08-12,15.9,26.9,33.8,0,Октябрьский Городок
231,1900-08-13,17.8,28.3,35.3,0,Октябрьский Городок
232,1900-08-14,16.5,24.8,31.2,0,Октябрьский Городок
233,1900-08-15,16.1,22.7,27.8,0,Октябрьский Городок
234,1900-08-16,9.9,13.4,20.1,0,Октябрьский Городок
235,1900-08-17,6.5,13.8,18.4,0,Октябрьский Городок
236,1900-08-18,8,13.4,17,0,Октябрьский Городок
237,1900-08-19,9.7,17.2,24.5,0,Октябрьский Городок
238,1900-08-20,9.8,21.3,27.6,0,Октябрьский Городок
239,1900-08-21,9.9,22.1,29.9,0,Октябрьский Городок
240,1900-08-22,12.4,16.8,22.2,0,Октябрьский Городок
241,1900-08-23,4.2,16.5,22,0,Октябрьский Городок
242,1900-08-24,7.4,19.8,27.2,0,Октябрьский Городок
243,1900-08-25,8.5,22.1,29.1,0,Октябрьский Городок
244,1900-08-26,12.4,23.2,32.6,0,Октябрьский Городок
245,1900-08-27,15.4,25.4,32,0,Октябрьский Городок
246,1900-08-28,17,22.9,29.8,0.8,Октябрьский Городок
247,1900-08-29,11.1,14.5,19.3,14,Октябрьский Городок
248,1900-08-30,6,8.2,11.9,0,Октябрьский Городок
249,1900-08-31,5.2,7.6,11,0,Октябрьский Городок
251,1900-09-01,-0.2,11.3,18.8,0.8,Октябрьский Городок
252,1900-09-02,8.9,14.7,20.2,0,Октябрьский Городок
253,1900-09-03,8.9,13,19.2,0,Октябрьский Городок
254,1900-09-04,10.9,16.7,22.5,0,Октябрьский Городок
255,1900-09-05,4.8,9.4,13.5,1,Октябрьский Городок
256,1900-09-06,1.6,11,18.3,0,Октябрьский Городок
257,1900-09-07,8.6,14,18.2,1.5,Октябрьский Городок
258,1900-09-08,6,9.2,12.4,0,Октябрьский Городок
259,1900-09-09,3.5,7.7,13.8,0,Октябрьский Городок
260,1900-09-10,3.2,8.9,14.6,0,Октябрьский Городок
261,1900-09-11,-1.7,10.8,17,0,Октябрьский Городок
262,1900-09-12,4.3,12,14.7,0,Октябрьский Городок
263,1900-09-13,-0.7,8.5,14.5,0,Октябрьский Городок
264,1900-09-14,3.2,9.1,10.7,3.3,Октябрьский Городок
265,1900-09-15,3.2,7.4,12.4,0,Октябрьский Городок
266,1900-09-16,1.1,5.8,10.1,1.9,Октябрьский Городок
267,1900-09-17,1.1,6.2,9.8,0.1,Октябрьский Городок
268,1900-09-18,2.6,4.9,7.8,1.3,Октябрьский Городок
269,1900-09-20,6,7.9,10.7,0,Октябрьский Городок
270,1900-09-21,7.4,10.8,14.6,0,Октябрьский Городок
271,1900-09-22,7.5,11,17.3,0,Октябрьский Городок
272,1900-09-23,4.5,13.5,18.7,0,Октябрьский Городок
273,1900-09-24,8.8,12.6,18.6,0,Октябрьский Городок
274,1900-09-25,1.6,10.4,19.5,0,Октябрьский Городок
275,1900-09-26,5,13.6,20.3,0,Октябрьский Городок
276,1900-09-27,8,14.9,21.6,0,Октябрьский Городок
277,1900-09-28,7.5,15.6,27.1,0,Октябрьский Городок
278,1900-09-29,8.9,16,24.3,0,Октябрьский Городок
279,1900-09-30,10.1,17.3,24.3,0,Октябрьский Городок
281,1900-10-01,8.8,15.8,23.1,0,Октябрьский Городок
282,1900-10-02,6.1,15.2,22.9,0,Октябрьский Городок
283,1900-10-03,10.9,15.2,23.1,0,Октябрьский Городок
284,1900-10-04,6,15.2,21.6,0,Октябрьский Городок
285,1900-10-05,8.9,16,22.5,0,Октябрьский Городок
286,1900-10-06,1.1,9.1,18.1,0,Октябрьский Городок
287,1900-10-07,1.3,11.2,21.7,0,Октябрьский Городок
288,1900-10-08,4.8,10.7,16.7,3.5,Октябрьский Городок
289,1900-10-09,3.3,5.9,9,2.2,Октябрьский Городок
290,1900-10-10,3,6.5,10.7,18.4,Октябрьский Городок
291,1900-10-11,4.6,7.4,11.8,0.1,Октябрьский Городок
292,1900-10-12,1.6,5.5,7.6,5.9,Октябрьский Городок
293,1900-10-13,3.4,3.8,5.5,0,Октябрьский Городок
294,1900-10-14,3.5,5.7,7.6,0,Октябрьский Городок
295,1900-10-15,2.1,9,15.4,0,Октябрьский Городок
296,1900-10-16,6.5,13.3,20.8,0,Октябрьский Городок
297,1900-10-17,7,12.1,18.4,0,Октябрьский Городок
298,1900-10-18,3.4,5.8,11.3,18.8,Октябрьский Городок
299,1900-10-19,2.5,4.7,8.8,0,Октябрьский Городок
300,1900-10-20,-0.1,4.7,10.8,0,Октябрьский Городок
301,1900-10-21,3,5,7.7,13.2,Октябрьский Городок
302,1900-10-22,2.9,3.5,5,0,Октябрьский Городок
303,1900-10-23,1,2.6,4,0,Октябрьский Городок
304,1900-10-24,-0.3,2.3,7.1,0,Октябрьский Городок
305,1900-10-25,-0.6,4.3,8.6,0,Октябрьский Городок
306,1900-10-26,-1.3,1.7,3.9,18.3,Октябрьский Городок
307,1900-10-27,1.6,4.3,5.7,7.4,Октябрьский Городок
308,1900-10-28,1.6,3.9,5.7,0.7,Октябрьский Городок
309,1900-10-29,2.1,2.8,4.8,0,Октябрьский Городок
310,1900-10-30,1.9,2.6,4.3,0.8,Октябрьский Городок
311,1900-10-31,0.6,2.9,4.6,0,Октябрьский Городок
313,1900-11-01,0.1,1.1,4,0,Октябрьский Городок
