,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-12-27,-47.5,-40.9,-36.7,0,Олекминск
2,1900-12-28,-50,-47.8,-46.9,0,Олекминск
3,1900-12-29,-49.5,-47.4,-45.9,0.1,Олекминск
4,1900-12-30,-47.5,-42.3,-40.8,0,Олекминск
5,1900-12-31,-40.8,-39.2,-38.2,0,Олекминск
7,1901-01-08,-48.5,-46.6,-43.9,0,Олекминск
8,1901-01-09,-49.3,-45.7,-43.2,0,Олекминск
9,1901-01-19,-44.6,-40.2,-38,0,Олекминск
10,1901-01-23,-45.6,-39.6,-37.1,0.5,Олекминск
11,1901-01-26,-50.4,-46.7,-42,0.3,Олекминск
12,1901-01-27,-48.8,-46.2,-43.7,0,Олекминск
13,1901-01-28,-53.6,-50.6,-48,0,Олекминск
14,1901-01-29,-55.8,-52.3,-49.7,0,Олекминск
15,1901-01-30,-51.8,-44.7,-41.1,0,Олекминск
17,1901-12-12,-42.7,-40.8,-38.6,0,Олекминск
18,1901-12-15,-42.4,-38.7,-36.3,0,Олекминск
19,1901-12-16,-47,-45.6,-44.1,0,Олекминск
20,1901-12-19,-45.8,-42.9,-40.3,0,Олекминск
21,1901-12-20,-44.2,-40.7,-39,0,Олекминск
22,1901-12-25,-47.5,-44.9,-42.5,0,Олекминск
23,1901-12-26,-49.8,-47.3,-45.8,0,Олекминск
24,1901-12-27,-48,-46.7,-45.4,0,Олекминск
25,1901-12-28,-47.4,-39.1,-37.1,0.1,Олекминск
26,1901-12-30,-41.9,-38.5,-36.6,0.1,Олекминск
27,1901-12-31,-42.8,-41.8,-39.9,0,Олекминск
29,1902-01-03,-47.6,-45.8,-43.1,0,Олекминск
30,1902-01-04,-48.4,-46.6,-44.3,0,Олекминск
31,1902-01-05,-48.2,-43.3,-41.5,0.6,Олекминск
32,1902-01-06,-46.3,-43.3,-40.8,0.2,Олекминск
33,1902-01-07,-50,-48,-46.2,0,Олекминск
34,1902-01-11,-47,-44.6,-42.8,0,Олекминск
35,1902-01-19,-42.2,-38.4,-36,0.3,Олекминск
36,1902-01-20,-45.1,-41.3,-38.7,0,Олекминск
37,1902-01-22,-45.4,-41.3,-39.9,0,Олекминск
38,1902-01-23,-44.2,-41.8,-38.7,0,Олекминск
39,1902-01-24,-47.4,-44.2,-40.7,0,Олекминск
40,1902-01-27,-49.1,-45.8,-42.2,0,Олекминск
41,1902-01-28,-48.8,-43.8,-41.9,0,Олекминск
42,1902-01-29,-46.4,-44.2,-41.9,0,Олекминск
43,1902-01-30,-46.5,-38.6,-36.2,0.5,Олекминск
45,1902-12-02,-41.2,-38.5,-36.8,0.5,Олекминск
46,1902-12-19,-49.1,-45.2,-42.4,0.5,Олекминск
47,1902-12-20,-50.3,-46.3,-45.8,0,Олекминск
48,1902-12-21,-48.2,-44.4,-39.7,1,Олекминск
49,1902-12-24,-45.2,-44,-42.4,0,Олекминск
50,1902-12-25,-46.3,-44.6,-42.8,0,Олекминск
51,1902-12-26,-46,-43.8,-42.4,0,Олекминск
52,1902-12-27,-45.3,-42.1,-40.1,0.1,Олекминск
53,1902-12-31,-40,-38.5,-36.4,0,Олекминск
55,1903-01-01,-41.4,-39.4,-36.8,0,Олекминск
56,1903-01-02,-42.6,-40.9,-39.5,0,Олекминск
57,1903-01-21,-45.3,-42.3,-38.9,0,Олекминск
58,1903-01-22,-47.7,-45.6,-43.9,0,Олекминск
59,1903-01-23,-46,-42.8,-41.6,0.2,Олекминск
61,1903-12-11,-49.1,-46.6,-44,0,Олекминск
62,1903-12-12,-52.6,-51.5,-49.9,0,Олекминск
63,1903-12-13,-53.8,-50.9,-48.4,0,Олекминск
64,1903-12-14,-52.6,-50.7,-49.1,0,Олекминск
65,1903-12-15,-51.9,-48.9,-47.5,0,Олекминск
66,1903-12-16,-52.6,-51.6,-49.9,0,Олекминск
67,1903-12-17,-53.7,-51.4,-50,0,Олекминск
68,1903-12-18,-52.6,-50.5,-48.9,0,Олекминск
69,1903-12-19,-51.1,-49,-48.4,0,Олекминск
70,1903-12-20,-48.6,-43,-40.1,0,Олекминск
71,1903-12-29,-42.6,-39.2,-37,0,Олекминск
72,1903-12-30,-45.4,-41.2,-38,0,Олекминск
74,1905-01-19,-47.5,-44.3,-41.7,0,Олекминск
75,1905-01-20,-51.7,-47.6,-45.1,0,Олекминск
76,1905-01-21,-48.9,-41.8,-38.1,0,Олекминск
78,1905-12-06,-44.5,-42.9,-40.2,0,Олекминск
79,1905-12-07,-46.5,-43.9,-41.1,0,Олекминск
80,1905-12-12,-44,-41.2,-37.3,0,Олекминск
81,1905-12-13,-45.5,-43.6,-41.3,0,Олекминск
