,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1937-04-01,-20.2,-12.6,-3.7,0,Оленек
2,1937-04-02,-17.5,-10.6,-6.7,0.1,Оленек
3,1937-04-03,-11.7,-7.8,-5,0.6,Оленек
4,1937-04-04,-18.3,-15.9,-9.5,0,Оленек
5,1937-04-05,-34.6,-20.7,-10.3,0.1,Оленек
6,1937-04-06,-14.3,-10.1,-5,0,Оленек
7,1937-04-07,-13.2,-6.6,-0.9,0,Оленек
8,1937-04-08,-21.8,-11.4,-0.3,0,Оленек
9,1937-04-09,-25.8,-14.7,-4.6,0,Оленек
10,1937-04-10,-18.2,-15.4,-10.7,0.1,Оленек
11,1937-04-11,-28.5,-18.2,-9.4,0,Оленек
12,1937-04-12,-12.5,-10.7,-8.4,2,Оленек
13,1937-04-13,-17.5,-14.6,-9.2,2.4,Оленек
14,1937-04-14,-31.6,-19.4,-12,0,Оленек
15,1937-04-15,-18.2,-15.4,-11.6,0.9,Оленек
16,1937-04-16,-25.9,-15.8,-9,0,Оленек
17,1937-04-17,-33.1,-18.4,-7,0,Оленек
18,1937-04-18,-18.1,-15.5,-10.1,0,Оленек
19,1937-04-19,-33.3,-22.9,-14,0,Оленек
20,1937-04-20,-34.2,-19.2,-7.9,0,Оленек
21,1937-04-21,-26.3,-13.2,-3.9,0,Оленек
22,1937-04-22,-12.7,-9.1,-6,0.5,Оленек
23,1937-04-23,-15.8,-11.4,-6.6,1.1,Оленек
24,1937-04-24,-13.2,-8.6,-4.1,0,Оленек
25,1937-04-25,-16.2,-7.6,-4.1,0,Оленек
26,1937-04-26,-20.7,-9.6,-2.3,0,Оленек
27,1937-04-27,-23.9,-9.6,2.3,0,Оленек
28,1937-04-28,-20.8,-6.6,4.6,0,Оленек
29,1937-04-29,-18.6,-5.6,4.5,0,Оленек
30,1937-04-30,-18.6,-4.4,8.5,0,Оленек
32,1937-05-01,-17.5,-3.4,7.8,0,Оленек
33,1937-05-02,-14.6,-1.3,7.3,0,Оленек
34,1937-05-03,-12,-0.4,8.5,0,Оленек
35,1937-05-04,-7.6,1.8,8.7,0,Оленек
36,1937-05-05,-3.4,5.1,9.2,0,Оленек
37,1937-05-06,3.7,5.8,7.5,6.3,Оленек
38,1937-05-07,-1.9,1.6,6.4,0.1,Оленек
39,1937-05-08,-4.5,-2.7,0.2,0.2,Оленек
40,1937-05-09,-8.4,-1.6,1.8,0,Оленек
41,1937-05-10,-7.8,-2.6,2.3,0,Оленек
42,1937-05-11,-10.3,-2.3,2,0,Оленек
43,1937-05-12,-3.2,2,5.5,0,Оленек
44,1937-05-13,-3.7,1.9,5.2,0,Оленек
45,1937-05-14,-7.1,1,7,0,Оленек
46,1937-05-15,-7.2,2.4,10,0,Оленек
47,1937-05-16,-1.6,7.9,14,0,Оленек
48,1937-05-17,-2.9,-0.8,12.4,3.2,Оленек
49,1937-05-18,-3.6,-0.2,3.1,0,Оленек
50,1937-05-19,-3.5,-0.4,1.9,0,Оленек
51,1937-05-20,-3.8,0.1,3.5,0,Оленек
52,1937-05-21,-3.4,2,6.3,0,Оленек
53,1937-05-22,-3.1,-1.6,5.3,0,Оленек
54,1937-05-23,-8.9,-4.6,0.6,4.1,Оленек
55,1937-05-24,-2.2,2.7,6.7,0,Оленек
56,1937-05-25,-5.2,-0.8,8.1,1.1,Оленек
57,1937-05-26,-8.8,-2.8,3.7,0,Оленек
58,1937-05-27,2.2,10.7,17.7,0,Оленек
59,1937-05-28,3.8,16.7,23.9,0,Оленек
60,1937-05-29,5.8,18.1,25.4,0,Оленек
61,1937-05-30,14.9,17,23.8,0,Оленек
62,1937-05-31,2.6,10,17.3,0,Оленек
64,1937-06-01,1.4,7.5,15.3,0,Оленек
65,1937-06-02,-0.9,10.3,17,0,Оленек
66,1937-06-03,2.7,13.4,20.2,0,Оленек
67,1937-06-04,2.5,14.5,22,0,Оленек
68,1937-06-05,3,16.6,26,0,Оленек
69,1937-06-06,5.1,15.6,23.9,0,Оленек
70,1937-06-07,1.1,13.1,25,0,Оленек
71,1937-06-08,9.4,17.4,25,0,Оленек
72,1937-06-09,6.4,9.6,19.2,13.7,Оленек
73,1937-06-10,0.1,2.6,6.7,12.7,Оленек
74,1937-06-11,0.4,3.1,4.8,0,Оленек
75,1937-06-12,-0.4,1.2,4.5,9.2,Оленек
76,1937-06-13,0.1,4,8,0.4,Оленек
77,1937-06-14,4.6,8.6,11.9,4.1,Оленек
78,1937-06-15,0.6,8.8,15.4,0.1,Оленек
79,1937-06-16,7.2,9.1,12.3,1.5,Оленек
80,1937-06-17,-0.4,7,11.6,0,Оленек
81,1937-06-18,3.3,5.3,9.9,0.4,Оленек
82,1937-06-19,1.4,3.6,6.5,0,Оленек
83,1937-06-20,1.1,5.1,10.3,6,Оленек
84,1937-06-21,-0.4,9.9,19.5,2.3,Оленек
85,1937-06-22,4.8,11.9,17.2,0.3,Оленек
86,1937-06-23,1.2,8,15.9,5.8,Оленек
87,1937-06-24,2.1,9.6,14.2,0,Оленек
88,1937-06-25,0,10.8,18,0,Оленек
89,1937-06-26,3.2,13.4,19.5,0,Оленек
90,1937-06-27,9.6,15.9,21.3,0,Оленек
91,1937-06-29,12.4,16.1,20.5,1.5,Оленек
92,1937-06-30,8.9,16.7,22.8,0,Оленек
94,1937-07-01,8.6,19.3,27.8,0,Оленек
95,1937-07-02,10.8,20.3,25.4,0,Оленек
96,1937-07-03,12.1,16.4,23.7,0,Оленек
97,1937-07-04,11.3,15.3,18.7,0,Оленек
98,1937-07-05,7.3,10.6,17,0.1,Оленек
99,1937-07-06,4.5,11.9,19.5,0,Оленек
100,1937-07-07,3,15,24,0,Оленек
101,1937-07-08,6.9,10.4,21.5,1.8,Оленек
102,1937-07-09,-1.6,7.8,14.3,1,Оленек
103,1937-07-10,3.9,8.4,11.6,1.2,Оленек
104,1937-07-11,0.6,9.2,15.7,0,Оленек
105,1937-07-12,3.7,6.2,10.5,0.9,Оленек
106,1937-07-13,-2.6,5.5,10.2,0,Оленек
107,1937-07-14,2.1,5,9.1,0.5,Оленек
108,1937-07-15,2,5.7,7.8,5.6,Оленек
109,1937-07-16,1.4,6.8,13.5,2,Оленек
110,1937-07-17,-1.2,9.8,17.3,1.3,Оленек
111,1937-07-18,9.7,13.8,19.8,10.2,Оленек
112,1937-07-19,8.5,16,22.7,0,Оленек
