,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1916-02-01,-18.7,-12.6,-9,0,Омск
2,1916-02-02,-17.3,-14.8,-8.1,0,Омск
3,1916-02-03,-19.1,-15.2,-12.8,1,Омск
4,1916-02-04,-23.5,-20.8,-14.1,0,Омск
5,1916-02-05,-20.2,-6.4,-4.5,2,Омск
6,1916-02-06,-20.6,-11,-6.5,0.1,Омск
7,1916-02-07,-32.4,-28.6,-22.5,0,Омск
8,1916-02-08,-32.5,-20.8,-13.5,0.8,Омск
9,1916-02-09,-13.6,-8.3,-7,0,Омск
10,1916-02-10,-9.8,-8.9,-6.9,0,Омск
11,1916-02-11,-14.8,-9.3,-6.5,0.6,Омск
12,1916-02-12,-22.2,-17.7,-12.3,0,Омск
13,1916-02-13,-23.1,-18.7,-14.9,0,Омск
14,1916-02-14,-21.6,-18.5,-12.9,0,Омск
15,1916-02-15,-21.4,-13.5,-7.5,0,Омск
16,1916-02-16,-20.9,-18.4,-15.8,0,Омск
17,1916-02-17,-23.8,-21,-14.5,0,Омск
18,1916-02-18,-26.4,-24.2,-19.5,0,Омск
19,1916-02-19,-25.9,-20.6,-16.3,0,Омск
20,1916-02-20,-26.4,-24.3,-15.8,0,Омск
21,1916-02-22,-29.6,-19.6,-14.9,0,Омск
22,1916-02-23,-21.7,-16.8,-14.1,0,Омск
23,1916-02-24,-20.5,-16,-13.2,0,Омск
24,1916-02-25,-21.6,-16.6,-10.4,0,Омск
25,1916-02-26,-21.5,-17.9,-14.3,0,Омск
26,1916-02-27,-23.3,-16.1,-12.2,0,Омск
27,1916-02-28,-17.7,-13.5,-9.5,0,Омск
28,1916-02-29,-19.2,-13.9,-7.3,0.5,Омск
30,1916-03-01,-24,-19.2,-13.5,0,Омск
31,1916-03-02,-29,-17.6,-12.4,0,Омск
32,1916-03-03,-25.1,-18.2,-14,0,Омск
33,1916-03-04,-15.2,-12.1,-9.2,0,Омск
34,1916-03-05,-17.9,-17.1,-7.8,0,Омск
35,1916-03-06,-21.1,-18.9,-14.9,0,Омск
36,1916-03-07,-24.5,-19.7,-13.8,0,Омск
37,1916-03-08,-25.3,-19.4,-12.6,0,Омск
38,1916-03-09,-26.5,-19.4,-9.5,0,Омск
39,1916-03-10,-21.2,-16.1,-8.4,0,Омск
40,1916-03-11,-29.8,-16.9,-10.8,0,Омск
41,1916-03-12,-22.4,-16.5,-9.3,0,Омск
42,1916-03-13,-21.5,-16.6,-10,0,Омск
43,1916-03-14,-19.8,-13.7,-6.5,0,Омск
44,1916-03-15,-18.1,-12.3,-6.2,0,Омск
45,1916-03-16,-22.2,-15.4,-7,0,Омск
46,1916-03-17,-18,-8.8,-5.6,0.2,Омск
47,1916-03-18,-18.8,-16.9,-7.1,0,Омск
48,1916-03-19,-18.8,-9.6,-7.1,0,Омск
49,1916-03-20,-12.7,-10,-5.2,0,Омск
50,1916-03-21,-13.8,-8.7,-4.6,0,Омск
51,1916-03-22,-12.3,-7.2,-2.1,0,Омск
52,1916-03-23,-15.1,-10.9,-5,0,Омск
53,1916-03-24,-15.2,-11.8,-5.5,0,Омск
54,1916-03-25,-19.5,-10.4,-2,0,Омск
55,1916-03-26,-14.9,-10.4,-2.5,0,Омск
56,1916-03-27,-13.8,-11.2,-5.9,0,Омск
57,1916-03-28,-20.4,-12.2,-4.2,0,Омск
58,1916-03-29,-21.8,-12,-4.3,0,Омск
59,1916-03-30,-18.4,-10.3,-2.6,0,Омск
60,1916-03-31,-15.4,-5.3,2,0,Омск
62,1916-04-02,-8.2,-2.9,1.5,0,Омск
63,1916-04-03,-5.7,-2.4,1.5,2.6,Омск
64,1916-04-04,-11.5,-6.8,1.6,4.6,Омск
65,1916-04-05,-3.8,-2,-0.2,0,Омск
66,1916-04-06,-6.4,-0.6,3.2,0,Омск
67,1916-04-07,-7.7,-2.5,0.4,0,Омск
68,1916-04-08,-1.6,0.5,4.2,0,Омск
69,1916-04-09,-6.6,-2.3,3.6,0,Омск
70,1916-04-10,-5.9,-0.9,3.5,0,Омск
71,1916-04-11,-3.3,0.7,5,0,Омск
72,1916-04-12,-2.4,-0.3,2.5,0,Омск
73,1916-04-13,-2.4,1.5,6.7,0,Омск
