,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-1.5,-0.4,0.4,0.2,Онега
2,1936-01-02,-0.5,0.8,2.3,0.2,Онега
3,1936-01-03,-5.1,-2.6,2.5,2.3,Онега
4,1936-01-04,-4.3,-1.6,0.4,8.9,Онега
5,1936-01-05,-0.2,0.6,1.2,7.5,Онега
6,1936-01-06,-6.6,-4.5,1.1,3,Онега
7,1936-01-07,-12,-9.2,-5.2,0.5,Онега
8,1936-01-08,-21.4,-17.4,-9.2,0,Онега
9,1936-01-09,-31.6,-27.7,-20.6,0.1,Онега
10,1936-01-10,-29.1,-19.3,-14.6,0,Онега
11,1936-01-11,-14.8,-8,-5.4,0.1,Онега
12,1936-01-12,-5.6,-3.6,-2.9,1,Онега
13,1936-01-13,-7.9,-5.8,-2.9,0,Онега
14,1936-01-14,-8.7,-7.8,-6.9,1.1,Онега
15,1936-01-15,-9.3,-5.8,-4.4,0.4,Онега
16,1936-01-16,-11.9,-8.6,-5.1,0.9,Онега
17,1936-01-17,-15.3,-11.1,-9.2,0.3,Онега
18,1936-01-18,-14.1,-11.4,-10.6,0.1,Онега
19,1936-01-19,-13.9,-12,-10.5,1.6,Онега
20,1936-01-20,-10.9,-9.4,-7.8,6.7,Онега
21,1936-01-21,-9.4,-4.9,-3.2,1.1,Онега
22,1936-01-22,-5.4,-4,-2.9,0.3,Онега
23,1936-01-23,-4.4,-1.9,0.9,5.3,Онега
24,1936-01-24,-9.8,-3.9,0.2,3.2,Онега
25,1936-01-25,-14.7,-13.8,-9.5,9.8,Онега
26,1936-01-26,-16.1,-14.8,-13.4,0.9,Онега
27,1936-01-27,-20.4,-15.4,-9.8,0.8,Онега
28,1936-01-28,-24.8,-17.7,-10.9,0,Онега
29,1936-01-29,-39,-32.8,-23.9,0,Онега
30,1936-01-30,-40.1,-30.4,-27,0.1,Онега
31,1936-01-31,-30.2,-24,-19.9,0,Онега
33,1936-02-01,-24.2,-18.4,-15.4,1.6,Онега
34,1936-02-02,-15.8,-11.5,-9.4,2.6,Онега
35,1936-02-03,-13.2,-10.8,-9.3,1.9,Онега
36,1936-02-04,-11.6,-7.4,-4.7,2.3,Онега
37,1936-02-05,-4.8,0.1,1.5,0.4,Онега
38,1936-02-06,-13,-9.8,0.9,0,Онега
