,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1915-08-01,12.6,20.3,26.1,0,Оренбург
2,1915-08-02,11.9,19.7,24.2,0,Оренбург
3,1915-08-03,13.8,20.6,27.5,24.8,Оренбург
4,1915-08-04,14.5,21.6,27.1,0,Оренбург
5,1915-08-05,13.8,22,28.6,0,Оренбург
6,1915-08-06,14.2,21.5,29,0,Оренбург
7,1915-08-07,16.2,18.8,21,20,Оренбург
8,1915-08-08,15.1,17.3,22.1,0,Оренбург
9,1915-08-09,9.8,16.3,21.7,0,Оренбург
10,1915-08-10,10.4,17.5,22.2,0,Оренбург
11,1915-08-11,10.2,17.1,21.3,0,Оренбург
12,1915-08-12,10.3,17.2,22,1.1,Оренбург
13,1915-08-13,14.3,18.1,21.9,3.2,Оренбург
14,1915-08-14,12.1,15.7,20.1,7.3,Оренбург
15,1915-08-15,11.4,15.5,21.3,0.3,Оренбург
16,1915-08-16,10.6,17.7,23.7,0,Оренбург
17,1915-08-17,11,17.7,24.4,6,Оренбург
18,1915-08-18,12.1,16.9,22.6,6,Оренбург
19,1915-08-19,10.4,18.6,24.5,6.4,Оренбург
20,1915-08-20,14.3,19.7,26.4,12.8,Оренбург
21,1915-08-21,14.4,17.5,22.5,0.7,Оренбург
22,1915-08-22,11,17.6,24,0,Оренбург
23,1915-08-23,11,19,25.5,4.4,Оренбург
24,1915-08-24,13,17,21.6,0,Оренбург
25,1915-08-25,11.6,14.7,18.4,0,Оренбург
26,1915-08-26,9.2,16,21.4,1.2,Оренбург
27,1915-08-27,10.7,15.3,20.8,0.1,Оренбург
28,1915-08-28,9.4,16.5,22.1,0,Оренбург
29,1915-08-29,10,18,24.5,0,Оренбург
30,1915-08-30,11,18.7,25,0,Оренбург
31,1915-08-31,13.3,20.1,26.7,0,Оренбург
33,1915-09-01,13.8,18.2,23.5,0,Оренбург
34,1915-09-02,16.1,21.3,27.7,0,Оренбург
35,1915-09-03,13.9,20.5,27.8,0,Оренбург
36,1915-09-04,12.4,19.1,25.2,0,Оренбург
37,1915-09-05,12.7,19.9,28.2,0,Оренбург
38,1915-09-06,12.3,19.3,26.8,0,Оренбург
39,1915-09-07,11.3,23.1,31,0,Оренбург
40,1915-09-08,15.4,19.1,24.3,0,Оренбург
41,1915-09-09,11.5,18.6,25.5,0,Оренбург
42,1915-09-10,12.1,15.1,19.4,4.2,Оренбург
43,1915-09-11,5.9,8.6,13.4,0.4,Оренбург
44,1915-09-12,1.2,9.3,18,0,Оренбург
45,1915-09-13,5.6,10.1,14,1.1,Оренбург
46,1915-09-14,3.5,11.2,16,1.4,Оренбург
47,1915-09-15,0.1,10.5,18,0,Оренбург
48,1915-09-16,1.6,11.8,20,0,Оренбург
49,1915-09-17,5.5,12.1,17.9,1.5,Оренбург
50,1915-09-18,10.6,15.1,20.8,0,Оренбург
51,1915-09-19,8,16.6,21,12.2,Оренбург
52,1915-09-20,9,11.6,17.4,0,Оренбург
53,1915-09-21,6,10,12.6,0,Оренбург
54,1915-09-22,4.6,8.4,14.4,0,Оренбург
55,1915-09-23,0.1,5.6,11.3,0,Оренбург
56,1915-09-24,2.1,4.4,10.1,0,Оренбург
57,1915-09-25,-1,7.8,14.6,0,Оренбург
58,1915-09-26,5.6,12.8,17.5,0.1,Оренбург
59,1915-09-27,8.9,13.9,20.5,0,Оренбург
60,1915-09-28,5.6,12.4,21,0,Оренбург
61,1915-09-29,3.6,11.6,20.7,0,Оренбург
62,1915-09-30,4.7,13.7,22,0,Оренбург
64,1915-10-01,6.6,14.4,20.5,0,Оренбург
