,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1926-10-01,-12.5,-5.4,-4.4,6.9,Остров Врангеля
2,1926-10-03,-14,-4.7,-3.8,3.5,Остров Врангеля
3,1926-10-04,-10,-6.5,-4,4.5,Остров Врангеля
4,1926-10-05,-10,-7.5,-6.2,0,Остров Врангеля
5,1926-10-06,-10.5,-7.4,-7.2,5,Остров Врангеля
6,1926-10-07,-12,-8.5,-5.7,4.5,Остров Врангеля
7,1926-10-08,-11.4,-6,-1.8,5.2,Остров Врангеля
8,1926-10-09,-8,-2.3,-0.3,1.2,Остров Врангеля
9,1926-10-10,-6.5,-3.5,-2.2,7.8,Остров Врангеля
10,1926-10-11,-14.5,-7.9,-1.3,5.4,Остров Врангеля
11,1926-10-12,-14,-7.9,-4.8,5.4,Остров Врангеля
12,1926-10-13,-6,-0.5,-0.2,3.6,Остров Врангеля
13,1926-10-14,-2.5,0.4,0.8,1.6,Остров Врангеля
14,1926-10-15,-2.5,0.3,1.2,2.4,Остров Врангеля
15,1926-10-16,-6,-2.3,-0.4,1.9,Остров Врангеля
16,1926-10-17,-9,-4.8,-3.8,3.1,Остров Врангеля
17,1926-10-18,-6,-3.6,-1.8,1.6,Остров Врангеля
18,1926-10-19,-6,-2.7,-0.8,0.6,Остров Врангеля
19,1926-10-20,-6,-3.5,-2.8,0.8,Остров Врангеля
20,1926-10-21,-6,-3.9,-2.8,2.6,Остров Врангеля
21,1926-10-22,-4,-2.2,-1.3,7.3,Остров Врангеля
22,1926-10-23,-4.5,-1.5,-0.8,11.3,Остров Врангеля
23,1926-10-24,-6,-3.7,-1.3,0.9,Остров Врангеля
24,1926-10-25,-9.5,-6.8,-4.3,4.5,Остров Врангеля
25,1926-10-26,-10,-6.5,-4.8,0.2,Остров Врангеля
26,1926-10-27,-14,-10.9,-7.4,0,Остров Врангеля
27,1926-10-28,-14,-12,-10.6,0,Остров Врангеля
28,1926-10-29,-15,-10.9,-9.7,0,Остров Врангеля
29,1926-10-30,-15,-7.1,-4.7,1.2,Остров Врангеля
30,1926-10-31,-12.5,-5.8,-2.3,1.2,Остров Врангеля
32,1926-11-01,-16.7,-12.9,-10.2,0.6,Остров Врангеля
33,1926-11-02,-19,-13.5,-10.6,1.4,Остров Врангеля
34,1926-11-03,-12.4,-6.9,-4.7,1.5,Остров Врангеля
35,1926-11-04,-5.8,-5.4,-4.7,2.3,Остров Врангеля
36,1926-11-05,-5.8,-4.5,-3.3,4.3,Остров Врангеля
37,1926-11-06,-3.9,-2.1,-0.6,3.2,Остров Врангеля
38,1926-11-07,-17.4,-12.3,-2.8,0,Остров Врангеля
39,1926-11-08,-17.4,-8.7,-6.2,0,Остров Врангеля
40,1926-11-09,-17.8,-11.2,-4.7,0,Остров Врангеля
41,1926-11-10,-22.8,-11.7,-10.2,0,Остров Врангеля
42,1926-11-11,-12.9,-10.4,-9.2,0.5,Остров Врангеля
43,1926-11-12,-11.9,-10.3,-9.7,2.7,Остров Врангеля
44,1926-11-13,-11,-9.8,-7.7,6.7,Остров Врангеля
45,1926-11-14,-16.8,-9.5,-5.2,0,Остров Врангеля
46,1926-11-15,-19.6,-16.9,-14.2,0,Остров Врангеля
47,1926-11-16,-23.5,-21.4,-19.6,0.4,Остров Врангеля
48,1926-11-17,-20.4,-5.4,-1.8,0,Остров Врангеля
49,1926-11-18,-9.3,-3.1,0.2,0.3,Остров Врангеля
50,1926-11-19,-18.4,-12.8,-9.2,0,Остров Врангеля
51,1926-11-20,-26.4,-23.5,-18.4,0,Остров Врангеля
52,1926-11-21,-26.4,-4.1,-1.8,0,Остров Врангеля
53,1926-11-22,-14.2,-12.7,-2.5,0,Остров Врангеля
54,1926-11-23,-12.6,-6.8,-3.3,0,Остров Врангеля
55,1926-11-24,-7.7,-5.8,-3.6,0,Остров Врангеля
56,1926-11-25,-12.4,-9.3,-5.6,0,Остров Врангеля
57,1926-11-26,-13.4,-6.9,-4.6,1.3,Остров Врангеля
58,1926-11-27,-18.6,-13.6,-4.6,0,Остров Врангеля
59,1926-11-28,-28,-22.5,-18.6,0,Остров Врангеля
60,1926-11-29,-21,-13.6,-11.2,0,Остров Врангеля
61,1926-11-30,-16.8,-12.1,-6.7,0,Остров Врангеля
63,1926-12-01,-22.4,-17.9,-14.2,0,Остров Врангеля
64,1926-12-02,-27,-19.9,-16.6,1.4,Остров Врангеля
65,1926-12-03,-17.5,-11,-8.7,0.8,Остров Врангеля
66,1926-12-04,-41.2,-27.8,-11.9,0,Остров Врангеля
67,1926-12-05,-43.1,-34.4,-32.2,0,Остров Врангеля
68,1926-12-06,-44.9,-34.6,-29.6,0,Остров Врангеля
69,1926-12-07,-37.4,-25.3,-19.6,0,Остров Врангеля
70,1926-12-08,-32.7,-29.5,-19.9,2.9,Остров Врангеля
71,1926-12-09,-36.4,-25.2,-19.1,0.8,Остров Врангеля
72,1926-12-10,-31.2,-22.2,-21.5,0,Остров Врангеля
73,1926-12-11,-23.7,-21.9,-20.1,0,Остров Врангеля
74,1926-12-12,-21.7,-17.4,-14.6,0.8,Остров Врангеля
75,1926-12-13,-22.7,-20,-14.6,0.2,Остров Врангеля
76,1926-12-14,-52.5,-29.4,-17.6,19.7,Остров Врангеля
77,1926-12-15,-57.7,-45.9,-33.6,3.3,Остров Врангеля
78,1926-12-16,-57.7,-25.8,-24.6,0,Остров Врангеля
79,1926-12-17,-49.7,-32.1,-22.3,0.8,Остров Врангеля
80,1926-12-18,-49.2,-18.2,-16.6,0.6,Остров Врангеля
81,1926-12-19,-24.2,-21.3,-17,0,Остров Врангеля
