,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-28,-24.9,-20.4,0,Остров Диксон
2,1936-01-02,-24.5,-22.8,-21.1,1.9,Остров Диксон
3,1936-01-03,-31,-19.5,-14.6,0,Остров Диксон
4,1936-01-04,-23,-19.8,-14.8,0,Остров Диксон
5,1936-01-05,-27.3,-23.2,-20.5,1.1,Остров Диксон
6,1936-01-06,-24.9,-22.2,-20.5,0,Остров Диксон
7,1936-01-07,-31.8,-27.7,-23.6,0,Остров Диксон
8,1936-01-08,-31.6,-27.8,-23.3,0,Остров Диксон
9,1936-01-09,-31.2,-26.3,-24.5,0.1,Остров Диксон
10,1936-01-10,-34.3,-29.8,-24.6,0.3,Остров Диксон
11,1936-01-11,-37.5,-35.4,-33.4,0,Остров Диксон
12,1936-01-12,-33.6,-25.6,-21.3,0,Остров Диксон
13,1936-01-13,-21.9,-19,-15.6,0.1,Остров Диксон
14,1936-01-14,-21.8,-16.6,-11.6,0.3,Остров Диксон
15,1936-01-15,-32.7,-29.6,-21.3,0,Остров Диксон
16,1936-01-16,-32.5,-27.3,-24.1,0,Остров Диксон
17,1936-01-17,-32.2,-29,-24.1,0,Остров Диксон
18,1936-01-18,-35.9,-33.1,-30.5,0,Остров Диксон
19,1936-01-19,-38.2,-35.8,-32.5,0,Остров Диксон
20,1936-01-20,-39.5,-35.6,-33.6,0.5,Остров Диксон
21,1936-01-21,-44.1,-42.4,-39,0,Остров Диксон
22,1936-01-22,-45.9,-45.3,-44.1,0,Остров Диксон
23,1936-01-23,-46,-44,-42.8,0,Остров Диксон
24,1936-01-24,-45.4,-44.4,-42.8,0,Остров Диксон
25,1936-01-25,-44.9,-43.3,-42.4,0,Остров Диксон
26,1936-01-26,-42.4,-38.9,-36.3,0,Остров Диксон
27,1936-01-27,-39.6,-37.1,-35.4,0,Остров Диксон
28,1936-01-28,-41.3,-40.2,-38.8,0,Остров Диксон
29,1936-01-29,-41.5,-38.6,-37.1,0,Остров Диксон
30,1936-01-30,-38.9,-33.3,-29.8,1.1,Остров Диксон
31,1936-01-31,-35.4,-31,-27.8,0.6,Остров Диксон
33,1936-02-01,-32.6,-31.6,-30.9,0.1,Остров Диксон
34,1936-02-02,-35.1,-33,-29.7,0.3,Остров Диксон
35,1936-02-03,-34.6,-32.1,-30.8,0,Остров Диксон
36,1936-02-04,-34.7,-30.6,-27.2,0,Остров Диксон
37,1936-02-05,-32.8,-29.7,-26.1,0,Остров Диксон
38,1936-02-06,-35.3,-33.2,-27.6,0,Остров Диксон
39,1936-02-07,-36.7,-35.3,-32.3,0.2,Остров Диксон
40,1936-02-08,-37.8,-35.6,-33.5,0,Остров Диксон
41,1936-02-09,-41.9,-39.8,-33.3,0,Остров Диксон
42,1936-02-10,-42.4,-39.5,-38.4,0,Остров Диксон
43,1936-02-11,-39.2,-34.6,-31.8,0,Остров Диксон
44,1936-02-12,-38.8,-35.4,-30.3,0,Остров Диксон
45,1936-02-13,-33.6,-30.1,-25.6,0.2,Остров Диксон
46,1936-02-14,-37.8,-35.7,-33,0,Остров Диксон
47,1936-02-15,-37.8,-34.6,-31.3,0,Остров Диксон
48,1936-02-16,-32.4,-17,-12.1,0,Остров Диксон
49,1936-02-17,-20.3,-18,-11.9,0,Остров Диксон
50,1936-02-18,-23.4,-21,-17.3,0,Остров Диксон
51,1936-02-19,-24.9,-20.2,-14.3,0.1,Остров Диксон
52,1936-02-20,-20.5,-17.8,-13.1,0.2,Остров Диксон
53,1936-02-21,-17.3,-12.2,-9.9,1.1,Остров Диксон
54,1936-02-22,-21,-18.4,-12.4,0,Остров Диксон
55,1936-02-23,-23.1,-19.4,-16.6,0,Остров Диксон
56,1936-02-24,-20.3,-19.7,-17.8,0,Остров Диксон
57,1936-02-25,-23.5,-22.4,-19.1,0.3,Остров Диксон
58,1936-02-26,-26.9,-23.9,-20.8,0.3,Остров Диксон
59,1936-02-27,-27.5,-21.9,-17.7,0.1,Остров Диксон
60,1936-02-28,-27.8,-23.1,-20.5,0,Остров Диксон
61,1936-02-29,-27.9,-24.4,-21.8,0,Остров Диксон
63,1936-03-01,-35.2,-33.5,-23.4,0,Остров Диксон
64,1936-03-02,-35.7,-28.2,-23.5,0.2,Остров Диксон
65,1936-03-03,-29.5,-27.7,-23.3,0,Остров Диксон
66,1936-03-04,-26.4,-15.7,-4.3,0,Остров Диксон
67,1936-03-05,-17.7,-12.4,-6.6,0.1,Остров Диксон
68,1936-03-06,-26.4,-22.6,-12.5,0.1,Остров Диксон
69,1936-03-07,-28.1,-26.5,-23.2,0.1,Остров Диксон
70,1936-03-08,-30.1,-28.1,-26.9,0,Остров Диксон
71,1936-03-09,-32.2,-30.8,-28.7,0,Остров Диксон
72,1936-03-10,-34.6,-32.3,-29.8,0,Остров Диксон
73,1936-03-11,-37.8,-35.3,-30.1,0,Остров Диксон
74,1936-03-12,-36.3,-32.8,-27.3,0,Остров Диксон
75,1936-03-13,-36.2,-32.4,-29.9,0,Остров Диксон
76,1936-03-14,-31.1,-21.3,-17.5,0,Остров Диксон
77,1936-03-15,-29.7,-20.6,-11.5,0,Остров Диксон
78,1936-03-16,-30.1,-24.8,-23.4,0.6,Остров Диксон
79,1936-03-17,-27,-20.8,-14,3.4,Остров Диксон
80,1936-03-18,-34.6,-29.8,-24.4,0.1,Остров Диксон
81,1936-03-19,-23,-17.2,-14.5,1,Остров Диксон
82,1936-03-20,-18.9,-17.5,-15.6,0,Остров Диксон
83,1936-03-21,-21.5,-19.8,-18.1,0,Остров Диксон
84,1936-03-22,-22.8,-18.1,-13.3,0,Остров Диксон
85,1936-03-23,-24.4,-22.2,-16.9,0,Остров Диксон
86,1936-03-24,-25.7,-24.5,-22.3,0.1,Остров Диксон
87,1936-03-25,-26.7,-24.8,-22.3,0.3,Остров Диксон
88,1936-03-26,-33.1,-29.6,-26.3,0,Остров Диксон
89,1936-03-27,-27.5,-21.1,-15.8,0,Остров Диксон
90,1936-03-28,-28.5,-26.2,-19.5,0,Остров Диксон
91,1936-03-29,-24.4,-20.6,-19.5,0.1,Остров Диксон
92,1936-03-30,-25.3,-23,-20.2,0,Остров Диксон
93,1936-03-31,-28.4,-23.7,-17.7,0,Остров Диксон
95,1936-04-01,-23.4,-20.2,-15.4,0,Остров Диксон
96,1936-04-02,-17.2,-14,-11.3,0,Остров Диксон
97,1936-04-03,-15.8,-14.5,-12.5,0,Остров Диксон
98,1936-04-04,-18.8,-14.6,-11.1,0,Остров Диксон
99,1936-04-05,-16.7,-12.1,-8.5,0,Остров Диксон
100,1936-04-06,-10.9,-8.4,-6.4,0,Остров Диксон
101,1936-04-07,-18.3,-9.2,-5.7,0,Остров Диксон
102,1936-04-08,-8.7,-5.5,-3.7,0,Остров Диксон
103,1936-04-09,-11.4,-8.7,-5.1,0,Остров Диксон
104,1936-04-10,-15.8,-6.7,-4.5,0,Остров Диксон
105,1936-04-11,-12.8,-9.1,-7.1,0,Остров Диксон
106,1936-04-12,-14.6,-9.7,-5.3,0,Остров Диксон
107,1936-04-13,-10.8,-4.6,-2.2,0.2,Остров Диксон
108,1936-04-14,-20.8,-13.3,-7.4,0.5,Остров Диксон
109,1936-04-15,-16.7,-12.2,-7.6,1,Остров Диксон
110,1936-04-16,-17.8,-15.4,-12.3,0,Остров Диксон
111,1936-04-17,-20.3,-17.1,-14.7,0,Остров Диксон
112,1936-04-18,-23.6,-21.2,-17.7,0.1,Остров Диксон
113,1936-04-19,-28,-20.4,-12,0,Остров Диксон
114,1936-04-20,-21.4,-18.4,-15.9,0.5,Остров Диксон
115,1936-04-21,-24.3,-18.2,-15,0,Остров Диксон
116,1936-04-22,-17.3,-16,-14.3,0,Остров Диксон
117,1936-04-23,-21.3,-16.9,-14.5,0,Остров Диксон
118,1936-04-24,-18.9,-13.3,-9.5,0,Остров Диксон
119,1936-04-25,-10.3,-4.9,-1.3,1,Остров Диксон
120,1936-04-26,-15.8,-13.7,-5.7,0,Остров Диксон
121,1936-04-27,-16.2,-14.4,-12.1,0,Остров Диксон
122,1936-04-28,-19.7,-16,-14,0,Остров Диксон
123,1936-04-29,-17.3,-13.9,-9.1,0,Остров Диксон
124,1936-04-30,-9.2,-6,-3.7,5.9,Остров Диксон
126,1936-05-01,-12.9,-11.3,-8.1,0.4,Остров Диксон
127,1936-05-02,-19.6,-15.6,-12.3,0,Остров Диксон
128,1936-05-03,-15.4,-13.4,-10.7,0.3,Остров Диксон
129,1936-05-04,-15.6,-14.2,-12.1,0.2,Остров Диксон
130,1936-05-05,-14.5,-11.4,-8.4,0,Остров Диксон
131,1936-05-06,-9.5,-4.8,-0.8,0,Остров Диксон
