,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1912-02-01,-37.5,-34.1,-29.5,0,Охотск
2,1912-02-02,-37.5,-32.8,-28.5,0,Охотск
3,1912-02-03,-34,-31.2,-27.2,0,Охотск
4,1912-02-04,-35,-29.4,-23.9,0,Охотск
5,1912-02-05,-31.4,-24.2,-20,0,Охотск
6,1912-02-06,-27.1,-22.1,-18.7,0.2,Охотск
7,1912-02-07,-30,-17.4,-15,2,Охотск
8,1912-02-08,-20.2,-13.5,-8.6,1.1,Охотск
9,1912-02-09,-9.9,-6,-4,0,Охотск
10,1912-02-10,-13.4,-7.5,-4.9,0,Охотск
11,1912-02-11,-11.1,-9,-7.3,0,Охотск
12,1912-02-12,-19.7,-15.5,-10.7,0,Охотск
13,1912-02-13,-24,-20.8,-16.1,0,Охотск
14,1912-02-14,-28,-18.8,-12.2,0,Охотск
15,1912-02-15,-22.2,-18.9,-13.2,1,Охотск
16,1912-02-16,-28,-24,-20.7,0,Охотск
17,1912-02-17,-30,-25.3,-20.5,0,Охотск
18,1912-02-18,-28,-25,-20.5,0,Охотск
19,1912-02-19,-31.6,-25.5,-20.6,0,Охотск
20,1912-02-20,-31,-26,-23.4,0,Охотск
21,1912-02-21,-29.6,-23.6,-19.1,0,Охотск
22,1912-02-22,-29.5,-26.2,-21.2,0,Охотск
23,1912-02-23,-33.1,-28.7,-23,0,Охотск
24,1912-02-24,-32.2,-24.2,-15.9,0,Охотск
25,1912-02-25,-27.5,-21.6,-19.3,0,Охотск
26,1912-02-26,-21.4,-17.4,-16.6,0,Охотск
27,1912-02-27,-22.1,-16.8,-14.8,0,Охотск
28,1912-02-28,-28.3,-19.9,-13.8,0,Охотск
29,1912-02-29,-25.9,-22.8,-18.5,0,Охотск
31,1912-03-01,-27.9,-24.7,-21.7,0,Охотск
32,1912-03-02,-31.6,-25.3,-21.3,0,Охотск
33,1912-03-03,-31.1,-28,-22.4,0,Охотск
34,1912-03-04,-36,-30.1,-22.8,0,Охотск
35,1912-03-05,-36.9,-29.7,-23,0,Охотск
36,1912-03-06,-35.9,-27.6,-20.2,0,Охотск
37,1912-03-07,-31.5,-20.6,-12.5,4,Охотск
38,1912-03-08,-17.5,-15.8,-13.8,2,Охотск
39,1912-03-09,-32.1,-17.2,-13.9,0,Охотск
40,1912-03-10,-18.9,-15.8,-12.3,0,Охотск
41,1912-03-11,-15.8,-12.6,-9.1,1,Охотск
42,1912-03-12,-25,-20.7,-15,0,Охотск
