,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-4.7,-1.8,0.5,8.9,Павелец
2,1936-01-02,-1.2,0,0.7,0.3,Павелец
3,1936-01-03,-5.7,-4.3,-1,0,Павелец
4,1936-01-04,-8.9,-4.9,-2.9,0,Павелец
5,1936-01-05,-3.6,-1.9,-0.5,0,Павелец
6,1936-01-06,-3.3,-2.3,-1.5,0.6,Павелец
7,1936-01-07,-8.8,-5.6,-1.5,0,Павелец
8,1936-01-08,-7,-5.2,-4.3,0,Павелец
9,1936-01-09,-6.5,-5.4,-4.7,0,Павелец
10,1936-01-10,-5.9,-3.8,-1,2.1,Павелец
11,1936-01-11,-5.5,-4.7,-2.9,0,Павелец
12,1936-01-12,-6.5,-4.5,-3.3,0.9,Павелец
13,1936-01-13,-4.4,-1.3,0.4,3.7,Павелец
14,1936-01-14,-7.2,-6,-2.5,2.3,Павелец
15,1936-01-15,-9.9,-7.3,-4.9,1.2,Павелец
16,1936-01-16,-14.5,-9.3,-6.1,0.4,Павелец
17,1936-01-17,-19.3,-10.2,-6.4,0.2,Павелец
18,1936-01-18,-16.3,-10.7,-6.4,0,Павелец
19,1936-01-19,-13.3,-7.4,-5.8,0,Павелец
20,1936-01-20,-8.2,-6.8,-4.4,0.1,Павелец
21,1936-01-21,-4.7,-1.9,-0.2,0,Павелец
22,1936-01-22,-2.2,-0.5,0.3,1.8,Павелец
23,1936-01-23,-0.5,0.4,0.8,0.6,Павелец
24,1936-01-24,0.3,1.1,2.1,3.4,Павелец
25,1936-01-25,-3.5,-1.3,0.6,0.1,Павелец
26,1936-01-26,-3.4,-2.2,-0.5,0.2,Павелец
27,1936-01-27,-7.8,-5,-2.6,0.3,Павелец
28,1936-01-28,-6.5,-5.5,-4.4,1.3,Павелец
29,1936-01-29,-8,-7.3,-5.4,1,Павелец
30,1936-01-30,-16.5,-12.6,-7.7,0.2,Павелец
31,1936-01-31,-24.7,-22.4,-16.2,0,Павелец
33,1936-02-01,-26.6,-22.6,-18.2,0,Павелец
34,1936-02-02,-18.8,-13.8,-11.2,0.3,Павелец
35,1936-02-03,-11.7,-6.3,-4.5,0.6,Павелец
36,1936-02-04,-5.3,-1.8,-0.1,6.1,Павелец
37,1936-02-05,-8.8,-4.9,-0.7,0,Павелец
38,1936-02-06,-10.7,-8.1,-5.5,0,Павелец
39,1936-02-07,-11.3,-8.2,-5.4,0.3,Павелец
40,1936-02-08,-14.4,-11.2,-5.1,0.1,Павелец
41,1936-02-09,-9.8,-6.9,-3.4,0.8,Павелец
42,1936-02-10,-21.3,-12.7,-2.6,0.5,Павелец
43,1936-02-11,-28.3,-25.8,-20.8,0,Павелец
44,1936-02-12,-27.1,-23.1,-19.7,0,Павелец
45,1936-02-13,-25.7,-21.2,-16.4,0.6,Павелец
46,1936-02-14,-16.5,-14.1,-12.5,1.5,Павелец
47,1936-02-15,-20.8,-16.1,-13.5,1.7,Павелец
48,1936-02-16,-27.9,-22.4,-15.5,1.1,Павелец
49,1936-02-17,-21.1,-14.8,-11.9,0,Павелец
50,1936-02-18,-23.7,-20.2,-15.2,0,Павелец
51,1936-02-19,-28.2,-22.6,-18.1,0,Павелец
52,1936-02-20,-25.9,-19.2,-13,0.2,Павелец
53,1936-02-21,-23.1,-16.8,-12.1,0.4,Павелец
54,1936-02-22,-17.1,-11.9,-8.2,8.4,Павелец
55,1936-02-23,-13.8,-11.7,-9.1,4.5,Павелец
56,1936-02-24,-18,-15.2,-11,0,Павелец
57,1936-02-25,-23.4,-18,-12.9,0,Павелец
58,1936-02-26,-21.8,-17,-9,0,Павелец
59,1936-02-27,-21.9,-15.4,-10.3,0,Павелец
60,1936-02-28,-10.4,-5.4,-2.1,0.2,Павелец
61,1936-02-29,-5.9,-3,-1.2,0.1,Павелец
63,1936-03-01,-6.7,-4.1,-1.2,10.9,Павелец
64,1936-03-02,-6.7,-3.9,-1.7,0.7,Павелец
65,1936-03-03,-7.3,-5.5,-3.8,0.3,Павелец
66,1936-03-04,-6.1,-3.2,0.5,0.3,Павелец
67,1936-03-05,-1.6,-0.5,0.5,0.2,Павелец
68,1936-03-06,-4.5,-2.6,0,0,Павелец
69,1936-03-07,-13.7,-7.9,0.2,0,Павелец
70,1936-03-08,-14.8,-7.3,1.1,0,Павелец
71,1936-03-09,-14.4,-7.7,-0.2,0,Павелец
72,1936-03-10,-9.6,-7.3,-5.1,0.2,Павелец
73,1936-03-11,-14.9,-9.3,-5.9,0,Павелец
74,1936-03-12,-6.5,-1.8,0.1,0,Павелец
75,1936-03-13,-3,-1.7,-0.1,0,Павелец
76,1936-03-14,-8.7,-4.5,-1.2,0,Павелец
77,1936-03-15,-6.5,-3.5,0.5,0,Павелец
78,1936-03-16,-8.3,-5.2,-1.2,0,Павелец
79,1936-03-17,-6.9,-4.7,0,3.6,Павелец
80,1936-03-18,-9.8,-1.6,0.6,0.4,Павелец
81,1936-03-19,-11.1,-2.9,1.1,0.3,Павелец
82,1936-03-20,-5.1,-2,0.9,0.6,Павелец
83,1936-03-21,-8.9,-6.3,-3,0,Павелец
84,1936-03-22,-11.5,-5.2,1.2,0,Павелец
85,1936-03-23,-2.6,0.4,2.2,0,Павелец
86,1936-03-24,-6.4,-2.7,1.2,0.3,Павелец
87,1936-03-25,-12.8,-8.7,-4.7,0,Павелец
88,1936-03-26,-14,-8.5,-3.8,0.4,Павелец
89,1936-03-27,-15.9,-9.3,-2.7,0,Павелец
90,1936-03-28,-8.3,-6.1,-3.3,0.1,Павелец
91,1936-03-29,-8.4,-4.9,-2.2,0.1,Павелец
92,1936-03-30,-4.9,-3.2,0.9,0,Павелец
93,1936-03-31,-9.2,-3.6,1.4,0,Павелец
95,1936-04-01,-12.1,-5.7,0.2,0,Павелец
96,1936-04-02,-8.5,-4,0.4,0.1,Павелец
97,1936-04-03,-2,0.6,1.8,1.6,Павелец
98,1936-04-04,0.7,1.1,1.4,12,Павелец
99,1936-04-05,-4.1,-2.2,0.5,1.3,Павелец
100,1936-04-06,-7.7,-4.4,-1,0.6,Павелец
101,1936-04-07,-8.2,-4.6,0.3,0.3,Павелец
