,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1917-01-01,-15.7,-8.9,1,0,Панфилов
2,1917-01-02,-15.8,-9.3,-1.1,0,Панфилов
3,1917-01-03,-14.6,-8.3,1.4,0,Панфилов
4,1917-01-04,-16.8,-11.7,-2.2,0,Панфилов
5,1917-01-05,-18,-12.2,-4,0,Панфилов
6,1917-01-06,-18.8,-12.6,-2.8,0,Панфилов
7,1917-01-07,-19.6,-12.6,-3.8,0,Панфилов
8,1917-01-08,-21.2,-14.3,-3,0,Панфилов
9,1917-01-09,-20.6,-13,-2.6,0,Панфилов
10,1917-01-10,-18.3,-11.8,-1.5,0,Панфилов
11,1917-01-11,-21.6,-15,-5.5,0,Панфилов
12,1917-01-12,-19,-12.3,-2,0,Панфилов
13,1917-01-13,-15.9,-8.9,1,0,Панфилов
14,1917-01-14,-16.1,-8,-0.2,0,Панфилов
15,1917-01-15,-15.2,-7.2,1.6,0,Панфилов
16,1917-01-16,-15.1,-6.6,3.9,0,Панфилов
17,1917-01-17,-14.1,-7,0.6,0,Панфилов
18,1917-01-18,-6.4,-1,5,0,Панфилов
19,1917-01-19,-12.6,-6.7,3.6,0,Панфилов
20,1917-01-20,-11,-4.4,3.9,0,Панфилов
21,1917-01-21,-11,-6.6,2.8,0,Панфилов
22,1917-01-22,-13.5,-6,2,0,Панфилов
23,1917-01-23,-9.8,-3.5,3.2,0,Панфилов
24,1917-01-24,-11.5,-4.5,1.5,0,Панфилов
25,1917-01-25,-11,-5.8,4.5,0,Панфилов
26,1917-01-26,-11,-3.4,5.7,0,Панфилов
27,1917-01-27,-9.9,-5.4,-2.3,0.8,Панфилов
28,1917-01-28,-9.6,-3.5,4,0,Панфилов
29,1917-01-29,-12.1,-4.1,4.4,0,Панфилов
30,1917-01-30,-7.6,-1.6,4.9,0,Панфилов
31,1917-01-31,-8.4,-3.3,5.7,0,Панфилов
33,1917-02-01,-8.4,-0.5,8.8,0,Панфилов
34,1917-02-02,-6.8,-1.8,4.8,0,Панфилов
35,1917-02-03,-5.7,-4.3,-3,0,Панфилов
36,1917-02-04,-6.9,-5.7,-3.5,0,Панфилов
37,1917-02-05,-12.6,-5.7,1.3,0,Панфилов
38,1917-02-06,-8.2,-1.7,6.9,0,Панфилов
39,1917-02-07,-5.6,-0.5,7,1.7,Панфилов
40,1917-02-08,-3.4,-1.3,0.6,0,Панфилов
41,1917-02-09,-8,-2.3,6.5,0,Панфилов
42,1917-02-10,-8.1,-0.6,7.2,0,Панфилов
43,1917-02-11,-8.4,-1,8.7,0,Панфилов
44,1917-02-12,-6.4,0.4,9.6,0,Панфилов
45,1917-02-13,-3.9,2.3,9.5,0.6,Панфилов
46,1917-02-14,0.2,3,9.1,0,Панфилов
47,1917-02-15,-1.8,1.9,6.4,0,Панфилов
48,1917-02-16,-1.8,3.3,10.3,0,Панфилов
49,1917-02-17,-1.2,5.2,14.5,0,Панфилов
50,1917-02-18,0.9,6.6,16,0,Панфилов
51,1917-02-19,-1.9,2.6,5.5,0.8,Панфилов
52,1917-02-20,1,3.4,10.2,0,Панфилов
53,1917-02-21,-1.8,3.6,11.1,0,Панфилов
54,1917-02-22,-2.5,-0.3,2.8,0,Панфилов
55,1917-02-23,-5.4,-1.2,1.8,0,Панфилов
56,1917-02-24,-3.8,0.6,7.9,0,Панфилов
57,1917-02-25,-5.8,0.5,10,0,Панфилов
58,1917-02-26,-4.7,3.3,13.6,0,Панфилов
59,1917-02-27,-2.9,-1.9,2.8,0,Панфилов
60,1917-02-28,-6.6,1.1,11.2,0,Панфилов
62,1917-03-01,-3.7,-0.2,3.5,0,Панфилов
63,1917-03-02,-9.6,-3.4,4,0,Панфилов
64,1917-03-03,-8.2,-1.8,6.4,0,Панфилов
65,1917-03-04,-6.4,-3,3.6,0,Панфилов
66,1917-03-05,-9.8,-3.4,4.5,0,Панфилов
67,1917-03-06,-7.4,-0.4,10,0,Панфилов
68,1917-03-07,-8.2,0.6,11.3,0,Панфилов
69,1917-03-08,-4.5,2.9,11.9,0,Панфилов
70,1917-03-09,-3.1,3,7.4,0,Панфилов
71,1917-03-10,0.8,3.4,10.2,0.3,Панфилов
72,1917-03-11,-6.8,-0.7,6.7,0,Панфилов
73,1917-03-12,-9.6,-1.2,7.1,0,Панфилов
74,1917-03-13,-8.5,3.9,16,0,Панфилов
75,1917-03-14,-1.8,8.6,21.5,0,Панфилов
76,1917-03-15,0.2,4.5,8,4.4,Панфилов
77,1917-03-16,-4.8,-2.3,3.6,0,Панфилов
78,1917-03-17,-6.5,0.2,8.7,0,Панфилов
79,1917-03-18,-6.6,2.9,14.3,0,Панфилов
80,1917-03-19,-1.8,7.4,20.2,0,Панфилов
81,1917-03-20,-2.2,3.4,11.4,0,Панфилов
82,1917-03-21,-2.9,3,12.3,0,Панфилов
83,1917-03-22,-2.8,4.9,15.1,0,Панфилов
84,1917-03-23,-1.1,5.4,12.7,0,Панфилов
85,1917-03-24,-3.4,4.5,15,0,Панфилов
86,1917-03-25,-3.2,7.5,17,0,Панфилов
87,1917-03-26,-1,9.5,21.6,0,Панфилов
88,1917-03-27,2.7,11.3,18.3,0,Панфилов
89,1917-03-28,4.5,10.9,19.6,0,Панфилов
90,1917-03-29,1.5,11.6,22.5,0,Панфилов
91,1917-03-30,0.4,11.6,23.3,0,Панфилов
92,1917-03-31,1.5,13.5,25,0,Панфилов
94,1917-04-01,3.6,16.7,26.6,1.7,Панфилов
95,1917-04-02,5.1,10.1,17.6,0,Панфилов
96,1917-04-03,0.7,7.6,14.9,0,Панфилов
97,1917-04-04,-0.5,10.2,19.1,0,Панфилов
98,1917-04-05,0.5,11.9,23.3,0,Панфилов
99,1917-04-06,1,15.9,24.4,0,Панфилов
100,1917-04-07,4.5,15.5,26.5,0,Панфилов
101,1917-04-08,8.4,14.8,18.8,0,Панфилов
102,1917-04-09,0.9,5.2,13,0,Панфилов
103,1917-04-10,-3.2,6.1,13.9,0,Панфилов
104,1917-04-11,-1.7,8.4,17.3,0,Панфилов
105,1917-04-12,3.1,11.2,20,0,Панфилов
106,1917-04-13,6.3,12,19,0,Панфилов
107,1917-04-14,1.4,12.8,20.8,0,Панфилов
108,1917-04-15,-0.3,12.1,22.7,0,Панфилов
109,1917-04-16,2.9,13.7,25.2,0,Панфилов
110,1917-04-17,1.6,11.5,25.6,0,Панфилов
