,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1912-01-01,-13.2,-11.6,-6.2,0,Пермь
2,1912-01-02,-13.8,-11.4,-9.1,2.8,Пермь
3,1912-01-03,-13.7,-11.2,-8.4,8,Пермь
4,1912-01-04,-8.5,-5.1,-3,1.4,Пермь
5,1912-01-05,-15,-11.4,-6.2,10,Пермь
6,1912-01-06,-26.8,-23.8,-14.5,1.1,Пермь
7,1912-01-07,-29.8,-25,-22.7,4.7,Пермь
8,1912-01-08,-23.9,-13.7,-12.6,2,Пермь
9,1912-01-09,-12.6,-0.8,0.1,0,Пермь
10,1912-01-10,-15.3,-5.1,0.7,0.9,Пермь
11,1912-01-11,-25.8,-24.2,-15.2,0,Пермь
12,1912-01-12,-25.4,-20.3,-17.7,0.3,Пермь
13,1912-01-13,-26.4,-21.4,-17.8,0,Пермь
14,1912-01-14,-17.8,-16.1,-15.9,0.3,Пермь
15,1912-01-15,-16,-11.9,-10,0.5,Пермь
16,1912-01-16,-10.5,-9.5,-9.3,0,Пермь
17,1912-01-17,-14,-12.7,-9,0.9,Пермь
18,1912-01-18,-19.4,-17.5,-13.5,0.5,Пермь
19,1912-01-19,-23.3,-18.2,-12,4,Пермь
20,1912-01-20,-12,-4.9,-2.1,1.9,Пермь
21,1912-01-21,-26.3,-14.6,-7.6,0.5,Пермь
22,1912-01-22,-35.5,-33,-26.2,0,Пермь
23,1912-01-23,-31.7,-18.5,-17.7,0,Пермь
24,1912-01-24,-24.4,-14.9,-11.4,3.3,Пермь
25,1912-01-25,-21.5,-14.2,-8.5,0,Пермь
26,1912-01-26,-21.8,-11,-6.1,2.7,Пермь
27,1912-01-27,-27.1,-22.6,-6.2,0,Пермь
28,1912-01-28,-35.2,-32.1,-26.5,0,Пермь
29,1912-01-29,-36.8,-24.2,-22.9,7.5,Пермь
30,1912-01-30,-23.2,-10.6,-1,4.8,Пермь
31,1912-01-31,-26.2,-22.7,-13,0,Пермь
33,1912-02-01,-30.7,-26.4,-16,0,Пермь
34,1912-02-02,-22.9,-13.7,-12.4,5.1,Пермь
35,1912-02-03,-16.4,-11.7,-9.5,3.5,Пермь
36,1912-02-04,-16.9,-7.7,-4.9,3.4,Пермь
37,1912-02-05,-19.3,-11.1,-1.5,0.2,Пермь
38,1912-02-06,-22.5,-18.8,-13.5,0,Пермь
39,1912-02-08,-22.1,-16.9,-14.1,0.4,Пермь
40,1912-02-11,-27.8,-25.3,-10.5,0,Пермь
41,1912-02-12,-30.9,-24.4,-21.5,4.1,Пермь
42,1912-02-17,-20.3,-17.8,-15.2,0.7,Пермь
43,1912-02-18,-19.2,-14.8,-12.5,1.8,Пермь
44,1912-02-19,-14.8,-12.3,-10.2,4,Пермь
45,1912-02-20,-27,-19.3,-11.5,4,Пермь
46,1912-02-21,-33.1,-29.9,-26.8,1,Пермь
47,1912-02-23,-31.3,-28.9,-26.2,0,Пермь
49,1915-01-01,-16.9,-11.5,-10.5,5.7,Пермь
50,1915-01-02,-13.4,-11.1,-8.7,2.5,Пермь
51,1915-01-03,-20.2,-13.5,-9.3,1.3,Пермь
52,1915-01-04,-33.5,-30.2,-19.9,0,Пермь
53,1915-01-05,-37,-34.3,-32.2,0,Пермь
54,1915-01-06,-37,-33.5,-29.9,0,Пермь
55,1915-01-07,-37.6,-34.3,-31.6,0,Пермь
56,1915-01-08,-33.4,-29,-25.9,0,Пермь
57,1915-01-09,-26.4,-16,-14.5,5.6,Пермь
58,1915-01-10,-15.6,-14.6,-13.4,1.8,Пермь
59,1915-01-11,-13.9,-10.9,-9.2,0.5,Пермь
60,1915-01-12,-9.5,-6.2,-4.3,3.9,Пермь
61,1915-01-13,-7.6,-6.3,-5.1,0.8,Пермь
62,1915-01-14,-9.7,-7.2,-5.7,1,Пермь
63,1915-01-15,-10.5,-8,-6.4,0.1,Пермь
64,1915-01-16,-15.2,-12.1,-10,0.8,Пермь
65,1915-01-17,-10.4,-3.7,-2.2,0.6,Пермь
66,1915-01-18,-3.9,-2.7,-1.5,6.5,Пермь
67,1915-01-19,-5.5,-3.7,-1.7,2.2,Пермь
68,1915-01-20,-8.5,-6.6,-3.6,1.8,Пермь
69,1915-01-21,-11.7,-10.2,-7.7,0.1,Пермь
