,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,0,0.9,2.6,0.4,Петрозаводск
2,1936-01-02,0,1.8,3.5,0.1,Петрозаводск
3,1936-01-03,-0.1,0.8,2,0.7,Петрозаводск
4,1936-01-04,0.4,1.4,1.6,0.3,Петрозаводск
5,1936-01-05,-2.3,0.8,2.8,1.6,Петрозаводск
6,1936-01-06,-9.5,-6,0.5,0.5,Петрозаводск
7,1936-01-07,-12.5,-9.3,-7.1,0.1,Петрозаводск
8,1936-01-08,-15.9,-9.2,4,0.1,Петрозаводск
9,1936-01-09,-13.9,-10.8,5,0.4,Петрозаводск
10,1936-01-10,-15.5,-10.8,-6.3,0,Петрозаводск
11,1936-01-11,-7.5,-3.2,-1.6,0,Петрозаводск
12,1936-01-12,-2.5,-1.6,-0.7,0.4,Петрозаводск
13,1936-01-13,-6.6,-4.3,-1.1,0,Петрозаводск
14,1936-01-14,-7.7,-6.2,-4.5,0.7,Петрозаводск
15,1936-01-15,-7.2,-3.4,-1,6.5,Петрозаводск
16,1936-01-16,-10.5,-6.9,-2,0.5,Петрозаводск
17,1936-01-17,-15.1,-10.2,-7.8,2,Петрозаводск
18,1936-01-18,-16.7,-12.5,-10,0,Петрозаводск
19,1936-01-19,-11,-7.3,-5.3,1.7,Петрозаводск
20,1936-01-20,-6.2,-3.5,-0.9,0.9,Петрозаводск
21,1936-01-21,-8.5,-4.6,0,0.5,Петрозаводск
22,1936-01-22,-6.1,-2.2,-0.4,2.6,Петрозаводск
23,1936-01-23,-1.6,0.6,3.2,0.4,Петрозаводск
24,1936-01-24,-2.4,-1.3,0.2,5.9,Петрозаводск
25,1936-01-25,-10.8,-7.2,-1.5,0,Петрозаводск
26,1936-01-26,-15.9,-13.5,-9.2,0.4,Петрозаводск
27,1936-01-27,-18.1,-15.6,-12.4,8,Петрозаводск
28,1936-01-28,-20.6,-13.9,-10.4,0.3,Петрозаводск
29,1936-01-29,-28.4,-23.1,-11,0,Петрозаводск
30,1936-01-30,-36.6,-32.2,-24.6,0,Петрозаводск
31,1936-01-31,-37.5,-26.6,-18.5,0,Петрозаводск
33,1936-02-01,-21.5,-14.2,-12.1,0.2,Петрозаводск
34,1936-02-02,-12.9,-9.1,-7.5,5.4,Петрозаводск
35,1936-02-03,-11.4,-6.8,-3.2,1.8,Петрозаводск
36,1936-02-04,-4.9,-1,2.2,2.2,Петрозаводск
37,1936-02-05,-1.4,0.6,2,0,Петрозаводск
38,1936-02-06,-10.9,-7.4,0.1,0.2,Петрозаводск
39,1936-02-07,-16.1,-11.7,-10.2,0,Петрозаводск
40,1936-02-08,-16.6,-12.4,-10,0.5,Петрозаводск
41,1936-02-09,-28.9,-23.3,-16.4,0.1,Петрозаводск
42,1936-02-10,-24.9,-18.9,-15,0,Петрозаводск
43,1936-02-11,-31.9,-24.2,-18.2,0,Петрозаводск
44,1936-02-12,-22.2,-18,-15.6,0.8,Петрозаводск
45,1936-02-13,-18.5,-16.3,-15.1,0.8,Петрозаводск
46,1936-02-14,-17.3,-14.2,-12.4,0.9,Петрозаводск
47,1936-02-15,-20.7,-18.1,-13.9,0.5,Петрозаводск
48,1936-02-16,-20.1,-18.2,-14.8,2,Петрозаводск
49,1936-02-17,-27.8,-19.8,-15.2,0.1,Петрозаводск
50,1936-02-18,-24.9,-19.9,-15.2,0,Петрозаводск
51,1936-02-19,-28.3,-20.9,-11.4,0.1,Петрозаводск
52,1936-02-20,-24.2,-16.3,-11.7,0.4,Петрозаводск
53,1936-02-21,-13.5,-10.4,-8.3,0.7,Петрозаводск
54,1936-02-22,-24.9,-16.2,-10.2,0.5,Петрозаводск
55,1936-02-23,-24.2,-15.9,-12.5,0.1,Петрозаводск
56,1936-02-24,-19.1,-15.4,-11.7,0,Петрозаводск
57,1936-02-25,-24.9,-18,-12.9,0,Петрозаводск
58,1936-02-26,-20.7,-18,-13.3,0.1,Петрозаводск
59,1936-02-27,-14.2,-9,-6,2.8,Петрозаводск
60,1936-02-28,-10.2,-9.2,-7,0.6,Петрозаводск
61,1936-02-29,-13.4,-10.6,-8.2,1.2,Петрозаводск
63,1936-03-01,-9.4,-3.7,-0.5,0.6,Петрозаводск
64,1936-03-02,-0.6,1.8,2.8,0,Петрозаводск
65,1936-03-03,0.7,2.8,3.6,0.1,Петрозаводск
66,1936-03-04,-1.3,0.2,2.1,0,Петрозаводск
67,1936-03-05,-6.4,-2.8,-0.4,0.6,Петрозаводск
68,1936-03-06,-5.1,-3.5,-1.8,0,Петрозаводск
69,1936-03-07,-5.4,-3.5,-2.3,0.1,Петрозаводск
70,1936-03-08,-2.2,-0.6,3.7,0,Петрозаводск
71,1936-03-09,-1.8,-0.8,3.6,0,Петрозаводск
72,1936-03-10,-4.2,0.2,3.4,0,Петрозаводск
73,1936-03-11,-0.8,0.3,1.5,0,Петрозаводск
74,1936-03-12,-7.1,-3.1,0.9,0,Петрозаводск
75,1936-03-13,-11.9,-8.2,-2.6,0,Петрозаводск
76,1936-03-14,-15.8,-10.7,-5.5,0,Петрозаводск
77,1936-03-15,-10.4,-3.5,2.9,0,Петрозаводск
78,1936-03-16,-0.9,1.1,2.6,0,Петрозаводск
79,1936-03-17,-1.4,-0.1,1.7,0.8,Петрозаводск
80,1936-03-18,-4.2,-1.7,0.8,0.1,Петрозаводск
81,1936-03-19,-6.5,-1.9,0,0.1,Петрозаводск
82,1936-03-20,-10.2,-4.7,-0.7,0,Петрозаводск
83,1936-03-21,-16.9,-5.2,0,0,Петрозаводск
84,1936-03-22,-3.9,-0.3,2,0,Петрозаводск
85,1936-03-23,-6.3,-3.8,1,1.8,Петрозаводск
86,1936-03-24,-15,-7.7,-4.5,0.3,Петрозаводск
87,1936-03-25,-12.4,-8.3,-4,0,Петрозаводск
88,1936-03-26,-15,-12,-7.1,0,Петрозаводск
89,1936-03-27,-15.5,-8.6,-3.6,0,Петрозаводск
90,1936-03-28,-10.1,-4.3,0,0,Петрозаводск
91,1936-03-29,-5.2,-1.5,1.5,0,Петрозаводск
92,1936-03-30,-7.8,-1.6,5.2,0,Петрозаводск
93,1936-03-31,-9.5,-1.9,5.2,2.1,Петрозаводск
95,1936-04-01,-5.9,1.2,7.6,0,Петрозаводск
96,1936-04-02,0.3,2.8,5.1,0.1,Петрозаводск
