,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1906-07-07,4,9.9,13.8,0,Петропавловск-Камч.
2,1906-07-08,7,13.9,16.9,0,Петропавловск-Камч.
3,1906-07-09,8.4,11.8,15.7,0,Петропавловск-Камч.
4,1906-07-10,8,19.5,26.1,0,Петропавловск-Камч.
5,1906-07-11,13.7,21.2,28.8,0,Петропавловск-Камч.
6,1906-07-12,15.6,20.8,27.4,0,Петропавловск-Камч.
7,1906-07-13,11.7,17.8,25.3,0.5,Петропавловск-Камч.
8,1906-07-14,14.1,18.7,25.7,0,Петропавловск-Камч.
9,1906-07-15,11.4,15.3,21.3,2.2,Петропавловск-Камч.
10,1906-07-16,11.2,14.5,18.7,0,Петропавловск-Камч.
11,1906-07-17,10.5,17.9,23.5,0,Петропавловск-Камч.
12,1906-07-18,15.5,20.3,25.6,0,Петропавловск-Камч.
13,1906-07-19,8.6,9.7,12.6,4.6,Петропавловск-Камч.
14,1906-07-20,8.6,9.8,11.4,13.5,Петропавловск-Камч.
15,1906-07-21,9.2,10.9,13.2,7.8,Петропавловск-Камч.
16,1906-07-22,9.3,14.4,19,0,Петропавловск-Камч.
17,1906-07-23,10.1,16.8,22.1,0,Петропавловск-Камч.
18,1906-07-24,10,13,22.1,0,Петропавловск-Камч.
19,1906-07-25,7.5,11.1,16.4,13.7,Петропавловск-Камч.
20,1906-07-26,8.2,9.2,10.6,16.1,Петропавловск-Камч.
21,1906-07-27,8.1,12.4,17.5,0,Петропавловск-Камч.
22,1906-07-28,9.2,10.9,13.2,0.4,Петропавловск-Камч.
23,1906-07-29,8.9,9.7,10.9,11.6,Петропавловск-Камч.
24,1906-07-30,8.7,11.7,15.4,1.8,Петропавловск-Камч.
25,1906-07-31,8.9,11.7,15.1,0.4,Петропавловск-Камч.
27,1906-08-01,7.6,11.2,15.4,11.2,Петропавловск-Камч.
28,1906-08-02,8.6,10.2,11.7,3.6,Петропавловск-Камч.
29,1906-08-03,8.6,11.7,15.2,0,Петропавловск-Камч.
30,1906-08-04,7,11.2,14.7,0,Петропавловск-Камч.
31,1906-08-05,7.5,11.1,13.7,0,Петропавловск-Камч.
32,1906-08-06,8.1,11.4,14.6,0,Петропавловск-Камч.
33,1906-08-07,10,11.6,15.2,0,Петропавловск-Камч.
34,1906-08-08,8.4,9.9,12.2,4.6,Петропавловск-Камч.
35,1906-08-09,7.1,14.3,18.6,0,Петропавловск-Камч.
36,1906-08-10,11.4,14.9,19.7,0,Петропавловск-Камч.
37,1906-08-11,9.2,14.6,18.4,0,Петропавловск-Камч.
38,1906-08-12,8.5,12.6,17.6,0,Петропавловск-Камч.
39,1906-08-13,6.2,11.1,15.4,0,Петропавловск-Камч.
40,1906-08-14,7.5,13.1,18.4,0,Петропавловск-Камч.
41,1906-08-15,11.9,13.6,19,0.8,Петропавловск-Камч.
42,1906-08-16,7.5,14,18.7,0,Петропавловск-Камч.
43,1906-08-17,8.6,13.5,19.8,0.7,Петропавловск-Камч.
44,1906-08-18,9.7,10.6,11.7,10,Петропавловск-Камч.
45,1906-08-19,8.3,9.6,10.2,12.4,Петропавловск-Камч.
46,1906-08-20,8.6,9.7,10.4,4.8,Петропавловск-Камч.
47,1906-08-21,8.6,10.7,12.8,0.2,Петропавловск-Камч.
48,1906-08-22,9.7,10.5,11.9,17,Петропавловск-Камч.
49,1906-08-23,9.6,12.8,16.5,5.4,Петропавловск-Камч.
50,1906-08-24,10.6,13.5,16.8,0,Петропавловск-Камч.
51,1906-08-25,9.9,11.3,13.8,0.6,Петропавловск-Камч.
52,1906-08-26,9.3,12,15,0,Петропавловск-Камч.
53,1906-08-27,10.1,12.4,15.7,0.5,Петропавловск-Камч.
54,1906-08-28,8.6,14.9,22.6,0,Петропавловск-Камч.
55,1906-08-29,10.5,15.7,23.3,0.3,Петропавловск-Камч.
56,1906-08-30,9.2,10.2,13.2,6.4,Петропавловск-Камч.
57,1906-08-31,9.2,11.6,17.2,3.7,Петропавловск-Камч.
59,1906-09-01,9.7,10.6,13.4,0.9,Петропавловск-Камч.
60,1906-09-02,9.2,11.8,14.8,2.4,Петропавловск-Камч.
61,1906-09-03,10.3,11.1,12.4,3.1,Петропавловск-Камч.
62,1906-09-04,9.7,10.5,11.6,3.7,Петропавловск-Камч.
63,1906-09-05,8.8,11.2,12.8,0.4,Петропавловск-Камч.
64,1906-09-06,10,11.6,14.5,0,Петропавловск-Камч.
65,1906-09-07,6.3,10.4,14,0.4,Петропавловск-Камч.
66,1906-09-08,7.3,10.7,13.6,1.5,Петропавловск-Камч.
67,1906-09-09,8.6,10.7,12.6,11.2,Петропавловск-Камч.
68,1906-09-10,5.3,6.9,10,4.1,Петропавловск-Камч.
69,1906-09-11,3,7,10.9,4.1,Петропавловск-Камч.
70,1906-09-12,3.9,7.5,13.2,0.5,Петропавловск-Камч.
71,1906-09-13,2.8,9.6,15.4,0,Петропавловск-Камч.
72,1906-09-14,6.4,11.3,17.2,0,Петропавловск-Камч.
73,1906-09-15,4.4,9.2,13,0,Петропавловск-Камч.
74,1906-09-16,6.7,10.8,13.8,0,Петропавловск-Камч.
75,1906-09-17,8.6,9.2,10.2,12.7,Петропавловск-Камч.
76,1906-09-18,2,12,17.7,0,Петропавловск-Камч.
77,1906-09-19,9.2,13.3,16.7,0,Петропавловск-Камч.
78,1906-09-20,7,13.2,17.8,0,Петропавловск-Камч.
79,1906-09-21,7,13.9,19.5,0,Петропавловск-Камч.
80,1906-09-22,4.9,8.7,13.1,0.2,Петропавловск-Камч.
81,1906-09-23,2.9,7.9,11.3,0.6,Петропавловск-Камч.
82,1906-09-24,1.2,9.2,12,0,Петропавловск-Камч.
83,1906-09-25,3.8,10.7,14.8,0.5,Петропавловск-Камч.
84,1906-09-26,6.8,9,11.4,15.2,Петропавловск-Камч.
85,1906-09-27,3.5,8.6,11.3,0.7,Петропавловск-Камч.
86,1906-09-28,4.2,10.5,14.6,0,Петропавловск-Камч.
87,1906-09-29,5,9.2,14.5,0,Петропавловск-Камч.
88,1906-09-30,2,6.3,9.1,0,Петропавловск-Камч.
90,1906-10-01,5.9,7.8,9.6,2,Петропавловск-Камч.
91,1906-10-02,6.4,7.7,8.2,8.7,Петропавловск-Камч.
92,1906-10-03,3.9,6.2,7.7,12.8,Петропавловск-Камч.
93,1906-10-04,3,6.4,11.2,2.4,Петропавловск-Камч.
94,1906-10-05,3,5,8.5,1.3,Петропавловск-Камч.
95,1906-10-06,4.4,7,11.8,0.4,Петропавловск-Камч.
96,1906-10-07,2,5.5,10.7,0,Петропавловск-Камч.
97,1906-10-08,-0.4,4.9,9.6,0.3,Петропавловск-Камч.
98,1906-10-09,1.1,4.7,8.1,4,Петропавловск-Камч.
99,1906-10-10,1.1,4.6,9.8,0,Петропавловск-Камч.
100,1906-10-11,1.1,5,9.4,0,Петропавловск-Камч.
101,1906-10-12,3.3,5.2,7.5,0,Петропавловск-Камч.
102,1906-10-13,0.6,3.8,9.3,0,Петропавловск-Камч.
103,1906-10-14,-2,2.7,7.1,0,Петропавловск-Камч.
104,1906-10-15,-0.9,2.6,5.4,0.1,Петропавловск-Камч.
105,1906-10-16,0.9,3.9,7.5,0,Петропавловск-Камч.
106,1906-10-17,2,6,9.7,0,Петропавловск-Камч.
107,1906-10-18,-2,3.1,6.9,29.5,Петропавловск-Камч.
108,1906-10-19,2.5,5.4,9.5,4.3,Петропавловск-Камч.
109,1906-10-20,3.7,5.5,8.6,0.5,Петропавловск-Камч.
110,1906-10-21,1.5,3.7,6.3,0,Петропавловск-Камч.
111,1906-10-22,1.1,3,5.7,0,Петропавловск-Камч.
112,1906-10-23,-1,2.1,6,0,Петропавловск-Камч.
113,1906-10-24,-2,1.2,5.6,0,Петропавловск-Камч.
114,1906-10-25,-1.4,1.3,4.6,13,Петропавловск-Камч.
115,1906-10-26,-4.1,-0.2,2.5,0,Петропавловск-Камч.
116,1906-10-27,-2.1,1.6,3.9,0,Петропавловск-Камч.
117,1906-10-28,-1.1,2.1,4.5,0,Петропавловск-Камч.
118,1906-10-29,-3,0.3,3.5,0,Петропавловск-Камч.
119,1906-10-30,-3.5,-1.3,2.4,0,Петропавловск-Камч.
120,1906-10-31,-5.1,-0.8,2.4,0,Петропавловск-Камч.
122,1906-11-01,-4.9,0.5,5.8,7.4,Петропавловск-Камч.
123,1906-11-02,1.1,2.9,5.8,15.6,Петропавловск-Камч.
124,1906-11-03,0.5,3,5.6,30.4,Петропавловск-Камч.
125,1906-11-04,0.1,3.1,4.1,0,Петропавловск-Камч.
126,1906-11-05,-1.7,1.3,5.3,0,Петропавловск-Камч.
127,1906-11-06,-4.6,-2.3,1.1,0,Петропавловск-Камч.
128,1906-11-07,-4.6,-1,2.1,0,Петропавловск-Камч.
129,1906-11-08,-3.2,-0.4,2.5,0,Петропавловск-Камч.
130,1906-11-09,-7,-2.9,1,0,Петропавловск-Камч.
131,1906-11-10,-8.1,-4.7,-2.3,0,Петропавловск-Камч.
132,1906-11-11,-7.9,-2.5,0.5,0,Петропавловск-Камч.
133,1906-11-12,-5.4,-1.3,1.8,0,Петропавловск-Камч.
134,1906-11-13,-4.4,-1.6,2.3,0,Петропавловск-Камч.
135,1906-11-14,-7.5,-3.8,-1.3,0,Петропавловск-Камч.
136,1906-11-15,-6.3,-0.7,3.1,0,Петропавловск-Камч.
137,1906-11-16,-6.1,-0.3,3.4,1.8,Петропавловск-Камч.
138,1906-11-17,-0.9,1.7,2.6,18.3,Петропавловск-Камч.
139,1906-11-18,-7.7,-3,2.5,2.3,Петропавловск-Камч.
140,1906-11-19,-7.5,-4.9,-3.1,0,Петропавловск-Камч.
141,1906-11-20,-7,-2.4,0.5,0,Петропавловск-Камч.
142,1906-11-21,-7,-4.5,-1.4,0,Петропавловск-Камч.
143,1906-11-22,-6.5,-3.1,-1,0.6,Петропавловск-Камч.
144,1906-11-23,-6.6,-5.5,-3.3,7.3,Петропавловск-Камч.
145,1906-11-24,-7.2,-6.1,-4.9,0,Петропавловск-Камч.
146,1906-11-25,-10.6,-8.4,-6.4,0,Петропавловск-Камч.
147,1906-11-26,-11.1,-8.8,-6.9,0,Петропавловск-Камч.
