,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-35.9,-33.2,-32,0,Петропавловск
2,1900-01-02,-35.1,-23.7,-19.7,0.5,Петропавловск
3,1900-01-03,-20.9,-18.1,-14.1,1.5,Петропавловск
4,1900-01-04,-26.3,-23.8,-19.8,0,Петропавловск
5,1900-01-05,-27.8,-22.8,-18.3,0,Петропавловск
6,1900-01-06,-28.2,-22.6,-19.5,0,Петропавловск
7,1900-01-07,-35.8,-32,-21.6,0,Петропавловск
8,1900-01-08,-37.4,-32.8,-31.8,0,Петропавловск
9,1900-01-09,-35.7,-30,-26.7,0,Петропавловск
10,1900-01-10,-37.9,-28.8,-21.7,0,Петропавловск
11,1900-01-11,-21.9,-15.3,-14.2,0,Петропавловск
12,1900-01-12,-22.9,-18.6,-14,0,Петропавловск
13,1900-01-13,-26.3,-19.8,-16.5,0,Петропавловск
14,1900-01-14,-31.2,-25.7,-22.2,0,Петропавловск
15,1900-01-15,-20.2,-15.5,-12.6,0,Петропавловск
16,1900-01-16,-15.5,-14,-12.5,0,Петропавловск
17,1900-01-17,-18.4,-15.8,-12.3,0,Петропавловск
18,1900-01-18,-19.2,-16.6,-15.7,0,Петропавловск
19,1900-01-19,-21.3,-19.3,-15.2,0,Петропавловск
20,1900-01-20,-38.2,-35.1,-20.7,0,Петропавловск
21,1900-01-21,-38.6,-28.3,-25.8,0,Петропавловск
22,1900-01-22,-31.1,-29.2,-24.8,0,Петропавловск
23,1900-01-23,-31.3,-27.7,-25,0,Петропавловск
24,1900-01-24,-28.9,-25.9,-22.5,0,Петропавловск
25,1900-01-25,-29.7,-25.8,-19.2,0,Петропавловск
26,1900-01-26,-28.5,-24.3,-22.1,0,Петропавловск
27,1900-01-27,-29.2,-26,-23.1,0,Петропавловск
28,1900-01-28,-31.5,-28.5,-26.1,0,Петропавловск
29,1900-01-29,-34.9,-28.7,-26.6,0,Петропавловск
30,1900-01-30,-33.1,-26.8,-24.5,0,Петропавловск
