,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1910-05-01,-1.4,6.8,10.5,0,Пограничный
2,1910-05-02,-2.8,4.2,9,0,Пограничный
3,1910-05-03,-1.1,7.5,15.8,0,Пограничный
4,1910-05-04,1.8,8.7,18.8,0,Пограничный
5,1910-05-05,4.5,8.7,16.9,0,Пограничный
6,1910-05-06,1,8.3,19.9,1.5,Пограничный
7,1910-05-07,4.7,12.9,19.8,0,Пограничный
8,1910-05-08,5,13.1,24,0,Пограничный
9,1910-05-09,6.4,13.5,21.5,1.6,Пограничный
10,1910-05-10,8.2,11.9,15.3,0.7,Пограничный
11,1910-05-11,3.8,13.4,18.9,1.9,Пограничный
12,1910-05-12,7.6,11.4,15,0,Пограничный
13,1910-05-13,5.6,14.3,21.4,2.6,Пограничный
14,1910-05-14,5.9,9.3,15.2,0.4,Пограничный
15,1910-05-15,2.2,13.7,22,0,Пограничный
16,1910-05-16,5.8,9,14.3,0,Пограничный
17,1910-05-17,0.6,7.4,13.9,4.8,Пограничный
18,1910-05-18,4.1,8.3,11.4,1.4,Пограничный
19,1910-05-19,4.7,12.7,18.3,0,Пограничный
20,1910-05-20,9.1,16.5,23.5,1,Пограничный
21,1910-05-21,7.9,13.5,19.1,0,Пограничный
22,1910-05-22,4.6,15,21.7,0,Пограничный
23,1910-05-23,3.8,12.5,22.1,0,Пограничный
24,1910-05-24,3.9,13.2,22,0,Пограничный
25,1910-05-25,5.8,17.7,26.5,0,Пограничный
26,1910-05-26,8.4,16.7,28.9,0,Пограничный
27,1910-05-27,5.7,15.9,25.6,0.3,Пограничный
28,1910-05-28,10.1,17.7,27,0,Пограничный
29,1910-05-29,9.8,16.9,23.9,0,Пограничный
30,1910-05-30,9.1,16.8,26,0,Пограничный
31,1910-05-31,6.1,17.2,24.9,0,Пограничный
33,1910-06-01,12,15,20.1,2.5,Пограничный
34,1910-06-02,10.5,12.1,14.2,7,Пограничный
35,1910-06-03,9.1,15.3,21.5,0,Пограничный
36,1910-06-04,9.4,13.6,16.2,12.5,Пограничный
37,1910-06-05,10.1,13.7,18.4,16.2,Пограничный
38,1910-06-06,9.4,13,17.9,7.6,Пограничный
39,1910-06-07,9.6,14,18.3,5.9,Пограничный
40,1910-06-08,11.7,14.7,18.9,0.3,Пограничный
41,1910-06-09,10.3,16.8,22,0.4,Пограничный
42,1910-06-10,12.1,17.9,22.9,2,Пограничный
43,1910-06-11,15.9,21,27,6.5,Пограничный
44,1910-06-12,9.3,11.1,17.5,3,Пограничный
45,1910-06-13,5.2,17.9,25,0,Пограничный
46,1910-06-14,10.2,20.6,28.2,0,Пограничный
47,1910-06-15,11.1,18.7,26.8,0,Пограничный
48,1910-06-16,10,15.1,22.1,0,Пограничный
49,1910-06-17,10.1,15.8,23.2,0,Пограничный
50,1910-06-18,10.1,14.4,18.3,3,Пограничный
51,1910-06-19,12.5,17.8,24.6,2.2,Пограничный
52,1910-06-20,15.5,17.9,25.6,4.4,Пограничный
53,1910-06-21,15.6,21.2,28.1,0.3,Пограничный
54,1910-06-22,10.7,16.3,18.9,0,Пограничный
55,1910-06-23,13.2,20.9,27,0,Пограничный
56,1910-06-24,11.6,20.7,29.2,6.2,Пограничный
57,1910-06-25,10.7,17.3,23.9,15.6,Пограничный
58,1910-06-26,12.9,14.7,18.6,0,Пограничный
59,1910-06-27,11.1,17.2,22.4,0,Пограничный
60,1910-06-28,12.5,17.1,23.5,1.3,Пограничный
61,1910-06-29,10.5,17.3,23.5,0,Пограничный
62,1910-06-30,10.1,16.8,22.9,0,Пограничный
64,1910-07-01,10.5,19.4,25.5,0,Пограничный
65,1910-07-02,13.2,17.2,23.1,0,Пограничный
66,1910-07-03,11.1,17,24.1,0,Пограничный
67,1910-07-04,9.9,16.4,22.9,2.8,Пограничный
68,1910-07-05,12.7,16.4,20.9,11.6,Пограничный
69,1910-07-06,14.3,15.2,16.3,3.3,Пограничный
70,1910-07-07,13.4,16.5,22.7,3.6,Пограничный
71,1910-07-08,13.6,18.1,24.1,0.2,Пограничный
72,1910-07-09,12.7,19.5,23.6,0.6,Пограничный
73,1910-07-10,15.5,17.6,21.4,14.5,Пограничный
74,1910-07-11,13.1,15.3,16.7,0.2,Пограничный
75,1910-07-12,14.5,17.1,22.3,0.5,Пограничный
76,1910-07-13,11.6,18.4,24.5,0,Пограничный
77,1910-07-14,10.5,17,23.1,0,Пограничный
78,1910-07-15,11.3,16.4,22.6,0,Пограничный
79,1910-07-16,13.2,16.2,20.6,0,Пограничный
80,1910-07-17,12.1,16.3,20.2,0,Пограничный
81,1910-07-18,12,17.4,24.4,2.4,Пограничный
82,1910-07-19,14.5,19.9,25.7,20.6,Пограничный
83,1910-07-20,15.7,19.1,24.1,18,Пограничный
84,1910-07-21,17.2,23.6,29.5,0.1,Пограничный
85,1910-07-22,19.5,24.6,30.1,0.1,Пограничный
86,1910-07-23,19,25.3,31.6,0,Пограничный
87,1910-07-24,17.6,22,28.4,0,Пограничный
88,1910-07-25,17.2,22.8,28.1,0,Пограничный
89,1910-07-26,18,22.1,25.5,0,Пограничный
90,1910-07-27,18.3,20.3,23.9,8.7,Пограничный
91,1910-07-28,17.6,23.5,30.6,10,Пограничный
92,1910-07-29,19.5,22.9,27.3,6,Пограничный
93,1910-07-30,20.2,24.4,31.1,10.3,Пограничный
94,1910-07-31,17.1,18.1,21.6,13,Пограничный
96,1910-08-01,15.3,19.1,23,0.9,Пограничный
97,1910-08-02,17,18.5,21,4.4,Пограничный
98,1910-08-03,15.8,19.7,24,0,Пограничный
99,1910-08-04,15.1,18.9,25,0.4,Пограничный
100,1910-08-05,15.1,19.5,24.9,0,Пограничный
101,1910-08-06,14.6,19.2,24.5,0,Пограничный
102,1910-08-07,12.6,19.9,25.5,0,Пограничный
103,1910-08-08,18.5,21.1,25.5,0,Пограничный
104,1910-08-09,15.7,19.6,21.5,38.1,Пограничный
105,1910-08-10,18.3,21.4,24.5,14.3,Пограничный
106,1910-08-11,16.1,20.1,23.7,6.4,Пограничный
107,1910-08-12,18.1,19.9,22,30.5,Пограничный
108,1910-08-13,17.6,18.4,19.4,14.5,Пограничный
109,1910-08-14,16,19.2,21,0.1,Пограничный
110,1910-08-15,16.1,20.5,24.5,0,Пограничный
111,1910-08-16,14.5,18,22.5,0,Пограничный
112,1910-08-17,12.1,18.1,25,0,Пограничный
113,1910-08-18,11.9,19.7,26.9,0,Пограничный
114,1910-08-19,12.5,19.5,28.1,0,Пограничный
115,1910-08-20,8,17.3,26,0,Пограничный
116,1910-08-21,9.3,15.3,20.6,11.9,Пограничный
117,1910-08-22,14.2,15.8,16.9,13.3,Пограничный
118,1910-08-23,14.7,20.3,26.6,13.7,Пограничный
119,1910-08-24,15,21,26.7,2.7,Пограничный
120,1910-08-25,16.1,20.1,26,0,Пограничный
121,1910-08-26,15,18.7,23.9,0,Пограничный
122,1910-08-27,15.1,17.1,21,12.5,Пограничный
123,1910-08-28,14.7,19.3,24.5,0,Пограничный
124,1910-08-29,13.1,19.8,25.7,1,Пограничный
125,1910-08-30,14.5,19.3,24.5,0,Пограничный
126,1910-08-31,12.3,18.7,24,0.7,Пограничный
128,1910-09-01,14.7,18.7,24.5,0.4,Пограничный
129,1910-09-02,11.4,17.7,23.6,4,Пограничный
130,1910-09-03,12.1,17.2,23,10.5,Пограничный
131,1910-09-04,11,16.3,23,0,Пограничный
132,1910-09-05,10.7,15.6,22.7,0.6,Пограничный
133,1910-09-06,12.1,17.4,24.2,0,Пограничный
134,1910-09-07,13.1,18.1,24.5,0,Пограничный
135,1910-09-08,10.2,17.7,25.4,0.8,Пограничный
136,1910-09-09,12.1,14.3,16.5,4,Пограничный
137,1910-09-10,7.7,9.6,12.3,32.8,Пограничный
138,1910-09-11,7.9,11.3,16.3,0,Пограничный
139,1910-09-12,7.4,12.5,19.5,0,Пограничный
140,1910-09-13,7.3,13.6,21,0,Пограничный
141,1910-09-14,8.2,11.9,18.5,1.2,Пограничный
142,1910-09-15,7.1,14.5,21.3,1,Пограничный
143,1910-09-16,7.5,11.7,18,0,Пограничный
144,1910-09-17,5.6,12.2,17.4,5.3,Пограничный
