,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1937-04-01,-3.8,1.8,7.1,0,Подкам. Тунгуска
2,1937-04-02,-1.8,4,7.6,0,Подкам. Тунгуска
3,1937-04-03,1.5,4.2,7.6,0,Подкам. Тунгуска
4,1937-04-04,-3.6,-1,2.4,0,Подкам. Тунгуска
5,1937-04-05,-14.5,-6,-1.4,0,Подкам. Тунгуска
6,1937-04-06,-9.9,-3,0.4,0,Подкам. Тунгуска
7,1937-04-07,-2,0.7,3.3,0.8,Подкам. Тунгуска
8,1937-04-08,-13.3,-4.4,0.7,0,Подкам. Тунгуска
9,1937-04-09,-5.4,-1.4,3,0,Подкам. Тунгуска
10,1937-04-10,-7.1,-2.8,0.5,1.3,Подкам. Тунгуска
11,1937-04-11,-15.3,-10.2,-0.7,0.7,Подкам. Тунгуска
12,1937-04-12,-27.3,-16.4,-9.9,0,Подкам. Тунгуска
13,1937-04-13,-25.2,-19.2,-11.5,0.2,Подкам. Тунгуска
14,1937-04-14,-32.8,-20,-12.2,0.1,Подкам. Тунгуска
15,1937-04-15,-26.9,-11.8,-6.5,0,Подкам. Тунгуска
16,1937-04-16,-8.6,-5.7,-4,0.7,Подкам. Тунгуска
17,1937-04-17,-16.6,-11.7,-4.6,0.3,Подкам. Тунгуска
18,1937-04-18,-21,-13.8,-9.4,0,Подкам. Тунгуска
19,1937-04-19,-16.3,-8.9,-2.1,0.8,Подкам. Тунгуска
20,1937-04-20,-5.7,-2.6,-0.3,5.8,Подкам. Тунгуска
21,1937-04-21,-18.4,-13.7,-5.7,0.5,Подкам. Тунгуска
22,1937-04-22,-21.7,-16.5,-13.8,0,Подкам. Тунгуска
23,1937-04-23,-16.8,-11.4,-8.7,0.7,Подкам. Тунгуска
24,1937-04-24,-13.8,-10.7,-8.7,1.2,Подкам. Тунгуска
25,1937-04-25,-23.3,-13.4,-6.4,0,Подкам. Тунгуска
26,1937-04-26,-22.1,-9.4,-4.8,0.3,Подкам. Тунгуска
27,1937-04-27,-22.3,-7.7,3.1,0,Подкам. Тунгуска
28,1937-04-28,-11.7,0.3,9.7,0,Подкам. Тунгуска
29,1937-04-29,-6.5,2.2,8.2,0,Подкам. Тунгуска
30,1937-04-30,-1,2.4,6.2,1.5,Подкам. Тунгуска
32,1937-08-21,0.5,5.1,8.8,0,Подкам. Тунгуска
33,1937-08-22,3,5.6,8.9,0.5,Подкам. Тунгуска
34,1937-08-23,4.9,6.8,9.5,9.5,Подкам. Тунгуска
35,1937-08-24,0.7,6.7,11.4,0,Подкам. Тунгуска
36,1937-08-25,7.5,9.3,11,4.3,Подкам. Тунгуска
37,1937-08-26,7.4,9.6,12,9.8,Подкам. Тунгуска
38,1937-08-27,0.1,6.1,10.8,0.4,Подкам. Тунгуска
39,1937-08-28,2,5.3,9.1,0.2,Подкам. Тунгуска
40,1937-08-29,4.5,5.6,7.7,9,Подкам. Тунгуска
41,1937-08-30,4,7,11.5,0.3,Подкам. Тунгуска
42,1937-08-31,6.2,11.2,17.6,4.1,Подкам. Тунгуска
44,1937-09-01,6.8,10.7,16,1,Подкам. Тунгуска
45,1937-09-02,4.3,8.8,16.5,0,Подкам. Тунгуска
46,1937-09-03,3.3,9,18.6,0,Подкам. Тунгуска
47,1937-09-04,3.6,11.4,19.4,0,Подкам. Тунгуска
48,1937-09-05,4.9,11.5,22.4,0,Подкам. Тунгуска
49,1937-09-06,6.5,14,21.6,0,Подкам. Тунгуска
50,1937-09-07,9.2,14.8,22.1,0,Подкам. Тунгуска
51,1937-09-08,6.1,8.7,16,12.3,Подкам. Тунгуска
52,1937-09-09,0.4,9.1,15.8,0,Подкам. Тунгуска
53,1937-09-10,2.9,10.3,14.6,0,Подкам. Тунгуска
54,1937-09-11,5.9,9.8,14.8,0,Подкам. Тунгуска
55,1937-09-12,6.9,8.7,11.1,0.3,Подкам. Тунгуска
56,1937-09-13,8.4,9.7,11.6,0.6,Подкам. Тунгуска
57,1937-09-14,7.3,7.7,10.7,3.6,Подкам. Тунгуска
58,1937-09-15,1.7,4.8,7.8,0,Подкам. Тунгуска
59,1937-09-16,1.9,3.3,6.1,6.1,Подкам. Тунгуска
60,1937-09-17,-0.6,2.6,5.5,0.6,Подкам. Тунгуска
61,1937-09-18,2.3,3.7,7.7,2,Подкам. Тунгуска
62,1937-09-19,-0.6,3,4.8,0,Подкам. Тунгуска
63,1937-09-20,2.4,4.6,7,0,Подкам. Тунгуска
64,1937-09-21,1.6,4.2,7.4,0,Подкам. Тунгуска
65,1937-09-22,-3.5,1.5,5.6,0,Подкам. Тунгуска
66,1937-09-23,-3.4,-0.8,2.2,0,Подкам. Тунгуска
67,1937-09-24,-7.1,-0.2,7.1,0,Подкам. Тунгуска
68,1937-09-25,0.5,3.8,6,1.4,Подкам. Тунгуска
69,1937-09-26,3.3,4.2,5.6,4.2,Подкам. Тунгуска
70,1937-09-27,1.3,4,7.2,7,Подкам. Тунгуска
71,1937-09-28,1.1,6,9.7,3.6,Подкам. Тунгуска
72,1937-09-29,-1.9,-0.5,2.5,0.5,Подкам. Тунгуска
73,1937-09-30,-4.8,-0.2,3.6,0,Подкам. Тунгуска
75,1937-10-01,1.4,3.2,6.4,1.6,Подкам. Тунгуска
76,1937-10-02,-0.7,1.2,3.5,0.2,Подкам. Тунгуска
77,1937-10-03,-0.2,5,9.7,1.7,Подкам. Тунгуска
78,1937-10-04,1.9,5.3,10,0,Подкам. Тунгуска
79,1937-10-05,-1.9,1.3,9,2.1,Подкам. Тунгуска
80,1937-10-06,-2.8,-1.4,0,0.1,Подкам. Тунгуска
81,1937-10-07,-5.6,-1.9,1,1.9,Подкам. Тунгуска
82,1937-10-08,-13.7,-8,-2,0,Подкам. Тунгуска
83,1937-10-09,-11.9,-4.9,-0.9,0,Подкам. Тунгуска
84,1937-10-10,-2.9,-1.1,1,0.6,Подкам. Тунгуска
85,1937-10-11,-5.4,-3.5,-0.8,0,Подкам. Тунгуска
