,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1908-01-01,-20.7,-18.3,-16.2,0,Поронайск
2,1908-01-02,-24.8,-21.1,-16.8,0,Поронайск
3,1908-01-03,-27.5,-23.6,-18.5,0,Поронайск
4,1908-01-04,-27.8,-19.9,-14.8,0,Поронайск
5,1908-01-05,-15.7,-12.7,-8.5,0.1,Поронайск
6,1908-01-06,-21.6,-17.5,-14.2,0,Поронайск
7,1908-01-07,-25.6,-20,-13.2,0,Поронайск
8,1908-01-08,-25,-19.9,-12.9,0,Поронайск
9,1908-01-09,-24.1,-19.1,-12.2,0,Поронайск
10,1908-01-10,-25,-18.9,-13.6,0,Поронайск
11,1908-01-11,-20.2,-14.7,-9.6,0,Поронайск
12,1908-01-12,-18.9,-14.4,-9.9,0.4,Поронайск
13,1908-01-13,-15.7,-12.7,-10.5,2.2,Поронайск
14,1908-01-14,-24.7,-20.2,-15.5,0.4,Поронайск
15,1908-01-15,-28.4,-24,-19.6,0,Поронайск
16,1908-01-16,-30,-25.3,-21.2,0,Поронайск
17,1908-01-17,-31.9,-26.8,-24.4,0,Поронайск
18,1908-01-18,-34.3,-29.7,-24.8,0,Поронайск
19,1908-01-19,-35,-29.1,-23.8,0,Поронайск
20,1908-01-20,-35,-27.5,-20.9,0,Поронайск
21,1908-01-21,-30.1,-22.9,-18.7,0,Поронайск
22,1908-01-22,-24,-20.3,-18,0,Поронайск
23,1908-01-23,-28.1,-23.7,-18.5,0,Поронайск
24,1908-01-24,-29.5,-25.1,-20,0,Поронайск
25,1908-01-25,-30.2,-25.2,-19.9,0,Поронайск
26,1908-01-26,-30.2,-24.2,-18.4,0,Поронайск
27,1908-01-27,-33,-25.1,-16.5,0,Поронайск
28,1908-01-28,-29.3,-21.7,-14.1,0,Поронайск
29,1908-01-29,-27.4,-20.3,-14.2,0,Поронайск
30,1908-01-30,-28.7,-20,-12.7,0,Поронайск
31,1908-01-31,-24.7,-21.5,-16.1,0,Поронайск
33,1908-02-01,-28,-23,-16.3,0,Поронайск
34,1908-02-02,-31,-20.2,-11.9,0,Поронайск
35,1908-02-03,-18.3,-15.6,-12.5,0.1,Поронайск
36,1908-02-04,-20.4,-16.2,-11.2,0,Поронайск
37,1908-02-05,-25.8,-17.8,-11.3,0,Поронайск
38,1908-02-06,-21.4,-15.9,-12.2,0,Поронайск
39,1908-02-07,-20.5,-15.7,-11.1,0,Поронайск
40,1908-02-08,-24.7,-18.2,-11.1,0,Поронайск
41,1908-02-09,-21.5,-15.8,-11.7,0,Поронайск
42,1908-02-10,-19.6,-13.7,-7.7,0,Поронайск
43,1908-02-11,-19,-13.2,-8.3,0,Поронайск
44,1908-02-12,-15.2,-10.7,-7.2,0,Поронайск
45,1908-02-13,-21.2,-14.3,-8.1,0,Поронайск
46,1908-02-14,-23.2,-14.8,-6.6,0,Поронайск
47,1908-02-15,-17.2,-12.9,-7.8,0.5,Поронайск
48,1908-02-16,-21,-17.3,-13,0.5,Поронайск
49,1908-02-17,-25.8,-18.3,-10.5,0.3,Поронайск
50,1908-02-18,-28,-19.9,-10.1,0,Поронайск
51,1908-02-19,-27.7,-19.8,-8,0,Поронайск
52,1908-02-20,-23.6,-12.1,-3.5,0,Поронайск
53,1908-02-21,-16.1,-10.1,-5.3,0.1,Поронайск
54,1908-02-22,-14.1,-12.1,-9.7,0.5,Поронайск
55,1908-02-23,-20.7,-15.9,-12.4,0.4,Поронайск
56,1908-02-24,-28.9,-20.9,-13.6,0.2,Поронайск
57,1908-02-25,-31.9,-22.5,-14.4,0.1,Поронайск
58,1908-02-26,-27.5,-19.5,-12.1,0,Поронайск
59,1908-02-27,-26.8,-17.7,-10,0,Поронайск
60,1908-02-28,-23.5,-16.6,-8.4,0,Поронайск
61,1908-02-29,-23.3,-14.7,-7.8,0,Поронайск
63,1908-03-01,-17.8,-14,-11.7,0.1,Поронайск
64,1908-03-02,-20.7,-15.3,-12.2,2.5,Поронайск
65,1908-03-03,-16.3,-14.2,-11.1,0.8,Поронайск
66,1908-03-04,-19.5,-15.6,-10,0,Поронайск
67,1908-03-05,-24,-15.2,-7.7,0,Поронайск
68,1908-03-06,-13.1,-11.5,-9.7,1.9,Поронайск
69,1908-03-07,-16.2,-12.7,-7.2,0.2,Поронайск
70,1908-03-08,-23,-16.6,-9.3,0.3,Поронайск
71,1908-03-09,-15.8,-13.1,-11.2,0,Поронайск
72,1908-03-10,-14.7,-11.4,-7.7,0,Поронайск
73,1908-03-11,-20.6,-11.2,-5.2,0,Поронайск
74,1908-03-12,-13.2,-9.5,-6.5,2.3,Поронайск
75,1908-03-13,-8.8,-6.5,-4.4,1.6,Поронайск
76,1908-03-14,-15.3,-6.8,-2.3,0.4,Поронайск
77,1908-03-15,-16.3,-9,-2.3,0.1,Поронайск
78,1908-03-16,-17.1,-6.8,0.5,0,Поронайск
79,1908-03-17,-5.2,-1.7,1.2,0.3,Поронайск
80,1908-03-19,-8,-3.5,-1.7,4.3,Поронайск
81,1908-03-20,-9.9,-4.8,0.5,0.3,Поронайск
82,1908-03-21,-6.9,-5.1,-3.8,0.7,Поронайск
83,1908-03-22,-10.1,-3.9,1,0,Поронайск
84,1908-03-23,-11.7,-4.5,0,6.8,Поронайск
85,1908-03-24,-9.9,-3.9,2.3,0.7,Поронайск
86,1908-03-25,-9.6,-2.5,4.2,0.6,Поронайск
87,1908-03-26,-8,-5,-1.2,1.9,Поронайск
88,1908-03-27,-10.6,-8.2,-5.4,0,Поронайск
89,1908-03-28,-12.3,-5.6,-2.4,0,Поронайск
90,1908-03-29,-6.2,-0.8,2.5,0,Поронайск
91,1908-03-30,-0.9,-0.4,0.5,10.3,Поронайск
92,1908-03-31,-0.6,0.1,0.9,22.5,Поронайск
94,1908-04-01,-4.3,-0.2,2.4,4.2,Поронайск
95,1908-04-02,-9.3,-3,1.9,2.1,Поронайск
96,1908-04-03,-8.1,-1.6,3.5,0,Поронайск
97,1908-04-04,-4.3,-0.2,2.5,0,Поронайск
98,1908-04-05,-2.8,1.1,5.5,0,Поронайск
99,1908-04-06,-6.3,-1.4,2.7,0,Поронайск
100,1908-04-07,-2.8,-1.1,3.5,2.2,Поронайск
