,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1959-07-01,18.5,25.2,31.4,0,Приморско-Ахтарск
2,1959-07-02,17.5,25.1,31.2,0,Приморско-Ахтарск
3,1959-07-03,21.4,27.4,34.4,0,Приморско-Ахтарск
4,1959-07-04,21.7,27.2,34.5,0,Приморско-Ахтарск
5,1959-07-05,20,23.1,26.4,7.6,Приморско-Ахтарск
6,1959-07-06,19.5,22.3,25.4,4.4,Приморско-Ахтарск
7,1959-07-07,19.8,22.2,25.1,0.2,Приморско-Ахтарск
8,1959-07-08,21.2,23.8,26.5,0,Приморско-Ахтарск
9,1959-07-09,21.6,23.6,25.5,0,Приморско-Ахтарск
10,1959-07-10,20.7,23,25.9,1,Приморско-Ахтарск
11,1959-07-11,21.7,23.9,26.2,0.1,Приморско-Ахтарск
12,1959-07-12,21.9,25.4,28.3,0,Приморско-Ахтарск
13,1959-07-13,22.6,27.4,31.9,0,Приморско-Ахтарск
14,1959-07-14,21.6,27.8,33.6,0,Приморско-Ахтарск
15,1959-07-15,21,26.3,32.5,0,Приморско-Ахтарск
16,1959-07-16,21.2,25.5,28.3,0,Приморско-Ахтарск
17,1959-07-17,22.6,25.8,31.9,2.2,Приморско-Ахтарск
18,1959-07-18,22.6,25.7,31.2,2.2,Приморско-Ахтарск
19,1959-07-19,24.1,29.5,36.2,0,Приморско-Ахтарск
20,1959-07-20,25.1,29.2,34.9,0,Приморско-Ахтарск
21,1959-07-21,19.8,25.2,30.2,0,Приморско-Ахтарск
22,1959-07-22,19.7,25.4,30.8,0,Приморско-Ахтарск
23,1959-07-23,19.7,27.2,33.2,0,Приморско-Ахтарск
24,1959-07-24,21.5,26.9,34.1,0,Приморско-Ахтарск
25,1959-07-25,22,26.8,32.9,0,Приморско-Ахтарск
26,1959-07-26,21.4,26,29.6,0,Приморско-Ахтарск
27,1959-07-27,21.8,26.9,30.5,0,Приморско-Ахтарск
28,1959-07-28,19.4,25.5,29.7,0,Приморско-Ахтарск
29,1959-07-29,22.4,27.6,34.4,0,Приморско-Ахтарск
30,1959-07-30,23,26.6,29.7,0,Приморско-Ахтарск
31,1959-07-31,23,25.4,32.8,0,Приморско-Ахтарск
33,1959-08-01,23.5,29.3,35.8,0,Приморско-Ахтарск
34,1959-08-02,21.7,27.5,32.7,1.8,Приморско-Ахтарск
35,1959-08-03,22.8,25.4,29.6,0.3,Приморско-Ахтарск
36,1959-08-04,19.6,25,28.3,0,Приморско-Ахтарск
37,1959-08-05,18.7,24.1,26.7,14.1,Приморско-Ахтарск
38,1959-08-06,20.1,22.8,24.7,2.8,Приморско-Ахтарск
39,1959-08-07,19.5,22.9,26,0,Приморско-Ахтарск
40,1959-08-08,20,22.4,26.3,0,Приморско-Ахтарск
41,1959-08-09,18,21.1,23.9,14.5,Приморско-Ахтарск
42,1959-08-10,22,24.8,27.2,0,Приморско-Ахтарск
43,1959-08-11,22.6,25.6,28,0,Приморско-Ахтарск
44,1959-08-12,21.6,26,30.1,0,Приморско-Ахтарск
45,1959-08-13,18.8,23.4,29,0,Приморско-Ахтарск
46,1959-08-14,15.6,22.4,27.7,0,Приморско-Ахтарск
47,1959-08-15,15.7,22,26.8,0,Приморско-Ахтарск
48,1959-08-16,17.1,22.8,28.3,0,Приморско-Ахтарск
49,1959-08-17,17.2,22.9,29.5,0,Приморско-Ахтарск
50,1959-08-18,18.6,23,27,0,Приморско-Ахтарск
51,1959-08-19,20.6,22.9,27.4,0,Приморско-Ахтарск
52,1959-08-20,17.4,22.1,25.9,0,Приморско-Ахтарск
53,1959-08-21,15.6,22,26,0,Приморско-Ахтарск
54,1959-08-22,20.7,24,27.4,0,Приморско-Ахтарск
55,1959-08-23,18.8,24.2,29.4,0,Приморско-Ахтарск
56,1959-08-24,14.9,21.6,28.4,0,Приморско-Ахтарск
57,1959-08-25,18.8,22.9,26.8,0,Приморско-Ахтарск
58,1959-08-26,21.1,24.1,27.6,0,Приморско-Ахтарск
59,1959-08-27,23.6,24.5,26.8,0,Приморско-Ахтарск
60,1959-08-28,20.6,22,25.2,0,Приморско-Ахтарск
61,1959-08-29,14.1,20.5,27,0,Приморско-Ахтарск
62,1959-08-30,17,22,26.1,0,Приморско-Ахтарск
63,1959-08-31,17.7,20.7,24.6,3,Приморско-Ахтарск
65,1959-09-01,17.1,22.1,29.5,0,Приморско-Ахтарск
66,1959-09-02,15.9,18.2,23.3,2.3,Приморско-Ахтарск
67,1959-09-03,15.1,17.3,18.7,2.1,Приморско-Ахтарск
68,1959-09-04,14.4,16.8,20.3,5.3,Приморско-Ахтарск
69,1959-09-05,12.8,15.4,18,10.3,Приморско-Ахтарск
70,1959-09-06,13.6,15.2,17.1,0.8,Приморско-Ахтарск
71,1959-09-07,11.8,15.9,19.9,0,Приморско-Ахтарск
72,1959-09-08,11.3,15.2,18.7,0,Приморско-Ахтарск
73,1959-09-09,9,14.9,18.9,0,Приморско-Ахтарск
74,1959-09-10,11.2,16.7,22,0,Приморско-Ахтарск
75,1959-09-11,12.9,17.4,23.2,0,Приморско-Ахтарск
76,1959-09-12,13.9,15.9,19.4,0,Приморско-Ахтарск
77,1959-09-13,11.4,17.6,23.2,0,Приморско-Ахтарск
78,1959-09-14,12.7,17.6,22.1,0,Приморско-Ахтарск
79,1959-09-15,14.5,16.1,20.4,16.6,Приморско-Ахтарск
80,1959-09-16,11.6,15.4,18.9,0,Приморско-Ахтарск
81,1959-09-17,12.2,16.4,21.5,0,Приморско-Ахтарск
82,1959-09-18,12.9,14.9,19.6,19.6,Приморско-Ахтарск
83,1959-09-19,10.2,13,15.4,3.2,Приморско-Ахтарск
84,1959-09-20,10.5,14,16.8,0,Приморско-Ахтарск
85,1959-09-21,10.5,13.1,16,8,Приморско-Ахтарск
86,1959-09-22,8.5,12.2,15.1,0,Приморско-Ахтарск
87,1959-09-23,10.1,13.5,18,0,Приморско-Ахтарск
88,1959-09-24,14.5,16.4,18.7,23.3,Приморско-Ахтарск
89,1959-09-25,13.8,15.8,18.8,19.9,Приморско-Ахтарск
90,1959-09-26,12.1,14.2,16.2,7.2,Приморско-Ахтарск
91,1959-09-27,10.6,14.4,16.4,0,Приморско-Ахтарск
92,1959-09-28,9.2,12.7,15.3,6.5,Приморско-Ахтарск
93,1959-09-29,9.4,11.6,15,14.8,Приморско-Ахтарск
94,1959-09-30,8.3,9.2,10.3,0.1,Приморско-Ахтарск
96,1959-10-01,8,8.8,9.6,0,Приморско-Ахтарск
97,1959-10-02,8.6,10.6,12.3,3.1,Приморско-Ахтарск
98,1959-10-03,7.6,8.4,11.6,0,Приморско-Ахтарск
99,1959-10-04,4.3,5.9,9.7,8.4,Приморско-Ахтарск
100,1959-10-05,1.2,4.5,9.1,0,Приморско-Ахтарск
101,1959-10-06,3.6,5.2,6.9,0,Приморско-Ахтарск
102,1959-10-07,6.5,8.2,10.8,7.4,Приморско-Ахтарск
103,1959-10-08,9.2,10.4,11.4,1.7,Приморско-Ахтарск
104,1959-10-09,4.5,7.1,11.9,1,Приморско-Ахтарск
105,1959-10-10,2.5,5.5,8.4,0,Приморско-Ахтарск
106,1959-10-11,2.2,3.9,5.6,1.8,Приморско-Ахтарск
107,1959-10-12,4.6,7,10.1,0.2,Приморско-Ахтарск
108,1959-10-13,4.7,6.1,8.5,2.7,Приморско-Ахтарск
109,1959-10-14,1.6,4.8,5.9,0.1,Приморско-Ахтарск
