,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,0.3,1.2,1.7,6,Псков
2,1936-01-02,-0.5,0.6,1.4,0,Псков
3,1936-01-03,0.7,1,1.4,0.1,Псков
4,1936-01-04,0.7,1.6,2.1,3.1,Псков
5,1936-01-05,0.8,2,2.6,0.1,Псков
6,1936-01-06,-4.4,-0.9,2.1,0,Псков
7,1936-01-07,-6.7,-4.1,-1.4,2.5,Псков
8,1936-01-08,-3.6,0,1.6,5.5,Псков
9,1936-01-09,0,0.6,0.9,0.3,Псков
10,1936-01-10,-1.4,-0.2,0.7,0,Псков
11,1936-01-11,0.3,0.9,1.5,5.8,Псков
12,1936-01-12,0.3,0.9,1.7,3.2,Псков
13,1936-01-13,-1.7,-0.2,1,0.1,Псков
14,1936-01-14,-4,-2.6,-0.7,0.1,Псков
15,1936-01-15,-9.6,-6.8,-3.5,0.3,Псков
16,1936-01-16,-6.2,-4.4,-3,0.2,Псков
17,1936-01-17,-10.7,-7.4,-5.5,0,Псков
18,1936-01-18,-11.1,-5,-1.9,0.8,Псков
19,1936-01-19,-2.6,-0.6,0.8,4.8,Псков
20,1936-01-20,-10.6,-3.6,0,1.5,Псков
21,1936-01-21,-10.6,-1,0.5,0.1,Псков
22,1936-01-22,0,1.1,1.4,2.1,Псков
23,1936-01-23,-1.1,0.4,1.8,0,Псков
24,1936-01-24,-1.4,-0.4,0.3,0,Псков
25,1936-01-25,-9,-4.4,-0.5,2.6,Псков
26,1936-01-26,-8.6,-3,-0.9,0,Псков
27,1936-01-27,-4.5,-2.8,-1.9,0,Псков
28,1936-01-28,-14.1,-11,-3.9,0,Псков
29,1936-01-29,-14.7,-11.1,-7.5,0,Псков
30,1936-01-30,-21.6,-16.4,-8.5,0,Псков
31,1936-01-31,-22.8,-16.1,-13.7,0,Псков
33,1936-02-01,-15.7,-9,-4.4,0.7,Псков
34,1936-02-02,-6.2,-3.8,-1.4,0.9,Псков
35,1936-02-03,-1.7,0.5,1.3,4.4,Псков
36,1936-02-04,0.2,2.2,3,0,Псков
37,1936-02-05,-0.5,0.5,2.3,6.1,Псков
38,1936-02-06,-6.9,-3.2,0.1,7.1,Псков
39,1936-02-07,-11.9,-9,-6.4,0.1,Псков
40,1936-02-08,-13.4,-4.2,0.3,1.1,Псков
41,1936-02-09,-16.7,-10.5,0.7,2.7,Псков
42,1936-02-10,-23,-19.1,-15.1,0,Псков
43,1936-02-11,-25.2,-16.8,-12.5,0,Псков
44,1936-02-12,-12.8,-7.3,-3.7,1.1,Псков
45,1936-02-13,-13.6,-9.9,-4.7,0.8,Псков
46,1936-02-14,-18.5,-14.7,-12.1,0,Псков
47,1936-02-15,-17.2,-15,-11.9,0,Псков
48,1936-02-16,-20.7,-19,-15.6,0,Псков
49,1936-02-17,-29.6,-24.4,-16.5,0,Псков
50,1936-02-18,-29.8,-23.8,-14.6,0,Псков
51,1936-02-19,-26.9,-20.8,-17.3,0,Псков
52,1936-02-20,-23,-18.4,-14.5,0,Псков
53,1936-02-21,-22.1,-17,-13.1,0.6,Псков
54,1936-02-22,-27.6,-19.4,-11.3,0.1,Псков
55,1936-02-23,-19.9,-15.9,-11.3,0.1,Псков
56,1936-02-24,-18.2,-12.3,-6.9,0,Псков
57,1936-02-25,-9,-6.8,-5.1,0,Псков
58,1936-02-26,-9.8,-6.4,-4.7,0,Псков
59,1936-02-27,-11.9,-6.3,-4.7,0,Псков
60,1936-02-28,-5.3,-3.3,-2.3,0.3,Псков
61,1936-02-29,-7.5,-3.4,-0.1,0.3,Псков
63,1936-03-01,-0.7,0.8,1.5,3.7,Псков
64,1936-03-02,-0.7,0.9,2.4,0,Псков
65,1936-03-03,0.7,1.5,2.3,0,Псков
66,1936-03-04,-0.4,0.5,1.3,0.1,Псков
67,1936-03-05,-1.6,0.4,2.1,0.2,Псков
68,1936-03-06,-0.4,1.6,4.3,0,Псков
69,1936-03-07,-1.1,0.1,1.5,0,Псков
70,1936-03-08,-3.6,-0.8,3.5,0,Псков
71,1936-03-09,-6,-2.1,3.7,0,Псков
72,1936-03-10,-5.2,-0.9,1.4,0,Псков
73,1936-03-11,-0.5,0.6,2.1,4.1,Псков
74,1936-03-12,0,0.8,1.4,0.7,Псков
75,1936-03-13,0.7,1.6,2.2,6.1,Псков
76,1936-03-14,0.7,2.3,3.2,10.8,Псков
77,1936-03-15,0.7,1.5,3.1,2.2,Псков
78,1936-03-16,-0.4,0.3,1.5,3.1,Псков
79,1936-03-17,-3.5,-0.8,1.7,0.2,Псков
80,1936-03-18,-4.2,-0.8,1.6,0,Псков
81,1936-03-19,1.4,2.4,4.6,0,Псков
82,1936-03-20,-4.7,-2.2,1.7,0,Псков
83,1936-03-21,-3.2,0.2,4.7,0,Псков
84,1936-03-22,0,2.1,5.7,0.1,Псков
85,1936-03-23,-0.3,2,4.9,0,Псков
86,1936-03-24,-4,-2.4,2.3,0,Псков
87,1936-03-25,-8.5,-5,-0.4,0,Псков
88,1936-03-26,-4.8,-2.4,0.5,0,Псков
89,1936-03-27,-1.6,-0.4,1,0,Псков
90,1936-03-28,-4.6,-2.1,1.1,0,Псков
91,1936-03-29,-5.5,-0.2,5.7,0,Псков
92,1936-03-30,-4.4,0,5.1,0,Псков
93,1936-03-31,-4,1.3,6.7,0,Псков
95,1936-04-01,0,4,9,0,Псков
96,1936-04-02,2.2,4.3,6.5,1.2,Псков
97,1936-04-03,-1.5,1.2,4.5,0.3,Псков
98,1936-04-04,-4.5,-1.2,2.3,0,Псков
99,1936-04-05,-5.9,-4.1,-0.1,1,Псков
100,1936-04-06,-6.6,-3.1,0.1,0.1,Псков
101,1936-04-07,-3.1,-0.5,3.7,4.6,Псков
102,1936-04-08,-7.4,-3.8,-1.5,0.3,Псков
103,1936-04-09,-7.2,-2.4,1.6,0,Псков
104,1936-04-10,-1.7,0.9,4.1,0.5,Псков
105,1936-04-11,-3.2,1.8,6,0,Псков
106,1936-04-12,-2,3.4,9.3,0,Псков
107,1936-04-13,0.9,5.8,11.1,0,Псков
108,1936-04-14,0.5,5.4,12.1,0,Псков
109,1936-04-15,-0.7,3.2,7,0.1,Псков
110,1936-04-16,1.1,4.3,9.6,0,Псков
111,1936-04-17,2.9,9,15.4,0.9,Псков
112,1936-04-18,6.1,10.3,15.5,0,Псков
113,1936-04-19,6.9,8.8,12.4,0,Псков
114,1936-04-20,4.4,7.4,11.2,1.3,Псков
115,1936-04-21,-0.4,5.6,11,0,Псков
116,1936-04-22,2.2,6.8,13.1,1,Псков
117,1936-04-23,-1,8.5,17.6,0,Псков
118,1936-04-24,6.7,9.4,14.3,2,Псков
119,1936-04-25,6.6,8.4,10.3,5.2,Псков
120,1936-04-26,4.3,7.3,11.1,0.4,Псков
121,1936-04-27,1.5,7.8,15,0,Псков
122,1936-04-28,8,11.5,16.7,0.6,Псков
123,1936-04-29,9.6,14.9,21.2,0,Псков
124,1936-04-30,10.1,14.9,19.7,0,Псков
126,1936-05-01,9.5,13.2,16.7,0.9,Псков
127,1936-05-02,9,11,13.1,0,Псков
128,1936-05-03,8.8,11.4,15,5.2,Псков
129,1936-05-04,5.6,8.2,13.5,0,Псков
130,1936-05-05,2,9.4,12.6,0,Псков
131,1936-05-06,2.9,9,13.5,0,Псков
132,1936-05-07,7.6,12.6,17.9,0.5,Псков
133,1936-05-08,7.9,12.2,16.4,0,Псков
134,1936-05-09,8.2,11.2,14.7,3.4,Псков
135,1936-05-10,3.6,11.4,17.6,0,Псков
