,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,0.9,1.8,3.1,5.6,Пярну
2,1936-01-02,0.5,0.9,2.4,0.7,Пярну
3,1936-01-03,0.8,1.8,2.7,1.7,Пярну
4,1936-01-04,1.5,2.4,3.5,6.4,Пярну
5,1936-01-05,0.3,0.9,3.3,1.3,Пярну
6,1936-01-06,-3.1,-1.9,2.1,0.3,Пярну
7,1936-01-07,-4,-2.4,-1.1,2,Пярну
8,1936-01-08,-2.7,-2.5,-1.6,2.8,Пярну
9,1936-01-09,-3.6,-2.5,-1,0,Пярну
10,1936-01-10,-1.7,0.5,1.2,3.7,Пярну
11,1936-01-11,0.7,2.4,4.1,2.9,Пярну
12,1936-01-12,0.5,1.1,3.9,2.3,Пярну
13,1936-01-13,-1.3,0.1,1.3,0,Пярну
14,1936-01-14,-5.1,-3.2,1.2,0.4,Пярну
15,1936-01-15,-6.3,-3.5,-0.8,0.5,Пярну
16,1936-01-16,-6.2,-4.5,-1.2,0,Пярну
17,1936-01-17,-8.1,-5.3,-3.6,0,Пярну
18,1936-01-18,-4.9,-1.2,0.7,0.4,Пярну
19,1936-01-19,-0.8,0,1,2.7,Пярну
20,1936-01-20,-5.1,-0.4,0.4,1.1,Пярну
21,1936-01-21,-3.6,0,1.9,0.3,Пярну
22,1936-01-22,0.1,0.7,1.9,3.9,Пярну
23,1936-01-23,-1.6,0.5,2.1,0.3,Пярну
24,1936-01-24,-1.1,0.4,1.9,0,Пярну
25,1936-01-25,-3.5,-1.1,0.7,0,Пярну
26,1936-01-26,-4,-1.3,0.6,0.7,Пярну
27,1936-01-27,-4,-1.8,0,0,Пярну
28,1936-01-28,-12.3,-10.9,-3,0,Пярну
29,1936-01-29,-13,-9.7,-7.1,0,Пярну
30,1936-01-30,-13.5,-11.2,-7.1,0,Пярну
31,1936-01-31,-15.7,-11.3,-8.6,0,Пярну
33,1936-02-01,-10.6,-4.8,-1.2,5.7,Пярну
34,1936-02-02,-1.7,0.9,1.5,2.7,Пярну
35,1936-02-03,-0.4,0.5,1.6,4.3,Пярну
36,1936-02-04,0.2,1,2.4,3.6,Пярну
37,1936-02-05,-0.1,0.3,1.1,0,Пярну
38,1936-02-06,-5.4,-4.1,0.6,0,Пярну
39,1936-02-07,-8.2,-5.4,-3.6,0,Пярну
40,1936-02-08,-5,0.7,3,1.4,Пярну
41,1936-02-09,-11.1,-10.1,2.6,0.8,Пярну
