,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1934-01-01,-13.8,-12.7,-10.5,0.2,Пятигорск
2,1934-01-02,-12.9,-8.3,-6.2,0.1,Пятигорск
3,1934-01-03,-13.5,-8.4,-5.2,0.1,Пятигорск
4,1934-01-04,-5.8,-3.7,-2.7,0,Пятигорск
5,1934-01-05,-4.4,-3.6,-2.4,0.5,Пятигорск
6,1934-01-06,-5.1,-3.6,-3,0.1,Пятигорск
7,1934-01-07,-6.1,-5.3,-3,0.1,Пятигорск
8,1934-01-08,-7,-6.3,-3,0.1,Пятигорск
9,1934-01-09,-6.4,-4.9,-3.1,0,Пятигорск
10,1934-01-10,-6.4,-5.9,-4.8,0,Пятигорск
11,1934-01-11,-7.4,-5.3,-3.9,0,Пятигорск
12,1934-01-12,-5.4,-4.5,-3.5,0.2,Пятигорск
13,1934-01-13,-4.6,-3.7,-2.9,0,Пятигорск
14,1934-01-14,-5.3,-4,-2.6,0.4,Пятигорск
15,1934-01-15,-8.1,-6.6,-3,0.1,Пятигорск
16,1934-01-16,-9.7,-8.1,-7,0,Пятигорск
17,1934-01-17,-16,-8.5,-5.4,0.1,Пятигорск
18,1934-01-18,-12,-9.7,-3,0.1,Пятигорск
19,1934-01-19,-11.2,-2.2,3.8,0,Пятигорск
20,1934-01-20,-4.7,-0.3,5.5,0.2,Пятигорск
21,1934-01-21,-5.5,-4.4,-3,0,Пятигорск
22,1934-01-22,-6.3,-2.2,-1.2,1.9,Пятигорск
23,1934-01-23,-7,-5.1,-3.1,0.2,Пятигорск
24,1934-01-24,-8.5,-7.3,-6.5,0,Пятигорск
25,1934-01-25,-14.9,-8.9,-5.6,0.7,Пятигорск
26,1934-01-26,-7.4,-4.8,-2.9,0,Пятигорск
27,1934-01-27,-9.3,-2.2,0.5,0,Пятигорск
28,1934-01-28,-7,-4.2,-1.4,0,Пятигорск
29,1934-01-29,-11.1,-6.1,-3.3,0,Пятигорск
30,1934-01-30,-6.1,-1.4,7,0.1,Пятигорск
31,1934-01-31,-7.8,-3.3,3.5,0.2,Пятигорск
33,1934-02-01,-9.3,-4.3,-2.5,0.1,Пятигорск
34,1934-02-02,-3.6,-1.6,2.5,0.1,Пятигорск
35,1934-02-03,-3.3,0.8,2.5,3.4,Пятигорск
36,1934-02-04,-3.8,-2.6,0.6,0.3,Пятигорск
37,1934-02-05,-6.3,-3.2,2.1,0.1,Пятигорск
38,1934-02-06,-10.5,-4.6,0.1,0,Пятигорск
39,1934-02-07,-11.7,-3.5,1.7,0,Пятигорск
40,1934-02-08,-5.3,-0.9,3.5,0,Пятигорск
41,1934-02-09,-9.4,-1.2,4.4,0,Пятигорск
42,1934-02-10,-6.9,-3.4,0,0,Пятигорск
43,1934-02-11,-13.7,-4.5,6.5,0,Пятигорск
44,1934-02-12,-10.1,-4.2,1.5,0,Пятигорск
45,1934-02-13,-5.3,-1.3,3,0,Пятигорск
46,1934-02-14,-3.6,-1.9,-1,0,Пятигорск
47,1934-02-15,-2,-0.6,1,0.4,Пятигорск
48,1934-02-16,-2.3,-1.8,-0.5,1.9,Пятигорск
49,1934-02-17,-3.3,0.3,1.7,0,Пятигорск
50,1934-02-18,-3.5,-0.4,4.2,0.1,Пятигорск
51,1934-02-19,-6,-1.1,4,0,Пятигорск
52,1934-02-20,-3.1,0.1,2,0,Пятигорск
53,1934-02-21,-3.6,-0.9,2,0.6,Пятигорск
54,1934-02-22,-8.4,-4.9,-1,0,Пятигорск
55,1934-02-23,-13.5,-10.8,-7.5,0,Пятигорск
56,1934-02-24,-17.2,0.5,6.5,0,Пятигорск
57,1934-02-25,-4.6,0.4,7.6,1.2,Пятигорск
58,1934-02-26,-4.2,0.3,4.3,0,Пятигорск
59,1934-02-27,0,3,8.5,0,Пятигорск
60,1934-02-28,-1.7,1.1,5,3.7,Пятигорск
62,1934-03-01,-2.8,2.8,10.5,0,Пятигорск
63,1934-03-02,-8.1,-3.6,3.3,7.4,Пятигорск
64,1934-03-03,-11.1,-8.8,-6.5,1.1,Пятигорск
65,1934-03-04,-8.4,-6.6,-5.5,9.8,Пятигорск
66,1934-03-05,-5.7,-3.9,-2,0.2,Пятигорск
67,1934-03-06,-3.8,-1.2,1.6,1.2,Пятигорск
68,1934-03-07,-1.8,-0.3,1.6,0.5,Пятигорск
69,1934-03-08,-1.6,-0.5,-0.1,0.1,Пятигорск
70,1934-03-09,-1.6,0.3,3.2,0.1,Пятигорск
71,1934-03-10,-2.4,0.5,6.5,0.1,Пятигорск
72,1934-03-11,-4.8,2.7,8.7,0,Пятигорск
73,1934-03-12,0.3,5.8,13.5,0,Пятигорск
74,1934-03-13,-0.3,9,19,0,Пятигорск
75,1934-03-14,1.6,10,19.8,0,Пятигорск
76,1934-03-15,5.2,12,21,0,Пятигорск
77,1934-03-16,3.5,11.4,20.6,0,Пятигорск
78,1934-03-17,0.5,10.5,24.5,0,Пятигорск
79,1934-03-18,1.9,12.8,21.1,0,Пятигорск
80,1934-03-19,6.6,11.2,18,0,Пятигорск
81,1934-03-20,2.8,9.9,16.6,0,Пятигорск
82,1934-03-21,4,5.7,10,10.3,Пятигорск
83,1934-03-22,2.4,7.8,14.8,0,Пятигорск
84,1934-03-23,0.4,7.1,14.9,0,Пятигорск
85,1934-03-24,-0.7,2.3,5.4,0,Пятигорск
86,1934-03-25,0.4,1.4,4.8,0.1,Пятигорск
87,1934-03-26,-2.6,-0.3,2.5,0,Пятигорск
88,1934-03-27,-0.6,1.7,4,0.1,Пятигорск
89,1934-03-28,-1.6,-0.9,3.1,0.2,Пятигорск
90,1934-03-29,-7.1,-2.6,3,0,Пятигорск
91,1934-03-30,-7.1,-1.8,5.5,0,Пятигорск
92,1934-03-31,-3.6,2.5,12.3,0,Пятигорск
94,1934-04-01,-0.6,6.9,15.8,0,Пятигорск
95,1934-04-02,1.9,4.7,8.5,3.5,Пятигорск
96,1934-04-03,-1.5,-0.4,2.7,0.3,Пятигорск
97,1934-04-04,0,1.1,3.7,0,Пятигорск
98,1934-04-05,-0.2,2.3,5.6,0.3,Пятигорск
99,1934-04-06,-0.9,1.6,5.9,0.1,Пятигорск
100,1934-04-07,0.1,6.4,11.3,0,Пятигорск
101,1934-04-08,1.6,6.5,11,0,Пятигорск
102,1934-04-09,0.4,6.9,12.7,0,Пятигорск
103,1934-04-10,0.1,8.6,16.6,0,Пятигорск
104,1934-04-11,-1.3,10.7,17,0,Пятигорск
105,1934-04-12,5.4,9.5,15.3,1.7,Пятигорск
106,1934-04-13,6.4,11,16.3,6.3,Пятигорск
107,1934-04-14,3.4,5.2,10.7,0,Пятигорск
108,1934-04-15,-1.2,5.7,12,0,Пятигорск
109,1934-04-16,-2.5,5.9,12,0,Пятигорск
110,1934-04-17,-4.6,6.6,13,0,Пятигорск
111,1934-04-18,-0.3,6.3,9.5,0,Пятигорск
