,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-05-01,2.3,9.3,15.1,0,Реболы
2,1936-05-02,2.5,5.6,12.4,0,Реболы
3,1936-05-03,2,3.9,7,0,Реболы
4,1936-05-04,-2.6,2.2,7.8,0,Реболы
5,1936-05-05,-0.5,5.6,11.4,0,Реболы
6,1936-05-06,-2,8.2,15.2,0,Реболы
7,1936-05-07,-0.5,9.4,16.7,0,Реболы
8,1936-05-08,1.3,10.3,16.3,0,Реболы
9,1936-05-09,2,9.9,16.8,0,Реболы
10,1936-05-10,1.5,9.9,17,0,Реболы
11,1936-05-11,5.5,10.9,16.5,0,Реболы
12,1936-05-12,4.2,12.5,16.6,0,Реболы
13,1936-05-13,6.3,12.4,18.9,0,Реболы
14,1936-05-14,1.4,3.7,14.8,0,Реболы
15,1936-05-15,-4,1.8,7,0,Реболы
16,1936-05-16,0.5,8,15.3,0,Реболы
17,1936-05-17,4.8,9.7,15.3,0,Реболы
18,1936-05-18,2.5,11.9,18.5,0,Реболы
19,1936-05-19,4,12.6,19.8,0,Реболы
20,1936-05-20,9.5,14.5,18.7,0,Реболы
21,1936-05-21,11.5,14.2,19.9,0.5,Реболы
22,1936-05-22,8.5,11.2,16.1,0.5,Реболы
23,1936-05-23,2.1,6.1,9.5,0,Реболы
24,1936-05-24,2.2,7.2,12.2,0,Реболы
25,1936-05-25,6,12,16.4,0,Реболы
26,1936-05-26,4.4,14.1,21,0,Реболы
27,1936-05-27,12,15.5,20.8,0,Реболы
28,1936-05-28,4.3,6.6,14,1.7,Реболы
29,1936-05-29,0,0.7,5,25.6,Реболы
30,1936-05-30,-1,3.5,8.9,0.3,Реболы
31,1936-05-31,3.4,8.3,13.8,2.5,Реболы
33,1936-06-01,8.8,11.1,15,10.8,Реболы
34,1936-06-02,8.6,14,17.5,0,Реболы
35,1936-06-03,13.3,18.6,22.8,0,Реболы
36,1936-06-04,7.8,11.8,19.2,0,Реболы
37,1936-06-05,5.1,9.4,14,3.6,Реболы
38,1936-06-06,5.9,12.6,20.3,0,Реболы
39,1936-06-07,10.6,17,22.4,0,Реболы
40,1936-06-08,11.4,19.5,24,0,Реболы
41,1936-06-09,14.2,20.3,24,0,Реболы
42,1936-06-10,12,20.1,24.8,0,Реболы
43,1936-06-11,14.5,21.2,26.5,0,Реболы
44,1936-06-12,16.5,21.1,25.2,0,Реболы
45,1936-06-13,13.4,17.7,23.6,0,Реболы
46,1936-06-14,13.5,17.4,20.4,0,Реболы
47,1936-06-15,12.3,16.6,21.8,0,Реболы
48,1936-06-16,13.1,16.2,21.3,8.4,Реболы
49,1936-06-17,15.2,19.5,24.7,0,Реболы
50,1936-06-18,15.8,19.7,24.1,0,Реболы
51,1936-06-19,15,20.4,25.7,0,Реболы
52,1936-06-20,13,20,25.8,0,Реболы
53,1936-06-22,12.5,21,26.8,0,Реболы
54,1936-06-23,15.2,22.3,29,1.8,Реболы
55,1936-06-24,15.2,19.6,26.3,1,Реболы
56,1936-06-25,12.6,16.4,20.4,4.2,Реболы
57,1936-06-26,8.2,13,19.5,0.5,Реболы
58,1936-06-27,8.7,11.5,16,7.3,Реболы
59,1936-06-28,7.5,11.2,14.3,1.5,Реболы
60,1936-06-29,6,12.5,16.2,0.5,Реболы
61,1936-06-30,8.4,11.1,14.8,7.8,Реболы
63,1936-07-01,8.5,12.9,16.7,1.6,Реболы
64,1936-07-02,11,15.2,18.5,11.5,Реболы
65,1936-07-03,11.2,16,21.1,0,Реболы
66,1936-07-04,13.7,16,19.3,3.9,Реболы
67,1936-07-05,15.1,19.5,25,5.5,Реболы
68,1936-07-06,14.3,17.2,21.4,4,Реболы
69,1936-07-07,11.5,15.5,18.8,0,Реболы
70,1936-07-08,11.5,14,17.4,0,Реболы
71,1936-07-09,11.2,14.8,18.4,3,Реболы
72,1936-07-10,12.5,13.5,16.7,0,Реболы
73,1936-07-11,10.7,12.3,14.5,7.5,Реболы
74,1936-07-12,13.5,16.4,19.2,1,Реболы
75,1936-07-13,12.1,17.8,23.4,0,Реболы
76,1936-07-14,17,21.8,26.8,0,Реболы
77,1936-07-15,17.5,22.2,28.3,4.6,Реболы
78,1936-07-16,14,18,28.2,0,Реболы
79,1936-07-17,16,18.2,21.6,0.5,Реболы
80,1936-07-18,13.7,15,18.8,0.2,Реболы
81,1936-07-19,12.1,15.5,19.2,3.4,Реболы
82,1936-07-20,11.2,15.1,19.2,2,Реболы
83,1936-07-21,13.7,17.1,21.9,4.7,Реболы
84,1936-07-22,14.3,17.8,21.1,0,Реболы
85,1936-07-23,16.5,22,27.1,0,Реболы
86,1936-07-24,19.6,23.8,28.6,0,Реболы
87,1936-07-25,16,22.2,26.9,0,Реболы
88,1936-07-26,16.5,23.6,28.1,0,Реболы
89,1936-07-27,19.5,22,26.4,1,Реболы
90,1936-07-28,14.5,18.2,21.5,0,Реболы
91,1936-07-29,12,15.6,19.6,0.3,Реболы
92,1936-07-30,14.5,16.1,19.1,6.7,Реболы
93,1936-07-31,11.2,15.3,19.9,3.5,Реболы
95,1936-08-01,12.6,15.5,19.4,0,Реболы
96,1936-08-02,12.6,17.3,21,0,Реболы
97,1936-08-03,16.1,22,28.6,1.7,Реболы
98,1936-08-04,15.1,18.6,24.2,11,Реболы
99,1936-08-05,13.1,15.9,19.5,3,Реболы
100,1936-08-06,12.7,14.4,18.6,11.2,Реболы
101,1936-08-07,10.3,14.4,18.5,5.7,Реболы
102,1936-08-08,6.8,11.7,14.7,0,Реболы
103,1936-08-10,8.1,14.8,21,0,Реболы
104,1936-08-11,11.1,16.8,21.4,0,Реболы
105,1936-08-12,13,18.2,23.4,0,Реболы
106,1936-08-13,12.1,18.5,24.5,0,Реболы
107,1936-08-14,12.9,18.7,23.9,4,Реболы
108,1936-08-15,8.9,12,20.2,0,Реболы
109,1936-08-16,6,11,16.3,0,Реболы
110,1936-08-18,7.5,14.1,18.8,0,Реболы
111,1936-08-19,4.7,13.4,20.8,0,Реболы
112,1936-08-20,7.2,15.3,21.2,0,Реболы
113,1936-08-21,10.5,16.5,21.4,0,Реболы
114,1936-08-22,11.3,16.4,21.6,0,Реболы
115,1936-08-23,12.8,15.6,19.4,0,Реболы
116,1936-08-24,10.1,15,18.3,4,Реболы
117,1936-08-25,12.3,13,18,7.8,Реболы
118,1936-08-26,10.9,13.7,15.5,11,Реболы
119,1936-08-27,12.3,14.6,18.3,2.7,Реболы
120,1936-08-28,7.7,11.8,18.3,5,Реболы
121,1936-08-29,4.6,10.1,14.9,0,Реболы
122,1936-08-30,3.8,8.9,15.4,0,Реболы
123,1936-08-31,6.4,9.7,11.8,0,Реболы
125,1936-09-01,6,10.7,13.2,11.5,Реболы
126,1936-09-02,7.3,12.4,14.7,0,Реболы
127,1936-09-03,8.8,12.2,14.2,2.3,Реболы
128,1936-09-04,11.5,13.5,16.4,0,Реболы
129,1936-09-05,5.2,11.4,16.5,0,Реболы
130,1936-09-06,8,9.4,12.5,0,Реболы
131,1936-09-07,6.5,7.6,11,19.5,Реболы
132,1936-09-08,4,6.4,8.4,0,Реболы
133,1936-09-09,0.2,4.2,8.2,0,Реболы
134,1936-09-10,-0.2,4,8.6,0,Реболы
135,1936-09-11,0,5.8,10.9,0,Реболы
136,1936-09-12,3.5,10.9,18.2,0,Реболы
137,1936-09-13,7,13,19.3,0,Реболы
138,1936-09-14,6.5,11,15.3,0,Реболы
139,1936-09-15,3.5,9.9,17.2,0,Реболы
140,1936-09-16,8,10.7,14.5,0,Реболы
141,1936-09-17,6.5,10.7,15,0,Реболы
142,1936-09-18,4.4,11.1,17,0,Реболы
143,1936-09-19,7,10.6,16.8,0,Реболы
144,1936-09-20,6.5,9.7,17.1,0,Реболы
145,1936-09-21,9.8,12.3,17,0,Реболы
146,1936-09-22,8.2,11,13.4,0.5,Реболы
147,1936-09-23,4.2,8.7,13.2,0,Реболы
148,1936-09-24,1,4.1,7.5,1,Реболы
149,1936-09-25,-1.5,3,8.3,1,Реболы
