,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1943-01-01,-8.9,-3.2,-1.3,0,Рига
2,1943-01-02,-4.4,-2.5,-1.6,0.1,Рига
3,1943-01-03,-6,-4.1,-1.3,2.1,Рига
4,1943-01-04,-5.3,-3.6,-2.6,1.9,Рига
5,1943-01-05,-3.4,-2.4,-1.6,2.3,Рига
6,1943-01-06,-6.8,-4.9,-1.6,1.6,Рига
7,1943-01-07,-8.7,-7.6,-6.4,1.4,Рига
8,1943-01-08,-13.7,-8.7,-7.1,0.8,Рига
9,1943-01-09,-10.7,-7,-5.2,0,Рига
10,1943-01-10,-10.4,-9,-7.4,0,Рига
11,1943-01-11,-17.1,-9.9,-4.9,0,Рига
12,1943-01-12,-13,-8.6,-4.9,0,Рига
13,1943-01-13,-17,-13.6,-9.8,0,Рига
14,1943-01-14,-16.8,-14.1,-11.2,0,Рига
15,1943-01-15,-14.6,-11.2,-8.4,0,Рига
16,1943-01-16,-14,-12.8,-8.7,0.5,Рига
17,1943-01-17,-13.6,-9.4,-7.9,0.6,Рига
18,1943-01-18,-8,-3.8,-3.4,0,Рига
19,1943-01-19,-13.2,-7.3,-1.8,0,Рига
20,1943-01-20,-13.5,-10.3,-9.8,1.5,Рига
21,1943-01-21,-10,-2.4,-0.2,6.4,Рига
22,1943-01-22,-3.9,-1.2,1.8,1.4,Рига
23,1943-01-23,-13.6,-11.1,-3.1,0,Рига
24,1943-01-24,-17,-15,-12.2,0,Рига
25,1943-01-25,-21.9,-18.4,-13.9,0,Рига
26,1943-01-26,-19.3,-15.1,-12.9,0,Рига
27,1943-01-27,-15,-11.3,-8.8,0,Рига
28,1943-01-28,-9,-7.3,-6.1,0,Рига
29,1943-01-29,-6.7,-5.2,-3.2,8.3,Рига
30,1943-01-30,-3.2,-1,-0.3,0.2,Рига
31,1943-01-31,-3.2,-1.9,-1,1.6,Рига
33,1943-02-01,-1.4,0.7,2.3,4.3,Рига
34,1943-02-02,1.4,2.2,3.8,0,Рига
35,1943-02-03,-0.4,0.4,1.9,0.8,Рига
36,1943-02-04,-1.7,-0.4,1.2,0.7,Рига
37,1943-02-05,-2,0.1,1.1,0.4,Рига
38,1943-02-06,0,0.9,2.3,2.4,Рига
39,1943-02-07,0.3,1.9,3.7,0.5,Рига
40,1943-02-08,-6.1,-3.8,1,0.5,Рига
41,1943-02-09,-12.5,-6.4,-0.7,0.8,Рига
42,1943-02-10,-7,-4.2,-2.7,0.4,Рига
43,1943-02-11,-3.8,-0.7,1.9,0.3,Рига
44,1943-02-12,0.9,2.7,3.3,8.4,Рига
45,1943-02-13,0.8,2,3.8,0.4,Рига
46,1943-02-14,-2.5,-1.2,1.4,1.6,Рига
47,1943-02-15,-4.9,-0.4,2.4,2.7,Рига
48,1943-02-16,0.5,2.1,3.6,5.1,Рига
49,1943-02-17,-3.1,-1.3,1.3,0,Рига
50,1943-02-18,-3,0.8,2.7,4.9,Рига
51,1943-02-19,-0.3,2,3.4,0,Рига
52,1943-02-20,0.7,2.6,5.7,0.9,Рига
53,1943-02-21,-0.7,0.2,2.2,0,Рига
54,1943-02-22,-0.1,3.2,5.2,0,Рига
55,1943-02-23,-1.5,1.4,6.2,0,Рига
56,1943-02-24,-1.9,1.6,3.4,0.2,Рига
57,1943-02-25,1.2,3,4.9,0,Рига
58,1943-02-26,0.6,1.4,2.8,0,Рига
59,1943-02-27,-0.8,2.2,4.9,0,Рига
60,1943-02-28,3.4,6,11.2,0,Рига
62,1943-03-01,-0.9,2.5,5.3,0,Рига
63,1943-03-02,-1.2,0.1,2.4,5.2,Рига
64,1943-03-03,-5.4,-3.7,0.9,0,Рига
65,1943-03-04,-7.5,-1.6,2.6,0,Рига
66,1943-03-05,-1.3,0.8,3.4,0,Рига
67,1943-03-06,-3.5,-1,2.7,0,Рига
68,1943-03-07,-9.1,-2.3,2.6,0,Рига
69,1943-03-08,-1.6,1.2,2.5,0,Рига
70,1943-03-09,0.2,3.2,9.2,0,Рига
71,1943-03-10,-3.8,1.4,7.3,0,Рига
72,1943-03-11,2.2,5.3,7.9,0.7,Рига
73,1943-03-12,0.5,2.7,7.6,0,Рига
74,1943-03-13,-2.3,0.6,6.8,0,Рига
75,1943-03-14,-3.2,0.8,6.2,0,Рига
76,1943-03-15,-2.2,1.3,6.6,0,Рига
77,1943-03-16,-2.1,1.6,5.6,0,Рига
78,1943-03-17,-1.8,1.3,5.6,0,Рига
79,1943-03-18,-3.2,0.9,6.5,0,Рига
80,1943-03-19,-2.3,2.6,9.3,0,Рига
81,1943-03-20,-6,2.8,10.8,0,Рига
82,1943-03-21,-2.5,2.5,12.3,0,Рига
83,1943-03-22,-5.9,1.1,10.6,0,Рига
84,1943-03-23,-3.4,2.4,10,0,Рига
85,1943-03-24,-4.2,1.7,9.3,0,Рига
86,1943-03-25,-2.3,3.9,9.6,0,Рига
87,1943-03-26,-1.1,4.6,9.2,0,Рига
88,1943-03-27,1.7,5.9,10.7,0,Рига
89,1943-03-28,2.3,5.1,9.8,1,Рига
90,1943-03-29,4,5.9,9.9,0,Рига
91,1943-03-30,-0.8,4.3,10.6,0.2,Рига
92,1943-03-31,4.2,6.1,8.2,2.2,Рига
94,1943-04-01,1.4,3.7,6.4,1.9,Рига
95,1943-04-02,-0.4,1.4,2.4,0,Рига
96,1943-04-03,0.2,2,4.4,0,Рига
97,1943-04-04,-0.9,3.5,7.3,0,Рига
98,1943-04-05,3.3,7.6,11.9,0,Рига
99,1943-04-06,3.4,9.1,16.3,1.3,Рига
100,1943-04-07,0.1,2.2,8,3.3,Рига
101,1943-04-08,-3.4,2.2,7.9,1.2,Рига
102,1943-04-09,-2.4,1.2,4.7,0,Рига
103,1943-04-10,-3.9,2.6,6.1,0.3,Рига
104,1943-04-11,2,5.2,8.7,0,Рига
105,1943-04-12,-3.4,3.4,8.4,0,Рига
106,1943-04-13,-2.8,3.3,6.8,0,Рига
107,1943-04-14,1.2,9.6,15.4,1,Рига
108,1943-04-15,10,13.2,18.9,0,Рига
109,1943-04-16,5.8,8.5,12.4,0.2,Рига
110,1943-04-17,3,6.2,10.9,1.2,Рига
111,1943-04-18,2.4,5.6,8.7,0.1,Рига
112,1943-04-19,3.6,9.6,14.9,0,Рига
113,1943-04-20,2.4,6.4,11.8,0,Рига
114,1943-04-21,1.5,8.9,14.2,0,Рига
115,1943-04-22,3,12.1,19.1,0,Рига
116,1943-04-23,10.6,15.1,18.8,0,Рига
117,1943-04-24,9.4,17.5,23.2,0.4,Рига
118,1943-04-25,7.1,10.7,18.2,5.4,Рига
119,1943-04-26,5.4,11.4,16.6,0.5,Рига
120,1943-04-27,6.2,7.7,9.7,3.8,Рига
121,1943-04-28,6.1,7.4,9.2,0,Рига
122,1943-04-29,2.4,5.1,9.4,0,Рига
123,1943-04-30,-1.1,2,5.2,0,Рига
125,1943-05-01,-2.7,4.6,7.1,3.9,Рига
126,1943-05-02,2.5,5.3,9.1,1,Рига
127,1943-05-03,-2.4,7,11.7,0,Рига
128,1943-05-04,-1.2,8.5,16.7,0,Рига
129,1943-05-05,1.8,11.8,17.8,0,Рига
130,1943-05-06,3.3,14.2,20.1,0,Рига
131,1943-05-07,8.6,12.8,18.4,0,Рига
132,1943-05-08,7.1,10.5,13.4,0,Рига
133,1943-05-09,5.4,14.3,19.4,10.8,Рига
134,1943-05-10,5.8,6.6,15.6,10.4,Рига
135,1943-05-11,1.1,12.4,18.7,0.8,Рига
