,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1911-02-01,-23.2,-21.3,-17.1,0,Ростов-на-Дону
2,1911-02-02,-25.6,-21.6,-18.7,0.2,Ростов-на-Дону
3,1911-02-03,-21,-16.1,-14.7,0.2,Ростов-на-Дону
4,1911-02-04,-18.3,-15.8,-13,0,Ростов-на-Дону
5,1911-02-05,-19.2,-7.2,-1,1.8,Ростов-на-Дону
6,1911-02-06,-17,-10.6,-4.4,0.6,Ростов-на-Дону
7,1911-02-07,-22.5,-19.4,-15.9,0,Ростов-на-Дону
8,1911-02-08,-27.1,-24,-14.7,0,Ростов-на-Дону
9,1911-02-09,-27.5,-22.9,-18.7,0,Ростов-на-Дону
10,1911-02-10,-30,-23.8,-17.1,0,Ростов-на-Дону
11,1911-02-11,-29,-21.2,-17.6,0,Ростов-на-Дону
12,1911-02-12,-23.5,-21.3,-17.9,0,Ростов-на-Дону
13,1911-02-13,-29,-25.1,-21.6,0,Ростов-на-Дону
14,1911-02-14,-28.7,-23.9,-19.2,0,Ростов-на-Дону
15,1911-02-15,-25.7,-21,-16.1,0,Ростов-на-Дону
16,1911-02-16,-26.3,-19,-12.7,0,Ростов-на-Дону
17,1911-02-17,-25,-18.6,-13.6,0,Ростов-на-Дону
18,1911-02-18,-21.3,-14.6,-8.9,0,Ростов-на-Дону
19,1911-02-19,-10.5,-2.3,2.8,11.9,Ростов-на-Дону
20,1911-02-20,-4,1.6,2.8,9.7,Ростов-на-Дону
21,1911-02-21,-0.6,0.1,1.8,0,Ростов-на-Дону
22,1911-02-22,-8.2,-4.7,-0.2,0,Ростов-на-Дону
23,1911-02-23,-11.7,-5.4,-0.4,0.6,Ростов-на-Дону
24,1911-02-24,-1.6,0.4,3.5,0,Ростов-на-Дону
25,1911-02-25,-1.6,0.5,3.8,0,Ростов-на-Дону
26,1911-02-26,-3,0.5,3.5,4.9,Ростов-на-Дону
27,1911-02-27,-1,0.2,3.2,0,Ростов-на-Дону
28,1911-02-28,-2.2,-0.1,2.8,0,Ростов-на-Дону
30,1911-03-01,-0.6,0.5,2,0,Ростов-на-Дону
31,1911-03-02,-1.7,-0.1,1.3,17.6,Ростов-на-Дону
32,1911-03-03,-0.7,0.7,4.4,0,Ростов-на-Дону
33,1911-03-04,-2,1,3.5,0.1,Ростов-на-Дону
34,1911-03-05,-2.7,0.4,4.4,0,Ростов-на-Дону
35,1911-03-06,-2.1,0,6.3,0,Ростов-на-Дону
36,1911-03-07,-1.5,0.4,1.8,0,Ростов-на-Дону
37,1911-03-08,-1.7,-1.2,0.5,1.1,Ростов-на-Дону
38,1911-03-09,-1.8,-0.4,1,1.7,Ростов-на-Дону
39,1911-03-10,-0.3,0.6,3.2,2.6,Ростов-на-Дону
40,1911-03-11,-3,-2.1,1.4,0,Ростов-на-Дону
41,1911-03-12,-4.5,-3.7,-2.6,0,Ростов-на-Дону
42,1911-03-13,-6.7,-3.8,-1.1,0,Ростов-на-Дону
43,1911-03-14,-8.5,-6.1,-4,0,Ростов-на-Дону
44,1911-03-15,-8,-3.2,1.2,0,Ростов-на-Дону
45,1911-03-16,-4.6,-2.1,1,0,Ростов-на-Дону
46,1911-03-17,-6,-1.7,4,0,Ростов-на-Дону
47,1911-03-18,-3.6,0.3,5.9,0,Ростов-на-Дону
48,1911-03-19,-0.2,1.8,4,6.3,Ростов-на-Дону
49,1911-03-20,0,0.3,3.4,0.9,Ростов-на-Дону
50,1911-03-21,-5.6,-4.1,0.3,0,Ростов-на-Дону
51,1911-03-22,-12,-8.7,-5.5,0,Ростов-на-Дону
52,1911-03-23,-12.5,-6.9,-2.5,0,Ростов-на-Дону
53,1911-03-24,-9.5,-5.1,-0.4,0,Ростов-на-Дону
54,1911-03-25,-7.2,-3.4,1,0,Ростов-на-Дону
55,1911-03-26,-4.8,-0.1,6.4,0,Ростов-на-Дону
56,1911-03-27,-3.2,-1,1.9,0,Ростов-на-Дону
57,1911-03-28,-6,-1.8,3.3,0,Ростов-на-Дону
58,1911-03-29,-2.4,0.5,4.6,0,Ростов-на-Дону
59,1911-03-30,-2.8,-0.3,2.1,0,Ростов-на-Дону
60,1911-03-31,-7,-0.8,4.8,0,Ростов-на-Дону
62,1911-04-01,-3.7,2.4,10,0,Ростов-на-Дону
63,1911-04-02,-2.1,2.9,5.9,0,Ростов-на-Дону
64,1911-04-03,-0.6,5.7,15.9,0,Ростов-на-Дону
65,1911-04-04,1.9,10.1,18.4,0,Ростов-на-Дону
66,1911-04-05,1.7,10.1,14.7,2.5,Ростов-на-Дону
67,1911-04-06,2.7,6.8,18.6,0,Ростов-на-Дону
68,1911-04-07,5,10.3,17.7,0,Ростов-на-Дону
69,1911-04-08,4.4,6.9,11,1.9,Ростов-на-Дону
70,1911-04-09,-0.2,4.7,10.9,0,Ростов-на-Дону
71,1911-04-10,2.2,9.1,15.5,2.4,Ростов-на-Дону
72,1911-04-11,3.5,6.2,9.1,1.1,Ростов-на-Дону
73,1911-04-12,1.1,4,10.8,0,Ростов-на-Дону
74,1911-04-13,0.2,3.8,6,1.3,Ростов-на-Дону
75,1911-04-14,3.4,5.1,8.4,3.6,Ростов-на-Дону
76,1911-04-15,1.7,4.9,7.3,0,Ростов-на-Дону
77,1911-04-16,2.7,7.1,11.3,0,Ростов-на-Дону
78,1911-04-17,4.3,8.5,14.9,0,Ростов-на-Дону
79,1911-04-18,2.5,11,18.5,0,Ростов-на-Дону
80,1911-04-19,3.6,9.3,14.9,0,Ростов-на-Дону
81,1911-04-20,5.7,9.6,13.9,0,Ростов-на-Дону
82,1911-04-21,3.6,13,19.7,0,Ростов-на-Дону
83,1911-04-22,3.5,8.7,17.4,0,Ростов-на-Дону
84,1911-04-23,-1.5,8.7,14.9,0,Ростов-на-Дону
85,1911-04-24,1.8,11.7,19.2,0,Ростов-на-Дону
86,1911-04-25,4.4,15.6,24.9,0,Ростов-на-Дону
87,1911-04-26,9.7,15.1,22.7,0,Ростов-на-Дону
88,1911-04-27,10,12.2,16.7,8.6,Ростов-на-Дону
89,1911-04-28,8.8,10.1,11.5,10.7,Ростов-на-Дону
90,1911-04-29,8.9,11.1,13.3,4.5,Ростов-на-Дону
91,1911-04-30,7.8,13.7,19.2,4.6,Ростов-на-Дону
93,1912-01-01,-5,-3.9,-2.4,0,Ростов-на-Дону
94,1912-01-02,-3.7,-2.8,-0.2,0,Ростов-на-Дону
95,1912-01-03,-4.5,-3.7,-2.3,0,Ростов-на-Дону
96,1912-01-04,-3.5,1.9,4.4,0,Ростов-на-Дону
97,1912-01-05,-10.8,-5.5,2.4,0,Ростов-на-Дону
98,1912-01-06,-15.9,-7.9,3,9,Ростов-на-Дону
99,1912-01-07,0.6,2.7,5.6,7.4,Ростов-на-Дону
100,1912-01-08,1.1,7.7,8.8,4.9,Ростов-на-Дону
101,1912-01-09,-12.4,-5.7,9,0.3,Ростов-на-Дону
102,1912-01-10,-15.7,-14.3,-10.9,0,Ростов-на-Дону
103,1912-01-11,-16,-11,-8.2,0.1,Ростов-на-Дону
104,1912-01-12,-9.4,-8.3,-7.3,0,Ростов-на-Дону
105,1912-01-13,-8.8,-6.1,-4.9,0,Ростов-на-Дону
106,1912-01-14,-7,-6.2,-4.9,0,Ростов-на-Дону
107,1912-01-15,-8.4,-7,-3,0,Ростов-на-Дону
108,1912-01-16,-13.5,-11.5,-8.1,0,Ростов-на-Дону
109,1912-01-17,-14.7,-13.6,-11.9,0,Ростов-на-Дону
110,1912-01-18,-14,-12.2,-8.9,0,Ростов-на-Дону
111,1912-01-19,-16,-13.1,-11.6,0,Ростов-на-Дону
112,1912-01-20,-16.5,-13.9,-10.7,0,Ростов-на-Дону
114,1912-03-01,-8.2,-7.1,-4.9,0,Ростов-на-Дону
115,1912-03-02,-8,-7.1,-5,0,Ростов-на-Дону
116,1912-03-03,-9,-5.1,-2.5,0,Ростов-на-Дону
117,1912-03-04,-3.2,-1.7,0.2,0,Ростов-на-Дону
118,1912-03-05,-4.5,-3.5,-1,0,Ростов-на-Дону
119,1912-03-06,-6.6,-2.5,-0.5,0,Ростов-на-Дону
120,1912-03-07,-1.5,0.6,1.5,0,Ростов-на-Дону
121,1912-03-08,0,1.3,2.5,0,Ростов-на-Дону
122,1912-03-09,0.5,1.9,5.8,0,Ростов-на-Дону
123,1912-03-10,-1,0.1,2,0,Ростов-на-Дону
124,1912-03-11,-0.5,1.8,5.5,1.6,Ростов-на-Дону
125,1912-03-12,1.6,4,6.3,0,Ростов-на-Дону
126,1912-03-13,1.8,3.1,5.9,11.2,Ростов-на-Дону
127,1912-03-14,-0.2,1.7,4.3,0,Ростов-на-Дону
128,1912-03-15,-0.5,0.4,2.5,7.5,Ростов-на-Дону
129,1912-03-16,1,3.1,5.5,0,Ростов-на-Дону
130,1912-03-17,1.7,2.6,5.6,0,Ростов-на-Дону
131,1912-03-18,-0.2,1.4,5,0,Ростов-на-Дону
132,1912-03-19,-1.2,0.3,2.5,0,Ростов-на-Дону
133,1912-03-20,-3,-1.1,1.6,0,Ростов-на-Дону
134,1912-03-21,-2.6,-0.1,3.3,0,Ростов-на-Дону
135,1912-03-22,-2.3,1.4,4.8,0,Ростов-на-Дону
136,1912-03-23,-0.5,3.4,6.6,0,Ростов-на-Дону
137,1912-03-24,-0.4,3.6,6.8,0,Ростов-на-Дону
138,1912-03-25,-1.8,4.8,10,0,Ростов-на-Дону
139,1912-03-26,-0.2,1.4,5.6,0,Ростов-на-Дону
140,1912-03-27,1.2,3.7,7.6,0,Ростов-на-Дону
141,1912-03-28,1.2,3.5,5.5,0,Ростов-на-Дону
142,1912-03-29,0.5,4.6,9,0,Ростов-на-Дону
143,1912-03-30,3,4.6,7,4.3,Ростов-на-Дону
144,1912-03-31,0.5,5.4,11.5,0,Ростов-на-Дону
146,1912-04-01,1.2,5.7,11.2,0,Ростов-на-Дону
147,1912-04-02,-1.5,7.1,13.1,0,Ростов-на-Дону
148,1912-04-03,4.8,12.1,20.6,0,Ростов-на-Дону
149,1912-04-04,5,11.5,19.6,2.1,Ростов-на-Дону
150,1912-04-05,3.4,5.5,11,0,Ростов-на-Дону
151,1912-04-06,3,5.7,8.8,1.1,Ростов-на-Дону
152,1912-04-07,0,2.9,9.9,6.8,Ростов-на-Дону
153,1912-04-08,-0.5,2.2,5.2,8.6,Ростов-на-Дону
154,1912-04-09,-3,4.4,8.5,0,Ростов-на-Дону
155,1912-04-10,1.8,9.7,17,2.6,Ростов-на-Дону
156,1912-04-11,4.6,10.3,20,0,Ростов-на-Дону
157,1912-04-12,3.5,5.3,10.2,3.8,Ростов-на-Дону
158,1912-04-13,0.2,7,11.3,0,Ростов-на-Дону
159,1912-04-14,-1,1.6,4.5,0,Ростов-на-Дону
160,1912-04-15,-1.5,5.3,10.5,0,Ростов-на-Дону
161,1912-04-16,3.6,7.3,12,0,Ростов-на-Дону
162,1912-04-17,-0.7,8,12,8.6,Ростов-на-Дону
163,1912-04-18,5.5,6.6,9.4,38.6,Ростов-на-Дону
164,1912-04-19,5.3,8.8,12.5,0,Ростов-на-Дону
165,1912-04-20,5.6,10.3,15.3,0,Ростов-на-Дону
166,1912-04-21,4.5,11.5,17.7,0,Ростов-на-Дону
167,1912-04-22,4.8,9.2,15,0,Ростов-на-Дону
168,1912-04-23,-1.2,2.3,6.5,0,Ростов-на-Дону
169,1912-04-24,-3.8,1.5,7.2,0,Ростов-на-Дону
170,1912-04-25,-2.7,5.7,11.5,0,Ростов-на-Дону
171,1912-04-26,1.7,8.2,15.2,0,Ростов-на-Дону
172,1912-04-27,0.2,9.7,15,0,Ростов-на-Дону
173,1912-04-28,1.7,11.4,17.2,0,Ростов-на-Дону
174,1912-04-29,6,13.3,18.9,0,Ростов-на-Дону
175,1912-04-30,6.7,15.8,22,0,Ростов-на-Дону
177,1912-10-10,5.5,11.8,17.7,0,Ростов-на-Дону
178,1912-10-11,10.6,15.3,20.9,0,Ростов-на-Дону
179,1912-10-12,11,12.1,16.4,11.2,Ростов-на-Дону
180,1912-10-13,9.4,10.2,13.5,6.3,Ростов-на-Дону
181,1912-10-14,3.1,6.4,12,0,Ростов-на-Дону
182,1912-10-15,1.3,6.1,11.4,0,Ростов-на-Дону
183,1912-10-16,3.5,7.4,11.4,3.3,Ростов-на-Дону
184,1912-10-17,3.5,5.6,9.1,0,Ростов-на-Дону
