,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-19.8,-14.9,-12.5,0,Рубцовск
2,1936-01-02,-13.6,-12,-10.7,0,Рубцовск
3,1936-01-03,-14.5,-12.4,-11,0.2,Рубцовск
4,1936-01-04,-16.9,-13.3,-10.6,0,Рубцовск
5,1936-01-05,-16.9,-15.1,-12,0,Рубцовск
6,1936-01-06,-16.9,-14.8,-11.7,0,Рубцовск
7,1936-01-07,-16.3,-13.6,-10.4,0,Рубцовск
8,1936-01-08,-14.9,-11.5,-8.3,0,Рубцовск
9,1936-01-09,-21.3,-17.8,-9.4,0,Рубцовск
10,1936-01-10,-18.8,-15.8,-14.5,0.1,Рубцовск
11,1936-01-11,-14.8,-12.8,-11.5,0.9,Рубцовск
12,1936-01-12,-21.8,-16.8,-13.6,0,Рубцовск
13,1936-01-13,-28.2,-25.6,-21.2,0,Рубцовск
14,1936-01-14,-29.5,-23.5,-17.6,0,Рубцовск
15,1936-01-15,-28.9,-25.4,-18.5,0,Рубцовск
16,1936-01-16,-31.7,-27.6,-23.5,0,Рубцовск
17,1936-01-17,-30.2,-26.2,-21.8,0,Рубцовск
18,1936-01-18,-29.6,-18.4,-8,0.4,Рубцовск
19,1936-01-19,-16.4,-14,-10.5,0,Рубцовск
20,1936-01-20,-17.9,-15.3,-10.5,2.6,Рубцовск
21,1936-01-21,-24.9,-20.7,-17,0.5,Рубцовск
22,1936-01-22,-25.5,-21.8,-17.6,0.2,Рубцовск
23,1936-01-23,-17.9,-12.8,-12,1.1,Рубцовск
24,1936-01-24,-16.9,-12.8,-11.9,1.2,Рубцовск
25,1936-01-25,-13,-9.6,-7.6,2,Рубцовск
26,1936-01-26,-20.3,-13.8,-7,0.7,Рубцовск
27,1936-01-27,-26.8,-23.2,-20.3,0,Рубцовск
28,1936-01-28,-22.8,-9.2,-7,0.8,Рубцовск
29,1936-01-29,-12.5,-8.8,-6.4,0.6,Рубцовск
30,1936-01-30,-21.1,-15.2,-10.6,0.1,Рубцовск
31,1936-01-31,-13.7,-3.2,-0.1,1.8,Рубцовск
33,1936-02-01,-3,-0.6,2,0.7,Рубцовск
34,1936-02-02,-12.6,-7.2,1.5,9.3,Рубцовск
35,1936-02-03,-22.2,-18.2,-8.4,0.2,Рубцовск
36,1936-02-04,-25.8,-21.6,-20,0,Рубцовск
37,1936-02-05,-22.8,-19.9,-16.5,0.8,Рубцовск
38,1936-02-06,-19.8,-15.6,-13.8,0,Рубцовск
39,1936-02-07,-14.1,-11.6,-9.4,0.5,Рубцовск
40,1936-02-08,-14.9,-11.5,-7,0,Рубцовск
41,1936-02-09,-14.5,-8.4,-2.6,0,Рубцовск
42,1936-02-10,-7.4,-2.8,0.8,1.5,Рубцовск
43,1936-02-11,-8.7,-5,0.5,0,Рубцовск
44,1936-02-12,-6.4,-4.5,0.5,0,Рубцовск
45,1936-02-13,-11,-5.6,1.8,0,Рубцовск
46,1936-02-14,-6,-3,-1.4,0,Рубцовск
47,1936-02-15,-11.8,-9.1,-2.2,0.2,Рубцовск
48,1936-02-16,-14.9,-11.5,-7.1,0,Рубцовск
49,1936-02-17,-18.4,-15.4,-9.8,0,Рубцовск
50,1936-02-18,-20.8,-15.1,-11.5,0,Рубцовск
51,1936-02-19,-25,-19.3,-14.2,0,Рубцовск
52,1936-02-20,-24.1,-20,-16,0.5,Рубцовск
53,1936-02-21,-26.8,-20.5,-12.9,0,Рубцовск
54,1936-02-22,-21,-18.8,-14.9,0.3,Рубцовск
55,1936-02-23,-25.4,-21.2,-16.8,0.5,Рубцовск
56,1936-02-24,-33.7,-28.6,-20.8,0,Рубцовск
57,1936-02-25,-32.3,-28,-23.3,0,Рубцовск
58,1936-02-26,-35.7,-28.7,-22.3,0,Рубцовск
