,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-8.8,-4.9,0.6,0,Самарканд
2,1936-01-02,-8,-4.4,0.8,0,Самарканд
3,1936-01-03,-9.3,-5.4,1,0,Самарканд
4,1936-01-04,-8.7,-4.4,1,0,Самарканд
5,1936-01-05,-7.4,-3.9,2.8,0,Самарканд
6,1936-01-06,-7.9,-3.6,2.8,0,Самарканд
7,1936-01-07,-10.2,-4.1,4.5,0,Самарканд
8,1936-01-08,-8.1,-3.1,3.4,0,Самарканд
9,1936-01-09,-7.8,-3.3,5.7,0,Самарканд
10,1936-01-10,-6,-1.1,7,0,Самарканд
11,1936-01-11,-7,-3.4,1.7,0,Самарканд
12,1936-01-12,-4.4,-1.2,5.5,0,Самарканд
13,1936-01-13,-5.7,-1.2,7.7,0,Самарканд
14,1936-01-14,-4.4,3.3,10.7,0,Самарканд
15,1936-01-15,-0.4,4.6,13.3,0,Самарканд
16,1936-01-16,-1.2,4.3,13.2,0,Самарканд
17,1936-01-17,-0.9,3.7,8.6,0,Самарканд
18,1936-01-18,-3.5,2.4,12.3,0,Самарканд
19,1936-01-19,0.1,3.5,12,0,Самарканд
20,1936-01-20,-4,1.2,8.7,0,Самарканд
21,1936-01-21,-8.2,-4.6,2.2,0,Самарканд
22,1936-01-22,-10.8,-6,3.5,0,Самарканд
23,1936-01-23,-9.5,-3.5,7.4,0,Самарканд
24,1936-01-24,-8,-1.3,7.7,0,Самарканд
25,1936-01-25,-4.5,1.9,11.6,0,Самарканд
26,1936-01-26,-1.8,1.8,8.9,1.4,Самарканд
27,1936-01-27,-9.4,-4.1,0.5,8.7,Самарканд
28,1936-01-28,-9,-3.1,6.3,0,Самарканд
29,1936-01-29,-1.4,3.7,11,0,Самарканд
30,1936-01-30,0.6,6.3,14.4,0,Самарканд
31,1936-01-31,3.4,11.3,16.3,0,Самарканд
33,1936-02-01,0,6.3,16,8.6,Самарканд
34,1936-02-02,-5.9,-2.3,0.7,1.6,Самарканд
