,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,2.5,5.6,11.5,0,Самтредиа
2,1936-01-02,2,6,11,0,Самтредиа
3,1936-01-03,4.5,7.5,13.4,0,Самтредиа
4,1936-01-04,3.9,7.3,12.2,0,Самтредиа
5,1936-01-05,3.6,6.3,10.4,0,Самтредиа
6,1936-01-06,3.9,6.4,10.5,0,Самтредиа
7,1936-01-07,2.7,4.8,6.7,0,Самтредиа
8,1936-01-08,3.1,5.6,10.3,0.4,Самтредиа
9,1936-01-09,1.5,5.9,11.9,0,Самтредиа
10,1936-01-10,3.7,6.2,8.9,0,Самтредиа
11,1936-01-11,4,7.1,12.5,0,Самтредиа
12,1936-01-12,6.4,8.6,12,0.2,Самтредиа
13,1936-01-13,3.7,5.2,9.5,34.3,Самтредиа
14,1936-01-14,0.1,1.6,4.3,26.3,Самтредиа
15,1936-01-15,0.4,2.4,6.3,10.4,Самтредиа
16,1936-01-16,0.5,1.9,4.4,12.5,Самтредиа
17,1936-01-17,0.2,4.2,7.7,0,Самтредиа
18,1936-01-18,4.8,8.6,13.2,0,Самтредиа
19,1936-01-19,3.3,6.8,11.6,0,Самтредиа
20,1936-01-20,2.9,6.2,11.3,0,Самтредиа
21,1936-01-21,3.7,7.2,11.5,0,Самтредиа
22,1936-01-22,5.6,8.3,13.3,0,Самтредиа
23,1936-01-23,0.9,7,15.5,0,Самтредиа
24,1936-01-24,5.3,9.2,14.4,0,Самтредиа
25,1936-01-25,2.9,4.6,12.1,24.6,Самтредиа
26,1936-01-26,0.5,3.8,8,0,Самтредиа
27,1936-01-27,2.9,6,9.8,0,Самтредиа
28,1936-01-28,1.4,7.8,16.5,0,Самтредиа
29,1936-01-29,5.8,10.1,15.8,0,Самтредиа
30,1936-01-30,7.9,11.4,16,0.4,Самтредиа
32,1936-02-01,1.2,5.7,10.7,0,Самтредиа
33,1936-02-02,4.8,6.6,8.8,0,Самтредиа
34,1936-02-03,4.3,9,17,0,Самтредиа
35,1936-02-04,4.3,10.3,19.2,0,Самтредиа
36,1936-02-05,7.4,12.8,19.4,0,Самтредиа
37,1936-02-06,6.2,12,19.9,0,Самтредиа
38,1936-02-07,10.2,12.2,15.5,0,Самтредиа
39,1936-02-08,9.5,11.6,16.2,21.8,Самтредиа
40,1936-02-09,6.1,8.9,12.5,7.1,Самтредиа
41,1936-02-10,5.3,7.4,10.8,2.6,Самтредиа
42,1936-02-11,6.3,8.4,11.1,1,Самтредиа
43,1936-02-12,5.3,10.2,12.2,0,Самтредиа
44,1936-02-13,0.3,4,11.5,16.1,Самтредиа
45,1936-02-14,0.1,1.1,2.8,28.6,Самтредиа
46,1936-02-15,-0.5,0.4,1.3,33,Самтредиа
47,1936-02-16,-1.4,-0.3,1.5,18.6,Самтредиа
48,1936-02-17,-3.9,-0.7,2.9,1.5,Самтредиа
49,1936-02-18,0.9,1.8,2.6,15.8,Самтредиа
50,1936-02-19,1.7,4.9,8.1,2.1,Самтредиа
51,1936-02-20,4,6.6,10.7,18.5,Самтредиа
52,1936-02-21,5.4,9.7,15,0,Самтредиа
53,1936-02-22,6.7,8.7,11.9,0,Самтредиа
54,1936-02-23,3.4,6.9,11.6,0,Самтредиа
55,1936-02-24,2.9,6.2,11.3,0,Самтредиа
56,1936-02-25,3.9,6.9,11.5,0,Самтредиа
57,1936-02-26,4.9,6.6,9.2,3.6,Самтредиа
58,1936-02-27,4.4,7.6,12.7,3.1,Самтредиа
59,1936-02-28,5.2,8.8,13.7,0.8,Самтредиа
