,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-0.3,1.6,2.4,5.4,Санкт-Петербург
2,1900-01-02,-8.9,-4.8,0.6,0.7,Санкт-Петербург
3,1900-01-03,-14.3,-12.6,-8.1,0.2,Санкт-Петербург
4,1900-01-04,-14.2,-11.4,-10.7,0.3,Санкт-Петербург
5,1900-01-05,-11.2,-8.5,-6.9,2.1,Санкт-Петербург
6,1900-01-06,-12.8,-11.5,-9.8,0.1,Санкт-Петербург
7,1900-01-07,-14.8,-13.1,-11.7,0.1,Санкт-Петербург
8,1900-01-08,-20.8,-17,-12.1,0.2,Санкт-Петербург
9,1900-01-09,-22.6,-19.3,-16.2,0,Санкт-Петербург
10,1900-01-10,-18.1,-14,-11.9,0,Санкт-Петербург
11,1900-01-11,-14.6,-13.1,-11.6,0.2,Санкт-Петербург
12,1900-01-12,-19.2,-16.8,-14.2,0,Санкт-Петербург
13,1900-01-13,-19.7,-13.1,-11.4,0,Санкт-Петербург
14,1900-01-14,-16.5,-14.3,-11.6,0,Санкт-Петербург
15,1900-01-15,-15.7,-8.9,-7.4,0,Санкт-Петербург
16,1900-01-16,-12.3,-10.7,-9.4,0,Санкт-Петербург
17,1900-01-17,-10.8,-9.4,-8.3,0,Санкт-Петербург
18,1900-01-18,-14.2,-11.5,-8.9,0.1,Санкт-Петербург
19,1900-01-19,-14.9,-12.2,-11.7,0.4,Санкт-Петербург
20,1900-01-20,-13.6,-10.4,-8.9,0.1,Санкт-Петербург
21,1900-01-21,-9.1,-6,-2.6,2,Санкт-Петербург
22,1900-01-22,-8.1,-1.7,-0.9,0,Санкт-Петербург
23,1900-01-23,-2.9,-1.6,-0.3,0.4,Санкт-Петербург
24,1900-01-24,-3.1,-1.3,-0.2,0.1,Санкт-Петербург
25,1900-01-25,-5.9,-4.3,-2.5,0,Санкт-Петербург
26,1900-01-26,-4.7,-3,-2.5,0.2,Санкт-Петербург
27,1900-01-27,-3.5,-2,-1,0,Санкт-Петербург
28,1900-01-28,-4.5,-3.2,-1.8,0.3,Санкт-Петербург
29,1900-01-29,-4.1,-2.3,-1.5,3.3,Санкт-Петербург
30,1900-01-30,-4.1,-3.7,-2.1,13.6,Санкт-Петербург
31,1900-01-31,-8.3,-6.9,-3.6,5.8,Санкт-Петербург
33,1900-02-01,-9.4,-2.9,1.7,1.2,Санкт-Петербург
34,1900-02-02,-5.6,-1.9,1.7,1.2,Санкт-Петербург
35,1900-02-03,-9,-8.2,-5.5,0.1,Санкт-Петербург
36,1900-02-04,-8.5,-6.2,-4.8,0.6,Санкт-Петербург
37,1900-02-05,-6.1,-2.7,1.2,2.3,Санкт-Петербург
38,1900-02-06,0.3,0.9,1.4,3.1,Санкт-Петербург
39,1900-02-07,-11.6,-9.2,1,7.6,Санкт-Петербург
40,1900-02-08,-10.6,-8.9,-7.5,8.1,Санкт-Петербург
41,1900-02-09,-8.9,-7.4,-4.8,4.3,Санкт-Петербург
42,1900-02-10,-9.2,-4.6,-2.4,0.3,Санкт-Петербург
43,1900-02-11,-10.6,-6.8,-4.3,0.3,Санкт-Петербург
44,1900-02-12,-10.9,-8.8,-7.3,5,Санкт-Петербург
45,1900-02-13,-10.1,-9.2,-7.3,2.8,Санкт-Петербург
46,1900-02-14,-14.8,-12,-6.3,2.2,Санкт-Петербург
