,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-11,-44.9,-43.6,-42.1,0,Сеймчан
2,1936-01-12,-47.5,-46.2,-45,0,Сеймчан
3,1936-01-13,-53.4,-51,-47.3,0,Сеймчан
4,1936-01-14,-52.5,-47.2,-40.9,2.2,Сеймчан
5,1936-01-15,-47.9,-43,-38.5,0,Сеймчан
6,1936-01-16,-48.8,-37.5,-32.4,1.2,Сеймчан
7,1936-01-17,-34.7,-31.8,-30.2,0,Сеймчан
8,1936-01-18,-45,-41.9,-34.6,0,Сеймчан
9,1936-01-19,-47.6,-44.8,-41.5,0,Сеймчан
10,1936-01-20,-41.5,-29.3,-27.6,0.6,Сеймчан
11,1936-01-21,-31.7,-30.1,-29.2,1.1,Сеймчан
12,1936-01-22,-30.4,-29,-27.3,0.9,Сеймчан
13,1936-01-23,-46.5,-40.1,-30.2,0,Сеймчан
14,1936-01-24,-52.2,-49.2,-43.9,0,Сеймчан
15,1936-01-25,-54.5,-51.2,-45.5,0,Сеймчан
16,1936-01-26,-52.5,-49.1,-44.4,0,Сеймчан
17,1936-01-27,-55.2,-50.6,-45.5,0,Сеймчан
18,1936-01-28,-45.5,-39.8,-37,1,Сеймчан
19,1936-01-29,-45,-37.2,-34.4,0,Сеймчан
20,1936-01-30,-35.8,-32.4,-30.4,0,Сеймчан
21,1936-01-31,-34.6,-29.4,-28.3,1.3,Сеймчан
23,1936-02-01,-31.3,-28.1,-26.8,1.8,Сеймчан
24,1936-02-02,-27.5,-26.6,-26,2.4,Сеймчан
25,1936-02-03,-28.4,-25.9,-24.3,0.5,Сеймчан
26,1936-02-04,-27,-23.4,-20.9,0.2,Сеймчан
27,1936-02-05,-28.5,-22,-20.7,0.3,Сеймчан
28,1936-02-06,-25,-23.8,-22.7,1.9,Сеймчан
29,1936-02-07,-44.6,-37.9,-24.4,0,Сеймчан
30,1936-02-08,-50.1,-45.2,-37,0,Сеймчан
31,1936-02-09,-45.8,-40,-36.7,0,Сеймчан
32,1936-02-10,-44.2,-38,-31.5,0.2,Сеймчан
33,1936-02-11,-39.5,-29.4,-26.4,0,Сеймчан
34,1936-02-12,-27.5,-24.1,-20.6,0,Сеймчан
35,1936-02-13,-25.4,-23.2,-19.6,0,Сеймчан
36,1936-02-14,-36.5,-22.3,-21.6,0.2,Сеймчан
37,1936-02-15,-25.5,-24,-22.2,0.6,Сеймчан
38,1936-02-16,-40.3,-34.3,-24.7,0.6,Сеймчан
39,1936-02-17,-45.8,-35.8,-27.8,0,Сеймчан
40,1936-02-18,-43,-37.6,-29,0,Сеймчан
41,1936-02-19,-48.1,-40,-32,0,Сеймчан
42,1936-02-20,-39.5,-34,-27.2,0,Сеймчан
43,1936-02-21,-45,-36.9,-26.8,0,Сеймчан
44,1936-02-22,-37,-28.4,-26.3,0.4,Сеймчан
45,1936-02-23,-32.5,-27.6,-25.7,0,Сеймчан
46,1936-02-24,-39.5,-32.6,-24.1,0,Сеймчан
47,1936-02-25,-35.4,-27,-25.3,1.3,Сеймчан
48,1936-02-26,-26.5,-24.2,-22,5.8,Сеймчан
49,1936-02-27,-32.2,-23.7,-21.3,0.3,Сеймчан
50,1936-02-28,-28.6,-22,-18.2,0.2,Сеймчан
51,1936-02-29,-45,-36.8,-23,0,Сеймчан
53,1936-03-01,-42.1,-35.4,-24.4,0,Сеймчан
54,1936-03-02,-39.4,-27.5,-20.3,0,Сеймчан
55,1936-03-03,-45.2,-34.8,-20.4,0,Сеймчан
56,1936-03-04,-31.9,-25.4,-19.2,0.2,Сеймчан
57,1936-03-05,-27.2,-23.9,-20.7,0.3,Сеймчан
58,1936-03-06,-35.9,-29,-20.6,0,Сеймчан
59,1936-03-07,-45.9,-37.6,-25,0,Сеймчан
60,1936-03-08,-45.9,-38,-24.6,0,Сеймчан
61,1936-03-09,-46.1,-38.4,-24,0,Сеймчан
62,1936-03-10,-46.1,-37.8,-21.8,0,Сеймчан
63,1936-03-11,-46.4,-38.2,-24.6,0,Сеймчан
64,1936-03-12,-47.3,-36.4,-23.5,0,Сеймчан
65,1936-03-13,-32.4,-26.8,-20.2,0.6,Сеймчан
66,1936-03-14,-35.5,-29.2,-19.8,0.2,Сеймчан
67,1936-03-15,-50.1,-40.3,-24.6,0,Сеймчан
68,1936-03-16,-51.6,-42,-26.5,0,Сеймчан
69,1936-03-17,-51.2,-41.7,-24.5,0,Сеймчан
70,1936-03-18,-50.4,-38.7,-22.8,0,Сеймчан
71,1936-03-19,-44.3,-32.9,-21.5,0,Сеймчан
72,1936-03-20,-29.3,-27.8,-24.5,0.2,Сеймчан
73,1936-03-21,-31.7,-30,-28.5,0.3,Сеймчан
74,1936-03-22,-37.2,-30.8,-27.3,0.1,Сеймчан
75,1936-03-23,-36.6,-30.6,-24.2,0.1,Сеймчан
76,1936-03-24,-46.9,-37.6,-25.6,0,Сеймчан
77,1936-03-25,-46.4,-32,-16.8,0,Сеймчан
78,1936-03-26,-37.4,-24.2,-12.3,0,Сеймчан
79,1936-03-27,-34.3,-22,-11.2,0,Сеймчан
80,1936-03-28,-26.4,-20.4,-13.7,0,Сеймчан
81,1936-03-29,-40.2,-28.8,-16.3,0,Сеймчан
82,1936-03-30,-42.3,-28.8,-14.7,0,Сеймчан
83,1936-03-31,-32.7,-21,-10,0,Сеймчан
85,1936-04-01,-28.7,-16.8,-11.6,0.4,Сеймчан
86,1936-04-02,-19.1,-17.6,-14.6,1.2,Сеймчан
87,1936-04-03,-18.1,-15.8,-12.3,1.2,Сеймчан
88,1936-04-04,-16.5,-13.6,-8.1,1.4,Сеймчан
89,1936-04-05,-24.7,-13.1,-7.3,0,Сеймчан
90,1936-04-06,-16.2,-8,-2,0.6,Сеймчан
91,1936-04-07,-10.5,-5.7,-0.6,0,Сеймчан
92,1936-04-08,-20.2,-10,-1.9,0,Сеймчан
93,1936-04-09,-13.1,-6.5,-1.9,0,Сеймчан
94,1936-04-10,-24.2,-11.5,-2.4,0,Сеймчан
95,1936-04-11,-22.1,-10.8,-3.9,0,Сеймчан
96,1936-04-12,-31.1,-16.8,-5.5,0,Сеймчан
97,1936-04-13,-22,-14.2,-7.4,0.2,Сеймчан
98,1936-04-14,-33.4,-18.2,-8.8,0,Сеймчан
