,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1905-01-01,-16.1,-3.5,-0.9,1.7,Семипалатинск
2,1905-01-02,-19.1,-10.8,-0.7,1.4,Семипалатинск
3,1905-01-03,-20.6,-16.9,-14.2,0.3,Семипалатинск
4,1905-01-04,-15.2,-5.2,-2,3.1,Семипалатинск
5,1905-01-05,-2.6,-0.3,1.9,0,Семипалатинск
6,1905-01-06,-2,-1.3,0.8,1.3,Семипалатинск
7,1905-01-07,-3.5,-1.3,0.3,0,Семипалатинск
8,1905-01-08,-4.8,-1.9,0.5,2.3,Семипалатинск
9,1905-01-09,-2.2,-0.9,-0.2,0,Семипалатинск
10,1905-01-10,-6.5,-5.3,-1,2,Семипалатинск
11,1905-01-11,-5.8,-1.7,1.7,0,Семипалатинск
12,1905-01-12,-12.7,-9.6,-5.1,0,Семипалатинск
13,1905-01-13,-13.2,-5.7,-1.4,2.6,Семипалатинск
14,1905-01-14,-20.7,-15.5,-1.4,0,Семипалатинск
15,1905-01-15,-24.4,-16.9,-15.4,0,Семипалатинск
16,1905-01-16,-13.6,-11.5,-10,0.5,Семипалатинск
17,1905-01-17,-24,-16.5,-10.9,0.7,Семипалатинск
18,1905-01-18,-19.2,-11.6,-10.4,1,Семипалатинск
19,1905-01-19,-25.7,-16.7,-9.8,0.7,Семипалатинск
20,1905-01-20,-37.1,-34.8,-25.6,0,Семипалатинск
21,1905-01-21,-40,-35.6,-31,0,Семипалатинск
22,1905-01-22,-36,-28,-23,0,Семипалатинск
23,1905-01-23,-30.4,-20.8,-17.2,0,Семипалатинск
24,1905-01-24,-22.4,-19.8,-16.1,0,Семипалатинск
25,1905-01-25,-22.4,-20.7,-18.1,0,Семипалатинск
26,1905-01-26,-24.1,-22,-18.3,0,Семипалатинск
27,1905-01-27,-26.1,-22,-18.5,0,Семипалатинск
28,1905-01-28,-24.5,-22.4,-21.1,0.3,Семипалатинск
29,1905-01-29,-28.1,-25.3,-22.3,0,Семипалатинск
30,1905-01-30,-26.6,-23.5,-19.8,0,Семипалатинск
31,1905-01-31,-25.4,-22.5,-18.3,0,Семипалатинск
33,1905-02-01,-26.4,-21.1,-16,0,Семипалатинск
34,1905-02-02,-21.7,-15.9,-10.5,0,Семипалатинск
35,1905-02-03,-18.1,-13.1,-9,0.7,Семипалатинск
36,1905-02-04,-17.1,-12.9,-8.6,0,Семипалатинск
37,1905-02-05,-20.9,-18.2,-14.2,0,Семипалатинск
38,1905-02-06,-22.6,-18.2,-14,0,Семипалатинск
39,1905-02-07,-20.7,-17.7,-13.8,0,Семипалатинск
40,1905-02-08,-20.6,-15.4,-9.2,0,Семипалатинск
41,1905-02-09,-19.3,-13.7,-8.3,0,Семипалатинск
42,1905-02-10,-17.1,-13,-9.3,0,Семипалатинск
43,1905-02-11,-18.6,-13,-8.1,0,Семипалатинск
44,1905-02-12,-21.1,-18.8,-14.4,0,Семипалатинск
45,1905-02-13,-23.1,-14.7,-10.5,0,Семипалатинск
46,1905-02-14,-19.3,-15.6,-10,0,Семипалатинск
47,1905-02-15,-20.1,-16,-9.5,0,Семипалатинск
48,1905-02-16,-20.6,-13.8,-9.3,0,Семипалатинск
49,1905-02-17,-14.9,-11.5,-6,0.2,Семипалатинск
50,1905-02-18,-16.6,-12.1,-6.3,0.5,Семипалатинск
51,1905-02-19,-19.1,-15.5,-9.9,0,Семипалатинск
52,1905-02-20,-22.6,-17.8,-9.5,0,Семипалатинск
53,1905-02-21,-21.6,-15.3,-11,0.6,Семипалатинск
54,1905-02-22,-19.5,-15.7,-12.5,2.1,Семипалатинск
55,1905-02-23,-20.6,-16.9,-13.7,0,Семипалатинск
56,1905-02-24,-21.4,-16,-10.6,0,Семипалатинск
57,1905-02-25,-15.7,-11,-7.4,1.9,Семипалатинск
58,1905-02-26,-13.6,-10.3,-5.2,0.3,Семипалатинск
59,1905-02-27,-22.6,-17.9,-13.5,1.3,Семипалатинск
60,1905-02-28,-26.7,-18.7,-12.9,0,Семипалатинск
62,1905-03-01,-33.6,-27.6,-20.3,0,Семипалатинск
63,1905-03-02,-32.6,-25.7,-16.7,0,Семипалатинск
64,1905-03-03,-34.6,-29.2,-22.5,0,Семипалатинск
65,1905-03-04,-33,-27.6,-21,0,Семипалатинск
66,1905-03-05,-28.5,-17.6,-11.1,0,Семипалатинск
67,1905-03-06,-20.1,-9.1,-5.6,1.2,Семипалатинск
68,1905-03-07,-10.6,-6,-0.6,0,Семипалатинск
69,1905-03-08,-12.4,-9.6,-5.3,3.8,Семипалатинск
70,1905-03-09,-23.2,-20,-11.2,0,Семипалатинск
71,1905-03-10,-28.3,-22.9,-15.2,0,Семипалатинск
72,1905-03-11,-29.3,-23.9,-17,0,Семипалатинск
73,1905-03-12,-29.5,-25.7,-19.5,0,Семипалатинск
74,1905-03-13,-33,-24.6,-18.1,0,Семипалатинск
75,1905-03-14,-27.4,-23.3,-17.4,0,Семипалатинск
76,1905-03-15,-30,-23.9,-16.9,0,Семипалатинск
77,1905-03-16,-27.3,-18.9,-12.4,0,Семипалатинск
78,1905-03-17,-19.1,-9.1,-4,0.8,Семипалатинск
79,1905-03-18,-15.6,-12.3,-5.6,0,Семипалатинск
80,1905-03-19,-15.1,-7.6,-3.9,0.7,Семипалатинск
81,1905-03-20,-17.6,-14.2,-8.7,0,Семипалатинск
82,1905-03-21,-23.6,-11.2,-3.4,0,Семипалатинск
83,1905-03-22,-16.2,-13.2,-7.8,0.3,Семипалатинск
84,1905-03-23,-24.5,-18.7,-14.6,0,Семипалатинск
85,1905-03-24,-25.1,-16.2,-10.3,0,Семипалатинск
86,1905-03-25,-22.6,-18.5,-12.1,0,Семипалатинск
87,1905-03-26,-25.3,-16.6,-12.8,0.6,Семипалатинск
88,1905-03-27,-23.5,-20.3,-14.6,0,Семипалатинск
89,1905-03-28,-24.7,-17.4,-11.2,0,Семипалатинск
90,1905-03-29,-22.4,-15.3,-8.4,0,Семипалатинск
91,1905-03-30,-22.1,-14.5,-6.5,0,Семипалатинск
92,1905-03-31,-18.9,-9.2,-2.3,0,Семипалатинск
94,1905-04-01,-11.2,-5.4,-0.5,0.1,Семипалатинск
95,1905-04-02,-5,-3.4,-1.3,0,Семипалатинск
96,1905-04-03,-11.6,-5.3,1.3,0,Семипалатинск
97,1905-04-04,-13.3,-6.5,-0.2,0,Семипалатинск
98,1905-04-05,-13,-4.9,1.7,0,Семипалатинск
99,1905-04-06,-6.7,-2.1,5,0,Семипалатинск
100,1905-04-07,-9.6,-6.3,-4.5,0,Семипалатинск
101,1905-04-08,-9.6,-3.6,2,0,Семипалатинск
102,1905-04-09,-10,-5.1,-0.5,0,Семипалатинск
103,1905-04-10,-5,-3.2,-0.3,0,Семипалатинск
104,1905-04-11,-7.9,-3.2,1.3,0,Семипалатинск
105,1905-04-12,-6,-0.6,6.3,2,Семипалатинск
106,1905-04-13,-3.3,1.4,3.2,1.9,Семипалатинск
107,1905-04-14,0.1,3.9,7.3,2.2,Семипалатинск
108,1905-04-15,-5,-1.4,4,3.4,Семипалатинск
109,1905-04-16,-7,-4.7,-1.5,2.4,Семипалатинск
110,1905-04-17,-9,-5.6,-1.2,0,Семипалатинск
111,1905-04-18,-8.3,-4.5,-1.3,0,Семипалатинск
112,1905-04-19,-9.2,-3.3,2.1,0,Семипалатинск
113,1905-04-20,-7.6,-1.2,4.3,0,Семипалатинск
114,1905-04-21,-5.5,2.4,8.5,0,Семипалатинск
115,1905-04-22,-3.5,0.7,6.1,0,Семипалатинск
116,1905-04-23,-6.9,-1.4,3.3,0,Семипалатинск
117,1905-04-24,-6,1.7,8.5,0,Семипалатинск
118,1905-04-25,-3.6,4.4,15,2.5,Семипалатинск
119,1905-04-26,-5,-2.6,1,0.5,Семипалатинск
120,1905-04-27,-4.3,-0.6,3.8,1.3,Семипалатинск
121,1905-04-28,-4.9,-1,4.3,0,Семипалатинск
122,1905-04-29,-7,-0.1,5.5,0,Семипалатинск
123,1905-04-30,-5.6,1.7,7.2,0,Семипалатинск
125,1905-05-01,-0.4,5.4,13,0,Семипалатинск
126,1905-05-02,-1.4,0.3,5.4,0,Семипалатинск
127,1905-05-03,-3.3,3.8,9.5,1.4,Семипалатинск
128,1905-05-04,2,7.4,12.4,0.2,Семипалатинск
129,1905-05-05,1.4,10.5,16.7,0,Семипалатинск
130,1905-05-06,2.6,8.9,15.1,0,Семипалатинск
131,1905-05-07,1,13.4,22,0,Семипалатинск
132,1905-05-08,7.9,17.9,26.5,0,Семипалатинск
133,1905-05-09,0.8,8.1,15.8,1.4,Семипалатинск
134,1905-05-10,0.5,8,13.3,0,Семипалатинск
135,1905-05-11,8.5,16.9,22.7,0,Семипалатинск
136,1905-05-12,9.4,15.9,24.9,0,Семипалатинск
137,1905-05-13,4.7,10.3,14.6,0,Семипалатинск
138,1905-05-14,-2.7,8.7,16,0,Семипалатинск
139,1905-05-15,1,3.6,9.4,5.4,Семипалатинск
140,1905-05-16,-2.3,4.7,10.1,0,Семипалатинск
141,1905-05-17,-0.5,9.1,15.6,0,Семипалатинск
142,1905-05-18,7.8,12.8,19.4,2,Семипалатинск
143,1905-05-19,7.4,17.9,27,0,Семипалатинск
144,1905-05-20,10.6,20.8,29.3,0,Семипалатинск
145,1905-05-21,8.4,19.3,28.8,0,Семипалатинск
146,1905-05-22,9.7,11.5,16.4,0,Семипалатинск
147,1905-05-23,6.6,15.2,21.6,0,Семипалатинск
148,1905-05-24,6.7,20.3,27.6,0,Семипалатинск
149,1905-05-25,13.4,21.1,30.5,5.7,Семипалатинск
150,1905-05-26,12.9,20.6,29,0.3,Семипалатинск
151,1905-05-27,13.5,20.2,28,3.1,Семипалатинск
152,1905-05-28,11.7,20.4,27.6,0.9,Семипалатинск
153,1905-05-29,13.9,20.6,27.2,0.1,Семипалатинск
154,1905-05-30,12.2,21.6,28,0,Семипалатинск
155,1905-05-31,13.5,24.6,32.5,0,Семипалатинск
157,1905-06-01,19.2,23,30.4,4.8,Семипалатинск
158,1905-06-02,10.8,12.5,20.4,0,Семипалатинск
159,1905-06-03,5.4,17.9,25.2,0,Семипалатинск
160,1905-06-04,13.4,18.6,23.2,4.4,Семипалатинск
161,1905-06-05,7.3,12,18.3,1.2,Семипалатинск
162,1905-06-06,7.5,18.8,23,0.1,Семипалатинск
163,1905-06-07,12.4,15.3,20.3,1,Семипалатинск
164,1905-06-08,11.9,15.2,19.6,1.6,Семипалатинск
165,1905-06-09,10.3,20.7,26.6,0,Семипалатинск
166,1905-06-10,13.9,23.8,31,0,Семипалатинск
167,1905-06-11,14.8,26,33,0,Семипалатинск
168,1905-06-12,18.4,27.9,35.5,0,Семипалатинск
169,1905-06-13,19.9,27.7,33.5,0,Семипалатинск
170,1905-06-14,17.5,26.6,32.7,0,Семипалатинск
171,1905-06-15,14.4,25.4,34.3,17,Семипалатинск
172,1905-06-16,8.1,9.5,21.1,0,Семипалатинск
173,1905-06-17,5.9,9.6,12.2,0,Семипалатинск
174,1905-06-18,6.4,10.4,12.7,0,Семипалатинск
175,1905-06-19,6.6,15,23,0,Семипалатинск
176,1905-06-20,10.4,20.9,27,0,Семипалатинск
177,1905-06-21,10.9,15.7,22,2.6,Семипалатинск
178,1905-06-22,6.9,14.2,19,0,Семипалатинск
179,1905-06-23,7.9,17.4,24,0.2,Семипалатинск
180,1905-06-24,10.4,19,26.5,0,Семипалатинск
181,1905-06-25,9.9,24.7,33.4,0,Семипалатинск
182,1905-06-26,18.2,26.4,35.3,2.6,Семипалатинск
183,1905-06-27,17.2,24.2,35.1,0.6,Семипалатинск
184,1905-06-28,12.4,14.7,22.2,0,Семипалатинск
185,1905-06-29,7.5,17.5,24,0,Семипалатинск
186,1905-06-30,12,22.1,30,0,Семипалатинск
188,1905-07-01,11.9,24.2,30.3,0.3,Семипалатинск
189,1905-07-02,15.2,24.2,30.4,2.4,Семипалатинск
190,1905-07-03,14.9,22.3,28,0,Семипалатинск
191,1905-07-04,12.9,24.9,32.6,0,Семипалатинск
