,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-9,-4.1,1.2,0,Серахс
2,1936-01-02,-7.8,-3.4,1.5,0,Серахс
3,1936-01-03,-7.7,-2.3,5.6,0,Серахс
4,1936-01-04,-8.6,-1.9,7.1,0,Серахс
5,1936-01-05,-8,-1.2,7.9,0,Серахс
6,1936-01-06,-7.7,-1.8,6.6,0,Серахс
7,1936-01-07,-7.7,-1.8,8.1,0,Серахс
8,1936-01-08,-8.3,-2.2,7,0,Серахс
9,1936-01-09,-9,-3.2,5.1,0,Серахс
10,1936-01-10,-8.6,-2.6,5.3,0,Серахс
11,1936-01-11,-8.8,-1.9,8.1,0,Серахс
12,1936-01-12,-9.8,-3.2,6.6,0,Серахс
13,1936-01-13,-6.1,2.4,17.1,0,Серахс
14,1936-01-14,-0.4,7.3,16.9,0,Серахс
15,1936-01-15,2.6,8.3,15.6,0,Серахс
16,1936-01-16,0.6,9.2,18.7,0,Серахс
17,1936-01-17,1.6,5.2,10.8,0,Серахс
18,1936-01-18,-1,4.8,13.6,0,Серахс
19,1936-01-19,-2.2,3.4,9.7,0,Серахс
20,1936-01-20,-3.6,2,7.7,0,Серахс
21,1936-01-21,0.2,1.8,5.1,0,Серахс
22,1936-01-22,-8.7,-0.6,7.9,0,Серахс
23,1936-01-23,-7.2,-0.5,8.7,0,Серахс
24,1936-01-24,-5.5,1.7,9.6,0,Серахс
25,1936-01-25,-2.2,5.3,15.7,0,Серахс
26,1936-01-26,-0.8,2.7,8.9,1.6,Серахс
27,1936-01-27,-2.2,2.6,9.6,0.3,Серахс
28,1936-01-28,-3.2,5.7,17.1,0,Серахс
29,1936-01-29,2.3,9.7,20.3,0,Серахс
30,1936-01-30,6.1,14.6,22.9,0,Серахс
31,1936-01-31,15.1,19.2,23.6,0,Серахс
33,1936-02-01,2.1,5.7,10.6,0.1,Серахс
34,1936-02-02,-1.4,2.2,5.1,0.3,Серахс
35,1936-02-03,2.3,8.8,18.7,0.7,Серахс
36,1936-02-04,2.1,4.2,15.3,4.7,Серахс
37,1936-02-05,1.1,4.4,9.1,0,Серахс
38,1936-02-06,3.7,8.2,16.9,0,Серахс
39,1936-02-07,2.5,5.7,13.2,0.1,Серахс
40,1936-02-08,4.2,14.2,21.9,0,Серахс
41,1936-02-09,7,11.4,18.4,0,Серахс
42,1936-02-10,3.8,13.6,23.9,0,Серахс
43,1936-02-11,5,13.3,22.6,0,Серахс
44,1936-02-12,12.2,16.4,22.3,0.3,Серахс
45,1936-02-13,7.1,13.8,18.3,0,Серахс
46,1936-02-14,12.1,16.6,22.4,0,Серахс
47,1936-02-15,7.9,9.5,17.5,4.1,Серахс
48,1936-02-16,-0.8,4.6,12,0.2,Серахс
49,1936-02-17,-0.3,4.9,10.1,0,Серахс
50,1936-02-18,-1.4,6.4,15.4,0,Серахс
51,1936-02-19,1.5,6.8,14.6,0,Серахс
52,1936-02-20,2.6,9.4,17.6,0,Серахс
53,1936-02-21,5.4,8.9,13.6,0,Серахс
54,1936-02-22,1.4,5.4,12.2,0,Серахс
55,1936-02-23,-6.4,-4.2,5.1,0.2,Серахс
56,1936-02-24,-4.3,-2.8,-1.4,5,Серахс
57,1936-02-25,-4.1,-1.8,2.1,0.1,Серахс
58,1936-02-26,-2.8,-0.4,1.9,0,Серахс
59,1936-02-27,-1,0.6,3.1,0,Серахс
60,1936-02-28,-1.5,-0.8,1.9,0,Серахс
61,1936-02-29,-7.7,-3.4,2.6,0,Серахс
63,1936-03-01,-9,-2.7,4.6,0,Серахс
64,1936-03-02,-6.7,-0.7,5.7,0,Серахс
65,1936-03-03,-5.6,1.3,9.1,0,Серахс
66,1936-03-04,-6.2,2,9.5,0,Серахс
67,1936-03-05,1.8,4.9,9.1,0,Серахс
68,1936-03-06,3,4.8,8.5,0,Серахс
69,1936-03-07,-0.1,1.6,4.1,7,Серахс
70,1936-03-08,0.6,4.6,9.8,0.3,Серахс
71,1936-03-09,-0.8,3,7.5,0.9,Серахс
72,1936-03-10,-0.2,3.2,6.9,0,Серахс
73,1936-03-11,1.5,5.4,12.1,0,Серахс
74,1936-03-12,2.8,9.4,16.7,0,Серахс
75,1936-03-13,4.6,10.9,19.6,0,Серахс
76,1936-03-14,6.6,7.2,14.6,20.6,Серахс
77,1936-03-15,5.1,7.1,11.1,0,Серахс
78,1936-03-16,3.6,11.2,20.3,0,Серахс
79,1936-03-17,7.6,14.8,24.1,0,Серахс
80,1936-03-18,11.1,17.8,26.6,0,Серахс
81,1936-03-19,8.3,15,21.3,0,Серахс
82,1936-03-20,7.9,14.6,20.6,0,Серахс
83,1936-03-21,8.6,17.6,28.7,0,Серахс
84,1936-03-22,7.6,12.6,22.7,4,Серахс
