,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1955-01-01,-5,-1.3,4,0,Симферополь
2,1955-01-02,-0.5,1.4,3.8,0,Симферополь
3,1955-01-03,1.2,3.7,5.6,3,Симферополь
4,1955-01-04,-1.4,1.5,7,0,Симферополь
5,1955-01-05,-1.6,3.2,6.2,0,Симферополь
6,1955-01-06,-8.7,-5.4,6,3.7,Симферополь
7,1955-01-07,-8.7,-5.8,-3.5,0,Симферополь
8,1955-01-08,-5.2,1.3,5.9,0.7,Симферополь
9,1955-01-09,4.4,8.6,13.4,0,Симферополь
10,1955-01-10,6.3,9,13.2,0,Симферополь
11,1955-01-11,4.1,8.4,12.5,0,Симферополь
12,1955-01-12,4.3,7.7,11.6,0,Симферополь
13,1955-01-13,4.4,8.6,12.6,0,Симферополь
14,1955-01-14,2,7.1,10.1,6.2,Симферополь
15,1955-01-15,8,10.8,12.9,18.9,Симферополь
16,1955-01-16,-4.4,-2.6,8.1,12,Симферополь
17,1955-01-17,-4.6,5.5,12.7,0,Симферополь
18,1955-01-18,7.4,10.1,12.7,5.3,Симферополь
19,1955-01-19,4,9.5,12.8,6.2,Симферополь
20,1955-01-20,-0.6,0.2,4,6.4,Симферополь
21,1955-01-21,-0.8,1.4,4.8,0,Симферополь
22,1955-01-22,-4,-2.7,-0.8,0,Симферополь
23,1955-01-23,-3.8,-1,2.7,0,Симферополь
24,1955-01-24,-5,-3.4,-0.8,0.6,Симферополь
25,1955-01-25,-8,-5,-2,0,Симферополь
26,1955-01-26,-4,0.5,3.6,0,Симферополь
27,1955-01-27,-0.9,0,1.4,0.2,Симферополь
28,1955-01-28,-0.7,2.7,7.2,0,Симферополь
29,1955-01-29,1.1,4.4,6.1,0,Симферополь
30,1955-01-30,1.1,4,6.7,0,Симферополь
31,1955-01-31,2.4,3.6,5.2,0,Симферополь
33,1955-02-01,1.7,4.4,7.1,0,Симферополь
34,1955-02-02,2.4,4.7,9,0,Симферополь
35,1955-02-03,5.5,9.6,14.9,1.2,Симферополь
36,1955-02-04,7,8.6,10.4,2.9,Симферополь
37,1955-02-05,2.5,7.2,12.4,0,Симферополь
38,1955-02-06,5.7,8.1,14.3,0,Симферополь
39,1955-02-07,3.8,7.8,11.7,0.2,Симферополь
40,1955-02-08,8.3,9.1,12.4,0,Симферополь
41,1955-02-09,3.8,6.2,10.4,3.8,Симферополь
42,1955-02-10,2.8,5.3,8.4,8.6,Симферополь
43,1955-02-11,1.6,3.2,5.7,2.4,Симферополь
44,1955-02-12,-0.7,0.4,1.8,2.1,Симферополь
45,1955-02-13,-2.9,0.8,4.8,0,Симферополь
46,1955-02-14,0.5,5.1,8.3,9.2,Симферополь
47,1955-02-15,-4.9,-1.2,9,25.6,Симферополь
48,1955-02-16,-8.2,-1,2.3,5,Симферополь
49,1955-02-17,0.5,4.8,9.8,0.4,Симферополь
50,1955-02-18,7.2,13.1,16.8,0.4,Симферополь
51,1955-02-19,9.3,11.8,17.5,0.5,Симферополь
52,1955-02-20,6.4,10.4,16.6,0.5,Симферополь
53,1955-02-21,4.2,8.4,14,3.9,Симферополь
54,1955-02-22,-1.4,1.5,9.1,0.2,Симферополь
55,1955-02-23,-5.2,-1.2,1.8,1.5,Симферополь
56,1955-02-24,-3.8,2,8.3,1.1,Симферополь
57,1955-02-25,4.4,8,13.2,5,Симферополь
58,1955-02-26,-3.2,-2.1,4.8,11.4,Симферополь
59,1955-02-27,-5.8,-3.4,2.1,2.3,Симферополь
60,1955-02-28,-5.2,-2.2,0.5,0.2,Симферополь
62,1955-03-01,-3.5,-2.5,-0.4,0,Симферополь
63,1955-03-02,-4.7,-4,-3,1.6,Симферополь
64,1955-03-03,-8.5,-6.9,-4.7,1,Симферополь
65,1955-03-04,-13.4,-9.6,-5.6,0,Симферополь
66,1955-03-05,-10.7,-5.6,-0.9,0,Симферополь
67,1955-03-06,-7,-3.5,-0.9,0,Симферополь
68,1955-03-07,-3.9,-1,4.4,0,Симферополь
69,1955-03-08,-5.2,0.8,5.9,0,Симферополь
70,1955-03-09,4,9.9,15.5,0,Симферополь
71,1955-03-10,8.2,12,19.8,0,Симферополь
72,1955-03-11,2.5,4.8,10.4,0,Симферополь
73,1955-03-12,-1,0.3,2.6,0,Симферополь
74,1955-03-13,-3.1,-0.2,5,0,Симферополь
75,1955-03-14,-3.4,0.5,6.4,0,Симферополь
76,1955-03-15,-2.4,-0.8,1.4,0,Симферополь
