,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1912-01-01,-49,-44,-36.5,0,Сковoродино
2,1912-01-02,-49.5,-38.1,-33.2,0,Сковoродино
3,1912-01-03,-38.5,-34,-29.7,0,Сковoродино
4,1912-01-04,-39.6,-33.1,-27.4,0,Сковoродино
5,1912-01-05,-36.5,-30.5,-24.5,0,Сковoродино
6,1912-01-06,-41.2,-32.7,-27.9,0,Сковoродино
7,1912-01-07,-34,-28.3,-25,0,Сковoродино
8,1912-01-08,-35.1,-32.2,-29,0,Сковoродино
9,1912-01-09,-38,-26.9,-22,0,Сковoродино
10,1912-01-10,-31.5,-15.5,-12.7,0,Сковoродино
11,1912-01-11,-27.5,-17.5,-12.7,0,Сковoродино
12,1912-01-12,-35.2,-20.7,-15.2,0,Сковoродино
13,1912-01-13,-34.1,-22,-14.8,0,Сковoродино
14,1912-01-14,-20.6,-16.8,-16,0,Сковoродино
15,1912-01-15,-16.5,-11.8,-9.5,0,Сковoродино
16,1912-01-16,-21.3,-15.8,-11.6,0,Сковoродино
17,1912-01-17,-28.2,-20.2,-13.3,0,Сковoродино
18,1912-01-18,-31.2,-24.8,-14.3,0,Сковoродино
19,1912-01-19,-32.6,-22.3,-15.9,2.3,Сковoродино
20,1912-01-20,-19.8,-16.4,-12.5,6.8,Сковoродино
21,1912-01-21,-29.6,-22.3,-14.8,0,Сковoродино
22,1912-01-22,-37.8,-31.9,-18,0,Сковoродино
23,1912-01-23,-40.6,-33.4,-22.2,0,Сковoродино
24,1912-01-24,-36.2,-24.7,-16.4,0,Сковoродино
25,1912-01-25,-38.6,-31,-18,0,Сковoродино
26,1912-01-26,-42.2,-32,-22.4,0,Сковoродино
27,1912-01-27,-30.6,-18.4,-10.2,0,Сковoродино
28,1912-01-28,-31.6,-22,-9.4,0,Сковoродино
29,1912-01-29,-34.5,-26.7,-15.2,0,Сковoродино
30,1912-01-30,-31.3,-19.9,-14,2.5,Сковoродино
31,1912-01-31,-32,-23.9,-11.6,0,Сковoродино
33,1912-02-01,-34.2,-25.2,-16,0,Сковoродино
34,1912-02-02,-31.6,-22.5,-15.5,0,Сковoродино
35,1912-02-03,-29,-19.8,-7.8,0,Сковoродино
36,1912-02-04,-28,-15.1,-7.8,0.8,Сковoродино
37,1912-02-05,-22.6,-19.4,-14.5,0.9,Сковoродино
38,1912-02-06,-30,-22.8,-13.2,0,Сковoродино
39,1912-02-07,-39.3,-30,-17.8,0,Сковoродино
40,1912-02-08,-41,-31.5,-16.5,0,Сковoродино
41,1912-02-09,-40.4,-25.8,-17,0,Сковoродино
42,1912-02-10,-33,-21.1,-16,0,Сковoродино
43,1912-02-11,-35.5,-24.4,-12,0,Сковoродино
44,1912-02-12,-36.3,-25.9,-10.7,0,Сковoродино
45,1912-02-13,-37,-27,-12.2,0,Сковoродино
46,1912-02-14,-35,-26.5,-12.4,0,Сковoродино
47,1912-02-15,-39,-26.8,-14,0,Сковoродино
48,1912-02-16,-36.5,-26.8,-14,0,Сковoродино
49,1912-02-17,-38,-27,-12.5,0,Сковoродино
50,1912-02-18,-35,-18.4,-10.3,0,Сковoродино
