,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1944-08-01,10.6,17.7,22.7,0,Смоленск
2,1944-08-02,11,17,22.3,0.8,Смоленск
3,1944-08-03,14.7,16.7,21,1.5,Смоленск
4,1944-08-04,11.3,13.8,17.6,0,Смоленск
5,1944-08-05,4.1,9,14.8,0,Смоленск
6,1944-08-06,10.3,13.4,17.4,0.3,Смоленск
7,1944-08-07,6.4,13.2,19.4,0,Смоленск
8,1944-08-08,9.5,15.6,24.1,0,Смоленск
9,1944-08-09,10.4,18.5,24.6,0,Смоленск
10,1944-08-10,13.1,19.7,25.6,0,Смоленск
11,1944-08-11,14.1,15.8,20.7,4.7,Смоленск
12,1944-08-12,11.1,17.9,23.6,0,Смоленск
13,1944-08-13,13.5,17.2,24.3,18,Смоленск
14,1944-08-14,9.7,14.6,23.1,1.8,Смоленск
15,1944-08-15,8.5,12.3,16.4,3.1,Смоленск
16,1944-08-16,7.6,12.3,17.4,0.7,Смоленск
17,1944-08-17,6.1,13.8,20,0,Смоленск
18,1944-08-18,9,14.8,22.5,1,Смоленск
19,1944-08-19,14.5,16.5,20,0.9,Смоленск
20,1944-08-20,13.7,17.4,21.8,0,Смоленск
21,1944-08-21,12.5,17.2,21.6,0,Смоленск
22,1944-08-22,12.5,18,24.8,0,Смоленск
23,1944-08-23,12.5,19.9,26.2,0,Смоленск
24,1944-08-24,9.3,15.3,20.6,0,Смоленск
25,1944-08-25,10.5,14.8,19.6,0,Смоленск
26,1944-08-26,9.5,15.9,22.5,0,Смоленск
27,1944-08-27,10.7,17.5,24.7,0,Смоленск
28,1944-08-28,11.6,18.6,26.3,0,Смоленск
29,1944-08-29,11.7,18.9,27.1,0,Смоленск
30,1944-08-30,14.8,17.3,23.1,8.7,Смоленск
31,1944-08-31,14.2,17.8,23.3,0.5,Смоленск
33,1944-09-01,12.7,17.8,24.8,0,Смоленск
34,1944-09-02,9.5,14.6,20.7,0,Смоленск
35,1944-09-03,5.5,14.2,21.8,0,Смоленск
36,1944-09-04,11.9,13.3,17,1.1,Смоленск
37,1944-09-05,6.2,13,20.6,0,Смоленск
38,1944-09-06,8.1,14.9,24.3,0,Смоленск
39,1944-09-07,10.6,17.6,26.7,0,Смоленск
40,1944-09-08,13.8,19.4,26.8,0,Смоленск
41,1944-09-09,14.9,20,29.5,5.2,Смоленск
42,1944-09-10,12.7,13.7,18.8,8.7,Смоленск
