,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1945-01-01,-16.7,-6.6,-0.3,0,Сортавала
2,1945-01-02,-17.1,-5.3,-0.9,1.2,Сортавала
3,1945-01-03,-3.5,-1.9,-0.7,1,Сортавала
4,1945-01-04,-5,-2.6,-0.8,3.2,Сортавала
5,1945-01-05,-1.7,1,1.7,6.8,Сортавала
6,1945-01-06,-3.8,-1.8,0.6,1.2,Сортавала
7,1945-01-07,-5.6,-3.2,-1.6,0,Сортавала
8,1945-01-08,-5.4,-3.9,-2.3,0.2,Сортавала
9,1945-01-09,-5.2,-3.7,-2,0,Сортавала
10,1945-01-10,-7.2,-6,-3.6,0,Сортавала
11,1945-01-12,-4.5,-3.2,-1.1,0.2,Сортавала
12,1945-01-13,-5.4,-3.9,-2.2,0,Сортавала
13,1945-01-14,-2.3,-0.6,0.6,0.8,Сортавала
14,1945-01-15,-9.4,-5.5,0.6,0.3,Сортавала
15,1945-01-16,-22.5,-17.2,-5.4,0,Сортавала
16,1945-01-18,-7.3,-6.1,-3.7,0.2,Сортавала
17,1945-01-19,-15.3,-6.7,0,1.1,Сортавала
18,1945-01-20,-6.4,-3.1,0,0,Сортавала
19,1945-01-21,-13.3,-7.2,-4.2,1.8,Сортавала
20,1945-01-22,-13.1,-8.8,-5.6,1,Сортавала
21,1945-01-23,-12.4,-10.4,-7.9,0,Сортавала
22,1945-01-24,-12.9,-11,-8.7,0,Сортавала
23,1945-01-25,-15.9,-14.4,-10.9,0.1,Сортавала
24,1945-01-26,-24.4,-18.8,-15.5,0,Сортавала
25,1945-01-27,-25.5,-20.2,-15.6,0.1,Сортавала
26,1945-01-28,-18.9,-15.3,-12.3,0,Сортавала
27,1945-01-29,-15.3,-13.8,-12.3,0.3,Сортавала
28,1945-01-30,-13.9,-11.5,-10.6,0.7,Сортавала
29,1945-01-31,-17.1,-12.2,-8.7,2.5,Сортавала
31,1945-02-01,-21.7,-17.6,-12.5,0,Сортавала
32,1945-02-02,-15,-9.5,-6.4,5.6,Сортавала
33,1945-02-03,-19.3,-14.1,-6.9,0.4,Сортавала
34,1945-02-04,-15.2,-10.2,-7.7,3.1,Сортавала
