,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,6,7.9,9.6,0,Сочи
2,1900-01-02,4.5,6.5,8.8,0,Сочи
3,1900-01-03,2.5,5.2,9.5,0,Сочи
4,1900-01-04,2.5,6.4,9.5,7,Сочи
5,1900-01-05,5.5,9.3,11.5,7,Сочи
6,1900-01-06,8.5,10.7,13,3.8,Сочи
7,1900-01-07,9,10.5,11.6,3.4,Сочи
8,1900-01-08,7,8.1,10.5,1.5,Сочи
9,1900-01-09,5.5,7.3,9,0,Сочи
10,1900-01-10,4,4.9,8.5,15.3,Сочи
11,1900-01-11,3,6,8.5,3,Сочи
12,1900-01-12,5.2,7.6,9.5,0,Сочи
13,1900-01-13,5.5,7.7,11.5,0,Сочи
14,1900-01-14,7,10.1,12,0,Сочи
15,1900-01-15,6,8.8,12,0,Сочи
16,1900-01-16,7.5,9.8,11,0,Сочи
17,1900-01-17,8,10.1,13.5,6.2,Сочи
18,1900-01-18,4,6.1,8.5,9.6,Сочи
19,1900-01-19,4.5,6.8,10.5,0,Сочи
20,1900-01-20,4.5,7.3,10.5,0,Сочи
21,1900-01-21,4.5,6.9,9,0,Сочи
22,1900-01-22,3.5,7.2,12,0,Сочи
23,1900-01-23,4.5,6.7,9.5,14,Сочи
24,1900-01-24,3,4.7,6.5,29.2,Сочи
25,1900-01-25,2.5,4.2,6.5,14.4,Сочи
26,1900-01-26,3.5,6.9,8.5,0,Сочи
27,1900-01-27,6.5,10.7,13.5,0,Сочи
28,1900-01-28,9,11.2,14.5,0,Сочи
29,1900-01-29,5.5,8.9,13.5,3.4,Сочи
30,1900-01-30,7,11.7,15,0,Сочи
31,1900-01-31,7,10.3,15,0,Сочи
33,1900-02-01,7,9.3,13,0,Сочи
34,1900-02-02,4,6.9,11,0,Сочи
35,1900-02-03,3.5,5.9,9.5,0,Сочи
36,1900-02-04,2,5.8,10,0,Сочи
37,1900-02-05,4,6.8,10,0,Сочи
38,1900-02-06,4,6.7,11,0,Сочи
39,1900-02-07,4,9.3,13,0,Сочи
40,1900-02-08,7.5,11,16,0,Сочи
41,1900-02-09,6.5,8.5,13,8,Сочи
42,1900-02-10,6,8.4,12.1,0,Сочи
43,1900-02-11,5,9.9,14,0,Сочи
44,1900-02-12,7,10.1,15,0,Сочи
45,1900-02-13,7.5,11.1,13.5,0,Сочи
46,1900-02-14,2,8.9,13.5,0,Сочи
47,1900-02-15,6.8,11.6,15.4,0,Сочи
48,1900-02-16,9.5,13,16.4,5.5,Сочи
