,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-32.7,-27.2,-21.4,0,Сретенск
2,1936-01-02,-38.1,-33.4,-29.9,0,Сретенск
3,1936-01-03,-37,-33.7,-31.1,0,Сретенск
4,1936-01-04,-46.2,-42.5,-39.8,0,Сретенск
5,1936-01-05,-47.3,-44.8,-42.9,0,Сретенск
6,1936-01-06,-47,-42.6,-38.1,0,Сретенск
7,1936-01-07,-46.1,-42.9,-40.1,0,Сретенск
8,1936-01-08,-44.7,-40.8,-35.7,0,Сретенск
9,1936-01-09,-41.3,-37.2,-33.5,0,Сретенск
10,1936-01-10,-34.9,-27.5,-24.4,0,Сретенск
11,1936-01-11,-31.9,-25.6,-20.5,0,Сретенск
12,1936-01-12,-35.7,-30.1,-20.5,0,Сретенск
13,1936-01-13,-35.8,-33.2,-29.2,0,Сретенск
14,1936-01-14,-42.3,-38.2,-35.6,0.6,Сретенск
15,1936-01-15,-40.9,-38.8,-35.1,0,Сретенск
16,1936-01-16,-46.8,-42.3,-38.3,0,Сретенск
17,1936-01-17,-45.2,-41,-37.2,0,Сретенск
18,1936-01-18,-44.7,-39.8,-34.9,0.3,Сретенск
19,1936-01-19,-34.7,-29.6,-23.1,1.1,Сретенск
20,1936-01-20,-37.3,-30.4,-24,0.4,Сретенск
21,1936-01-21,-30.7,-26.9,-22.5,0,Сретенск
22,1936-01-22,-37.1,-32.3,-27.9,0,Сретенск
23,1936-01-23,-37.6,-32.9,-30.6,0,Сретенск
24,1936-01-24,-40.1,-35.3,-31.7,0,Сретенск
25,1936-01-25,-39.3,-35.4,-31.5,0,Сретенск
26,1936-01-26,-42.3,-38.3,-33.7,0,Сретенск
27,1936-01-27,-41.3,-36.9,-32.6,0,Сретенск
28,1936-01-28,-40.2,-37.4,-33.8,0,Сретенск
29,1936-01-29,-45.7,-40.2,-36.5,0.4,Сретенск
30,1936-01-30,-45.2,-40,-36.2,0,Сретенск
31,1936-01-31,-43.5,-38,-33.8,0,Сретенск
33,1936-02-01,-44.7,-40.2,-36,0,Сретенск
34,1936-02-02,-45.2,-40.1,-34.9,0,Сретенск
35,1936-02-03,-43.7,-37.4,-31.5,0,Сретенск
36,1936-02-04,-39.9,-33.4,-27.3,0,Сретенск
37,1936-02-05,-33.7,-26.8,-20.7,0,Сретенск
38,1936-02-06,-22.6,-17.5,-12.2,1.1,Сретенск
39,1936-02-07,-20.1,-16,-11.7,1.1,Сретенск
40,1936-02-08,-28.5,-24.2,-17.7,0,Сретенск
41,1936-02-09,-25.5,-23.2,-17.2,0,Сретенск
42,1936-02-10,-34.6,-28.6,-19.5,0,Сретенск
43,1936-02-11,-30.9,-25,-16.2,0,Сретенск
44,1936-02-12,-27.4,-17.5,-7.4,0,Сретенск
45,1936-02-13,-25.4,-16.6,-11.3,0,Сретенск
46,1936-02-14,-33.6,-25.5,-13.1,0,Сретенск
47,1936-02-15,-38.7,-30.9,-20.2,0,Сретенск
48,1936-02-16,-30.3,-22.9,-13.5,0,Сретенск
49,1936-02-17,-30.9,-24.7,-16.8,0,Сретенск
50,1936-02-18,-38.2,-31.7,-22.7,0,Сретенск
51,1936-02-19,-39.8,-32.8,-23.7,0,Сретенск
52,1936-02-20,-40,-32.8,-22.7,0,Сретенск
53,1936-02-21,-39.5,-32.6,-21.8,0,Сретенск
54,1936-02-22,-37,-29.9,-19.2,0,Сретенск
55,1936-02-23,-38.7,-30.3,-18.7,0,Сретенск
56,1936-02-24,-36.6,-27.6,-15.5,0,Сретенск
57,1936-02-25,-38.4,-29.3,-14.8,0,Сретенск
58,1936-02-26,-38.2,-28.8,-16.4,0,Сретенск
59,1936-02-27,-37.5,-29.3,-17.2,0,Сретенск
60,1936-02-28,-38.4,-29.9,-17.4,0,Сретенск
61,1936-02-29,-38.2,-29,-16.2,0,Сретенск
63,1936-03-01,-37.2,-28.8,-15,0,Сретенск
64,1936-03-02,-28.8,-22.3,-12.2,0,Сретенск
65,1936-03-03,-32.2,-24.2,-12.3,0,Сретенск
66,1936-03-04,-33.4,-25.1,-13.5,0,Сретенск
67,1936-03-05,-32.7,-23.8,-13.4,0,Сретенск
68,1936-03-06,-32.7,-23.6,-10.6,0,Сретенск
69,1936-03-07,-33.4,-23.8,-9.6,0,Сретенск
70,1936-03-08,-32.5,-23.2,-8.7,0,Сретенск
71,1936-03-09,-31.6,-22,-8,0,Сретенск
72,1936-03-10,-28.3,-19.8,-9,0,Сретенск
73,1936-03-11,-27.1,-17.2,-6.9,0,Сретенск
74,1936-03-12,-30.2,-20.5,-7.2,0,Сретенск
75,1936-03-13,-23.9,-17,-3.5,0,Сретенск
76,1936-03-14,-26.5,-18.1,-10.4,0,Сретенск
77,1936-03-15,-28.2,-18.4,-7,0,Сретенск
78,1936-03-16,-29.3,-20,-11.2,0,Сретенск
79,1936-03-17,-30.2,-20.4,-8.4,0,Сретенск
80,1936-03-18,-28,-17.4,-5.3,0,Сретенск
81,1936-03-19,-24.2,-14.3,-2,0,Сретенск
82,1936-03-20,-22.4,-13.2,-0.8,0,Сретенск
83,1936-03-21,-19.4,-11.2,-3.3,1.4,Сретенск
