,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1933-12-01,-29.6,-28.1,-26.8,2.8,Сургут
2,1933-12-02,-36.5,-31.9,-29.6,0,Сургут
3,1933-12-03,-31.8,-28.9,-25.9,1.8,Сургут
4,1933-12-04,-36.1,-32.9,-25.9,0,Сургут
5,1933-12-05,-36.8,-32.2,-27.6,1.3,Сургут
6,1933-12-06,-29.8,-23,-19.6,0,Сургут
7,1933-12-07,-26.8,-13.7,-10.4,1.6,Сургут
8,1933-12-08,-11.8,-9,-6.1,2.5,Сургут
9,1933-12-09,-23.9,-22.2,-11.6,1.3,Сургут
10,1933-12-10,-33.1,-29,-22.2,0.3,Сургут
11,1933-12-11,-35.3,-26.9,-19.4,1.7,Сургут
12,1933-12-12,-19.6,-14.9,-12.1,1.1,Сургут
13,1933-12-13,-19.8,-17.3,-15.9,2.4,Сургут
14,1933-12-14,-20.3,-16.4,-15,0.5,Сургут
15,1933-12-15,-33.9,-27.3,-19,0.8,Сургут
16,1933-12-16,-33.1,-25.1,-20,0.5,Сургут
17,1933-12-17,-29.7,-14.5,-11.6,0.9,Сургут
18,1933-12-18,-15.5,-12.9,-11.1,0.3,Сургут
19,1933-12-19,-27.1,-13.6,-12.4,0,Сургут
20,1933-12-20,-14.7,-9.1,-8.1,0,Сургут
22,1934-01-01,-39.4,-38.7,-28.6,0,Сургут
23,1934-01-02,-40.9,-30,-26.2,1.5,Сургут
24,1934-01-03,-26,-21.3,-19.6,2.8,Сургут
25,1934-01-04,-32.7,-24.4,-15.5,0.1,Сургут
26,1934-01-05,-24.2,-17.6,-16,1,Сургут
27,1934-01-06,-16.3,-14.2,-13.2,0.4,Сургут
28,1934-01-07,-15.8,-11.6,-9.4,2.2,Сургут
29,1934-01-08,-15.3,-12.2,-8.9,0.6,Сургут
30,1934-01-09,-11.8,-10.1,-8.8,1.9,Сургут
31,1934-01-10,-14.8,-9.3,-4.8,0,Сургут
32,1934-01-11,-14.8,-12.7,-10.4,0,Сургут
33,1934-01-12,-17.8,-13.3,-12.2,1.1,Сургут
34,1934-01-13,-24.7,-15.6,-11.3,0.8,Сургут
