,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-03-19,-18.7,-6.2,6.4,0,Сыктывкар
2,1900-03-20,-13,-1.4,5.6,0,Сыктывкар
3,1900-03-21,-11.2,0.1,6.3,0,Сыктывкар
4,1900-03-22,-7.8,-3.8,3.6,0,Сыктывкар
5,1900-03-23,-17.3,-5.5,3,0,Сыктывкар
6,1900-03-24,-13.1,-5.4,2.3,0,Сыктывкар
7,1900-03-25,-11.3,-4.6,2.5,0,Сыктывкар
8,1900-03-26,-9.4,-5.3,1.6,0,Сыктывкар
9,1900-03-27,-8.8,-3.3,3.6,0,Сыктывкар
10,1900-03-28,-8.6,-1.6,3.1,1.7,Сыктывкар
11,1900-03-29,-6.3,-0.9,6.3,0,Сыктывкар
12,1900-03-30,-4.1,0.4,6.1,0,Сыктывкар
13,1900-03-31,-4.3,0.2,5.8,0,Сыктывкар
15,1900-04-01,-7.7,-1.6,6.2,0,Сыктывкар
16,1900-04-02,-22.3,-12.6,-8.6,0,Сыктывкар
17,1900-04-03,-19,-9.7,-2.4,0,Сыктывкар
18,1900-04-04,-16.6,-2.9,5.8,0,Сыктывкар
19,1900-04-05,-3.8,-0.1,5.3,0,Сыктывкар
20,1900-04-06,-8.4,-4.2,0.3,0,Сыктывкар
21,1900-04-07,-5.2,-2.4,1.8,0,Сыктывкар
22,1900-04-08,-7,-0.2,6.6,0,Сыктывкар
23,1900-04-09,-12,-4,3.4,0,Сыктывкар
24,1900-04-10,-9.5,-6.6,-3.6,0,Сыктывкар
25,1900-04-11,-15.6,-10.9,-5.2,0,Сыктывкар
26,1900-04-12,-14.6,-6.3,1,0,Сыктывкар
27,1900-04-13,-17.3,-4.3,4.4,0.8,Сыктывкар
28,1900-04-14,-4.3,1.3,5.6,2.7,Сыктывкар
29,1900-04-15,1.7,3.2,4.7,0,Сыктывкар
30,1900-04-16,1.7,3.3,4.6,3.1,Сыктывкар
31,1900-04-17,0.9,2.8,4,2.5,Сыктывкар
32,1900-04-18,0.7,3.9,7.3,0.8,Сыктывкар
33,1900-04-19,-1.4,2.3,3.6,1.3,Сыктывкар
34,1900-04-20,-2.2,1.8,5.2,1.9,Сыктывкар
35,1900-04-21,-1.8,-0.3,5.8,2.1,Сыктывкар
36,1900-04-22,-0.5,1,2.7,5.7,Сыктывкар
37,1900-04-23,-2.5,-0.3,2.1,5.2,Сыктывкар
38,1900-04-24,-3.5,-2.2,1.7,0,Сыктывкар
39,1900-04-25,-3.6,1.3,4.8,0,Сыктывкар
40,1900-04-26,-0.3,3.7,7.3,0,Сыктывкар
41,1900-04-27,0.3,5.3,11.3,0,Сыктывкар
