,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,0.4,1.8,2.7,1.6,Таллинн
2,1936-01-02,0.4,0.8,2.8,0.6,Таллинн
3,1936-01-03,0.4,1.6,2,2.8,Таллинн
4,1936-01-04,0.9,2.7,3.1,0,Таллинн
5,1936-01-05,-0.7,-0.4,3.4,11.1,Таллинн
6,1936-01-06,-4,-3.2,-0.2,0,Таллинн
7,1936-01-07,-7,-4.5,-2.9,4.3,Таллинн
8,1936-01-08,-3.9,-3.2,-2.2,0,Таллинн
9,1936-01-09,-3.1,-2.6,-2.3,0.2,Таллинн
10,1936-01-10,-2.5,0.2,0.5,0.4,Таллинн
11,1936-01-11,0.4,1.4,2.4,2.4,Таллинн
12,1936-01-12,0.5,1.3,2,1.3,Таллинн
13,1936-01-13,-4.8,-1.4,0.8,0.5,Таллинн
14,1936-01-14,-3.4,-1.9,0,2.1,Таллинн
15,1936-01-15,-5,-2.9,-0.9,2.8,Таллинн
16,1936-01-16,-6.6,-5.9,-5,0,Таллинн
17,1936-01-17,-9.1,-7.9,-6,0.4,Таллинн
18,1936-01-18,-8.2,-3.2,-1,1.8,Таллинн
19,1936-01-19,-2.2,-0.3,0.4,0,Таллинн
20,1936-01-20,-3.1,-0.8,0.3,0.2,Таллинн
21,1936-01-21,-2.6,-0.8,1,1.1,Таллинн
22,1936-01-22,0.4,0.8,1.3,3.9,Таллинн
23,1936-01-23,0.1,1,2.2,0,Таллинн
24,1936-01-24,-3.1,-1.3,0.4,0,Таллинн
25,1936-01-25,-3.9,-1.6,-0.1,1.8,Таллинн
26,1936-01-26,-6.1,-2.2,-0.3,1.8,Таллинн
27,1936-01-27,-8.7,-6.1,-2.7,0,Таллинн
28,1936-01-28,-13.6,-11.4,-8.8,0.2,Таллинн
29,1936-01-29,-12,-9.3,-6.8,0,Таллинн
30,1936-01-30,-18.9,-17,-9.4,0,Таллинн
31,1936-01-31,-18.3,-12.5,-9.7,1.2,Таллинн
33,1936-02-01,-10.6,-7,-4,8,Таллинн
34,1936-02-02,-4,0.5,1.2,1.2,Таллинн
35,1936-02-03,-0.8,-0.2,0.7,7,Таллинн
36,1936-02-04,-1.4,0.3,1.4,0,Таллинн
37,1936-02-05,-1.6,-0.9,0.4,0.2,Таллинн
38,1936-02-06,-6,-5.1,-1.5,0,Таллинн
39,1936-02-07,-8.7,-5.7,-4.2,0.6,Таллинн
40,1936-02-08,-4.2,0.7,2.2,5.9,Таллинн
41,1936-02-09,-12.6,-9.3,1.5,1.9,Таллинн
42,1936-02-10,-12.9,-12,-10.2,1,Таллинн
43,1936-02-11,-13.5,-7,-5.8,3.5,Таллинн
44,1936-02-12,-8.5,-6.3,-3,2.5,Таллинн
45,1936-02-13,-14.8,-12.8,-5.7,1.3,Таллинн
46,1936-02-14,-16,-13.7,-12.2,1.5,Таллинн
47,1936-02-15,-14.4,-12.8,-10.3,0,Таллинн
