,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-3.5,-2.8,-1.6,3,Тамбов
2,1936-01-02,-1.9,-0.9,-0.2,2.2,Тамбов
3,1936-01-03,-6.8,-3.8,-0.5,0,Тамбов
4,1936-01-04,-8.7,-5.4,-3.1,0.1,Тамбов
5,1936-01-05,-4.7,-2.9,-1.7,0,Тамбов
6,1936-01-06,-5.4,-3.3,-1.3,0,Тамбов
7,1936-01-07,-4.5,-3.2,-2.2,0.2,Тамбов
8,1936-01-08,-10.3,-7.5,-2.9,0,Тамбов
9,1936-01-09,-12.6,-8.9,-5.9,0,Тамбов
10,1936-01-10,-6.1,-4.3,-2.5,1,Тамбов
11,1936-01-11,-6.6,-5.2,-3.7,0.1,Тамбов
12,1936-01-12,-7,-3.5,0.3,1.6,Тамбов
13,1936-01-13,-3,-0.4,0.8,1.2,Тамбов
14,1936-01-14,-5.4,-3.5,-0.9,2.2,Тамбов
15,1936-01-15,-6.9,-4.2,-2.1,2.2,Тамбов
16,1936-01-16,-13.6,-8.5,-4.3,0.2,Тамбов
17,1936-01-17,-9.3,-6.8,-4.7,0,Тамбов
18,1936-01-18,-9.9,-7.4,-5.3,0,Тамбов
19,1936-01-19,-9.7,-8.6,-7.5,0,Тамбов
20,1936-01-20,-11.7,-8.4,-3.9,1.2,Тамбов
21,1936-01-21,-4.7,-3.5,-2.3,5,Тамбов
22,1936-01-22,-4,-2.4,-1.1,0.1,Тамбов
23,1936-01-23,-1.9,0.4,1.7,5,Тамбов
24,1936-01-24,-0.1,0.9,1.9,0.5,Тамбов
25,1936-01-25,-1.8,0.4,0.6,1.4,Тамбов
26,1936-01-26,-2.7,-1.6,0.4,0.2,Тамбов
27,1936-01-27,-8.3,-5.6,-2.5,0,Тамбов
28,1936-01-28,-7.8,-5.5,-3.6,1.2,Тамбов
29,1936-01-29,-7.6,-6,-4.7,5.8,Тамбов
30,1936-01-30,-17.7,-11.5,-7.2,0,Тамбов
31,1936-01-31,-24.8,-22.5,-17.3,0,Тамбов
33,1936-02-01,-27.6,-22.7,-15.4,0,Тамбов
34,1936-02-02,-20.8,-15.1,-12.7,0.7,Тамбов
35,1936-02-03,-12.9,-8.1,-5.6,1.4,Тамбов
36,1936-02-04,-7.7,-5.9,-4.6,1.9,Тамбов
37,1936-02-05,-11.5,-8,-4.9,0,Тамбов
38,1936-02-06,-12.2,-9,-5.6,0,Тамбов
39,1936-02-07,-16,-12.4,-7.2,0,Тамбов
40,1936-02-08,-16.3,-12.4,-6.9,0,Тамбов
41,1936-02-09,-15,-10.9,-8.4,2.7,Тамбов
42,1936-02-10,-8.4,-4.8,-2.8,3.4,Тамбов
43,1936-02-11,-27.6,-23.9,-3.8,0.2,Тамбов
44,1936-02-12,-30.5,-25.6,-18.2,0,Тамбов
45,1936-02-13,-26,-16.5,-11.1,1.2,Тамбов
46,1936-02-14,-15.3,-12.3,-7.9,1.7,Тамбов
47,1936-02-15,-17.5,-13.9,-9.5,0.5,Тамбов
48,1936-02-16,-21.7,-20,-17.2,0,Тамбов
49,1936-02-17,-26.1,-18.4,-11,0.1,Тамбов
50,1936-02-18,-23,-19.6,-12.6,0,Тамбов
51,1936-02-19,-28.3,-23,-16.5,0,Тамбов
52,1936-02-20,-21.5,-15.6,-10.2,2,Тамбов
53,1936-02-21,-19.1,-14.8,-10.9,0.2,Тамбов
54,1936-02-22,-14,-10.9,-9.1,1.8,Тамбов
55,1936-02-23,-14.5,-11.7,-7.5,0,Тамбов
56,1936-02-24,-18.7,-12.5,-5.8,0,Тамбов
57,1936-02-25,-19.4,-13.1,-4.7,0,Тамбов
58,1936-02-26,-18,-12.2,-4.8,0,Тамбов
59,1936-02-27,-20.3,-13.7,-9.4,0,Тамбов
60,1936-02-28,-10.1,-5.8,-3.2,0,Тамбов
61,1936-02-29,-4.5,-2.8,-0.5,0.5,Тамбов
63,1936-03-01,-9.2,-5.9,-3.2,0,Тамбов
64,1936-03-02,-7.7,-5.4,-0.4,0,Тамбов
65,1936-03-03,-8.8,-5.7,-1.6,0,Тамбов
66,1936-03-04,-9.4,-6,-2.1,0,Тамбов
67,1936-03-05,-2.1,-0.2,1.6,0,Тамбов
68,1936-03-06,-10.3,-4.8,1.3,0,Тамбов
69,1936-03-07,-11.7,-6.2,1.8,0,Тамбов
70,1936-03-08,-11.5,-5.2,5.1,0,Тамбов
71,1936-03-09,-7.7,-3.6,0.5,0,Тамбов
72,1936-03-10,-11.1,-6.5,-2.2,0,Тамбов
73,1936-03-11,-14,-9.1,-4.8,0,Тамбов
74,1936-03-12,-6.1,-3.2,0.6,0,Тамбов
75,1936-03-13,-10.1,-5.1,-0.3,0,Тамбов
76,1936-03-14,-8.5,-3.8,0.8,0,Тамбов
77,1936-03-15,-7.3,-2.4,2.5,0,Тамбов
78,1936-03-16,-9.7,-6,1,0,Тамбов
79,1936-03-17,-6.6,-3.7,0.4,4.4,Тамбов
80,1936-03-18,-10.9,-4.5,1.2,1.4,Тамбов
81,1936-03-19,-10.6,-3.8,1.5,0.2,Тамбов
82,1936-03-20,-4.4,-1.2,1.4,1.2,Тамбов
83,1936-03-21,-8,-5.2,-2.9,0,Тамбов
84,1936-03-22,-12.5,-5.6,1.8,0,Тамбов
85,1936-03-23,-2.4,0.2,3.4,0,Тамбов
86,1936-03-24,-3.6,-1.2,1.1,0,Тамбов
87,1936-03-25,-10.1,-6.8,-3.5,0,Тамбов
88,1936-03-26,-12.5,-7.6,-3.2,0,Тамбов
89,1936-03-27,-10.4,-5.8,-1.8,0,Тамбов
90,1936-03-28,-7.6,-6,-3.6,2.8,Тамбов
91,1936-03-29,-13.3,-8,-4.1,0,Тамбов
92,1936-03-30,-4.9,-2.8,0.7,0,Тамбов
93,1936-03-31,-8.8,-3.7,2.6,0,Тамбов
95,1936-04-01,-8.9,-3.8,2.7,0,Тамбов
96,1936-04-02,-6.6,-2.5,2.6,0,Тамбов
97,1936-04-03,-2.9,0.4,3.9,0,Тамбов
98,1936-04-04,0.8,2.7,5.5,6.2,Тамбов
99,1936-04-05,-0.7,0.3,4.3,2.9,Тамбов
100,1936-04-06,-3.8,-1.9,-0.1,1.2,Тамбов
101,1936-04-07,-5.6,-2.3,1.9,0,Тамбов
102,1936-04-08,-2,-0.1,3.2,0,Тамбов
103,1936-04-09,-3.1,-1.7,-0.1,6.9,Тамбов
104,1936-04-10,-6.5,-2.7,1,0.4,Тамбов
105,1936-04-11,-6.5,-1.3,4.1,0,Тамбов
106,1936-04-12,-2.1,1.4,6.3,0,Тамбов
107,1936-04-13,-2,2.5,7.6,0,Тамбов
108,1936-04-14,-1.6,3.1,8.3,0.1,Тамбов
109,1936-04-15,0.2,2.6,4.9,6.8,Тамбов
110,1936-04-16,0.4,3.8,7.2,0,Тамбов
111,1936-04-17,1.2,5.6,8.7,0,Тамбов
112,1936-04-18,1.6,5,9.8,0,Тамбов
113,1936-04-19,-0.3,7.8,14.9,0,Тамбов
114,1936-04-20,6.2,7.5,11.4,0,Тамбов
115,1936-04-21,6.8,7,8.7,1.2,Тамбов
116,1936-04-22,3.3,6.7,12.6,0,Тамбов
117,1936-04-23,1.7,10.5,17.7,0,Тамбов
118,1936-04-24,6.1,11.6,18,3.6,Тамбов
119,1936-04-25,8.3,11.2,16.2,3.8,Тамбов
120,1936-04-26,8.6,13.2,18.1,4.5,Тамбов
121,1936-04-27,8.6,15.4,20.2,0,Тамбов
122,1936-04-28,4.5,15,21.2,0,Тамбов
123,1936-04-29,5.6,15.1,21.8,0,Тамбов
124,1936-04-30,6,12.8,18.5,0,Тамбов
126,1936-05-01,4.5,12.3,18.1,0,Тамбов
127,1936-05-02,6.2,12.8,19.5,0,Тамбов
128,1936-05-03,7.3,14.6,21.8,0,Тамбов
129,1936-05-04,6.7,14.7,22.4,4.9,Тамбов
130,1936-05-05,7.2,9.2,14.4,0,Тамбов
131,1936-05-06,1,8,13.8,0,Тамбов
132,1936-05-07,2,7.3,11.6,0,Тамбов
133,1936-05-08,2.3,10.4,16.3,0,Тамбов
134,1936-05-09,4.9,12.6,19.6,0,Тамбов
135,1936-05-10,5,13.8,19.8,0,Тамбов
136,1936-05-11,10.9,13.9,20.6,0,Тамбов
137,1936-05-12,7.1,13.6,20.3,2.4,Тамбов
138,1936-05-13,6.7,15.4,22.6,0,Тамбов
139,1936-05-14,8,18.2,24.9,0,Тамбов
140,1936-05-15,7.1,11.2,21.5,1.5,Тамбов
141,1936-05-16,-1,4.9,10.1,0,Тамбов
142,1936-05-17,-3.4,7.4,14.5,0,Тамбов
143,1936-05-18,6.6,10.4,15.8,6.2,Тамбов
