,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1932-06-02,17.7,24.4,30.3,0,Тамды
2,1932-06-03,16.9,27,33.9,0,Тамды
3,1932-06-04,16.9,28.4,34.6,0,Тамды
4,1932-06-05,18.4,29,35,0,Тамды
5,1932-06-06,20.9,29.3,34.1,0,Тамды
6,1932-06-07,21.9,27.2,33.3,0,Тамды
7,1932-06-08,19.1,26.7,32.2,0,Тамды
8,1932-06-30,19.9,30.7,37.8,0,Тамды
10,1932-08-01,19.7,24.7,31,0,Тамды
11,1932-08-02,19,24.9,29.8,0,Тамды
12,1932-08-03,17,26.7,33.3,0,Тамды
13,1932-08-04,19.1,27.7,34.7,0,Тамды
14,1932-08-05,17.7,29.6,35.5,0,Тамды
15,1932-08-06,19.9,25.8,32.5,0,Тамды
16,1932-08-07,17.3,23.9,29,0,Тамды
17,1932-08-08,17.6,24.9,31,0,Тамды
18,1932-08-09,16.6,24.9,30.8,0,Тамды
19,1932-08-10,17.2,27.1,33.7,0,Тамды
20,1932-08-11,19.5,28.9,35.8,0,Тамды
21,1932-08-12,22.9,27,32.3,0,Тамды
22,1932-08-13,17.9,24.2,30.9,0,Тамды
23,1932-08-14,18.6,24.7,31.3,0,Тамды
24,1932-08-15,16,24.1,30.4,0,Тамды
25,1932-08-16,16.5,25.1,31.6,0,Тамды
26,1932-08-17,17.3,25.3,31.3,0,Тамды
27,1932-08-18,18.1,27,33.4,0,Тамды
28,1932-08-19,18,25.5,32.7,0,Тамды
29,1932-08-20,15.6,26.8,32.9,0,Тамды
30,1932-08-21,16.7,26.8,33.8,0,Тамды
31,1932-08-22,18.5,28.7,34.2,0,Тамды
32,1932-08-23,21.9,30.1,37.2,0,Тамды
33,1932-08-24,17,25.5,32.1,0,Тамды
34,1932-08-25,20.1,26.8,33.2,0,Тамды
35,1932-08-26,16.8,27.7,34.9,0,Тамды
36,1932-08-27,19.3,30.2,36.5,0.9,Тамды
37,1932-08-28,21,23.8,29.3,0,Тамды
38,1932-08-29,14.4,19.7,23.8,0,Тамды
39,1932-08-30,13,20,26.7,0,Тамды
