,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-14.6,-9.4,-6.9,0.2,Тара
2,1936-01-02,-11.1,-7.3,-5.9,0.3,Тара
3,1936-01-03,-9.9,-8.4,-7.3,0.6,Тара
4,1936-01-04,-12,-7.2,-4.3,2.6,Тара
5,1936-01-05,-10.1,-8.6,-4.4,0,Тара
6,1936-01-06,-14.4,-8.8,-5.4,0,Тара
7,1936-01-07,-14.8,-10.3,-8.2,0,Тара
8,1936-01-08,-12.4,-7.7,-5.7,0.4,Тара
9,1936-01-09,-20.4,-14.5,-8.3,0,Тара
10,1936-01-10,-22,-17.8,-12.1,0.8,Тара
11,1936-01-11,-21,-15.1,-12.2,0,Тара
12,1936-01-12,-25.1,-21.4,-18.9,0,Тара
13,1936-01-13,-22.1,-20.1,-17.6,0,Тара
14,1936-01-14,-17.7,-14.7,-13.5,0,Тара
15,1936-01-15,-22.1,-20.1,-15.9,0,Тара
16,1936-01-16,-20.9,-17.9,-12.5,0,Тара
17,1936-01-17,-23.1,-18.6,-13.5,0,Тара
18,1936-01-18,-22.4,-17.5,-13.5,0,Тара
19,1936-01-19,-21.8,-18.9,-15.8,0,Тара
20,1936-01-20,-22.5,-19.2,-16.3,0,Тара
21,1936-01-21,-28.1,-23.9,-19.4,0.6,Тара
22,1936-01-22,-23.7,-14.3,-10.1,3.9,Тара
23,1936-01-23,-10.7,-9.6,-9.1,0.9,Тара
24,1936-01-24,-12.5,-9.1,-6.6,0.7,Тара
25,1936-01-25,-22.5,-13.2,-5.9,1.7,Тара
26,1936-01-26,-34.3,-30,-19.7,0,Тара
27,1936-01-27,-34,-28.4,-22.4,0,Тара
28,1936-01-28,-27,-22.6,-19.8,3.6,Тара
29,1936-01-29,-22.8,-18.3,-14.8,4.3,Тара
30,1936-01-30,-29.2,-23.9,-15.3,0,Тара
31,1936-01-31,-29.1,-26,-21.8,0,Тара
33,1936-02-01,-25.5,-19.4,-16.2,1.6,Тара
34,1936-02-02,-28.4,-21.3,-15.9,0,Тара
35,1936-02-03,-32.1,-27,-22.8,0.4,Тара
36,1936-02-04,-25.5,-17.1,-11.7,0.9,Тара
37,1936-02-05,-13.4,-9.3,-6.3,0.4,Тара
38,1936-02-06,-8.4,-6.8,-4.9,0,Тара
39,1936-02-07,-10.5,-7.5,-4.9,0,Тара
40,1936-02-08,-12.1,-5.8,-2.9,0.4,Тара
41,1936-02-09,-12.4,-7,-3.8,0,Тара
42,1936-02-10,-23.9,-19.1,-4.6,0,Тара
43,1936-02-11,-23.9,-18.3,-10.3,0.8,Тара
44,1936-02-12,-11.1,-5.6,-2.9,4.8,Тара
45,1936-02-13,-19.3,-7.9,-1.9,0,Тара
46,1936-02-14,-25.1,-17.4,-11.9,0,Тара
47,1936-02-15,-16.1,-10,-5.9,0,Тара
48,1936-02-16,-13.5,-9.4,-4.8,0,Тара
49,1936-02-17,-17.1,-13,-9.3,0,Тара
50,1936-02-18,-17.8,-11.4,-5.7,0,Тара
51,1936-02-19,-18.1,-12,-6.6,0,Тара
52,1936-02-20,-20.7,-15.4,-11.1,0,Тара
53,1936-02-21,-22.3,-17.2,-12.8,0,Тара
54,1936-02-22,-21,-17.2,-12.9,0,Тара
55,1936-02-23,-22.4,-18.4,-15.8,0,Тара
56,1936-02-24,-30.4,-23.1,-15.6,0,Тара
57,1936-02-25,-29.3,-24.1,-18.4,0,Тара
58,1936-02-26,-23.9,-19.8,-16.3,0.4,Тара
59,1936-02-27,-18,-15.8,-11.2,1.7,Тара
60,1936-02-28,-29.6,-23.1,-15.9,0,Тара
61,1936-02-29,-22.6,-16.3,-12.3,1.7,Тара
63,1936-03-01,-20,-14.8,-11.6,0,Тара
64,1936-03-02,-30.1,-24.2,-18.7,0.3,Тара
65,1936-03-03,-23.4,-16.6,-12.5,0,Тара
66,1936-03-04,-17.1,-15.1,-11.4,0,Тара
67,1936-03-05,-18.4,-12.8,-6.3,0,Тара
68,1936-03-06,-17.4,-9,-2.9,0.4,Тара
69,1936-03-07,-6.8,-4.6,-1.4,4.8,Тара
70,1936-03-08,-19.4,-14.3,-2.7,0,Тара
71,1936-03-09,-24.5,-16.6,-10.1,0.6,Тара
72,1936-03-10,-18.3,-14,-10.2,0,Тара
73,1936-03-11,-27,-16.8,-9.8,1.3,Тара
74,1936-03-12,-10.5,-6.5,-1.5,0,Тара
75,1936-03-13,-13,-8.6,-3.9,0,Тара
76,1936-03-14,-16.4,-10,-4.9,0,Тара
77,1936-03-15,-14,-11.1,-7.7,0,Тара
78,1936-03-16,-14.1,-10.2,-7.3,0,Тара
79,1936-03-17,-13.9,-9.7,-5.9,0,Тара
80,1936-03-18,-17,-10.2,-5,0,Тара
81,1936-03-19,-21.4,-13.6,-6.6,0.4,Тара
82,1936-03-20,-9.8,-7.4,-5.5,0,Тара
83,1936-03-21,-14.9,-9.2,-2.4,0,Тара
84,1936-03-22,-6.4,-2.7,-1.7,3.8,Тара
85,1936-03-23,-8.1,-5.2,-1.3,0,Тара
86,1936-03-24,-11.2,-7.4,-3.5,1.9,Тара
87,1936-03-25,-6.4,-2,-0.3,0.9,Тара
88,1936-03-26,-10.5,-6.8,-0.4,0,Тара
89,1936-03-27,-20.5,-16,-8.8,0,Тара
90,1936-03-28,-25.4,-17.8,-11.5,0,Тара
91,1936-03-29,-22.9,-15.8,-9.7,0,Тара
92,1936-03-30,-20.6,-13.7,-7.2,0.8,Тара
93,1936-03-31,-10.4,-5.5,-1.4,0.6,Тара
95,1936-04-01,-12.1,-9.4,-4.4,0.8,Тара
96,1936-04-02,-21.4,-14.8,-8.9,0,Тара
97,1936-04-03,-17.5,-8.8,-1.5,0,Тара
98,1936-04-04,-12.5,-4.9,0.5,0,Тара
99,1936-04-05,-13.5,-7.1,-1.6,0,Тара
100,1936-04-06,-13.9,-8.4,-4.5,0,Тара
101,1936-04-07,-6.9,-5.5,-3.2,0,Тара
102,1936-04-08,-8.9,-4.5,1.6,0,Тара
103,1936-04-09,-11.5,-2.4,5.6,0,Тара
104,1936-04-10,-7.4,1.1,7.7,0,Тара
105,1936-04-11,-5.2,1.1,6.1,0,Тара
106,1936-04-12,-3.4,0.2,2.5,0,Тара
107,1936-04-13,-1.9,1.6,5.7,6.4,Тара
108,1936-04-14,-0.9,0,2,8.6,Тара
109,1936-04-15,-0.8,2.9,8.4,1.1,Тара
110,1936-04-16,-3.7,1.2,3.8,0,Тара
111,1936-04-17,-0.5,2.2,6.3,0.6,Тара
112,1936-04-18,0.4,1.5,3.5,2.7,Тара
113,1936-04-19,-4.6,-1.3,1.8,0.2,Тара
114,1936-04-20,-2.8,2.3,8.2,0,Тара
115,1936-04-21,0.1,3,6.3,0,Тара
116,1936-04-22,-7.1,-2,1.7,0,Тара
117,1936-04-23,-5.3,1,6.5,0,Тара
118,1936-04-24,-3.3,1.9,5.5,0,Тара
119,1936-04-25,-5.3,2.2,7.5,0.3,Тара
120,1936-04-26,0.7,3.4,6.3,3.3,Тара
121,1936-04-27,-1.6,1.5,4.7,0,Тара
122,1936-04-28,-5.5,-2.2,1.6,0,Тара
123,1936-04-29,-5.4,-4.4,-1,0.6,Тара
124,1936-04-30,-5.4,-1.5,4.3,0.5,Тара
126,1936-05-01,-3,0.4,3.7,2.9,Тара
127,1936-05-02,0.3,2.4,5.8,1.3,Тара
128,1936-05-03,-2.2,0.1,2.6,0.1,Тара
129,1936-05-04,-2.3,2.6,7.7,0,Тара
130,1936-05-05,1.3,4.2,8.3,2.2,Тара
131,1936-05-06,0.5,3.5,7.2,0.3,Тара
132,1936-05-07,0.7,3.7,7.6,0,Тара
133,1936-05-08,-0.7,3.1,7.1,0.6,Тара
134,1936-05-09,-1.2,2.1,5.4,0.4,Тара
135,1936-05-10,-2.6,0.6,4.9,0.7,Тара
136,1936-05-11,-5.4,-1,2,0,Тара
137,1936-05-12,-3.5,3.6,9.7,0,Тара
138,1936-05-13,1,7.5,14.1,0,Тара
139,1936-05-14,0.8,10.4,19.1,1.2,Тара
140,1936-05-15,0,7.1,16.3,0.6,Тара
141,1936-05-16,-0.9,6,16.1,0,Тара
142,1936-05-17,-2.2,1.2,4.9,0,Тара
143,1936-05-19,3.2,7.3,13.2,0.7,Тара
144,1936-05-20,1.3,3.7,9,14.8,Тара
145,1936-05-21,-1.2,3,8.3,0,Тара
146,1936-05-22,0.6,12.2,22.2,0,Тара
147,1936-05-23,5.9,16.5,23.9,0,Тара
148,1936-05-24,8.4,17.5,25.9,0,Тара
149,1936-05-25,10.6,20,27.6,0,Тара
150,1936-05-26,11.6,17.4,23.8,0,Тара
151,1936-05-27,3,7.5,16.1,9.7,Тара
152,1936-05-28,0.1,7.2,12.3,0,Тара
153,1936-05-29,5.3,16.1,26.1,0,Тара
154,1936-05-30,10.2,21.1,29.5,0,Тара
155,1936-05-31,10.7,21.3,30.1,0,Тара
157,1936-06-01,12.2,14.6,23.4,0,Тара
158,1936-06-02,7.6,16.6,22.4,0,Тара
159,1936-06-03,7.2,18.4,27.6,0,Тара
160,1936-06-04,6,14,24.2,0,Тара
161,1936-06-05,3.6,17.3,28.1,0.2,Тара
162,1936-06-06,15.6,23.4,31,0,Тара
163,1936-06-07,8.3,12.9,26.6,0,Тара
164,1936-06-08,3.6,8.9,12.7,3.9,Тара
165,1936-06-09,6,11.8,17.8,0,Тара
166,1936-06-10,7.6,17.8,19.6,5.3,Тара
167,1936-06-11,11.2,13,19.3,16,Тара
168,1936-06-12,7.1,16.4,22,0,Тара
169,1936-06-13,6.2,13.1,20.4,0,Тара
170,1936-06-14,6.8,15.9,23,0,Тара
171,1936-06-15,9.8,13.8,22.4,1.2,Тара
172,1936-06-16,3.1,8.4,13.9,0,Тара
173,1936-06-17,0.8,8.8,14.7,0,Тара
174,1936-06-18,4.2,12.2,17.6,0,Тара
175,1936-06-19,3.5,12.5,18.1,0,Тара
176,1936-06-20,4.4,15.6,22.3,0,Тара
177,1936-06-21,8,17.6,24.9,1.4,Тара
178,1936-06-22,7,12.6,21.4,0,Тара
179,1936-06-23,9.9,16.8,22.8,0,Тара
180,1936-06-24,10.3,20,27.7,0,Тара
181,1936-06-25,12.7,19.7,25.4,0,Тара
182,1936-06-26,13.1,22,29.5,0,Тара
183,1936-06-27,16.8,23.7,31.8,0,Тара
184,1936-06-28,16.7,21,27.8,0,Тара
185,1936-06-29,8.8,19.4,25.6,1.5,Тара
186,1936-06-30,17.3,25.5,33.6,0,Тара
188,1936-07-01,15.2,20.8,30.4,0.5,Тара
189,1936-07-02,10.4,12.7,16.8,1.6,Тара
190,1936-07-03,8.4,11.6,16.5,5,Тара
191,1936-07-04,4.3,11.7,17.8,0,Тара
192,1936-07-05,9.3,14.6,20.3,0.1,Тара
193,1936-07-06,7.7,13,17.7,0,Тара
194,1936-07-07,10.2,11.6,13.9,9.2,Тара
195,1936-07-08,9,11.1,14.1,0.1,Тара
196,1936-07-09,7.6,14.9,20.9,0,Тара
197,1936-07-10,13.2,18.2,24.4,0,Тара
198,1936-07-11,13.5,21.2,27.6,0,Тара
199,1936-07-12,11.2,21.1,28.6,1.2,Тара
200,1936-07-13,14,15.8,26.4,0,Тара
201,1936-07-14,11.3,14.2,17.8,0,Тара
202,1936-07-15,12,17.3,21.8,0,Тара
203,1936-07-16,5.8,18.1,25.4,0,Тара
204,1936-07-17,14.1,20.4,27.6,0.1,Тара
205,1936-07-18,15.5,19.4,23,0,Тара
206,1936-07-19,8.9,19.7,27.2,0,Тара
207,1936-07-20,14,22.3,28.2,0,Тара
208,1936-07-21,15,23.2,29.4,0,Тара
209,1936-07-22,18.6,26,32.3,1.3,Тара
210,1936-07-23,17.7,23.4,29.8,0,Тара
211,1936-07-24,17.6,23.8,28.8,0,Тара
212,1936-07-25,12.7,19.7,25.2,1.2,Тара
213,1936-07-26,12.5,16.6,25,6.5,Тара
214,1936-07-27,11,16.8,22.6,0,Тара
215,1936-07-28,9.4,16,21.2,0,Тара
216,1936-07-29,6.4,13.6,18.9,0,Тара
217,1936-07-30,6.3,14.6,20.8,0,Тара
218,1936-07-31,6.8,16.3,22.4,0,Тара
220,1936-08-01,9.7,15.2,20.4,0.6,Тара
221,1936-08-02,14,16.9,26.8,1.8,Тара
222,1936-08-03,13.6,15.6,22.2,4.5,Тара
223,1936-08-04,11.7,14,17.4,0,Тара
224,1936-08-05,7.2,12.1,17,0.5,Тара
225,1936-08-06,10.6,15.6,21.3,0,Тара
226,1936-08-07,12.5,19.4,27.6,0,Тара
227,1936-08-08,15.7,22.4,28.2,0,Тара
228,1936-08-09,14.2,21.1,28.5,0,Тара
229,1936-08-10,16,23.4,31.2,0,Тара
230,1936-08-11,14.4,19.7,27.4,0,Тара
231,1936-08-12,9.2,15.5,22,0,Тара
232,1936-08-13,7.2,13.9,19.5,0,Тара
233,1936-08-14,8,12,17.2,0,Тара
234,1936-08-15,1.7,13.1,21.2,0,Тара
235,1936-08-16,12.7,17.4,21.3,0.9,Тара
236,1936-08-17,8,12.4,20.1,2,Тара
237,1936-08-18,3,7.8,18.2,0,Тара
238,1936-08-19,4.9,9,11,2.9,Тара
239,1936-08-20,5.7,7.8,11.3,1.2,Тара
240,1936-08-21,5.8,9.3,14.2,0.7,Тара
241,1936-08-22,2.6,7.4,11.8,0.3,Тара
242,1936-08-23,7.1,11.5,17.2,0,Тара
243,1936-08-24,7.9,11.6,15.2,0,Тара
244,1936-08-25,9.2,12.3,15.5,0,Тара
245,1936-08-26,7.8,11.7,15.7,0,Тара
246,1936-08-27,2.8,11.5,19.6,0.3,Тара
247,1936-08-28,10.5,14.4,20.7,1.2,Тара
248,1936-08-29,8.9,12.4,16.6,0.5,Тара
249,1936-08-30,8.2,12.7,18.5,0,Тара
250,1936-08-31,-0.4,10.2,18.2,0.1,Тара
252,1936-09-01,3.5,11.5,20.6,2.3,Тара
253,1936-09-03,7.6,11.6,25.3,7.5,Тара
254,1936-09-04,2,10.1,18.5,0,Тара
255,1936-09-05,7.9,13.2,20.4,0,Тара
256,1936-09-06,9.2,13.6,18.7,0,Тара
257,1936-09-07,11.1,14.6,21.6,4.1,Тара
258,1936-09-08,7.9,13.2,18.2,0,Тара
259,1936-09-09,10.2,12.1,16.8,0.3,Тара
260,1936-09-10,9.9,13.8,20,0,Тара
261,1936-09-11,7.4,14.8,23.8,0,Тара
262,1936-09-12,8.4,14.1,23.9,0,Тара
263,1936-09-13,3.5,9.4,15.4,0,Тара
264,1936-09-14,6,15.2,26.4,0,Тара
265,1936-09-15,3.7,12.4,17.2,0,Тара
266,1936-09-16,3.7,7.8,11.1,0.2,Тара
267,1936-09-17,1.4,6.6,11.7,0,Тара
268,1936-09-18,2.5,7.8,13.6,2.3,Тара
269,1936-09-19,2.9,4.7,7.9,1.2,Тара
270,1936-09-20,-3.7,5,12.7,0,Тара
271,1936-09-21,4.9,9.8,14.7,0,Тара
272,1936-09-22,7.3,10.4,13,0,Тара
273,1936-09-23,1.7,4.6,10.5,0,Тара
274,1936-09-24,-0.8,5.5,11.7,2.2,Тара
275,1936-09-25,8.8,11.3,14.3,0,Тара
276,1936-09-26,-2,3.4,11.1,0,Тара
277,1936-09-27,-5.1,3.2,12.9,0,Тара
278,1936-09-28,-2,6.6,18.4,0,Тара
279,1936-09-29,2.6,10.5,21,0,Тара
280,1936-09-30,-0.6,7.5,18.9,0,Тара
282,1936-10-01,1.9,7.5,16.8,0,Тара
283,1936-10-02,-0.9,6.5,16.4,0,Тара
284,1936-10-03,1.5,9.7,21.8,0,Тара
285,1936-10-04,3.8,12,22.9,0,Тара
286,1936-10-05,1.5,9.3,20.6,0,Тара
287,1936-10-06,-1.7,5,11.9,0,Тара
288,1936-10-07,2.6,3.7,7.4,0.8,Тара
289,1936-10-08,0.5,2,3.4,0.5,Тара
290,1936-10-09,1,2,3.5,0,Тара
291,1936-10-10,0.3,4.5,9.7,0.3,Тара
292,1936-10-11,-4.5,-2.2,3.3,0,Тара
293,1936-10-12,-12.1,-3.2,5,2.3,Тара
294,1936-10-13,1.7,3.5,6.9,0.1,Тара
295,1936-10-14,0.8,3.6,8,1.5,Тара
296,1936-10-15,2.5,4.8,7.2,0,Тара
297,1936-10-16,0,1.1,2.8,0,Тара
298,1936-10-17,-0.3,2.1,8,0,Тара
299,1936-10-18,-4.1,1.6,9.3,0,Тара
300,1936-10-19,-5.8,4.5,11.4,0,Тара
301,1936-10-20,5,9.1,13.5,1.6,Тара
302,1936-10-21,1.5,5.4,10.1,7.1,Тара
303,1936-10-22,-1.5,4.6,8,1.4,Тара
304,1936-10-23,5.7,10.4,13.4,0,Тара
305,1936-10-24,-1.2,3.7,11.3,0.3,Тара
306,1936-10-25,-6,-1.6,1.3,0.4,Тара
307,1936-10-26,-3.2,-1.7,-0.9,1.7,Тара
308,1936-10-27,-1.8,0.6,1.7,0.9,Тара
309,1936-10-28,-7.9,-4.6,-0.4,0,Тара
310,1936-10-29,-10.7,-2.4,1.6,0,Тара
311,1936-10-30,-4.6,-0.7,0.6,0,Тара
312,1936-10-31,-2.4,-1.3,0.4,1,Тара
314,1936-11-01,-2.7,-0.3,0.7,0.8,Тара
315,1936-11-02,-1.4,-0.7,0.6,3.5,Тара
316,1936-11-03,-17.3,-13.1,-1.5,0,Тара
317,1936-11-04,-21.8,-11.2,-2.1,3.2,Тара
318,1936-11-05,-5.2,3.5,5.5,2.7,Тара
319,1936-11-06,2.6,3.2,4.4,4.4,Тара
320,1936-11-07,-2.9,-0.5,3.3,0.1,Тара
321,1936-11-08,-3.3,-2.1,-0.7,1,Тара
322,1936-11-09,-2.4,-0.4,0.8,1.4,Тара
323,1936-11-10,-3.2,0.3,0.9,0,Тара
324,1936-11-11,-2.3,1.2,2.3,2.8,Тара
325,1936-11-12,0.8,3.4,5,4.3,Тара
326,1936-11-13,0.8,2.6,3.7,0.5,Тара
327,1936-11-14,0.6,2.8,3.8,2.3,Тара
328,1936-11-15,-1.1,-0.2,1.8,0,Тара
329,1936-11-16,-1.5,-0.2,1,0.1,Тара
330,1936-11-17,-4.2,-0.4,1.6,0,Тара
331,1936-11-18,-4,-1.8,0.9,0,Тара
332,1936-11-19,-10.3,-7.8,-3.9,0,Тара
333,1936-11-20,-9,-4.2,-3,0.1,Тара
334,1936-11-21,-4,-2,1,1,Тара
335,1936-11-22,-9.3,-6.9,-1.5,0.1,Тара
336,1936-11-23,-19.2,-14.6,-9.2,0.1,Тара
337,1936-11-24,-19.7,-11.8,-7.5,0.1,Тара
338,1936-11-25,-18.6,-9.6,-5.6,0,Тара
339,1936-11-26,-19.2,-14.6,-9.4,0,Тара
340,1936-11-27,-21.1,-14.8,-10.2,0.6,Тара
341,1936-11-28,-10.5,-9.2,-0.2,0,Тара
342,1936-11-29,-9.2,-5.8,-1.6,0.4,Тара
343,1936-11-30,-10.4,-7.9,-4.4,0,Тара
345,1936-12-01,-18.3,-14.8,-10.1,0.1,Тара
346,1936-12-02,-19.8,-16,-13.2,0.1,Тара
347,1936-12-03,-13.5,-8,-6.5,0,Тара
348,1936-12-04,-9.3,-7.8,-6.2,0,Тара
349,1936-12-05,-11,-10.3,-8.7,0,Тара
350,1936-12-06,-10.8,-7.4,-4.4,0.1,Тара
351,1936-12-07,-7.4,-6.4,-4.1,0,Тара
352,1936-12-08,-8,-5.6,-3.8,0.1,Тара
353,1936-12-09,-12.3,-9.3,-3.8,0,Тара
354,1936-12-10,-12.4,-9.4,-7.9,0.2,Тара
355,1936-12-11,-13.1,-9.3,-6.1,0.1,Тара
356,1936-12-12,-8.7,-7.2,-6,1.1,Тара
357,1936-12-13,-14,-11.6,-8.3,0.4,Тара
358,1936-12-14,-15.1,-9.8,-6.6,0.4,Тара
359,1936-12-15,-12.3,-11,-7.4,0,Тара
360,1936-12-16,-13.7,-12.3,-10.6,0.3,Тара
361,1936-12-17,-22.6,-16.4,-12.2,0,Тара
362,1936-12-18,-24.5,-19.1,-14.5,0.2,Тара
363,1936-12-19,-16.2,-13.5,-11.5,0.2,Тара
364,1936-12-20,-17.2,-15.5,-13.7,0.3,Тара
365,1936-12-21,-18.1,-12.9,-10.9,0.3,Тара
366,1936-12-22,-13.2,-10.6,-6.9,1.2,Тара
367,1936-12-23,-7.1,-3.6,-1.3,0.5,Тара
368,1936-12-24,-3.2,-1.5,0,0.2,Тара
369,1936-12-25,-6.5,-2.8,-1.5,0.1,Тара
370,1936-12-26,-7.1,-4.2,-2.8,0.2,Тара
371,1936-12-27,-4.3,-2.5,-1.3,1,Тара
372,1936-12-28,-28.7,-18,-4,0,Тара
373,1936-12-29,-31.4,-23.1,-17.7,0,Тара
374,1936-12-30,-17.8,-11,-5.5,1.3,Тара
