,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-14.6,-10.6,-6.7,1,Ташкент
2,1900-01-02,-19.4,-14.4,-6,0,Ташкент
3,1900-01-03,-22.6,-16.5,-9.7,0,Ташкент
4,1900-01-04,-18.9,-8.7,1,0,Ташкент
5,1900-01-05,-13.1,-6.4,-1.7,0,Ташкент
6,1900-01-06,-12.4,-1.5,3.5,0,Ташкент
7,1900-01-07,-2.1,-0.4,3,1.7,Ташкент
8,1900-01-08,-2,2.3,6.9,0,Ташкент
9,1900-01-09,-2.5,2.8,6.3,18.5,Ташкент
10,1900-01-10,-4.8,-3.3,0.1,10.4,Ташкент
11,1900-01-11,-8.7,-5.1,-1.4,0,Ташкент
12,1900-01-12,-16.1,-7.7,-2,0,Ташкент
13,1900-01-13,-11,-9.2,-5.2,0,Ташкент
14,1900-01-14,-13,-10.3,-5.7,0,Ташкент
15,1900-01-15,-16.4,-13.9,-8.7,0,Ташкент
16,1900-01-16,-21.2,-16.4,-8,0,Ташкент
17,1900-01-17,-26,-18.1,-7.7,0,Ташкент
18,1900-01-18,-22.4,-10.3,0.5,0,Ташкент
19,1900-01-19,-13.8,-1.1,5.6,0,Ташкент
20,1900-01-20,-9.7,-6.3,-1.2,5.7,Ташкент
21,1900-01-21,-19.4,-14.2,-9.7,0.6,Ташкент
22,1900-01-22,-26.2,-20.6,-14.1,0,Ташкент
23,1900-01-23,-28,-19.6,-10.5,0,Ташкент
24,1900-01-24,-25,-17.1,-7,0,Ташкент
25,1900-01-25,-19.4,-1.8,1.9,1.2,Ташкент
26,1900-01-26,-1.2,1.3,4.8,3.7,Ташкент
27,1900-01-27,-2.9,-1.9,1.5,1.9,Ташкент
28,1900-01-28,-3.4,-2,2,0,Ташкент
29,1900-01-29,-4.8,-3.3,0,0,Ташкент
30,1900-01-30,-7.9,-5.8,-0.2,4.8,Ташкент
31,1900-01-31,-14,-9.7,-4.2,5.3,Ташкент
33,1900-02-01,-21.4,-16.2,-8.2,0,Ташкент
34,1900-02-02,-25.6,-20.5,-12.7,0,Ташкент
35,1900-02-03,-24.4,-17.1,-11.9,0,Ташкент
36,1900-02-04,-22.4,-12.9,-2.1,0,Ташкент
37,1900-02-05,-19.2,-9.8,-0.8,0,Ташкент
38,1900-02-06,-16.8,-8.2,3.1,0,Ташкент
39,1900-02-07,-13.3,-4.8,6.7,0,Ташкент
40,1900-02-08,-9.8,1.4,8.5,0,Ташкент
41,1900-02-09,-2.5,1.5,8.2,0.5,Ташкент
42,1900-02-10,-0.7,0.8,4.7,5.1,Ташкент
43,1900-02-11,-0.7,2.3,7.1,0,Ташкент
44,1900-02-12,-2,0.6,5.9,0,Ташкент
45,1900-02-13,-4.1,1.8,8.9,0,Ташкент
46,1900-02-14,-1.6,1.8,8.5,0,Ташкент
47,1900-02-15,-0.6,3.3,7.3,9,Ташкент
48,1900-02-16,-6.8,-2.7,2.2,2,Ташкент
49,1900-02-17,-11.9,-2,6.2,0,Ташкент
50,1900-02-18,-1.9,2.6,10,0,Ташкент
51,1900-02-19,-1.4,4.2,13.7,0,Ташкент
52,1900-02-20,-1.3,1.9,4,9.7,Ташкент
53,1900-02-21,-3.2,-0.2,5,0,Ташкент
54,1900-02-22,-4.8,-1.2,5.6,0,Ташкент
55,1900-02-23,-6.7,-4.8,-2.2,0,Ташкент
56,1900-02-24,-10,-7.1,-0.2,0,Ташкент
57,1900-02-25,-13.6,-6.7,3.6,0,Ташкент
58,1900-02-26,-9.2,-1.1,9.3,0,Ташкент
59,1900-02-27,-3.6,3.9,10.8,0.4,Ташкент
60,1900-02-28,0.9,4.3,8.6,0,Ташкент
62,1900-03-01,-0.9,2.8,6.7,0,Ташкент
63,1900-03-02,-0.2,2.6,7,0,Ташкент
64,1900-03-03,-0.7,1.6,6.3,0,Ташкент
65,1900-03-04,-0.6,5.1,12.8,0,Ташкент
66,1900-03-05,0.3,4.1,10.8,0,Ташкент
67,1900-03-06,0,8.5,15.5,0,Ташкент
68,1900-03-07,6,12.9,19.5,5.7,Ташкент
69,1900-03-08,3.7,6.2,15.5,1.8,Ташкент
70,1900-03-09,3.7,14,20,0,Ташкент
71,1900-03-10,9.6,13,16.2,0.5,Ташкент
72,1900-03-11,1.9,8.8,15.8,10.8,Ташкент
73,1900-03-12,-1.7,2.9,7.1,2.5,Ташкент
74,1900-03-13,-1.8,1.9,6.8,0,Ташкент
75,1900-03-14,0.5,7.8,14.5,0,Ташкент
76,1900-03-15,7.8,15.3,22.5,22.4,Ташкент
77,1900-03-16,7.2,8.4,15.9,6.3,Ташкент
78,1900-03-17,4.5,7.7,11.7,0,Ташкент
79,1900-03-18,2.9,9.2,14.8,0,Ташкент
80,1900-03-19,5.5,11.3,16.3,0,Ташкент
81,1900-03-20,6.1,10.9,17.6,6.9,Ташкент
82,1900-03-21,2,4.4,9.3,3,Ташкент
83,1900-03-22,0.4,5.3,10.3,0,Ташкент
84,1900-03-23,0.7,7.8,15.5,0,Ташкент
85,1900-03-24,4.7,13.6,22.7,0,Ташкент
86,1900-03-25,9,14,20.3,0,Ташкент
87,1900-03-26,9.9,15.7,21.5,0,Ташкент
88,1900-03-27,5.6,12.6,19.8,0,Ташкент
89,1900-03-28,8.3,14.9,22.3,0,Ташкент
90,1900-03-29,11.1,16.6,22.8,0,Ташкент
91,1900-03-30,11.2,17.9,25.2,0,Ташкент
92,1900-03-31,12.7,19.1,26.5,0.8,Ташкент
94,1900-04-01,13.6,17.5,23.5,2,Ташкент
95,1900-04-02,6.8,8.9,14.5,0,Ташкент
96,1900-04-03,3.9,10.4,16.6,0,Ташкент
97,1900-04-04,6.1,12.5,21.4,12.8,Ташкент
98,1900-04-05,4.4,9.5,13.1,8.4,Ташкент
99,1900-04-06,3.6,6.8,11,0,Ташкент
100,1900-04-07,4.2,7.6,13,0,Ташкент
101,1900-04-08,1.7,7.9,12.8,0,Ташкент
102,1900-04-09,1.7,9.2,13.9,0,Ташкент
103,1900-04-10,3.5,13,18.4,0,Ташкент
104,1900-04-11,8.3,14.5,20.7,0,Ташкент
105,1900-04-12,9.6,11.5,15.5,27.9,Ташкент
106,1900-04-13,4.8,6.3,10.2,0,Ташкент
107,1900-04-14,1.2,7.9,13.3,0.3,Ташкент
108,1900-04-15,2.7,5.8,10.2,0,Ташкент
109,1900-04-16,-1.7,8.8,15.4,0,Ташкент
110,1900-04-17,5.8,13.1,19.7,0,Ташкент
111,1900-04-18,7,15.6,22.7,0.7,Ташкент
112,1900-04-19,8.4,11.5,18,1.6,Ташкент
113,1900-04-20,5.9,13.3,18.9,0,Ташкент
114,1900-04-21,7.2,15.6,22,0.1,Ташкент
115,1900-04-22,11,14.6,21,0,Ташкент
116,1900-04-23,2.9,8.3,13.8,0,Ташкент
117,1900-04-24,2.2,13.6,20,0,Ташкент
118,1900-04-25,7.8,17.8,25.4,0,Ташкент
119,1900-04-26,11.6,19.6,27,0,Ташкент
120,1900-04-27,13.2,21.7,28.9,0,Ташкент
121,1900-04-28,15.4,25.1,33.7,0,Ташкент
122,1900-04-29,17,24.2,32.2,0,Ташкент
123,1900-04-30,14.1,20.5,27.6,1.5,Ташкент
125,1900-05-01,14,21.1,28.5,0,Ташкент
126,1900-05-02,15.2,22.8,29.1,0,Ташкент
127,1900-05-03,15.8,25.4,32.8,0,Ташкент
128,1900-05-04,17.6,21.4,29.1,17.7,Ташкент
129,1900-05-05,11.3,14.7,20,1.1,Ташкент
130,1900-05-06,12.3,15.5,20.5,0,Ташкент
131,1900-05-07,10,15.7,21.6,0,Ташкент
132,1900-05-08,8,18.5,25.9,0,Ташкент
133,1900-05-09,12.1,22.9,30.3,0,Ташкент
134,1900-05-10,18.8,24.7,32.5,1.4,Ташкент
135,1900-05-11,16.4,20,25.3,0.4,Ташкент
136,1900-05-12,15.7,20.3,27.5,0,Ташкент
137,1900-05-13,12.3,22.7,29.7,0,Ташкент
138,1900-05-14,15.8,24.3,31,0,Ташкент
139,1900-05-15,13.7,24.8,31.5,0,Ташкент
140,1900-05-16,16.4,25.8,32.2,0,Ташкент
141,1900-05-17,16.2,25,33,0,Ташкент
142,1900-05-18,16.8,25.4,36.4,0,Ташкент
143,1900-05-19,17.4,25.5,32.1,0,Ташкент
144,1900-05-20,16,25.5,33.8,0,Ташкент
145,1900-05-21,19.6,27.6,36.3,0,Ташкент
146,1900-05-22,21.7,25.5,32,0,Ташкент
147,1900-05-23,18,24.1,29.4,1.2,Ташкент
148,1900-05-24,15.5,18.2,24.2,2.4,Ташкент
149,1900-05-25,14.7,17.7,23,3.7,Ташкент
150,1900-05-26,13.8,21.8,28.4,0,Ташкент
151,1900-05-27,13.8,24.4,32.3,0,Ташкент
152,1900-05-28,17.2,26.1,34.7,0,Ташкент
153,1900-05-29,17,27.5,36,0,Ташкент
154,1900-05-30,20.5,28.4,37.3,0,Ташкент
155,1900-05-31,19,24.6,32.9,6.9,Ташкент
157,1900-06-01,17,18.6,21.9,2.2,Ташкент
158,1900-06-02,14,23.9,30.6,0,Ташкент
159,1900-06-03,17.5,25.2,33.2,0,Ташкент
160,1900-06-04,21.2,29.4,38.3,0,Ташкент
161,1900-06-05,21.4,29.6,37.8,0.8,Ташкент
162,1900-06-06,19.2,22.9,31.2,8.1,Ташкент
163,1900-06-07,14.8,19,25.2,4.5,Ташкент
164,1900-06-08,11.3,21.1,28.7,0,Ташкент
165,1900-06-09,15.1,25.1,31.1,0,Ташкент
166,1900-06-10,17.2,23.6,33.6,9.9,Ташкент
167,1900-06-11,17.2,24.5,32.2,0,Ташкент
168,1900-06-12,19.2,25,32.6,0,Ташкент
169,1900-06-13,17.5,23.8,31.6,4.2,Ташкент
170,1900-06-14,16.9,23.9,30.7,0,Ташкент
171,1900-06-15,15.8,25.1,31.7,0,Ташкент
172,1900-06-16,14.9,23.5,31.2,0,Ташкент
173,1900-06-17,14.5,26.4,34.1,0,Ташкент
174,1900-06-18,18.7,24.9,31.6,0,Ташкент
175,1900-06-19,18.7,27,34.3,0,Ташкент
176,1900-06-20,19.2,26.7,32.8,0,Ташкент
177,1900-06-21,18.5,23,30.5,0,Ташкент
178,1900-06-22,14.8,26.3,33.6,0,Ташкент
179,1900-06-23,14.8,27,35.8,0,Ташкент
180,1900-06-24,15.6,21.9,29.6,2.5,Ташкент
181,1900-06-25,13.8,18.6,25.9,0.2,Ташкент
182,1900-06-26,13.8,25,31,0,Ташкент
183,1900-06-27,16.4,26.5,33.8,0,Ташкент
184,1900-06-28,18.5,25.8,35.3,0,Ташкент
185,1900-06-29,20.8,29.1,36.6,0,Ташкент
186,1900-06-30,20.8,29.8,38.4,0,Ташкент
188,1900-07-01,19.3,29.8,40,0,Ташкент
189,1900-07-02,21,27.5,33.2,0,Ташкент
190,1900-07-03,16.6,27.7,33.8,0,Ташкент
191,1900-07-04,21,29.7,37.3,0,Ташкент
192,1900-07-05,21,31.3,38.8,0,Ташкент
193,1900-07-06,20.4,31.1,39.3,0,Ташкент
