,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-01-01,-4.8,-3.1,0.5,0.4,Тбилиси
2,1900-01-02,-6.5,-4,0.9,0,Тбилиси
3,1900-01-03,-12.6,-5.6,0.5,0,Тбилиси
4,1900-01-04,-5.4,-2.3,4.4,0,Тбилиси
5,1900-01-05,-4.2,3.6,9.1,0,Тбилиси
6,1900-01-06,6.7,10.3,14.3,0,Тбилиси
7,1900-01-07,7.2,10.2,14.4,0,Тбилиси
8,1900-01-08,6.1,9.3,13.3,4.7,Тбилиси
9,1900-01-09,0.4,1.6,7.2,5.4,Тбилиси
10,1900-01-10,-2.3,-1.9,1.6,1.3,Тбилиси
11,1900-01-11,-4.3,-2.6,1.1,0,Тбилиси
12,1900-01-12,-4.9,-1.3,2.8,0,Тбилиси
13,1900-01-13,-1.7,0.6,1.9,0,Тбилиси
14,1900-01-14,-1.6,0.5,1.4,1.9,Тбилиси
15,1900-01-15,-2.2,0.9,3.1,0.5,Тбилиси
16,1900-01-16,-3.9,-1,3.8,0,Тбилиси
17,1900-01-17,-3.5,1.2,7.4,0,Тбилиси
18,1900-01-18,-0.3,1.7,4.2,0,Тбилиси
19,1900-01-19,-1.5,2.7,9.4,0,Тбилиси
20,1900-01-20,-0.2,2.4,4.4,0,Тбилиси
21,1900-01-21,-0.5,0.7,2.9,0.9,Тбилиси
22,1900-01-22,-2.5,0,1.9,1.4,Тбилиси
23,1900-01-23,-3.8,-1.9,0.3,9.4,Тбилиси
24,1900-01-24,-6.6,-0.4,4.4,0,Тбилиси
25,1900-01-25,0.6,3.2,6.3,0,Тбилиси
26,1900-01-26,2,3.5,7.4,0,Тбилиси
27,1900-01-27,-1.8,3.5,10.1,0,Тбилиси
28,1900-01-28,0.2,2.3,5,0,Тбилиси
29,1900-01-29,-1.5,4.6,8.1,0,Тбилиси
30,1900-01-30,1.2,5,8.8,1.1,Тбилиси
31,1900-01-31,0.7,2.6,5,0.7,Тбилиси
33,1900-02-01,-0.2,1.3,3.7,0.3,Тбилиси
34,1900-02-02,-0.7,2.1,5.1,0,Тбилиси
35,1900-02-03,-0.2,1.6,4.4,0,Тбилиси
36,1900-02-04,-2.4,0.8,4.9,0,Тбилиси
37,1900-02-05,-5.8,-0.5,7.1,0,Тбилиси
