,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1936-01-01,-1.8,-0.2,1,0,Термез
2,1936-01-02,-1.7,-1.1,1.6,0.5,Термез
3,1936-01-03,-3.3,-1.2,2.7,0.7,Термез
4,1936-01-04,-7.1,-2.6,4,0,Термез
5,1936-01-05,-6.6,-3.2,3.5,0.2,Термез
6,1936-01-06,-6.5,-4.6,-2.7,0,Термез
7,1936-01-07,-5.2,-2.6,2.1,0,Термез
8,1936-01-08,-9,-4.2,4.3,0,Термез
9,1936-01-09,-8.3,-2.8,6.8,0,Термез
10,1936-01-10,-8.6,-1.9,7.8,0,Термез
11,1936-01-11,-7,-1.4,5.9,0,Термез
12,1936-01-12,-5.4,-0.3,7.7,0,Термез
13,1936-01-13,-6.5,0.6,10.5,0,Термез
14,1936-01-14,-3.5,2.1,10.5,0,Термез
15,1936-01-15,-3.2,3,13.7,0,Термез
16,1936-01-16,-3.3,3.7,14.7,0.2,Термез
17,1936-01-17,-0.3,5.1,12.5,0,Термез
18,1936-01-18,-2.8,4.4,14.1,0,Термез
19,1936-01-19,-3,3.6,13,0,Термез
20,1936-01-20,-3.2,3,11.4,0,Термез
21,1936-01-21,-1.5,1.6,6.5,0,Термез
22,1936-01-22,-4.9,1.7,9.5,0,Термез
23,1936-01-23,-5.3,0.7,10.8,0,Термез
24,1936-01-24,-5.8,1.3,11.4,0,Термез
25,1936-01-25,-5,3.5,13.5,0,Термез
26,1936-01-26,-1,5.7,15.2,0,Термез
27,1936-01-27,-1.7,4.6,10.5,0,Термез
28,1936-01-28,-2,5.1,14.2,0,Термез
29,1936-01-29,-0.2,6.4,17.6,0,Термез
30,1936-01-30,-0.2,7.3,18.9,0,Термез
31,1936-01-31,1,8.6,18.5,0,Термез
33,1936-02-01,6,9.7,16.7,0.2,Термез
34,1936-02-02,-1.4,5.6,14.2,0,Термез
35,1936-02-03,-0.5,7.1,17,0,Термез
36,1936-02-04,-0.3,9.4,17,0,Термез
37,1936-02-05,3.1,6.7,12,0,Термез
38,1936-02-06,3.3,7.1,12.8,0,Термез
39,1936-02-07,0.8,7,16.6,0,Термез
40,1936-02-08,1.4,9.7,20.5,0,Термез
41,1936-02-09,8,12.8,20.5,0,Термез
42,1936-02-10,6.7,13.4,21.6,0,Термез
43,1936-02-11,4.2,12.5,22.7,0,Термез
44,1936-02-12,6.5,12.4,20,0,Термез
45,1936-02-13,8.4,14.2,21.8,0.6,Термез
46,1936-02-14,8,14.9,24.8,0,Термез
47,1936-02-15,8.4,12,21.9,0.9,Термез
48,1936-02-16,4.6,10.5,15,1.8,Термез
49,1936-02-17,3.3,9.8,15.8,0,Термез
50,1936-02-18,1.5,6.4,13.9,0,Термез
51,1936-02-19,0,7,16.7,0,Термез
52,1936-02-20,3.5,10.5,18.9,0,Термез
53,1936-02-21,6,10.2,15.5,0,Термез
54,1936-02-22,5.5,10,17,0,Термез
55,1936-02-23,3.1,8.5,19.4,0,Термез
56,1936-02-24,-1,-0.2,7.2,0,Термез
57,1936-02-25,-4.5,-2,1.2,2.1,Термез
58,1936-02-26,-3.8,-0.8,2.8,0,Термез
59,1936-02-27,-2,0.2,3.2,0.1,Термез
60,1936-02-28,-0.2,0.6,1.8,2.8,Термез
61,1936-02-29,-3,-1.8,-0.7,10.7,Термез
63,1936-03-01,-5.4,-2.3,1.4,1,Термез
64,1936-03-02,-5.1,-1.2,2.9,0.5,Термез
65,1936-03-03,-4.5,-0.5,5,0,Термез
66,1936-03-04,-3.5,1.4,8.5,0,Термез
67,1936-03-05,-1.4,4.6,12.5,0,Термез
68,1936-03-06,-0.8,6.3,15.4,0,Термез
69,1936-03-07,3.9,6.4,10.2,0,Термез
70,1936-03-08,1,2.9,4.5,1.7,Термез
71,1936-03-09,-2.3,2.8,9.2,0.1,Термез
72,1936-03-10,-1.6,4.2,12.5,0,Термез
73,1936-03-11,-0.9,5.4,14,0,Термез
74,1936-03-12,0.5,8.3,18.4,0,Термез
75,1936-03-13,8.5,13.3,21,0.5,Термез
76,1936-03-14,9.9,12.5,18,9.9,Термез
77,1936-03-15,6.1,7.5,10,1.2,Термез
78,1936-03-16,3.8,8.5,14.5,0.2,Термез
79,1936-03-17,3,10.2,19.1,0,Термез
80,1936-03-18,6.5,12.7,21.3,0,Термез
81,1936-03-19,8.9,15,21.2,0,Термез
82,1936-03-20,8.9,15.1,22.4,0.3,Термез
83,1936-03-21,8.1,15.6,25.1,0,Термез
84,1936-03-22,9.6,17.8,27.4,0,Термез
85,1936-03-23,1.6,7.4,19.5,6.9,Термез
86,1936-03-24,-1.9,-0.3,1.6,9.4,Термез
87,1936-03-25,-1,2.2,6.7,1.4,Термез
88,1936-03-26,-0.7,7.2,16.1,0,Термез
89,1936-03-27,4.4,12,20.1,0,Термез
90,1936-03-28,7.5,14,22.2,0,Термез
91,1936-03-29,8.5,16.1,25,0,Термез
92,1936-03-30,8.4,16.9,27.5,0,Термез
93,1936-03-31,9,13.6,17.5,2.6,Термез
95,1936-04-01,9.7,16.5,25.6,0,Термез
96,1936-04-02,6.8,11.2,21.2,14.9,Термез
97,1936-04-03,3.6,8.7,16,0,Термез
98,1936-04-04,7,10,15,0,Термез
99,1936-04-05,8,9.6,13,3.3,Термез
100,1936-04-06,5.8,10.9,16.4,0,Термез
101,1936-04-07,4.7,11,18.8,0,Термез
102,1936-04-08,5.6,12.1,19,0,Термез
103,1936-04-09,5.8,13.2,21.7,0,Термез
104,1936-04-10,5.6,15.4,26,0,Термез
105,1936-04-11,10.1,16.2,25.4,0,Термез
106,1936-04-12,9.6,17.8,25.5,0,Термез
107,1936-04-13,11,20.2,29.8,0,Термез
108,1936-04-14,11.9,21.6,32.7,0,Термез
109,1936-04-15,12.1,22.9,33.8,0,Термез
110,1936-04-16,13,23.2,35,0,Термез
111,1936-04-17,17.5,23.9,31,0,Термез
112,1936-04-18,15.4,21.5,27.4,0,Термез
113,1936-04-19,16.7,21.3,31.4,0.7,Термез
114,1936-04-20,12.6,18.6,26,0,Термез
115,1936-04-21,13,21.5,29.8,0,Термез
116,1936-04-22,17.6,20.1,25.8,1.2,Термез
117,1936-04-23,10.6,12.7,17.6,9.7,Термез
118,1936-04-24,10.4,13.9,20.2,0.5,Термез
119,1936-04-25,7.9,16,24,0,Термез
120,1936-04-26,10.1,18.4,26.1,0,Термез
121,1936-04-27,10.2,19.1,28.1,0,Термез
122,1936-04-28,14.9,20.8,27.8,3.4,Термез
123,1936-04-29,12.5,21.6,31.2,0,Термез
124,1936-04-30,16.8,22.3,29.4,0,Термез
126,1936-05-01,15.4,17.8,22.7,1.6,Термез
127,1936-05-02,14,19,26.6,0.2,Термез
128,1936-05-03,15.2,19.9,25.9,0,Термез
129,1936-05-04,13.2,16.4,21.8,3.6,Термез
130,1936-05-05,9,16.8,24.5,0,Термез
131,1936-05-06,11.7,19.8,28.3,0,Термез
132,1936-05-07,12.8,22.4,31.4,0,Термез
133,1936-05-08,14.3,24.7,35.4,0,Термез
134,1936-05-10,13.2,16.6,22.9,0.6,Термез
135,1936-05-11,13,19.2,26.5,0.6,Термез
136,1936-05-12,13.5,21.2,30.4,0,Термез
137,1936-05-13,15.3,24.2,34.8,0,Термез
138,1936-05-14,16.8,27.2,37.3,0,Термез
139,1936-05-15,18.5,29.2,39.2,0,Термез
140,1936-05-16,19.9,29.4,39,0,Термез
141,1936-05-17,19.6,29.8,40,0,Термез
142,1936-05-18,23.1,34,43.6,0,Термез
143,1936-05-19,23.4,28.9,36.4,0,Термез
144,1936-05-20,20.7,28.4,36.3,0,Термез
145,1936-05-21,20.9,29,37.4,0,Термез
146,1936-05-22,18.6,27.8,36.5,0,Термез
147,1936-05-23,17.6,27.6,37,0,Термез
148,1936-05-24,17.5,27.6,35.7,0,Термез
149,1936-05-25,22,26.4,32.6,0,Термез
150,1936-05-26,14.6,25.4,36,0,Термез
151,1936-05-27,18,28.7,39.5,0,Термез
152,1936-05-28,18.6,28.8,41.2,0,Термез
153,1936-05-29,19,30.1,43.1,0,Термез
154,1936-05-30,20.5,30.5,41.4,0,Термез
