,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1926-03-01,-11,-6.4,1.5,0,Терней
2,1926-03-02,-16,-6.4,-1,0,Терней
3,1926-03-03,-12,-6.3,-1,0,Терней
4,1926-03-04,-12.9,-6.5,0.5,0,Терней
5,1926-03-05,-14.2,-6.1,2,0,Терней
6,1926-03-06,-14.2,-5.9,0.5,0,Терней
7,1926-03-07,-10.5,-6,0.5,0,Терней
8,1926-03-08,-12.4,-6.1,0,0,Терней
9,1926-03-09,-14.2,-6.8,-0.5,0,Терней
10,1926-03-10,-9.6,-5.3,-0.5,1.8,Терней
11,1926-03-11,-4.1,-1.2,2.5,0,Терней
12,1926-03-12,-5.4,-2.2,3,0,Терней
13,1926-03-13,-8.7,-2.7,3.5,0,Терней
14,1926-03-14,-8.7,-4,-0.5,0,Терней
15,1926-03-15,-8.7,-3.8,0.5,0,Терней
16,1926-03-16,-8.7,-3.6,1,0,Терней
17,1926-03-17,-8.7,-4.1,1.5,0,Терней
18,1926-03-18,-9.1,-5,0,0,Терней
19,1926-03-19,-7.7,-4.2,1.5,0,Терней
20,1926-03-20,-8.7,-5,2,0,Терней
21,1926-03-21,-10.5,-4.2,2.5,0,Терней
22,1926-03-22,-10.5,-2.3,2,0,Терней
23,1926-03-23,-8.7,-3.3,3.5,0,Терней
24,1926-03-24,-10.1,-3.6,2,7.4,Терней
25,1926-03-25,-4.9,-2.4,0.5,12.2,Терней
26,1926-03-26,-6.8,-3.2,1.5,6.5,Терней
27,1926-03-27,-7.7,-0.9,3.5,0,Терней
28,1926-03-28,-7.7,-2.7,4,0,Терней
29,1926-03-29,-3.1,1.9,8.6,0,Терней
30,1926-03-30,-1.2,1.6,5.1,0,Терней
31,1926-03-31,-9.6,1.7,8.6,0,Терней
33,1926-04-01,-3.8,-1.7,3.4,0,Терней
34,1926-04-02,-9.5,-2.9,8.5,0,Терней
35,1926-04-03,-7.5,-2.7,2.4,0,Терней
36,1926-04-04,-11.3,-4.5,1.9,0,Терней
37,1926-04-05,-7.5,-2.1,2.4,0,Терней
38,1926-04-06,-7.5,-1.9,1.4,0,Терней
39,1926-04-07,-2,0.4,3.4,1.2,Терней
40,1926-04-08,-1,1.3,6,0,Терней
41,1926-04-09,-1,0.6,2.9,0,Терней
42,1926-04-10,-3.4,-0.5,6.5,0,Терней
43,1926-04-11,-2.9,0.3,5.5,0,Терней
44,1926-04-12,-3.8,1,5.5,0,Терней
45,1926-04-13,-2,1.6,6,0,Терней
46,1926-04-14,-4.9,-1.5,5.5,3.3,Терней
47,1926-04-15,-5.2,0.6,5.5,0,Терней
48,1926-04-16,-0.1,3.5,8.5,0,Терней
49,1926-04-17,-0.1,5.3,12.5,0,Терней
50,1926-04-18,-1,2.4,7.5,0,Терней
51,1926-04-19,-4.7,0.4,3.9,0,Терней
52,1926-04-20,-2.4,0.6,4.4,13.6,Терней
53,1926-04-21,-1.5,0.3,2.4,0,Терней
54,1926-04-22,-4.7,4.5,8.5,0,Терней
55,1926-04-23,0.4,3.2,8.5,7.1,Терней
56,1926-04-24,-0.1,1.3,5,7.5,Терней
57,1926-04-25,-0.1,2.5,4.4,12.2,Терней
58,1926-04-26,-0.1,0.9,2.9,2.4,Терней
59,1926-04-27,0.4,5.9,9.5,0,Терней
60,1926-04-28,-0.4,3.9,10.5,0,Терней
61,1926-04-29,-2.4,2.6,8.5,0,Терней
62,1926-04-30,-0.6,2.6,5.5,0.3,Терней
64,1926-05-01,-1.7,4.2,9.9,0,Терней
65,1926-05-02,1,3.8,4.9,0,Терней
66,1926-05-03,1.7,9,19,0,Терней
67,1926-05-04,1.7,11.3,19.4,0,Терней
68,1926-05-05,2.2,9.2,14.9,0,Терней
69,1926-05-06,3.7,6.1,13.9,7.4,Терней
70,1926-05-07,4.7,11.9,18.4,0,Терней
71,1926-05-08,0.2,11.3,20.9,0,Терней
72,1926-05-09,-0.3,9.3,18.9,0,Терней
73,1926-05-10,-0.3,7.9,16.4,0,Терней
74,1926-05-11,2.2,15.1,19.9,0,Терней
75,1926-05-12,3.7,7.5,23.4,0,Терней
76,1926-05-13,-0.3,6,10.4,0,Терней
77,1926-05-14,3.7,6.3,11.4,0,Терней
78,1926-05-15,1.7,5.1,9.4,0,Терней
79,1926-05-16,-1.2,6.4,9.4,0,Терней
80,1926-05-17,1.2,5.4,7.9,3.5,Терней
81,1926-05-18,3.2,8.7,17.4,0,Терней
82,1926-05-19,1.2,5.8,8.9,0,Терней
83,1926-05-20,3.2,6.6,9.4,0,Терней
84,1926-05-21,3.2,6.7,9.4,0,Терней
85,1926-05-22,2.2,6.1,8.4,0,Терней
86,1926-05-23,4.7,6.7,9.4,1.8,Терней
87,1926-05-24,2.7,10,12.9,0,Терней
88,1926-05-25,4.7,11.1,18.9,0,Терней
89,1926-05-26,5.2,7.8,9.4,1.2,Терней
90,1926-05-27,4.7,13.6,22.4,0,Терней
91,1926-05-28,7.7,13.7,22.4,0,Терней
92,1926-05-29,4.2,11.9,18.9,7.3,Терней
93,1926-05-30,6.7,8.3,11.9,20.3,Терней
94,1926-05-31,5.2,8.1,11.4,4.6,Терней
96,1926-06-01,2.8,9.3,11.5,4.6,Терней
97,1926-06-02,5.3,7.4,11,0,Терней
98,1926-06-03,2.8,7,10,0,Терней
99,1926-06-04,6.3,8.6,12.5,0,Терней
100,1926-06-05,5.8,12,21.5,0,Терней
101,1926-06-06,4.3,14,22.5,0,Терней
102,1926-06-07,9.8,17.1,28,0,Терней
103,1926-06-08,9.8,16,25.5,0,Терней
104,1926-06-09,7.3,11.3,18,0,Терней
105,1926-06-10,7.3,9.4,14,0,Терней
106,1926-06-11,5.8,6.9,10.5,0,Терней
107,1926-06-12,0.3,7.1,11,0,Терней
108,1926-06-13,4.3,6.7,9,5.1,Терней
109,1926-06-14,4.3,6.4,8.5,0,Терней
110,1926-06-15,5.8,7.4,8.5,22,Терней
111,1926-06-16,5.8,12,15.5,0,Терней
112,1926-06-17,8.8,17.1,26,0,Терней
113,1926-06-18,9.8,13.2,16.5,4,Терней
114,1926-06-19,7.8,10.9,14,0,Терней
115,1926-06-20,4.3,8.4,11.5,0,Терней
116,1926-06-21,3.8,9.9,12.5,0,Терней
117,1926-06-22,6.8,11.5,15.5,0,Терней
118,1926-06-23,6.8,11,13.5,0,Терней
119,1926-06-24,7.8,10.1,11.5,2,Терней
120,1926-06-25,9.3,18.7,23.5,0,Терней
121,1926-06-26,6.8,13.7,21,14,Терней
122,1926-06-27,9.3,10.9,12.5,1,Терней
123,1926-06-28,8.8,11.9,14.5,0,Терней
124,1926-06-29,6.3,10.4,13,0.1,Терней
125,1926-06-30,8.8,11.8,14.5,0,Терней
127,1926-07-01,9.8,12.3,18.7,0,Терней
128,1926-07-02,7.8,16,20.7,0,Терней
129,1926-07-03,11.3,17.1,22.7,0,Терней
130,1926-07-04,11.8,18.9,26.7,0,Терней
131,1926-07-05,10.3,12.1,17.7,5,Терней
132,1926-07-06,9.8,11.3,12.7,17.6,Терней
133,1926-07-07,8.8,11.3,16.7,0,Терней
