,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1900-09-01,5.2,12,17.6,22.3,Тобольск
2,1900-09-02,2.1,5.6,8.7,2.6,Тобольск
3,1900-09-03,4.7,6.1,9,0.8,Тобольск
4,1900-09-04,5.4,7.5,11,0.5,Тобольск
5,1900-09-05,5.9,11.3,19.3,1.5,Тобольск
6,1900-09-06,7.6,10.3,15.8,4.2,Тобольск
7,1900-09-07,8.1,10,14.1,5.8,Тобольск
8,1900-09-08,5,11.6,16,0,Тобольск
9,1900-09-09,9.3,12.3,19.5,1.8,Тобольск
10,1900-09-10,5,8.6,12.7,16.9,Тобольск
11,1900-09-11,4.9,7,10,0.5,Тобольск
12,1900-09-12,1.4,7.4,12.9,0,Тобольск
13,1900-09-13,4.8,9.1,12.8,3.7,Тобольск
14,1900-09-14,0.3,7.1,12.8,0,Тобольск
15,1900-09-15,2.7,9.3,14.8,0,Тобольск
16,1900-09-16,5.2,8.3,13.7,0,Тобольск
17,1900-09-17,3.6,11.7,17.9,1.7,Тобольск
18,1900-09-18,3.8,5.9,11,4.2,Тобольск
19,1900-09-19,1.6,2.4,3.8,0,Тобольск
20,1900-09-20,0.9,4.1,6.8,5.7,Тобольск
21,1900-09-21,3.9,6,10.1,2.6,Тобольск
22,1900-09-22,0.9,3.3,6.2,0.4,Тобольск
23,1900-09-23,3.2,7.5,9.3,2,Тобольск
24,1900-09-24,8.8,10.2,12.6,0.8,Тобольск
25,1900-09-25,4.1,6.3,9.2,4.6,Тобольск
26,1900-09-26,3,6.3,12.7,0,Тобольск
27,1900-09-27,1.6,7.8,10.8,0,Тобольск
28,1900-09-28,7.9,10.1,16.6,0,Тобольск
29,1900-09-29,2.8,8.1,13.4,0,Тобольск
30,1900-09-30,3.9,11.9,16.4,0.4,Тобольск
32,1900-10-01,3.6,6.6,8.8,0,Тобольск
33,1900-10-02,-1.9,2.8,9.1,0,Тобольск
34,1900-10-03,-1.4,6.2,12,0,Тобольск
35,1900-10-04,3.6,7.5,12.3,0,Тобольск
36,1900-10-05,3,7.7,11.4,0,Тобольск
37,1900-10-06,7.8,11.5,15.9,0.9,Тобольск
38,1900-10-07,3.7,7,11.3,0,Тобольск
39,1900-10-08,3,7.8,12.7,0,Тобольск
40,1900-10-09,2.5,10.5,16.3,0,Тобольск
41,1900-10-10,6,8.6,13.9,0.7,Тобольск
42,1900-10-11,3.1,4.5,6.3,15.9,Тобольск
43,1900-10-12,0.2,0.7,1.4,1.5,Тобольск
44,1900-10-13,-0.1,1.2,2.8,0,Тобольск
45,1900-10-14,-1.1,-0.3,1.1,0,Тобольск
46,1900-10-15,-1.2,2.1,6.1,0,Тобольск
47,1900-10-16,1.3,4.4,7,0,Тобольск
48,1900-10-17,1.7,6.5,12.3,0,Тобольск
49,1900-10-18,2.4,8.5,15.7,0,Тобольск
50,1900-10-19,1.9,4.5,8.6,0,Тобольск
51,1900-10-20,-0.4,3.3,8.4,0,Тобольск
52,1900-10-21,-0.5,0.8,1.8,1.6,Тобольск
53,1900-10-22,-4,-2.8,-1.5,0.1,Тобольск
54,1900-10-23,-4.4,-2.2,1.4,0,Тобольск
55,1900-10-24,-4.4,-0.5,3.3,0,Тобольск
56,1900-10-25,-2,1.5,6.2,0,Тобольск
57,1900-10-26,-1,1.9,3.8,0,Тобольск
58,1900-10-27,0.4,2.8,5.5,0,Тобольск
59,1900-10-28,-3.4,-3,-2.5,0,Тобольск
60,1900-10-29,-3.1,-1.5,-0.3,0.2,Тобольск
61,1900-10-30,-2.9,-2.4,-1.4,4.3,Тобольск
62,1900-10-31,-3.5,-2.4,-0.6,1.6,Тобольск
64,1900-11-01,-13.3,-7,-2.6,0.7,Тобольск
65,1900-11-02,-13.6,-10.8,-9.4,0,Тобольск
66,1900-11-03,-12.6,-9.7,-5.6,0,Тобольск
67,1900-11-04,-15,-11.7,-9,0,Тобольск
68,1900-11-05,-11.6,-7.4,-2.6,0,Тобольск
69,1900-11-06,-8.4,-5.1,-0.4,0,Тобольск
70,1900-11-07,-12.2,-8.8,-5.4,0,Тобольск
71,1900-11-08,-15.6,-10.9,-5.7,0,Тобольск
72,1900-11-09,-12.9,-7.1,-4.4,0,Тобольск
73,1900-11-10,-10.5,-7.8,-5.8,0,Тобольск
74,1900-11-11,-11.6,-8.5,-5.5,0,Тобольск
75,1900-11-12,-8.7,-7.1,-4,0,Тобольск
76,1900-11-13,-10.4,-6.1,-2.5,0,Тобольск
77,1900-11-14,-9.7,-8.5,-6.8,0,Тобольск
78,1900-11-15,-13.5,-10.9,-8.1,0,Тобольск
79,1900-11-16,-11.8,-10.4,-9.3,0,Тобольск
80,1900-11-17,-13.7,-8.9,-6.6,0.4,Тобольск
81,1900-11-18,-11.2,-9.9,-7.8,0,Тобольск
82,1900-11-19,-16.1,-15.5,-8.4,0,Тобольск
83,1900-11-20,-15.6,-13.3,-11.7,1,Тобольск
84,1900-11-21,-14.5,-12.2,-10.7,0.2,Тобольск
85,1900-11-22,-15.6,-11.9,-9.7,1.5,Тобольск
86,1900-11-23,-14.4,-12.9,-10,0.1,Тобольск
87,1900-11-24,-15.9,-13.8,-10.5,0,Тобольск
88,1900-11-25,-19.2,-13,-10,2.2,Тобольск
89,1900-11-26,-12,-8.4,-6.8,1.6,Тобольск
90,1900-11-27,-9.3,-7.9,-6,1,Тобольск
91,1900-11-28,-7.9,-6.3,-5,0,Тобольск
92,1900-11-29,-11.6,-9.7,-5.4,2.7,Тобольск
93,1900-11-30,-22.2,-15.9,-8,1,Тобольск
95,1900-12-01,-28.6,-27.1,-25.8,0,Тобольск
96,1900-12-02,-31.1,-27.2,-25.3,0,Тобольск
97,1900-12-03,-33.8,-30.6,-27.9,0.2,Тобольск
98,1900-12-04,-28.1,-22,-19.5,0,Тобольск
99,1900-12-05,-20.6,-13.1,-9.9,1.1,Тобольск
100,1900-12-06,-20.5,-18,-16.5,0,Тобольск
101,1900-12-07,-24.4,-22.4,-19.8,0.1,Тобольск
102,1900-12-08,-22.2,-20.5,-19,0.3,Тобольск
103,1900-12-09,-20.3,-16,-14.2,1.5,Тобольск
104,1900-12-10,-19.1,-15,-11.8,0.5,Тобольск
105,1900-12-11,-16.3,-9.5,-8.7,1.2,Тобольск
106,1900-12-12,-9.1,-3.1,-1.8,1.1,Тобольск
107,1900-12-13,-12.9,-9.5,-7.5,3.2,Тобольск
108,1900-12-14,-12.5,-8.5,-7.2,0.2,Тобольск
