,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1924-09-01,6.5,9.7,13.8,1,Томск
2,1924-09-02,3.3,9.9,16.7,0,Томск
3,1924-09-03,6.5,13.2,20.7,0,Томск
4,1924-09-04,8.5,12.8,19.9,0.4,Томск
5,1924-09-05,11.3,14.9,19.1,0.3,Томск
6,1924-09-06,13.6,19.1,27.7,0,Томск
7,1924-09-07,7.2,10.2,18.7,0.3,Томск
8,1924-09-08,4.5,7.4,11.1,3.5,Томск
9,1924-09-09,3.3,4.7,10.3,1.7,Томск
10,1924-09-10,4.2,7,13.9,0.1,Томск
11,1924-09-11,3.9,7.1,10.4,0.6,Томск
12,1924-09-12,2.3,4.2,8.1,6.4,Томск
13,1924-09-13,1.9,5.9,10.3,1,Томск
14,1924-09-14,2.6,6.9,12.1,1.1,Томск
15,1924-09-15,5.9,10.9,16.4,0,Томск
16,1924-09-16,5.2,12.4,20.4,0.2,Томск
17,1924-09-17,7.1,9.2,13.8,3.7,Томск
18,1924-09-18,8,10.8,15.3,5,Томск
19,1924-09-19,7.2,11.1,14.1,2.4,Томск
20,1924-09-20,9.3,11.9,16.9,0.5,Томск
21,1924-09-21,7.5,13,18.1,0,Томск
22,1924-09-22,10.8,14.4,17.8,0.6,Томск
23,1924-09-23,7.4,9.6,16.2,0,Томск
24,1924-09-24,2.3,7.5,13.3,0.2,Томск
25,1924-09-25,5.3,8.8,11.9,6.2,Томск
26,1924-09-26,0.5,1.5,10,0,Томск
27,1924-09-27,-0.8,2.1,4,3.3,Томск
28,1924-09-28,0.5,2.1,3.3,4.4,Томск
29,1924-09-29,2.4,4.1,6.9,4,Томск
30,1924-09-30,0.4,2,3.7,5.1,Томск
32,1924-10-01,-2.9,-0.1,2.7,0.1,Томск
33,1924-10-02,-6.6,3,7.7,6.6,Томск
34,1924-10-03,5,7.1,10.4,1.7,Томск
35,1924-10-04,-1,0.4,6,1.8,Томск
36,1924-10-05,-2,1,4.3,2.2,Томск
37,1924-10-06,2.9,6.3,7.9,1.8,Томск
38,1924-10-07,4.6,5.7,7.9,4.3,Томск
39,1924-10-08,4.6,8.7,13.1,0.7,Томск
40,1924-10-09,-1.5,6.5,13.4,5.2,Томск
41,1924-10-10,-3.1,-1.3,1.8,1.9,Томск
42,1924-10-11,-4.4,-2.7,0.1,0.5,Томск
43,1924-10-12,-5.2,-3.4,-0.3,0,Томск
44,1924-10-13,-5,-3,-1.3,3,Томск
45,1924-10-14,-2.1,-1.6,0.2,4.4,Томск
46,1924-10-15,-3.4,-0.5,0.5,3.6,Томск
47,1924-10-16,-7.3,-3,0.2,0.3,Томск
48,1924-10-17,-19,-10.8,-3.1,0,Томск
49,1924-10-18,-8.9,-0.1,1.8,11.1,Томск
50,1924-10-19,-7.3,-3.5,1.3,0,Томск
51,1924-10-20,-13.9,-6.1,-0.1,0,Томск
52,1924-10-21,-5.8,-0.3,6.1,0,Томск
53,1924-10-22,-6.6,-1.8,4.7,0,Томск
54,1924-10-23,-4.2,-1.5,0.9,0.4,Томск
55,1924-10-24,-2,-0.9,2.2,2.1,Томск
56,1924-10-25,-2.7,-1.4,0.7,0,Томск
57,1924-10-26,-3.9,-0.5,3.4,0,Томск
58,1924-10-27,-1.8,2.7,5.7,2.3,Томск
59,1924-10-28,-3.5,0.4,5.2,0.2,Томск
60,1924-10-29,-5.9,-3.3,-1.3,1,Томск
61,1924-10-30,-3.4,-1.4,0.2,2.8,Томск
62,1924-10-31,-1.4,0,1,3.6,Томск
64,1924-11-01,0,0.5,2.3,1.8,Томск
65,1924-11-02,0.1,1.2,2.4,0,Томск
66,1924-11-03,1,1.8,3.3,0,Томск
67,1924-11-04,-1.3,0.4,2.5,0,Томск
68,1924-11-05,-7.2,-1.5,3.1,0,Томск
69,1924-11-06,-6.8,1.1,4.6,1.5,Томск
70,1924-11-07,2.4,4.1,6.3,10.7,Томск
71,1924-11-08,-0.4,0.7,3.1,0,Томск
72,1924-11-09,-2.5,-0.2,3.4,0,Томск
73,1924-11-10,-3.1,-0.4,1.4,0,Томск
74,1924-11-11,-3.7,1.9,6.2,0,Томск
75,1924-11-12,-0.2,1.1,2.6,0.7,Томск
76,1924-11-13,-7.3,-4,1.2,0.1,Томск
77,1924-11-14,-9.2,-7.6,-5.9,0.4,Томск
78,1924-11-15,-9.3,-6.7,-3.9,0.9,Томск
79,1924-11-16,-14.3,-13.2,-8.4,0.6,Томск
80,1924-11-17,-14.5,-10.9,-9.7,0.1,Томск
81,1924-11-18,-10.5,-8.5,-7.8,0.1,Томск
82,1924-11-19,-9,-6.9,-5,4.4,Томск
83,1924-11-20,-14.4,-10.8,-5,0.2,Томск
84,1924-11-21,-13.7,-9.6,-8.2,0.1,Томск
85,1924-11-22,-11.9,-9.1,-7.4,1.1,Томск
86,1924-11-23,-13,-10.3,-7.4,0.2,Томск
87,1924-11-24,-10.4,-5.5,-1.4,0.3,Томск
88,1924-11-25,-1.5,0.2,1.2,9.7,Томск
89,1924-11-26,-3.9,-2.8,0.1,1.5,Томск
90,1924-11-27,-9.3,-5.8,-3,2.5,Томск
91,1924-11-28,-21.2,-17.3,-8,5.2,Томск
92,1924-11-29,-17.1,-6.7,-4.1,6.6,Томск
93,1924-11-30,-15.3,-9.4,-3.2,8,Томск
95,1924-12-01,-20.3,-18.8,-14.5,0.4,Томск
96,1924-12-02,-20.9,-17.5,-15.6,0.2,Томск
97,1924-12-03,-16.9,-13.1,-10.5,5.8,Томск
98,1924-12-04,-10.8,-5.8,-1.8,0.4,Томск
99,1924-12-05,-19.7,-16.4,-9.4,3.5,Томск
100,1924-12-06,-16.4,-8.9,-2.4,2.4,Томск
101,1924-12-07,-3,-2.6,-1.3,0.1,Томск
102,1924-12-08,-6.5,-5.2,-2.2,0,Томск
103,1924-12-09,-21.6,-18.4,-6,0,Томск
104,1924-12-10,-22.2,-14.9,-12.4,0,Томск
105,1924-12-11,-13.7,-9.3,-7.8,1.7,Томск
106,1924-12-12,-9.3,-8.4,-6.9,1.3,Томск
107,1924-12-13,-9.3,-6.1,-5.1,0.3,Томск
108,1924-12-14,-9.4,-7.8,-5.1,4.5,Томск
109,1924-12-15,-6.9,-5,-3.6,0.1,Томск
110,1924-12-16,-8.6,-7.3,-5.5,3.3,Томск
111,1924-12-17,-8.2,-5.2,-3.3,0.1,Томск
112,1924-12-18,-9.6,-8.3,-3.9,0.8,Томск
113,1924-12-19,-10.7,-9.2,-7.1,0.5,Томск
114,1924-12-20,-12.7,-10.7,-8.9,0.1,Томск
115,1924-12-21,-13,-11.6,-8.7,0.1,Томск
116,1924-12-22,-14,-7.6,-5.3,1,Томск
