,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1938-03-01,-30.8,-18.4,-8.1,0,Троицкий прииск
2,1938-03-02,-21.7,-14,-6.8,0.9,Троицкий прииск
3,1938-03-03,-17.3,-13,-10.3,2.5,Троицкий прииск
4,1938-03-04,-26.5,-23.1,-17.2,0.2,Троицкий прииск
5,1938-03-05,-32.4,-24,-19.1,0,Троицкий прииск
6,1938-03-06,-30.9,-22.7,-16.6,0,Троицкий прииск
7,1938-03-07,-28.1,-20.1,-13.9,0,Троицкий прииск
8,1938-03-08,-31.9,-22.3,-15,0,Троицкий прииск
9,1938-03-09,-23.2,-16.9,-11.5,0,Троицкий прииск
10,1938-03-10,-19.6,-15,-10.4,0,Троицкий прииск
11,1938-03-11,-26.7,-16.7,-8.6,0,Троицкий прииск
12,1938-03-12,-24.8,-15.9,-7.1,0,Троицкий прииск
13,1938-03-13,-27.6,-16,1.4,0,Троицкий прииск
14,1938-03-14,-27.3,-14.9,-1.5,0,Троицкий прииск
15,1938-03-15,-20.8,-11,-3,0,Троицкий прииск
16,1938-03-16,-18.5,-8.2,1.1,0,Троицкий прииск
17,1938-03-17,-12.7,-1.7,4.8,0,Троицкий прииск
18,1938-03-18,-14.2,-5.2,0.6,0,Троицкий прииск
19,1938-03-19,-20.4,-9,-1.7,0,Троицкий прииск
20,1938-03-20,-22.2,-10.7,0.5,0,Троицкий прииск
21,1938-03-21,-21.1,-9.2,3.4,0,Троицкий прииск
22,1938-03-22,-17.3,-7,5.6,0,Троицкий прииск
23,1938-03-23,-17.2,-8.6,2.1,0,Троицкий прииск
24,1938-03-24,-20.2,-13,-6.3,0.3,Троицкий прииск
25,1938-03-25,-17.6,-11.8,-6.8,0.2,Троицкий прииск
26,1938-03-26,-21.9,-12.4,-1.5,0,Троицкий прииск
27,1938-03-27,-22,-11.8,-2.8,0,Троицкий прииск
28,1938-03-28,-19.2,-9.4,1.1,0,Троицкий прииск
29,1938-03-29,-15.1,-6.7,1.8,0,Троицкий прииск
30,1938-03-30,-21.1,-7,3.9,0,Троицкий прииск
31,1938-03-31,-12.8,-6.8,2.9,1.2,Троицкий прииск
