,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1914-09-08,1.3,3.9,6.6,1.3,Троицко-Печорское
2,1914-09-09,1.1,3.7,7.5,0,Троицко-Печорское
3,1914-09-10,-0.7,1.9,4.7,1.1,Троицко-Печорское
4,1914-09-11,-2.4,2.7,5.8,8,Троицко-Печорское
5,1914-09-12,-2.5,4.3,8.4,4,Троицко-Печорское
6,1914-09-13,0,1.8,5.4,0.2,Троицко-Печорское
7,1914-09-14,-2.3,4.4,8,0,Троицко-Печорское
8,1914-09-15,3.6,11.2,17.1,0,Троицко-Печорское
9,1914-09-16,2.7,8.6,13.8,0,Троицко-Печорское
10,1914-09-17,2.6,9.8,15,0.8,Троицко-Печорское
11,1914-09-18,7,9.3,15,0,Троицко-Печорское
12,1914-09-19,5.2,9.3,17.1,0,Троицко-Печорское
13,1914-09-20,2.1,9.5,19.8,0,Троицко-Печорское
14,1914-09-21,5.7,9.3,12.2,4.8,Троицко-Печорское
15,1914-09-22,7.7,11.3,15.4,3.9,Троицко-Печорское
16,1914-09-23,2.7,4.2,9.2,0.5,Троицко-Печорское
17,1914-09-24,0.7,2.6,7.7,0,Троицко-Печорское
18,1914-09-25,-0.3,2,5.7,1.5,Троицко-Печорское
19,1914-09-26,1.1,3.9,7.3,0.7,Троицко-Печорское
20,1914-09-27,3.7,8,10,0.8,Троицко-Печорское
21,1914-09-28,7.2,8.9,11.6,0.4,Троицко-Печорское
22,1914-09-29,7.6,8.5,10.5,0.3,Троицко-Печорское
23,1914-09-30,7.2,8.8,11.7,0.5,Троицко-Печорское
25,1914-10-01,7.7,11.2,16.3,4.2,Троицко-Печорское
26,1914-10-02,5.8,7.2,9.3,0,Троицко-Печорское
27,1914-10-03,4.8,6.4,7.5,1.8,Троицко-Печорское
28,1914-10-04,-0.3,3.7,7.6,2,Троицко-Печорское
29,1914-10-05,-0.9,1.8,5.2,0.1,Троицко-Печорское
30,1914-10-06,0,2.8,5.1,7,Троицко-Печорское
31,1914-10-07,0.1,1.8,4.5,0.3,Троицко-Печорское
32,1914-10-08,-1.5,1.1,3.2,0.9,Троицко-Печорское
33,1914-10-09,0,1.5,7,2.2,Троицко-Печорское
34,1914-10-10,-5.5,-3,0.3,1.3,Троицко-Печорское
35,1914-10-11,-9.1,-1.5,0.5,0.4,Троицко-Печорское
36,1914-10-12,0,2.3,3.9,0.8,Троицко-Печорское
37,1914-10-13,-0.5,2.5,6.1,0,Троицко-Печорское
38,1914-10-14,1.3,2.9,4.5,0.1,Троицко-Печорское
39,1914-10-15,-2.3,3.2,7.7,0,Троицко-Печорское
40,1914-10-16,1.7,3.1,5,0,Троицко-Печорское
41,1914-10-17,0.5,2.7,5,0,Троицко-Печорское
42,1914-10-18,0.7,1.5,3.8,0.1,Троицко-Печорское
43,1914-10-19,-2.9,-0.5,3.2,0,Троицко-Печорское
44,1914-10-20,-5.8,-4.2,-2,0.1,Троицко-Печорское
45,1914-10-21,-5.8,-2.3,0.9,1.6,Троицко-Печорское
46,1914-10-22,-4.8,-1.8,1.3,3.3,Троицко-Печорское
