,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1901-04-06,2.1,8.8,15.2,0,Тургай
2,1901-04-07,4.1,11.7,18.1,0,Тургай
3,1901-04-08,5.3,12.5,20.3,0,Тургай
4,1901-04-09,4.8,13.1,21.1,0,Тургай
5,1901-04-10,8,15.7,22.4,1.1,Тургай
6,1901-04-11,6.6,10.2,15.3,0.5,Тургай
7,1901-04-12,3.2,6.6,10.6,9.2,Тургай
8,1901-04-13,2.1,6.7,10.7,2.3,Тургай
9,1901-04-14,6.1,8.4,12,0.1,Тургай
10,1901-04-15,5.1,8.2,12.2,0,Тургай
11,1901-04-16,3.9,8.2,12.2,0,Тургай
12,1901-04-17,4.3,12,18.5,0,Тургай
13,1901-04-18,7.8,14.8,21.8,0,Тургай
14,1901-04-19,6.8,12.6,17.7,0,Тургай
15,1901-04-20,7.9,15.8,23.6,0,Тургай
16,1901-04-21,10.7,19.1,25.1,0,Тургай
17,1901-04-22,12.3,15.1,25.1,0,Тургай
18,1901-04-23,7.5,14.1,20.6,0,Тургай
19,1901-04-24,9.4,17.9,22.9,0,Тургай
20,1901-04-25,11.4,18.9,26,0,Тургай
21,1901-04-26,10.3,18.4,26.7,0,Тургай
22,1901-04-27,14.1,18.2,23.1,0.6,Тургай
23,1901-04-28,7.4,8.4,17,0,Тургай
24,1901-04-29,3.5,10.3,17.2,0,Тургай
25,1901-04-30,6.1,14.6,20.1,0,Тургай
27,1901-05-01,5.8,8.8,14.2,0,Тургай
28,1901-05-02,0.9,7.8,13.9,0.9,Тургай
29,1901-05-03,6.9,11.3,17.3,0,Тургай
30,1901-05-04,5.2,12.4,18.1,0,Тургай
31,1901-05-05,5.7,13.5,19.8,0,Тургай
32,1901-05-06,5.3,15,22.4,0,Тургай
33,1901-05-07,7.7,17.7,25.5,0,Тургай
34,1901-05-08,10.2,20.2,28.8,0,Тургай
35,1901-05-09,10.4,20.7,28.7,0,Тургай
36,1901-05-10,11.7,20.2,28.3,0,Тургай
37,1901-05-11,5.3,10.8,17.3,0,Тургай
38,1901-05-12,7.9,11.9,16.5,0,Тургай
39,1901-05-13,5.8,13.2,20.3,0,Тургай
40,1901-05-14,6.8,15.6,22.5,0,Тургай
41,1901-05-15,10.4,22.1,25.1,0,Тургай
42,1901-05-16,8.4,11.8,17.3,0,Тургай
43,1901-05-17,2.5,14.8,20.4,0,Тургай
44,1901-05-18,6.6,16,23.3,0,Тургай
45,1901-05-19,8.9,17.3,24.8,0,Тургай
46,1901-05-20,9,20.4,28.7,0,Тургай
