,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1914-05-01,13.2,21.5,29.5,0,Туркестан
2,1914-05-02,17.2,18.7,22.5,4,Туркестан
3,1914-05-03,14.4,15.9,19.7,3.2,Туркестан
4,1914-05-04,12.7,17.4,24,0,Туркестан
5,1914-05-05,9.7,19.4,25.8,0,Туркестан
6,1914-05-06,13.8,21.6,27,0,Туркестан
7,1914-05-07,9,12.5,21,0,Туркестан
8,1914-05-08,3.2,11.4,18.5,0,Туркестан
9,1914-05-09,6.7,15.1,21,0,Туркестан
10,1914-05-10,10,18.4,23.4,0,Туркестан
11,1914-05-11,10.2,19.2,25.2,0,Туркестан
12,1914-05-12,13,19.7,25,0,Туркестан
13,1914-05-13,14,21.3,26.5,0,Туркестан
14,1914-05-14,17.2,20.7,26.6,0,Туркестан
15,1914-05-15,11.2,22.5,30.6,0,Туркестан
16,1914-05-16,15.2,20.5,25.8,0,Туркестан
17,1914-05-17,9.6,18.4,28.4,0,Туркестан
18,1914-05-18,10.7,21.7,27,0,Туркестан
19,1914-05-19,10.6,20.5,26,0,Туркестан
20,1914-05-20,11.2,20.7,27.4,0,Туркестан
21,1914-05-21,13,23.3,28.5,0,Туркестан
22,1914-05-22,18,26.5,32,0,Туркестан
23,1914-05-23,19,25.8,32,0,Туркестан
24,1914-05-24,16,19.9,25.5,4,Туркестан
25,1914-05-25,15,22.6,28.2,0,Туркестан
26,1914-05-26,13.2,23.1,30.2,0,Туркестан
27,1914-05-27,15.7,24.4,31.2,0,Туркестан
28,1914-05-28,18.2,27.7,36.5,0,Туркестан
29,1914-05-29,18,27,33.2,0,Туркестан
30,1914-05-30,18.4,28.1,34.3,0.3,Туркестан
31,1914-05-31,19.2,24.4,31,0,Туркестан
33,1914-06-01,19.7,27.9,33.7,4.5,Туркестан
34,1914-06-02,18.7,23.2,29.8,17.5,Туркестан
35,1914-06-03,15.7,22.7,30.7,0,Туркестан
36,1914-06-04,16.2,25.8,33.2,0,Туркестан
37,1914-06-05,19.7,26.1,33.8,0,Туркестан
38,1914-06-06,15.7,25.5,31.7,0,Туркестан
39,1914-06-07,16,24.8,31.2,0,Туркестан
40,1914-06-08,17.7,25.6,32.2,0,Туркестан
41,1914-06-09,16,22.8,27.7,0,Туркестан
42,1914-06-10,15.2,23.7,30.6,0,Туркестан
43,1914-06-11,16.2,27.1,32.2,0,Туркестан
44,1914-06-12,19.6,27.5,33.2,0,Туркестан
45,1914-06-13,23.2,29.1,34.4,0,Туркестан
46,1914-06-14,22.7,30.6,36.7,0,Туркестан
47,1914-06-15,23.8,32.6,38.2,0,Туркестан
48,1914-06-16,22.7,31.3,40.7,0,Туркестан
49,1914-06-17,20.4,29.2,34.8,0,Туркестан
50,1914-06-18,19.6,30.9,36.6,0,Туркестан
51,1914-06-19,19.6,30.6,36.8,0,Туркестан
52,1914-06-20,20.4,31.3,38.8,0,Туркестан
53,1914-06-21,22.2,32.6,38,0,Туркестан
54,1914-06-22,27.8,32.5,41.8,0,Туркестан
55,1914-06-23,24.2,31.2,37.4,0,Туркестан
56,1914-06-24,20.8,30.9,39.2,0,Туркестан
57,1914-06-25,23,29.5,35.2,0,Туркестан
58,1914-06-26,17.2,23.5,30.4,0,Туркестан
59,1914-06-27,15.6,26.7,34.2,0,Туркестан
60,1914-06-28,17.7,26.9,35.2,0,Туркестан
61,1914-06-29,18.2,28.1,35.4,0,Туркестан
62,1914-06-30,20.4,26.9,32.2,0,Туркестан
64,1914-07-01,18.7,27.7,33,0,Туркестан
65,1914-07-02,16.7,29.2,34.2,0,Туркестан
66,1914-07-03,20.4,27.9,32.8,0,Туркестан
67,1914-07-04,16.6,25.9,31.6,0,Туркестан
68,1914-07-05,18.7,28.4,36.5,0,Туркестан
69,1914-07-06,19.7,30.9,38,0,Туркестан
70,1914-07-07,20.2,31.2,37,0,Туркестан
71,1914-07-08,19.2,30.3,36.4,0,Туркестан
72,1914-07-09,23.4,34.9,44,0,Туркестан
73,1914-07-10,23.7,30.7,36,0.3,Туркестан
74,1914-07-11,17.7,26.9,34,0,Туркестан
75,1914-07-12,16.4,26.9,33,0,Туркестан
76,1914-07-13,15.7,27.6,36.4,0,Туркестан
77,1914-07-14,17.2,29,37.6,0,Туркестан
78,1914-07-15,19.2,26.6,33.5,0,Туркестан
79,1914-07-16,15.7,25.5,33.5,0,Туркестан
80,1914-07-17,14.7,28.2,35.5,0,Туркестан
81,1914-07-18,23.7,30.1,36,0,Туркестан
82,1914-07-19,17.4,30,39,0,Туркестан
83,1914-07-20,18.2,29.2,37.5,0,Туркестан
84,1914-07-21,17.2,30.8,37.5,0,Туркестан
85,1914-07-22,20.6,30.8,38,0,Туркестан
86,1914-07-23,17.2,29.4,39.5,0,Туркестан
87,1914-07-24,16.7,31.6,39.6,0,Туркестан
88,1914-07-25,19.7,29.9,37,0,Туркестан
89,1914-07-26,19,26.2,33.5,0,Туркестан
90,1914-07-27,17.2,28.9,33,0,Туркестан
91,1914-07-28,22.2,30.9,35.5,0,Туркестан
92,1914-07-29,24.8,31.8,39.5,0,Туркестан
93,1914-07-30,22.7,32.1,40.5,0,Туркестан
94,1914-07-31,26.2,32.9,40,0,Туркестан
96,1914-09-01,13.6,18.1,24.5,0,Туркестан
97,1914-09-02,10.6,21.2,32,0,Туркестан
98,1914-09-03,16.1,25.9,35,0,Туркестан
99,1914-09-04,11.5,24.8,32.5,0,Туркестан
100,1914-09-05,15.3,26.3,35.5,0,Туркестан
101,1914-09-06,13.6,23.1,28.5,0,Туркестан
102,1914-09-07,16.1,24.1,33,0,Туркестан
103,1914-09-08,13.1,23.6,34,0,Туркестан
104,1914-09-09,12.3,22.7,30.6,0,Туркестан
105,1914-09-10,12.1,20.8,28.5,0,Туркестан
106,1914-09-11,9.7,21.5,31.6,0,Туркестан
107,1914-09-12,12.7,20.9,34.5,0,Туркестан
108,1914-09-13,9.1,18.1,27.5,0,Туркестан
109,1914-09-14,13.5,20.1,27.6,0,Туркестан
110,1914-09-15,9.3,19.9,28,0,Туркестан
111,1914-09-16,12.6,17.1,23.6,0,Туркестан
112,1914-09-17,11.6,17.1,22.5,0,Туркестан
113,1914-09-18,5.6,16.9,26.5,0,Туркестан
114,1914-09-19,13.1,20.8,29,0,Туркестан
115,1914-09-20,8.6,19.3,29.5,0,Туркестан
116,1914-09-21,7.6,18.4,30,0,Туркестан
117,1914-09-22,10.1,20.3,29.6,0,Туркестан
118,1914-09-23,12.1,21.9,27.2,0,Туркестан
119,1914-09-24,9.7,20.8,27.5,0,Туркестан
120,1914-09-25,11.3,20,31.4,0,Туркестан
121,1914-09-26,7.1,19.5,29.2,0,Туркестан
122,1914-09-27,8.6,19.2,28,0,Туркестан
123,1914-09-28,11.6,15.3,23.5,0,Туркестан
124,1914-09-29,2.5,12.6,22.6,0,Туркестан
125,1914-09-30,5.1,16.9,27.6,0,Туркестан
127,1914-10-01,9.6,19.8,30.9,0,Туркестан
128,1914-10-02,12.6,22.3,32.6,0,Туркестан
129,1914-10-03,15.1,22.7,31.9,0,Туркестан
130,1914-10-04,9.9,14.2,22.4,0,Туркестан
131,1914-10-05,6.1,16.3,26.9,0,Туркестан
132,1914-10-06,6.6,15,22.9,0,Туркестан
133,1914-10-07,6.6,13.5,22.9,0,Туркестан
134,1914-10-08,4.1,14.2,24.5,0,Туркестан
135,1914-10-09,7.6,19.8,27.9,0,Туркестан
136,1914-10-10,13.1,19.3,29.4,0,Туркестан
137,1914-10-11,8.1,19.1,28.7,0,Туркестан
138,1914-10-12,7.1,8.1,12.4,0,Туркестан
139,1914-10-13,-3.9,5.7,14.4,0,Туркестан
140,1914-10-14,-4.9,5.3,13.1,0,Туркестан
141,1914-10-15,-1.9,7.9,17.4,0,Туркестан
142,1914-10-16,-0.5,9.9,18.1,0,Туркестан
143,1914-10-17,0.7,8.8,18.4,0,Туркестан
144,1914-10-18,-0.4,7.9,19.5,0,Туркестан
145,1914-10-19,-1.4,7.9,18.5,0,Туркестан
146,1914-10-20,-0.1,8.2,18.5,0,Туркестан
147,1914-10-21,-2.4,8.9,20.1,0,Туркестан
