,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1960-01-01,-28.1,-22.9,-19.9,1.2,Туруханск
2,1960-01-02,-43.8,-38.6,-28.1,0,Туруханск
3,1960-01-03,-44.4,-41.8,-40.6,0.1,Туруханск
4,1960-01-04,-43.9,-33,-31.1,0,Туруханск
5,1960-01-05,-34.9,-32,-30.4,0,Туруханск
6,1960-01-06,-30.5,-27.4,-24,0.4,Туруханск
7,1960-01-07,-27.6,-24,-21.5,0.8,Туруханск
8,1960-01-08,-43.9,-36.3,-27.1,0.2,Туруханск
9,1960-01-09,-48.4,-44.6,-42.9,0,Туруханск
10,1960-01-10,-50.4,-48.3,-46.7,0,Туруханск
11,1960-01-11,-50,-47,-44.5,0.2,Туруханск
12,1960-01-12,-51.7,-49.6,-48.1,0,Туруханск
13,1960-01-13,-50,-45.9,-41.5,0,Туруханск
14,1960-01-14,-43,-37.9,-33.5,0,Туруханск
15,1960-01-15,-38.4,-35.5,-33.5,0,Туруханск
16,1960-01-16,-40.4,-37.8,-36.3,0,Туруханск
17,1960-01-17,-40.9,-39.3,-38.9,0,Туруханск
18,1960-01-18,-39.6,-32.4,-30.5,0,Туруханск
19,1960-01-19,-33.5,-32.3,-31,0,Туруханск
20,1960-01-20,-38.1,-34.7,-31.6,0,Туруханск
21,1960-01-21,-34.7,-29.2,-27.5,0,Туруханск
22,1960-01-22,-30.5,-26.3,-22.7,0.9,Туруханск
23,1960-01-23,-36.5,-34,-29.4,0,Туруханск
24,1960-01-24,-33.1,-22.3,-17.4,1.2,Туруханск
25,1960-01-25,-17.7,-15.2,-13.2,0.1,Туруханск
26,1960-01-26,-18.1,-16.6,-15.6,1.3,Туруханск
27,1960-01-27,-28.9,-24.4,-15.3,0.8,Туруханск
28,1960-01-28,-28.5,-21.6,-18.6,1.8,Туруханск
29,1960-01-29,-37.9,-30.7,-21.5,0.9,Туруханск
30,1960-01-30,-38.4,-34.6,-32.7,0.2,Туруханск
31,1960-01-31,-34.3,-32.3,-30.6,0.4,Туруханск
33,1960-02-01,-34.3,-31.8,-29.5,0.7,Туруханск
34,1960-02-02,-45.8,-39.5,-31.1,0.2,Туруханск
35,1960-02-03,-36.6,-27.2,-22.5,2.4,Туруханск
36,1960-02-04,-37.3,-30.1,-21.4,1.1,Туруханск
37,1960-02-05,-41.6,-36.4,-33.2,0.5,Туруханск
38,1960-02-06,-48.5,-46.3,-40.9,0,Туруханск
39,1960-02-07,-47.5,-40.5,-32.5,0,Туруханск
40,1960-02-08,-32.9,-25,-22,1.2,Туруханск
41,1960-02-09,-28.9,-22.7,-18.8,0.8,Туруханск
42,1960-02-10,-42.6,-37.2,-28.6,0,Туруханск
43,1960-02-11,-33.2,-21.2,-17.6,1.3,Туруханск
44,1960-02-12,-18.1,-15.8,-14.7,1,Туруханск
45,1960-02-13,-29.2,-25.6,-14.7,0.2,Туруханск
46,1960-02-14,-24.8,-20.5,-17.5,0.6,Туруханск
47,1960-02-15,-31.3,-24.7,-19.7,0.7,Туруханск
48,1960-02-16,-23,-16.8,-13.8,1.7,Туруханск
49,1960-02-17,-25,-17.4,-13,2.8,Туруханск
50,1960-02-18,-42.6,-35.6,-24.7,0,Туруханск
51,1960-02-19,-36,-10.4,-2.2,3.1,Туруханск
52,1960-02-20,-34.6,-22.2,-2.6,1.2,Туруханск
53,1960-02-21,-47.3,-41.8,-34.1,0,Туруханск
54,1960-02-22,-43.2,-35.8,-29.3,0,Туруханск
55,1960-02-23,-42.9,-37.2,-31.4,0,Туруханск
56,1960-02-24,-46.3,-39,-27.2,0,Туруханск
57,1960-02-25,-38.1,-29.4,-21.8,0.3,Туруханск
58,1960-02-26,-28.4,-25.7,-21.6,0,Туруханск
59,1960-02-27,-40,-36.8,-28.3,0,Туруханск
60,1960-02-28,-45.4,-39.4,-33.4,0.1,Туруханск
61,1960-02-29,-43.2,-36.2,-27.8,0.1,Туруханск
63,1960-03-01,-35.1,-29.6,-25,0.9,Туруханск
64,1960-03-02,-30.3,-26,-19.3,0.8,Туруханск
65,1960-03-03,-36.9,-29.2,-21.7,0,Туруханск
66,1960-03-04,-37.5,-31.1,-25.1,0,Туруханск
67,1960-03-05,-31.4,-26.8,-22,0,Туруханск
68,1960-03-06,-39.6,-28.7,-19.5,0,Туруханск
69,1960-03-07,-35.1,-29.5,-21.7,0,Туруханск
70,1960-03-08,-37,-29.4,-20.3,0,Туруханск
71,1960-03-09,-25.6,-19.8,-15.6,0,Туруханск
72,1960-03-10,-18.7,-15.7,-13.8,0.3,Туруханск
73,1960-03-11,-16.6,-14.4,-11.9,1.5,Туруханск
74,1960-03-12,-17.7,-13.1,-10,0.7,Туруханск
75,1960-03-13,-12.1,-9.6,-7,0,Туруханск
76,1960-03-14,-17.5,-14.2,-8.9,0.6,Туруханск
77,1960-03-15,-23.8,-17.9,-12.4,0.1,Туруханск
78,1960-03-16,-27.4,-23,-15.7,0.3,Туруханск
79,1960-03-17,-36.9,-29,-21.5,0,Туруханск
80,1960-03-18,-38.5,-29.5,-19.4,0,Туруханск
81,1960-03-19,-35.2,-26.6,-16.7,0,Туруханск
82,1960-03-20,-33,-24.2,-14.4,0,Туруханск
83,1960-03-21,-22.2,-16.1,-12.9,0,Туруханск
84,1960-03-22,-17.1,-14.2,-10.4,0,Туруханск
85,1960-03-23,-26.6,-19,-9.8,0,Туруханск
86,1960-03-24,-27.8,-19.1,-10.5,0,Туруханск
87,1960-03-25,-16.9,-12.4,-7.6,0,Туруханск
88,1960-03-26,-9.7,-7.9,-5,0,Туруханск
89,1960-03-27,-11.5,-9.4,-6.4,0,Туруханск
90,1960-03-28,-24.4,-18.6,-10.6,0,Туруханск
91,1960-03-29,-20.2,-12.4,-8.9,1.7,Туруханск
92,1960-03-30,-18.9,-10.8,-2.6,3.3,Туруханск
93,1960-03-31,-30.4,-23.9,-16.5,0,Туруханск
95,1960-04-01,-32.4,-24.5,-17.1,0,Туруханск
96,1960-04-02,-33.8,-22.4,-10.5,0,Туруханск
97,1960-04-03,-13.2,-8.1,-3.6,5.7,Туруханск
