,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1946-05-01,9.9,21.3,27.6,0,Ужгород
2,1946-05-02,11.7,21,27,0,Ужгород
3,1946-05-03,11.6,21,27.1,0,Ужгород
4,1946-05-04,10.8,19,25.9,0,Ужгород
5,1946-05-05,7.5,16.9,24.8,0,Ужгород
6,1946-05-06,11.1,18.3,25.8,3,Ужгород
7,1946-05-07,9.7,18.4,24.9,0,Ужгород
8,1946-05-08,10,16.4,24.4,0,Ужгород
9,1946-05-09,10.5,12.5,18.9,13,Ужгород
10,1946-05-10,-0.8,9.4,15.8,0,Ужгород
11,1946-05-11,3.3,14,20.7,0,Ужгород
12,1946-05-12,6.4,16.5,23.1,0,Ужгород
13,1946-05-13,14.2,18,22.3,1,Ужгород
14,1946-05-14,14.3,21.3,27,0,Ужгород
15,1946-05-15,14.4,16,21.6,3.2,Ужгород
16,1946-05-16,12.6,15.4,20.5,2.4,Ужгород
17,1946-05-17,7.8,18.5,24.4,0,Ужгород
18,1946-05-18,10.6,18.3,22.7,0.1,Ужгород
19,1946-05-19,13.4,17,22.2,2.6,Ужгород
20,1946-05-20,13.1,16.4,18.6,3.1,Ужгород
21,1946-05-21,14.1,17.8,24,3.1,Ужгород
22,1946-05-22,11.3,19.3,22.8,0,Ужгород
23,1946-05-23,13.9,16.2,19.9,1.4,Ужгород
24,1946-05-24,15,19.4,24.5,0,Ужгород
25,1946-05-25,12.3,21.1,27,0,Ужгород
26,1946-05-26,18.4,22.4,26.7,0,Ужгород
27,1946-05-27,16.8,21.4,26.3,1.7,Ужгород
28,1946-05-28,11.9,19.6,26.6,2.1,Ужгород
29,1946-05-29,12.8,20.8,27.2,0,Ужгород
30,1946-05-30,12.1,20.8,27.4,0,Ужгород
31,1946-05-31,15.8,19.5,24.5,7.7,Ужгород
33,1946-06-01,15.1,20.3,25.4,0,Ужгород
34,1946-06-02,17.3,21.8,27.8,0,Ужгород
35,1946-06-03,15.5,20.7,24.1,0,Ужгород
36,1946-06-04,13.8,17.4,22.6,1.3,Ужгород
37,1946-06-05,12.8,17.1,21,0,Ужгород
38,1946-06-06,5.4,16.4,23.3,0,Ужгород
39,1946-06-07,9.8,20.6,27.3,0,Ужгород
40,1946-06-08,13.3,24.4,30.2,0,Ужгород
41,1946-06-09,14.9,24.6,33.5,0,Ужгород
42,1946-06-10,18.3,25.1,30.9,0,Ужгород
43,1946-06-11,20.3,24.8,30.8,7.5,Ужгород
44,1946-06-12,17.1,21,28.8,0.5,Ужгород
45,1946-06-13,16.3,23.3,29.9,2,Ужгород
46,1946-06-14,12.4,17.2,28.1,11.4,Ужгород
47,1946-06-15,8.6,12.8,17.8,1.4,Ужгород
48,1946-06-16,7.8,16.4,21.7,0,Ужгород
49,1946-06-17,10.3,16.1,22.3,0,Ужгород
50,1946-06-18,9.8,16,22.4,2.6,Ужгород
51,1946-06-19,10.6,18,24.6,5.2,Ужгород
52,1946-06-20,19.3,22.4,29.2,3.2,Ужгород
53,1946-06-21,15.8,19.3,24.7,0,Ужгород
54,1946-06-22,15.5,22.9,30.4,0,Ужгород
55,1946-06-23,20.6,27.3,32.8,0,Ужгород
56,1946-06-24,15.1,20.7,30.3,9.4,Ужгород
57,1946-06-25,16.2,17.4,21.8,2.7,Ужгород
58,1946-06-26,10.5,17.6,23.8,0,Ужгород
59,1946-06-27,11,19.3,27.4,0,Ужгород
60,1946-06-28,14.2,22,26.8,1.9,Ужгород
61,1946-06-29,14.8,22.6,29,0,Ужгород
62,1946-06-30,15.7,22.6,29,0,Ужгород
64,1946-07-01,13.5,22.8,30,0,Ужгород
65,1946-07-02,17.4,23.6,28.7,0,Ужгород
66,1946-07-03,11.6,22.1,28.1,0,Ужгород
67,1946-07-04,14.7,24.4,30.4,0,Ужгород
68,1946-07-05,15.3,24.3,32.1,0,Ужгород
69,1946-07-06,13.5,23.5,32.9,0,Ужгород
70,1946-07-07,18.4,25.6,31.5,0,Ужгород
71,1946-07-08,15,21.6,28.7,2.8,Ужгород
72,1946-07-09,15,20.3,23.3,0.1,Ужгород
73,1946-07-10,12.9,18.5,24.3,0,Ужгород
74,1946-07-11,13.6,18.2,23.1,0,Ужгород
75,1946-07-12,11.2,15.1,20.7,0.5,Ужгород
76,1946-07-13,10.5,18.1,23.3,0,Ужгород
77,1946-07-14,10,19.8,26.9,0,Ужгород
78,1946-07-15,14,22,27.8,0,Ужгород
79,1946-07-16,18,21,26.1,0,Ужгород
80,1946-07-17,12.5,21.4,28.4,0,Ужгород
81,1946-07-18,16.4,27,33.2,0,Ужгород
82,1946-07-19,17.8,25.8,33.9,1.3,Ужгород
83,1946-07-20,17,25.7,30.4,0,Ужгород
84,1946-07-21,16.1,25.4,31.1,0,Ужгород
85,1946-07-22,17.2,18.1,31,28.5,Ужгород
86,1946-07-23,14.7,19.1,23.5,0,Ужгород
87,1946-07-24,14.4,20.6,25,0,Ужгород
88,1946-07-25,14.7,23.2,28.6,0,Ужгород
89,1946-07-26,15.4,26.2,31.5,0,Ужгород
90,1946-07-27,17.1,26.4,32.4,0,Ужгород
91,1946-07-28,15.4,25,33.7,0,Ужгород
92,1946-07-29,15.4,23.6,32.9,2.7,Ужгород
93,1946-07-30,18,21.8,27,0,Ужгород
94,1946-07-31,11,21,28.3,0,Ужгород
96,1946-08-01,16.8,21.7,26.9,0,Ужгород
97,1946-08-02,13.6,18.6,22.6,0,Ужгород
98,1946-08-03,8.6,18.2,26.1,0,Ужгород
99,1946-08-04,15.8,21.7,28.5,0,Ужгород
100,1946-08-05,12.3,21.4,26.4,0,Ужгород
101,1946-08-06,11.6,20.5,29.2,0,Ужгород
102,1946-08-07,14.6,20.5,25,0.5,Ужгород
103,1946-08-08,13,22.4,29.1,0,Ужгород
104,1946-08-09,14.5,23.3,30.6,0,Ужгород
105,1946-08-10,16,27,34.1,0,Ужгород
106,1946-08-11,19,29.8,35.6,0,Ужгород
107,1946-08-12,19.1,27.1,34.6,0,Ужгород
108,1946-08-13,16.1,26.6,35.2,0,Ужгород
109,1946-08-14,18.8,24.1,31.4,0,Ужгород
110,1946-08-15,13.8,23.6,32.5,0,Ужгород
111,1946-08-16,18.8,21.6,27.6,2.4,Ужгород
112,1946-08-17,12.7,22.8,30.4,0,Ужгород
113,1946-08-18,16.7,29,35.9,0,Ужгород
114,1946-08-19,27,30.4,36.5,0,Ужгород
115,1946-08-20,22.1,29.4,33.4,0,Ужгород
116,1946-08-21,16.5,24,30,0.1,Ужгород
117,1946-08-22,13.8,21.6,29.9,0,Ужгород
118,1946-08-23,15.1,19,25.5,9.4,Ужгород
119,1946-08-24,14.3,16.2,19.8,0.3,Ужгород
120,1946-08-25,14.8,17.4,22.2,0.1,Ужгород
121,1946-08-26,12.9,16.8,22.5,0.3,Ужгород
122,1946-08-27,12.4,18.2,23.3,0,Ужгород
123,1946-08-28,12.9,18.3,23.6,0,Ужгород
124,1946-08-29,9.6,18.2,25.8,0,Ужгород
125,1946-08-30,12.8,21.3,27.9,0,Ужгород
126,1946-08-31,14.2,23.3,30.7,0,Ужгород
128,1946-09-01,16.7,19.9,26.6,0,Ужгород
129,1946-09-02,11,19.1,26.7,0,Ужгород
130,1946-09-03,15.7,20.2,24.2,0,Ужгород
131,1946-09-04,13.5,18.6,25.5,0,Ужгород
132,1946-09-05,15.9,22,29,0,Ужгород
133,1946-09-06,23.5,26.3,32.7,0,Ужгород
