,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1925-08-01,17.8,22.6,24,0,Уил
2,1925-08-02,13.4,24.2,30.5,2.2,Уил
3,1925-08-03,16.2,25.9,36.5,0,Уил
4,1925-08-04,17.3,28,38.5,0,Уил
5,1925-08-05,16.6,29.1,39.8,0,Уил
6,1925-08-06,13.5,22.5,27.5,1.9,Уил
7,1925-08-07,14.1,22.7,29.1,0,Уил
8,1925-08-08,12.3,24.3,30.9,0,Уил
9,1925-08-09,14.4,28.7,36.3,0,Уил
10,1925-08-10,21.1,30.9,40,0,Уил
11,1925-08-11,18.9,30.5,38.5,0,Уил
12,1925-08-12,14.5,28.4,35.6,0,Уил
13,1925-08-13,13.1,27.6,37.7,0,Уил
14,1925-08-14,16.3,27.6,33,0,Уил
15,1925-08-15,16.5,26.3,33.1,0,Уил
16,1925-08-16,16.2,27.1,33.7,0,Уил
17,1925-08-17,14.9,28.1,34.9,0,Уил
18,1925-08-18,14.3,26.9,36.4,0,Уил
19,1925-08-19,18.3,23.6,30,0,Уил
20,1925-08-20,13.3,23.6,29.5,0,Уил
22,1925-09-01,14.5,20.1,27.2,0,Уил
23,1925-09-02,11.8,21,27.5,0,Уил
24,1925-09-03,14.1,18.3,23.5,0,Уил
25,1925-09-04,8.7,19.3,27,0,Уил
26,1925-09-05,11.2,23.5,29.5,0,Уил
27,1925-09-06,17.2,23,30.1,0,Уил
28,1925-09-07,13.1,25.3,32,0,Уил
29,1925-09-09,5.5,21.2,30.7,4.3,Уил
30,1925-09-10,13.1,16.8,23.3,0,Уил
31,1925-09-11,8.1,16.7,22.5,0.5,Уил
32,1925-09-12,9.9,15.8,21,0,Уил
33,1925-09-13,6,17.4,24.3,0,Уил
34,1925-09-14,12.5,20.1,30,0,Уил
35,1925-09-15,5.5,9.9,14.1,0,Уил
36,1925-09-16,6.2,12.8,18.2,0,Уил
37,1925-09-17,11.5,16.8,22,0,Уил
38,1925-09-18,10.4,22.2,29.1,0,Уил
39,1925-09-25,2.6,10.8,17.9,0,Уил
40,1925-09-26,2.7,13.4,22.4,0,Уил
41,1925-09-27,4.4,16.6,24.4,0,Уил
42,1925-09-28,3.1,16.4,25.3,0,Уил
43,1925-09-29,5,16.4,25.7,0,Уил
44,1925-09-30,5.4,17.4,25.7,0,Уил
46,1928-05-11,6.2,16.1,22.1,0,Уил
47,1928-05-12,6.1,13.8,20.5,0,Уил
48,1928-05-13,7.7,15.2,21.2,0,Уил
49,1928-05-14,9.6,17.4,23.8,0,Уил
50,1928-05-15,8.8,19.2,26.6,0,Уил
51,1928-05-16,12.7,19.6,25.9,0.8,Уил
52,1928-05-17,10.7,16.8,21.2,0,Уил
53,1928-05-18,8.7,17.6,22.9,0,Уил
54,1928-05-19,10.6,18.6,23.5,3,Уил
55,1928-05-20,13.8,17.3,23.1,8.4,Уил
56,1928-05-21,13.6,16.6,22.2,11.3,Уил
57,1928-05-22,13.9,15.4,18.2,4.3,Уил
58,1928-05-23,9.7,15.7,19.9,0,Уил
59,1928-05-24,12.4,20.5,25.9,0,Уил
60,1928-05-25,15,21.4,27,0,Уил
61,1928-05-26,12.6,17.9,23.5,0,Уил
62,1928-05-27,10.7,19.8,24.4,0,Уил
63,1928-05-28,12.9,19.9,26.6,7.2,Уил
64,1928-05-29,15.9,20.9,25.9,0,Уил
65,1928-05-30,16.1,20.1,24.3,0,Уил
66,1928-05-31,18.1,19.9,22.2,6.1,Уил
68,1928-06-01,14.6,21.7,25.5,0,Уил
69,1928-06-02,16,17.8,23.2,3.5,Уил
70,1928-06-03,15.6,19.5,24.6,0,Уил
71,1928-06-04,14.6,22.5,27.3,4.3,Уил
72,1928-06-05,9.8,14.2,18.6,0,Уил
73,1928-06-06,9.5,17.7,21.1,0,Уил
74,1928-06-07,13.2,14.2,16.8,6.9,Уил
75,1928-06-08,11.3,15.2,20.2,0,Уил
76,1928-06-09,6.6,13,18.2,0,Уил
77,1928-06-10,6.2,18.2,23.1,0,Уил
78,1928-06-11,13,17.6,22.8,0,Уил
79,1928-06-12,10.1,19.3,23.9,1,Уил
80,1928-06-13,13.2,20.2,25.9,0,Уил
81,1928-06-14,13.3,22.4,28,0,Уил
82,1928-06-15,16.9,21.8,27.1,1.4,Уил
83,1928-06-16,16.8,24.4,29.1,0,Уил
84,1928-06-17,18.3,24.7,29.4,0,Уил
85,1928-06-18,18.1,25.4,30.7,1.3,Уил
86,1928-06-19,15.4,26.6,32,7.1,Уил
87,1928-06-20,19.7,24.3,32.1,0,Уил
88,1928-06-21,16.7,23.6,29.2,0,Уил
89,1928-06-22,19.1,28.9,36.6,0.6,Уил
90,1928-06-23,20.6,30.3,37.5,0,Уил
91,1928-06-24,24.1,28.4,36.4,0.2,Уил
92,1928-06-25,18.1,21.9,26.6,0,Уил
