,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1901-09-01,9.6,16.1,22,0,Уральск
2,1901-09-02,7.1,18.4,24,0,Уральск
3,1901-09-03,13.1,20.3,23.5,4.2,Уральск
4,1901-09-04,12.1,15.2,20.4,0,Уральск
5,1901-09-05,6.5,9.4,15.1,0,Уральск
6,1901-09-06,1.5,9.7,17,0,Уральск
7,1901-09-07,3.5,10.9,15.5,0,Уральск
8,1901-09-08,9.1,13.1,19,1.4,Уральск
9,1901-09-09,10.1,14.1,18.5,0,Уральск
10,1901-09-10,10.6,18.4,24,0,Уральск
11,1901-09-11,12.6,15.3,20,2.8,Уральск
12,1901-09-12,7.1,12.9,18,1,Уральск
13,1901-09-13,7.1,13.5,19,0,Уральск
14,1901-09-14,10.5,10.8,12.1,8.5,Уральск
15,1901-09-15,5.1,10.4,13.5,5,Уральск
16,1901-09-16,6.6,10.3,15.1,0,Уральск
17,1901-09-17,3.5,9.3,16,0,Уральск
18,1901-09-18,3.5,10.2,16,0,Уральск
19,1901-09-19,3,9.7,14,0,Уральск
20,1901-09-20,4.5,12.8,25,0,Уральск
21,1901-09-21,6.1,13.3,20,0,Уральск
22,1901-09-22,7.6,13.9,22.5,0,Уральск
23,1901-09-23,6.1,13.3,22,0,Уральск
24,1901-09-24,8.1,11.1,23,0,Уральск
25,1901-09-25,3.6,9.6,20,0,Уральск
26,1901-09-26,-3,1,14.5,0,Уральск
27,1901-09-27,-2.5,6.6,12,0,Уральск
28,1901-09-28,6.6,9.6,14.5,3.5,Уральск
29,1901-09-29,6.9,8.2,18,2.2,Уральск
30,1901-09-30,2,4.5,7,0,Уральск
32,1903-03-01,-18,-13,1.5,0,Уральск
33,1903-03-02,-14.5,-4.2,-2.5,0,Уральск
34,1903-03-03,-4.6,-2.9,0.5,0,Уральск
35,1903-03-04,-6.9,-5.3,-0.5,0,Уральск
36,1903-03-05,-9,-5.8,-3.5,0,Уральск
37,1903-03-06,-9.9,-8.3,-4,0,Уральск
38,1903-03-07,-17.5,-15.7,-9.6,0,Уральск
39,1903-03-08,-22,-17.9,-11.6,0,Уральск
40,1903-03-09,-26.9,-20.2,-13.6,0,Уральск
41,1903-03-10,-22.3,-17.4,-9.6,0,Уральск
42,1903-03-11,-20,-11.1,-4.5,0,Уральск
43,1903-03-12,-19.5,-12.6,-5,0,Уральск
44,1903-03-13,-19.5,-13.7,-6,0,Уральск
45,1903-03-14,-17,-13.3,-6,0,Уральск
46,1903-03-15,-17,-9.7,-5.5,0,Уральск
47,1903-03-16,-18,-13.6,-7.5,0,Уральск
48,1903-03-17,-20.5,-15.9,-10.1,0,Уральск
49,1903-03-18,-19,-11.6,-5.5,0,Уральск
50,1903-03-19,-16.9,-13,-10.1,0,Уральск
51,1903-03-20,-20,-16,-13.1,0,Уральск
52,1903-03-21,-18.5,-14.7,-12.1,0,Уральск
53,1903-03-22,-17.3,-14.8,-10.1,0,Уральск
54,1903-03-23,-23,-15.2,-11.1,0,Уральск
55,1903-03-25,-4.4,-0.7,2,0,Уральск
56,1903-03-26,-5.9,-1,2,3.4,Уральск
57,1903-03-27,-10.2,-7.7,-6,0,Уральск
58,1903-03-28,-13,-4.5,-1.5,0,Уральск
59,1903-03-29,-4.8,0.3,4,0,Уральск
60,1903-03-30,-2.2,0,3,0,Уральск
61,1903-03-31,-2.5,0.3,2.5,0,Уральск
63,1907-07-01,16,27.1,35.5,0.1,Уральск
64,1907-07-02,19.5,28.2,34.5,0.5,Уральск
65,1907-07-03,17.5,29.8,36.5,0,Уральск
66,1907-07-04,21.5,30.4,38.5,0,Уральск
67,1907-07-05,19.5,30.8,39,1,Уральск
68,1907-07-06,19.5,29.7,37,0,Уральск
69,1907-07-07,19.5,26.4,34.5,0,Уральск
70,1907-07-08,17,24.9,30.3,0,Уральск
71,1907-07-09,13.5,25.1,32.5,0,Уральск
72,1907-07-10,18,27.1,33.5,0,Уральск
73,1907-07-11,16.5,28.4,36.5,0,Уральск
74,1907-07-12,20.5,26.6,34.5,0,Уральск
75,1907-07-13,16.5,29.1,36.5,0,Уральск
76,1907-07-14,19,27.3,35,0,Уральск
77,1907-07-15,20,27.5,34,0,Уральск
78,1907-07-16,17,26.6,33.5,0,Уральск
79,1907-07-17,15.5,25.3,32.5,0,Уральск
80,1907-07-18,17.5,26.2,33,0,Уральск
81,1907-07-19,18.5,22.9,33.5,8.3,Уральск
82,1907-07-20,16,24,30.5,0,Уральск
83,1907-07-21,14.5,23.7,30.5,0,Уральск
84,1907-07-22,11.5,23,30,0,Уральск
85,1907-07-23,13,23.6,30.5,0,Уральск
86,1907-07-24,16,25.5,32,0,Уральск
87,1907-07-25,14.5,24.9,32.5,0,Уральск
88,1907-07-26,17.5,25.4,31.5,0,Уральск
89,1907-07-27,17,25.2,34.5,0,Уральск
90,1907-07-28,15,23.9,31,0,Уральск
91,1907-07-29,15.5,23.4,29,0,Уральск
92,1907-07-30,15.5,24.7,30,0,Уральск
93,1907-07-31,19,24.5,30.5,0,Уральск
95,1907-08-01,11.4,24.5,31,0,Уральск
96,1907-08-02,13.9,26.3,34,0,Уральск
97,1907-08-03,17.4,20.8,35.5,0.5,Уральск
98,1907-08-04,8.9,18.2,32.5,3.2,Уральск
99,1907-08-05,10.4,16.2,23.5,0,Уральск
100,1907-08-06,8.4,16.2,22.5,1.1,Уральск
101,1907-08-07,8.4,15.6,21,0,Уральск
102,1907-08-08,5.4,16.3,21.5,0,Уральск
103,1907-08-09,14.9,20.3,27.5,6.6,Уральск
104,1907-08-10,10.4,16.9,22.5,2.1,Уральск
105,1907-08-11,12.9,16.5,24.5,0,Уральск
106,1907-08-12,9.9,18.5,25.5,0,Уральск
107,1907-08-13,17.4,21.6,26.5,0,Уральск
108,1907-08-14,11.4,20.6,27,0,Уральск
109,1907-08-15,14.4,18.7,24.5,11,Уральск
110,1907-08-16,13.4,16.7,22.5,0,Уральск
111,1907-08-17,10.9,18.2,24.5,0,Уральск
112,1907-08-18,12.4,18.9,24.5,0,Уральск
113,1907-08-19,13.4,19.7,27.5,0,Уральск
114,1907-08-20,11.4,21.2,29,6.7,Уральск
115,1907-08-21,12.4,23.2,30.5,0,Уральск
116,1907-08-22,14.4,21.8,32.5,1.2,Уральск
117,1907-08-23,16.4,24.4,31.5,0,Уральск
118,1907-08-24,19.4,24.5,32,0,Уральск
119,1907-08-25,15.9,20.3,26,0,Уральск
