,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1926-03-01,-41.8,-32.2,-27.4,0,Усть-Мая
2,1926-03-02,-41.4,-31.4,-25.8,0.6,Усть-Мая
3,1926-03-03,-37.7,-26,-21.3,0,Усть-Мая
4,1926-03-04,-21,-16.7,-11.7,0.5,Усть-Мая
5,1926-03-05,-30.3,-24.4,-12.7,0,Усть-Мая
6,1926-03-06,-38,-28.6,-20.3,0,Усть-Мая
7,1926-03-07,-38.3,-28.2,-18.5,0,Усть-Мая
8,1926-03-08,-30.3,-22,-16,0,Усть-Мая
9,1926-03-09,-27.8,-18.4,-10.4,0.1,Усть-Мая
10,1926-03-10,-22.3,-15.6,-10.5,0,Усть-Мая
11,1926-03-11,-24.3,-15.1,-7,0,Усть-Мая
12,1926-03-12,-24,-16.7,-9.4,0,Усть-Мая
13,1926-03-13,-25.3,-15.3,-11.7,0,Усть-Мая
14,1926-03-14,-31.2,-20.1,-15.4,0,Усть-Мая
15,1926-03-15,-29.3,-19.5,-11.5,0,Усть-Мая
16,1926-03-16,-28.3,-18.4,-10.6,0,Усть-Мая
17,1926-03-17,-28.6,-17.3,-11,0,Усть-Мая
18,1926-03-18,-23.5,-15.9,-8,0,Усть-Мая
19,1926-03-19,-26.3,-14.9,-7.5,0,Усть-Мая
20,1926-03-20,-25,-14,-5.7,0.5,Усть-Мая
21,1926-03-21,-13.3,-9.2,-7,1.2,Усть-Мая
22,1926-03-22,-23.3,-18.3,-7.6,0.4,Усть-Мая
23,1926-03-23,-28,-24.4,-19.7,0,Усть-Мая
24,1926-03-24,-38.9,-26.4,-17.5,0,Усть-Мая
25,1926-03-25,-37,-20.4,-11.5,0,Усть-Мая
26,1926-03-26,-14.3,-7.8,-2.7,0.2,Усть-Мая
27,1926-03-27,-2.9,1,4.7,0,Усть-Мая
28,1926-03-28,-13.3,-11.9,-0.5,0,Усть-Мая
30,1926-04-01,-25.7,-14.1,-6.7,0,Усть-Мая
31,1926-04-02,-16.5,-13.3,-11,0.5,Усть-Мая
32,1926-04-03,-17.3,-15.2,-12.5,0.1,Усть-Мая
33,1926-04-04,-22.3,-15,-7.3,0,Усть-Мая
34,1926-04-05,-29.7,-13,-8.8,0,Усть-Мая
35,1926-04-06,-29.3,-16.3,-5,0,Усть-Мая
36,1926-04-07,-24.6,-11.6,-2.8,0,Усть-Мая
37,1926-04-08,-20.3,-9.2,-3.5,0,Усть-Мая
38,1926-04-09,-22.8,-8,1,0,Усть-Мая
39,1926-04-10,-11.8,-6.2,-2.6,0,Усть-Мая
40,1926-04-12,-11.6,-3,1.8,0,Усть-Мая
41,1926-04-13,-12.3,-2.3,3.3,0,Усть-Мая
42,1926-04-14,-16.3,-4.3,2.5,0,Усть-Мая
43,1926-04-15,-7.3,-1.7,3.9,0,Усть-Мая
44,1926-04-16,-14.6,-4,2,0,Усть-Мая
45,1926-04-18,-15.4,-6.8,0.4,0,Усть-Мая
46,1926-04-19,-13.1,-5.7,-2.4,0,Усть-Мая
47,1926-04-20,-11.3,-6.5,-3,0,Усть-Мая
48,1926-04-21,-18.3,-8,-1.8,0,Усть-Мая
49,1926-04-22,-19.6,-8.5,-3.5,0,Усть-Мая
50,1926-04-23,-19.8,-6.9,-0.4,0,Усть-Мая
51,1926-04-24,-17.5,-4.6,1.5,0,Усть-Мая
52,1926-04-25,-12.8,-2.4,6.5,0,Усть-Мая
53,1926-04-26,-7.5,-4.8,-2.5,0,Усть-Мая
54,1926-04-27,-16.3,-2.7,4.3,0,Усть-Мая
55,1926-04-28,-6.3,1.5,6,0,Усть-Мая
56,1926-04-29,-9.8,1.2,6.5,0,Усть-Мая
57,1926-04-30,-7,4.1,10,0,Усть-Мая
59,1926-05-01,2.9,6.9,10.2,0,Усть-Мая
60,1926-05-02,4.2,7.1,12.7,3.4,Усть-Мая
61,1926-05-03,0.2,2.4,6,0,Усть-Мая
62,1926-05-04,-4.8,3.4,8.3,0,Усть-Мая
63,1926-05-05,-1,0.9,5.4,5,Усть-Мая
64,1926-05-06,-2.3,0.1,2.8,0.8,Усть-Мая
65,1926-05-07,-4.1,-1.1,1.5,0,Усть-Мая
66,1926-05-08,-2.6,1.1,4.7,0,Усть-Мая
67,1926-05-09,-1.8,5.5,10,0,Усть-Мая
