,Date,Min temp,Max temp,Avg temp,"Rain, mm",City
1,1913-01-01,-29.3,-23.6,-20.1,0.5,Усть-Цильма
2,1913-01-02,-22.9,-18.2,-15.9,0.2,Усть-Цильма
3,1913-01-03,-24.4,-20.9,-15.6,0.2,Усть-Цильма
4,1913-01-04,-19.9,-17.2,-16.2,0.4,Усть-Цильма
5,1913-01-05,-17.5,-13.7,-9.6,0.4,Усть-Цильма
6,1913-01-06,-19.6,-15.1,-8.6,0,Усть-Цильма
7,1913-01-07,-20.1,-12.3,-10,0.6,Усть-Цильма
8,1913-01-08,-14.2,-10.8,-8.9,0.1,Усть-Цильма
9,1913-01-09,-17.6,-13.8,-10.6,1.3,Усть-Цильма
10,1913-01-10,-11.2,-4.7,-0.9,0.1,Усть-Цильма
11,1913-01-11,-10.7,-5.9,-0.8,0,Усть-Цильма
12,1913-01-12,-15.8,-13.5,-8.5,0.6,Усть-Цильма
13,1913-01-13,-21.2,-13.7,-5,0,Усть-Цильма
14,1913-01-14,-20.1,-6,-3.8,0,Усть-Цильма
15,1913-01-15,-7.5,-4.3,-2.7,0,Усть-Цильма
16,1913-01-16,-10.1,-7.1,-3.3,0,Усть-Цильма
17,1913-01-17,-10.5,-9,-5.6,0.9,Усть-Цильма
18,1913-01-18,-40,-35.8,-9.9,0,Усть-Цильма
19,1913-01-19,-40.6,-27,-22.1,0.4,Усть-Цильма
20,1913-01-20,-23.1,-19.1,-16.5,0.4,Усть-Цильма
21,1913-01-21,-22.4,-20.9,-19.6,0.6,Усть-Цильма
22,1913-01-22,-24,-21.5,-19,0.4,Усть-Цильма
23,1913-01-23,-36.7,-35,-21.4,0,Усть-Цильма
24,1913-01-24,-35.3,-23.9,-19.8,0,Усть-Цильма
25,1913-01-25,-26.3,-18.2,-16.7,0.2,Усть-Цильма
26,1913-01-26,-27.4,-24.4,-17.1,0.1,Усть-Цильма
27,1913-01-27,-27.6,-22.1,-20.8,0.1,Усть-Цильма
28,1913-01-28,-26,-19.1,-15.2,0.6,Усть-Цильма
29,1913-01-29,-38.9,-26.4,-10.7,0,Усть-Цильма
30,1913-01-30,-45.8,-36.2,-23.5,0.2,Усть-Цильма
31,1913-01-31,-24.4,-13.6,-9.7,1.6,Усть-Цильма
33,1913-02-01,-25.6,-20.7,-9.2,1.2,Усть-Цильма
34,1913-02-02,-25.7,-18.6,-12.7,0.1,Усть-Цильма
35,1913-02-03,-18.9,-13.3,-9.9,1.2,Усть-Цильма
36,1913-02-04,-15.8,-12.4,-9.3,1.4,Усть-Цильма
37,1913-02-05,-21.8,-20.4,-15.1,0.2,Усть-Цильма
38,1913-02-06,-21,-15.6,-11.6,1.8,Усть-Цильма
39,1913-02-07,-17.5,-15.4,-9.7,0.2,Усть-Цильма
40,1913-02-08,-24.2,-23,-16.6,0.1,Усть-Цильма
41,1913-02-09,-23.2,-19.2,-16.6,0.1,Усть-Цильма
42,1913-02-10,-21.7,-18.1,-15.4,0,Усть-Цильма
43,1913-02-11,-29.1,-23.4,-19.1,0.1,Усть-Цильма
44,1913-02-12,-33.6,-31,-27,0,Усть-Цильма
45,1913-02-13,-35.5,-31.6,-28.5,0,Усть-Цильма
46,1913-02-14,-36.5,-32.6,-28.1,0,Усть-Цильма
47,1913-02-15,-33.4,-27.3,-22.1,0,Усть-Цильма
48,1913-02-16,-24,-12.6,-6.9,1.7,Усть-Цильма
49,1913-02-17,-9.7,-8.2,-6.3,0.7,Усть-Цильма
50,1913-02-18,-12.9,-9.4,-4.3,0,Усть-Цильма
51,1913-02-19,-12.6,-9.4,-6.6,0.5,Усть-Цильма
52,1913-02-20,-16.1,-11,-8.6,0,Усть-Цильма
53,1913-02-21,-18.6,-12.6,-10.6,1,Усть-Цильма
54,1913-02-22,-16.5,-14.5,-11.1,0.3,Усть-Цильма
55,1913-02-23,-19.6,-16,-13.9,1,Усть-Цильма
56,1913-02-24,-17.5,-14,-11.6,0,Усть-Цильма
57,1913-02-25,-28.9,-19.9,-14.5,0,Усть-Цильма
58,1913-02-26,-33.4,-28.6,-18.1,0,Усть-Цильма
59,1913-02-27,-31.5,-19.9,-18.1,0,Усть-Цильма
60,1913-02-28,-30.6,-27.8,-18.6,0,Усть-Цильма
62,1913-03-01,-37.8,-28.6,-18.9,2,Усть-Цильма
63,1913-03-02,-19.7,-15.8,-12.2,2,Усть-Цильма
64,1913-03-03,-26.3,-23.2,-16.6,0.1,Усть-Цильма
65,1913-03-04,-24.2,-16.9,-13,0,Усть-Цильма
66,1913-03-05,-22,-16.2,-11.6,0.8,Усть-Цильма
67,1913-03-06,-12.4,-6,-5,0.2,Усть-Цильма
68,1913-03-07,-9.6,-7.6,-5,0.2,Усть-Цильма
69,1913-03-08,-15,-11.7,-8.4,0,Усть-Цильма
70,1913-03-09,-13.6,-10.5,-6.3,0,Усть-Цильма
71,1913-03-10,-10.6,-5.6,-2.5,0,Усть-Цильма
72,1913-03-11,-6.2,-4,-2,2.4,Усть-Цильма
73,1913-03-12,-3.3,-0.7,1.1,0,Усть-Цильма
74,1913-03-13,-7.5,-4.2,-0.1,0,Усть-Цильма
75,1913-03-14,-14.4,-6,0.3,0.1,Усть-Цильма
76,1913-03-15,-7.4,-3.4,-0.5,0,Усть-Цильма
77,1913-03-16,-3.4,-2.7,-1.8,2.4,Усть-Цильма
78,1913-03-17,-6.1,-5.4,-2.8,0.1,Усть-Цильма
